sequence,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+nBTjBlmBimB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+nBTjBimBlmB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhFOmBSoBzmBlnB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF3hB1nB6oB2rB0q?BzsB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+nBlmBToBimB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhFSoBmmBTmBlnB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhFXjBzmBStBlqBOr?B0sB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF3hB6sBToB2rB0q?BFtB,v115@HhD8FeB8HeC8BeB8BeA8JeUBJvhFRiBSoBVsBmkBzq?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF1nBTmBStBmmB0q?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Jex/IvhF+oBlmB3nBimB0q?BzsB,v115@HhD8FeB8HeC8BeB8BeA8JeRBJvhF1nB0mBStBmkBzq?BXtB,v115@HhD8FeB8HeC8BeB8BeA8Je3BJvhFlnBctBmkBRrBzq?BCtB,v115@HhD8FeB8HeC8BeB8BeA8Je1GJvhFXjBStBmkBRrBzq?B0sB,v115@HhD8FeB8HeC8BeB8BeA8Je1GJvhF0iBStBmkBRrBzq?BXtB
TILJSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILJSOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TILJZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TILJZOS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O
TILJOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSJOZ,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TILSZJO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
TILSZOJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TILSOZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TILZJOS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,O
TILZSJO,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
TILZSOJ,X,X,X,X,X,X,O,O,O,O,X,X,X,X,X
TILZOJS,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O
TILZOSJ,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TILOJSZ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILOSJZ,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X
TILOSZJ,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,O,X,X,O,X,O,O,X,X,X,X,O
TILOZSJ,X,X,X,O,X,X,O,O,X,O,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJLSOZ,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X
TIJLZSO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIJLZOS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIJLOSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJSZOL,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJSOLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,O,X,X,X,X,X,X,O,X,O,X,X,X,O
TIJZLOS,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O
TIJZSLO,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJZSOL,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJZOLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOSL,O,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TISLJZO,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
TISLJOZ,O,X,X,X,X,O,O,X,X,X,X,X,X,O,X
TISLZJO,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
TISLZOJ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TISLOJZ,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X
TISLOZJ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISJLZO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TISJZLO,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,X,X,O,X,X,O,X,X,X,O,X,O
TISZLOJ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
