sequence,v115@FhB8HeB8HeB8CeA8AeE8Jem/IvhFtlBxhBKpBfqBcr?BTsB,v115@FhB8HeB8HeB8CeA8AeE8JeZEJvhFUgBzhB+nBqpBNr?B3qB,v115@FhB8HeB8HeB8CeA8AeE8Je0/IvhFxgBTiBNpBarBWs?BXqB,v115@FhB8HeB8HeB8CeA8AeE8JeZEJvhF3gBzhB+nBqpBNr?BUqB,v115@FhB8HeB8HeB8CeA8AeE8Je2EJvhFRgBfnB6nBcqBNr?BTpB,v115@FhB8HeB8HeB8CeA8AeE8Jei/IvhFtlBxhBcrBTnBmp?B3pB,v115@FhB8HeB8HeB8CeA8AeE8Je/EJvhFalBtlBxhBcrBTn?B2uB,v115@FhB8HeB8HeB8CeA8AeE8Je0/IvhFSmBTiBNpBXqBxr?BmqB,v115@FhB8HeB8HeB8CeA8AeE8Je3AJvhFzhB+nBNrBxpB0p?BipB,v115@FhB8HeB8HeB8CeA8AeE8JeZFJvhFUhB9nBOpBfrB6p?BzrB,v115@FhB8HeB8HeB8CeA8AeE8JetFJvhFxhBikBcrBTnB3p?BmpB,v115@FhB8HeB8HeB8CeA8AeE8JeXAJvhFCiBTnB0pBxqBOp?BdrB,v115@FhB8HeB8HeB8CeA8AeE8Je/EJvhFRgBSnBTlBNrBUn?B2uB,v115@FhB8HeB8HeB8CeA8AeE8Je2EJvhFtlBxhBcrBTnB3k?ByuB,v115@FhB8HeB8HeB8CeA8AeE8JeZEJvhFtkBCiBUmBTnBXq?BmqB,v115@FhB8HeB8HeB8CeA8AeE8JezBJvhF+nBxkBNrB3lB0p?BipB,v115@FhB8HeB8HeB8CeA8AeE8Je0/IvhFxhBKpBGmBTnBdq?BfrB,v115@FhB8HeB8HeB8CeA8AeE8JezBJvhF+nB/pBRlBcqBNr?BipB
TILJSZO,X,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TILJSOZ,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TILJZSO,X,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJZOS,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TILJOSZ,X,O,O,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TILJOZS,X,O,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X
TILSJZO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,X
TILSJOZ,O,O,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X
TILSZJO,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TILSZOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILSOZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZSJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TILOJSZ,X,O,O,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TILOJZS,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILOSJZ,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
