sequence,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFXhBmiBUlBF?nBClBzsB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFXhBVnBaoBz?kBGlB0sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeT/IvhF/lBFhBRnBm?nBipB0sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFzfBFhBXiBS?qBmsB8sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeT/IvhF/lBUhBRiBi?pBmsBlsB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeZEJvhFXhBzkBUnBa?tBGlBlsB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeT/IvhFxgBXiBllBi?pBmsB8sB,v115@GhA8IeA8DeB8CeA8AeF8BeA8JeUBJvhFRiBOpBTlB/?sBatBlpB
TILJSZO,O,X,X,O,X,X,O,X
TILJSOZ,X,O,X,O,X,X,O,X
TILJZSO,O,X,X,O,X,X,O,X
TILJZOS,X,X,X,O,X,X,O,X
TILJOSZ,X,O,X,O,X,X,O,X
TILJOZS,X,X,X,O,X,X,O,X
TILSJZO,O,X,X,O,X,X,O,X
TILSJOZ,X,O,O,O,X,X,O,X
TILSZJO,O,O,X,X,X,X,X,X
TILSZOJ,X,O,O,X,X,O,X,X
TILSOJZ,X,O,O,O,X,X,O,X
TILSOZJ,X,O,O,X,X,O,X,X
TILZJSO,O,O,X,O,X,X,O,X
TILZJOS,X,O,X,O,X,X,O,X
TILZSJO,O,O,X,X,X,X,X,X
TILZSOJ,X,O,X,X,X,O,X,X
TILZOJS,X,O,X,O,X,X,O,X
TILZOSJ,X,O,X,X,X,O,X,X
TILOJSZ,X,O,X,O,X,X,O,X
TILOJZS,X,X,X,O,X,X,O,X
TILOSJZ,X,O,O,O,X,X,O,X
TILOSZJ,X,O,O,X,X,O,X,X
TILOZJS,X,O,X,O,X,X,O,X
TILOZSJ,X,O,X,X,X,O,X,X
TIJLSZO,O,X,X,O,X,X,O,X
TIJLSOZ,X,O,X,O,X,X,O,X
TIJLZSO,O,X,X,O,X,X,O,X
TIJLZOS,X,X,X,O,X,X,O,X
TIJLOSZ,X,O,X,O,X,X,O,X
TIJLOZS,X,X,X,O,X,X,O,X
TIJSLZO,O,X,X,O,X,X,O,X
