sequence,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF3gBcmB6nBT?jBdsBWwB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF3gBumB9nBT?jB8qBywB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lBymB+nBT?jBXrB0rB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lBOmBXiBT?jBcsBSwB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lBymB+nBT?jB0rBXrB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lB2mBTjBc?sBXrBCsB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF9lB6nBTjBm?mBXrB0rB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhFihB9nBTjB0?lBfsBWwB,v115@+gB8HeA8IeB8EeB8AeB8DeC8JeZEJvhF3hB9nBTjB6?qBmrBUrB
TILJSZO,O,O,O,O,X,X,O,X,O
TILJSOZ,O,O,O,O,O,X,O,X,O
TILJZSO,O,O,X,O,O,X,X,X,O
TILJZOS,O,O,O,O,O,X,X,X,O
TILJOSZ,O,O,O,O,O,X,O,X,O
TILJOZS,O,O,O,O,O,X,X,X,O
TILSJZO,O,O,O,O,X,X,O,X,O
TILSJOZ,O,O,O,O,X,X,O,X,O
TILSZJO,O,O,O,O,X,O,O,O,X
TILSZOJ,O,O,X,O,X,O,O,O,O
TILSOJZ,O,O,O,O,X,X,O,X,O
TILSOZJ,O,O,X,O,X,O,O,O,O
TILZJSO,O,O,X,O,O,X,X,X,O
TILZJOS,O,O,X,O,O,X,X,X,O
TILZSJO,O,O,X,O,O,O,O,O,X
TILZSOJ,O,O,X,O,X,O,O,O,O
TILZOJS,O,O,X,O,O,X,X,X,O
TILZOSJ,O,O,X,O,X,O,O,O,O
TILOJSZ,O,O,O,O,O,X,O,X,O
TILOJZS,O,O,O,O,O,X,X,X,O
TILOSJZ,O,O,O,O,X,X,O,X,O
TILOSZJ,O,O,X,O,X,O,O,O,O
TILOZJS,O,O,X,O,O,X,X,X,O
TILOZSJ,O,O,X,O,X,O,O,O,O
TIJLSZO,O,O,O,O,X,X,O,X,O
TIJLSOZ,O,O,O,O,O,X,O,X,O
TIJLZSO,O,O,X,O,O,X,X,X,O
TIJLZOS,O,O,O,O,O,X,X,X,O
TIJLOSZ,O,O,O,O,O,X,O,X,O
TIJLOZS,O,O,O,O,O,X,X,X,O
TIJSLZO,O,O,O,X,X,X,O,X,X
TIJSLOZ,O,O,O,X,O,X,O,X,X
TIJSZLO,O,O,O,X,O,O,O,O,X
TIJSZOL,O,O,O,X,O,O,O,O,X
TIJSOLZ,O,O,O,X,O,X,O,X,X
TIJSOZL,O,O,O,X,O,O,O,O,X
TIJZLSO,O,O,X,O,O,X,X,X,X
TIJZLOS,O,O,O,O,O,X,X,X,X
TIJZSLO,O,O,O,O,O,O,X,O,X
TIJZSOL,O,O,O,O,O,O,X,O,X
TIJZOLS,O,O,O,O,O,X,X,X,X
TIJZOSL,O,O,O,O,O,O,X,O,X
TIJOLSZ,O,O,O,O,O,X,O,X,O
TIJOLZS,O,O,O,O,O,X,X,X,O
TIJOSLZ,O,O,O,X,O,X,O,X,X
TIJOSZL,O,O,O,X,O,O,O,O,X
TIJOZLS,O,O,O,O,O,X,X,X,X
TIJOZSL,O,O,O,O,O,O,X,O,X
TISLJZO,O,O,O,O,X,X,O,X,O
TISLJOZ,O,O,O,O,X,X,O,X,O
TISLZJO,O,O,O,O,X,O,O,O,X
TISLZOJ,O,O,X,O,X,O,O,O,O
TISLOJZ,O,O,O,O,X,X,O,X,O
TISLOZJ,O,O,X,O,X,O,O,O,O
TISJLZO,O,O,O,X,X,X,O,X,X
TISJLOZ,O,O,O,X,O,X,O,X,X
TISJZLO,O,O,O,X,O,O,O,O,X
TISJZOL,O,O,O,X,O,O,O,O,X
TISJOLZ,O,O,O,X,O,X,O,X,X
TISJOZL,O,O,O,X,O,O,O,O,X
TISZLJO,O,O,O,O,O,O,O,O,X
TISZLOJ,O,O,X,O,X,O,O,O,X
TISZJLO,O,O,O,O,O,O,O,O,X
TISZJOL,O,O,O,O,O,O,O,O,X
TISZOLJ,O,O,X,O,X,O,O,O,X
TISZOJL,O,O,O,O,O,O,O,O,X
TISOLJZ,O,O,O,O,X,X,O,X,O
TISOLZJ,O,O,X,O,X,O,O,O,O
TISOJLZ,O,O,O,X,O,X,O,X,X
TISOJZL,O,O,O,X,O,O,O,O,X
TISOZLJ,O,O,X,O,X,O,O,O,X
TISOZJL,O,O,O,O,O,O,O,O,X
TIZLJSO,O,O,X,O,O,X,X,X,O
TIZLJOS,O,O,X,O,O,X,X,X,O
TIZLSJO,O,O,X,O,O,O,O,O,X
TIZLSOJ,O,O,X,O,X,O,O,O,O
TIZLOJS,O,O,X,O,O,X,X,X,O
TIZLOSJ,O,O,X,O,X,O,O,O,O
TIZJLSO,O,O,X,O,O,X,X,X,X
TIZJLOS,O,O,O,O,O,X,X,X,X
TIZJSLO,O,O,O,O,O,O,X,O,X
TIZJSOL,O,O,O,O,O,O,X,O,X
TIZJOLS,O,O,O,O,O,X,X,X,X
TIZJOSL,O,O,O,O,O,O,X,O,X
TIZSLJO,O,O,O,O,O,O,O,O,X
TIZSLOJ,O,O,X,O,X,O,O,O,X
TIZSJLO,O,O,O,O,O,O,O,O,X
TIZSJOL,O,O,O,O,O,O,O,O,X
TIZSOLJ,O,O,X,O,X,O,O,O,X
TIZSOJL,O,O,O,O,O,O,O,O,X
TIZOLJS,O,O,X,O,O,X,X,X,O
TIZOLSJ,O,O,X,O,X,O,O,O,O
TIZOJLS,O,O,O,O,O,X,X,X,X
TIZOJSL,O,O,O,O,O,O,X,O,X
TIZOSLJ,O,O,X,O,X,O,O,O,X
TIZOSJL,O,O,O,O,O,O,O,O,X
TIOLJSZ,O,O,O,O,O,X,O,X,O
TIOLJZS,O,O,O,O,O,X,X,X,O
TIOLSJZ,O,O,O,O,X,X,O,X,O
TIOLSZJ,O,O,X,O,X,O,O,O,O
TIOLZJS,O,O,X,O,O,X,X,X,O
TIOLZSJ,O,O,X,O,X,O,O,O,O
TIOJLSZ,O,O,O,O,O,X,O,X,O
TIOJLZS,O,O,O,O,O,X,X,X,O
TIOJSLZ,O,O,O,X,O,X,O,X,X
TIOJSZL,O,O,O,X,O,O,O,O,X
TIOJZLS,O,O,O,O,O,X,X,X,X
TIOJZSL,O,O,O,O,O,O,X,O,X
TIOSLJZ,O,O,O,O,X,X,O,X,O
TIOSLZJ,O,O,X,O,X,O,O,O,O
TIOSJLZ,O,O,O,X,O,X,O,X,X
TIOSJZL,O,O,O,X,O,O,O,O,X
TIOSZLJ,O,O,X,O,X,O,O,O,X
TIOSZJL,O,O,O,O,O,O,O,O,X
TIOZLJS,O,O,X,O,O,X,X,X,O
TIOZLSJ,O,O,X,O,X,O,O,O,O
TIOZJLS,O,O,O,O,O,X,X,X,X
TIOZJSL,O,O,O,O,O,O,X,O,X
TIOZSLJ,O,O,X,O,X,O,O,O,X
TIOZSJL,O,O,O,O,O,O,O,O,X
TLIJSZO,O,O,O,O,X,X,O,X,O
TLIJSOZ,O,O,O,O,O,X,O,X,O
TLIJZSO,O,O,X,O,O,X,X,X,O
TLIJZOS,O,O,O,O,O,X,X,X,O
TLIJOSZ,O,O,O,O,O,X,O,X,O
TLIJOZS,O,O,O,O,O,X,X,X,O
TLISJZO,O,O,O,O,X,X,O,X,O
TLISJOZ,O,O,O,O,X,X,O,X,O
TLISZJO,O,O,O,O,X,O,O,O,X
TLISZOJ,O,O,X,O,X,O,O,O,O
TLISOJZ,O,O,O,O,X,X,O,X,O
TLISOZJ,O,O,X,O,X,O,O,O,O
TLIZJSO,O,O,X,O,O,X,X,X,O
TLIZJOS,O,O,X,O,O,X,X,X,O
TLIZSJO,O,O,X,O,O,O,O,O,X
TLIZSOJ,O,O,X,O,X,O,O,O,O
TLIZOJS,O,O,X,O,O,X,X,X,O
TLIZOSJ,O,O,X,O,X,O,O,O,O
TLIOJSZ,O,O,O,O,O,X,O,X,O
TLIOJZS,O,O,O,O,O,X,X,X,O
TLIOSJZ,O,O,O,O,X,X,O,X,O
TLIOSZJ,O,O,X,O,X,O,O,O,O
TLIOZJS,O,O,X,O,O,X,X,X,O
TLIOZSJ,O,O,X,O,X,O,O,O,O
TLJISZO,O,O,O,O,X,X,O,X,O
TLJISOZ,O,O,O,O,O,X,O,X,O
TLJIZSO,O,O,X,O,O,X,X,X,O
TLJIZOS,O,O,O,O,O,X,X,X,O
TLJIOSZ,O,O,O,O,O,X,O,X,O
TLJIOZS,O,O,O,O,O,X,X,X,O
TLJSIZO,O,O,O,O,X,X,O,X,O
TLJSIOZ,O,O,O,O,O,X,O,X,O
TLJSZIO,O,O,O,O,X,X,O,X,O
TLJSZOI,O,O,O,O,X,X,O,X,O
TLJSOIZ,O,O,O,O,O,X,O,X,O
TLJSOZI,O,O,O,O,X,X,O,X,O
TLJZISO,O,O,X,O,O,X,X,X,O
TLJZIOS,O,O,O,O,O,X,X,X,O
TLJZSIO,O,O,X,O,O,X,X,X,O
TLJZSOI,O,O,X,O,O,X,X,X,O
TLJZOIS,O,O,O,O,O,X,X,X,O
TLJZOSI,O,O,X,O,O,X,X,X,O
TLJOISZ,O,O,O,O,O,X,O,X,O
TLJOIZS,O,O,O,O,O,X,X,X,O
TLJOSIZ,O,O,O,O,O,X,O,X,O
TLJOSZI,O,O,O,O,X,X,O,X,O
TLJOZIS,O,O,O,O,O,X,X,X,O
TLJOZSI,O,O,X,O,O,X,X,X,O
TLSIJZO,O,O,O,O,X,X,O,X,O
TLSIJOZ,O,O,O,O,X,X,O,X,O
TLSIZJO,O,O,O,O,X,O,O,O,X
TLSIZOJ,O,O,X,O,X,O,O,O,O
TLSIOJZ,O,O,O,O,X,X,O,X,O
TLSIOZJ,O,O,X,O,X,O,O,O,O
TLSJIZO,O,O,O,O,X,X,O,X,O
TLSJIOZ,O,O,O,O,X,X,O,X,O
TLSJZIO,O,O,O,O,X,X,O,X,O
TLSJZOI,O,O,O,O,X,X,O,X,O
TLSJOIZ,O,O,O,O,X,X,O,X,O
TLSJOZI,O,O,O,O,X,X,O,X,O
TLSZIJO,O,O,O,O,X,O,O,O,X
TLSZIOJ,O,O,X,O,X,O,O,O,O
TLSZJIO,O,O,O,O,X,O,O,O,X
TLSZJOI,O,O,O,O,X,O,O,O,X
TLSZOIJ,O,O,X,O,X,O,O,O,O
TLSZOJI,O,O,X,O,X,O,O,O,X
