sequence,v115@HhA8FeA8BeA8FeF8DeC8Je6EJvhFxgBOnBTjB/qB0r?BFrB,v115@HhA8FeA8BeA8FeF8DeC8Jel/IvhFUhBOnBTjBXlBSr?BRwB,v115@HhA8FeA8BeA8FeF8DeC8Je0/IvhFmgBTjBSqB3mBFn?BRwB,v115@HhA8FeA8BeA8FeF8DeC8Je6EJvhFOlB8lBTjB3mBFn?BRwB,v115@HhA8FeA8BeA8FeF8DeC8Jex/IvhFFiBTjBClB0qBmr?B/rB,v115@HhA8FeA8BeA8FeF8DeC8Jex/IvhFXiBTjBWqBirBlq?B0rB,v115@HhA8FeA8BeA8FeF8DeC8Jel/IvhFOnBTjBxlBSqB0r?BXrB,v115@HhA8FeA8BeA8FeF8DeC8Jex/IvhF0hBTjBWqBirBlq?BXsB
TIOZSLJ,X,O,O,O,X,X,X,X
TIOZSJL,X,O,X,O,X,X,O,X
TLIJSZO,X,O,O,X,X,X,X,X
TLIJSOZ,X,O,O,X,X,X,X,X
TLIJZSO,X,X,O,O,X,X,X,X
TLIJZOS,X,X,O,O,X,X,X,X
TLIJOSZ,X,O,O,X,X,X,X,X
TLIJOZS,X,X,O,O,X,X,X,X
TLISJZO,X,O,O,X,X,X,X,X
TLISJOZ,X,O,O,X,X,X,X,X
TLISZJO,X,O,O,O,X,X,X,X
TLISZOJ,X,O,O,O,X,X,X,X
TLISOJZ,X,O,O,X,X,X,X,X
TLISOZJ,X,O,O,O,X,X,X,X
TLIZJSO,X,X,O,O,O,X,X,X
TLIZJOS,X,X,O,O,O,X,X,X
TLIZSJO,X,X,O,O,X,X,X,X
TLIZSOJ,X,X,O,O,X,X,X,X
TLIZOJS,X,X,O,O,O,X,X,X
TLIZOSJ,X,X,O,O,X,X,X,X
TLIOJSZ,X,O,O,X,X,X,X,X
TLIOJZS,X,X,O,O,X,X,X,X
TLIOSJZ,X,O,O,X,X,X,X,X
TLIOSZJ,X,O,O,O,X,X,X,X
TLIOZJS,X,X,O,O,O,X,X,X
TLIOZSJ,X,X,O,O,X,X,X,X
TLJISZO,X,X,O,X,X,O,X,O
TLJISOZ,X,X,O,X,X,O,X,O
TLJIZSO,X,X,O,O,X,O,X,O
TLJIZOS,X,X,O,O,X,O,X,O
TLJIOSZ,X,X,O,X,X,O,X,O
TLJIOZS,X,X,O,O,X,O,X,O
TLJSIZO,X,X,X,X,X,O,X,O
TLJSIOZ,O,X,X,X,X,O,X,O
TLJSZIO,O,X,X,X,X,O,X,O
TLJSZOI,O,X,X,X,X,O,X,O
TLJSOIZ,O,X,X,X,X,O,X,O
TLJSOZI,O,X,X,X,X,O,X,O
TLJZISO,X,X,O,X,X,O,X,O
TLJZIOS,X,X,O,X,X,O,O,O
TLJZSIO,O,X,X,X,X,O,X,O
TLJZSOI,O,X,X,X,X,O,X,O
TLJZOIS,X,X,O,X,X,O,O,O
TLJZOSI,O,X,X,X,X,O,X,O
TLJOISZ,X,X,O,X,X,O,X,O
TLJOIZS,X,X,O,O,X,O,X,O
TLJOSIZ,O,X,X,X,X,O,X,O
TLJOSZI,O,X,X,X,X,O,X,O
TLJOZIS,X,X,O,X,X,O,O,O
TLJOZSI,O,X,X,X,X,O,X,O
TLSIJZO,X,O,X,X,X,X,X,X
TLSIJOZ,O,O,X,X,X,X,X,X
TLSIZJO,X,O,X,X,X,X,X,X
TLSIZOJ,X,O,X,X,X,X,X,X
TLSIOJZ,O,O,X,X,X,X,X,X
TLSIOZJ,X,O,X,X,X,X,X,X
TLSJIZO,X,X,X,X,X,O,X,X
TLSJIOZ,O,X,X,X,X,O,X,X
TLSJZIO,O,X,X,X,X,O,X,X
TLSJZOI,O,X,X,X,X,O,X,X
TLSJOIZ,O,X,X,X,X,O,X,X
TLSJOZI,O,X,X,X,X,O,X,X
TLSZIJO,O,O,X,X,X,X,X,X
TLSZIOJ,O,O,X,X,X,X,X,X
TLSZJIO,O,X,X,X,X,X,X,X
TLSZJOI,O,X,X,X,X,X,X,X
TLSZOIJ,O,O,X,X,X,X,X,X
TLSZOJI,O,X,X,X,X,X,X,X
TLSOIJZ,O,O,X,X,X,X,X,X
TLSOIZJ,X,O,X,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,O,X,X
TLSOJZI,O,X,X,X,X,O,X,X
TLSOZIJ,O,O,X,X,X,X,X,X
TLSOZJI,O,X,X,X,X,X,X,X
TLZIJSO,X,X,O,X,O,X,X,X
TLZIJOS,X,X,O,X,O,X,O,X
TLZISJO,X,X,O,X,X,X,X,X
TLZISOJ,X,X,O,X,X,X,X,X
TLZIOJS,X,X,O,X,O,X,O,X
TLZIOSJ,X,X,O,X,X,X,X,X
TLZJISO,X,X,O,X,O,X,X,O
TLZJIOS,X,X,O,X,O,X,O,O
TLZJSIO,O,X,X,X,O,X,X,O
TLZJSOI,O,X,X,X,O,X,X,O
TLZJOIS,X,X,O,X,O,X,O,O
TLZJOSI,O,X,X,X,O,X,X,O
TLZSIJO,O,X,X,X,X,X,X,X
TLZSIOJ,O,X,X,X,X,X,X,X
TLZSJIO,O,X,X,X,X,X,X,X
TLZSJOI,O,X,X,X,X,X,X,X
TLZSOIJ,O,X,X,X,X,X,X,X
TLZSOJI,O,X,X,X,X,X,X,X
TLZOIJS,X,X,O,X,O,X,O,X
TLZOISJ,X,X,O,X,X,X,X,X
TLZOJIS,X,X,O,X,O,X,O,O
TLZOJSI,O,X,X,X,O,X,X,O
TLZOSIJ,O,X,X,X,X,X,X,X
TLZOSJI,O,X,X,X,X,X,X,X
TLOIJSZ,X,O,O,X,X,X,X,X
TLOIJZS,X,X,O,O,X,X,X,X
TLOISJZ,X,O,O,X,X,X,X,X
TLOISZJ,X,O,O,O,X,X,X,X
TLOIZJS,X,X,O,O,O,X,X,X
TLOIZSJ,X,X,O,O,X,X,X,X
TLOJISZ,X,X,O,X,X,O,X,O
TLOJIZS,X,X,O,O,X,O,X,O
TLOJSIZ,O,X,X,X,X,O,X,O
TLOJSZI,O,X,X,X,X,O,X,O
TLOJZIS,X,X,O,X,X,O,O,O
TLOJZSI,O,X,X,X,X,O,X,O
TLOSIJZ,O,O,X,X,X,X,X,X
TLOSIZJ,X,O,X,X,X,X,X,X
TLOSJIZ,O,X,X,X,X,O,X,X
TLOSJZI,O,X,X,X,X,O,X,X
TLOSZIJ,O,O,X,X,X,X,X,X
TLOSZJI,O,X,X,X,X,X,X,X
TLOZIJS,X,X,O,X,O,X,O,X
TLOZISJ,X,X,O,X,X,X,X,X
TLOZJIS,X,X,O,X,O,X,O,O
TLOZJSI,O,X,X,X,O,X,X,O
TLOZSIJ,O,X,X,X,X,X,X,X
TLOZSJI,O,X,X,X,X,X,X,X
TJILSZO,X,O,X,X,X,X,X,X
TJILSOZ,X,O,X,X,X,X,X,X
TJILZSO,X,X,X,O,X,X,X,X
TJILZOS,X,X,X,O,X,X,X,X
TJILOSZ,X,O,X,X,X,X,X,X
TJILOZS,X,X,X,O,X,X,X,X
TJISLZO,X,O,X,X,X,X,X,X
TJISLOZ,X,O,X,X,X,X,X,X
TJISZLO,X,O,X,X,X,X,X,X
TJISZOL,X,O,X,X,X,X,X,X
TJISOLZ,X,O,X,X,X,X,X,X
TJISOZL,X,O,X,X,X,X,X,X
TJIZLSO,X,X,X,O,X,X,X,X
TJIZLOS,X,X,X,O,X,X,O,X
TJIZSLO,X,O,X,O,X,X,X,X
TJIZSOL,X,O,X,O,X,X,O,X
TJIZOLS,X,X,X,O,X,X,O,X
TJIZOSL,X,O,X,O,X,X,O,X
TJIOLSZ,X,O,X,X,X,X,X,X
TJIOLZS,X,X,X,O,X,X,X,X
TJIOSLZ,X,O,X,X,X,X,X,X
TJIOSZL,X,O,X,X,X,X,X,X
TJIOZLS,X,X,X,O,X,X,O,X
TJIOZSL,X,O,X,O,X,X,O,X
TJLISZO,X,X,X,X,X,O,X,O
TJLISOZ,X,X,X,X,X,O,X,O
TJLIZSO,X,X,X,O,X,O,X,O
TJLIZOS,X,X,X,O,X,O,X,O
TJLIOSZ,X,X,X,X,X,O,X,O
TJLIOZS,X,X,X,O,X,O,X,O
TJLSIZO,X,X,X,X,X,O,X,O
TJLSIOZ,O,X,X,X,X,O,X,O
TJLSZIO,O,X,X,X,X,O,X,O
TJLSZOI,O,X,X,X,X,O,X,O
TJLSOIZ,O,X,X,X,X,O,X,O
TJLSOZI,O,X,X,X,X,O,X,O
TJLZISO,X,X,X,X,X,O,X,O
TJLZIOS,X,X,X,X,X,O,O,O
TJLZSIO,O,X,X,X,X,O,X,O
TJLZSOI,O,X,X,X,X,O,X,O
TJLZOIS,X,X,X,X,X,O,O,O
TJLZOSI,O,X,X,X,X,O,X,O
TJLOISZ,X,X,X,X,X,O,X,O
TJLOIZS,X,X,X,O,X,O,X,O
TJLOSIZ,O,X,X,X,X,O,X,O
TJLOSZI,O,X,X,X,X,O,X,O
TJLOZIS,X,X,X,X,X,O,O,O
TJLOZSI,O,X,X,X,X,O,X,O
TJSILZO,X,O,X,X,X,X,X,X
TJSILOZ,O,O,X,X,X,X,X,X
TJSIZLO,X,O,X,X,X,X,X,X
TJSIZOL,X,O,X,X,X,X,X,X
TJSIOLZ,O,O,X,X,X,X,X,X
TJSIOZL,X,O,X,X,X,X,X,X
TJSLIZO,X,X,X,X,X,O,X,X
TJSLIOZ,O,X,X,X,X,O,X,X
TJSLZIO,O,X,X,X,X,O,X,X
TJSLZOI,O,X,X,X,X,O,X,X
TJSLOIZ,O,X,X,X,X,O,X,X
TJSLOZI,O,X,X,X,X,O,X,X
TJSZILO,O,O,X,X,X,X,X,X
TJSZIOL,O,O,X,X,X,X,O,X
TJSZLIO,O,X,X,X,X,X,X,X
TJSZLOI,O,X,X,X,X,X,X,X
TJSZOIL,O,O,X,X,X,X,O,X
TJSZOLI,O,X,X,X,X,X,X,X
TJSOILZ,O,O,X,X,X,X,X,X
TJSOIZL,X,O,X,X,X,X,X,X
TJSOLIZ,O,X,X,X,X,O,X,X
TJSOLZI,O,X,X,X,X,O,X,X
TJSOZIL,O,O,X,X,X,X,O,X
TJSOZLI,O,X,X,X,X,X,X,X
TJZILSO,X,X,X,X,O,X,X,X
TJZILOS,X,X,X,X,O,X,O,X
TJZISLO,X,X,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,X,O,X
TJZIOLS,X,X,X,X,O,X,O,X
TJZIOSL,X,X,X,X,X,X,O,X
TJZLISO,X,X,X,X,O,X,X,X
TJZLIOS,X,X,X,X,O,X,O,X
TJZLSIO,O,X,X,X,O,X,X,X
TJZLSOI,O,X,X,X,O,X,X,X
TJZLOIS,X,X,X,X,O,X,O,X
TJZLOSI,O,X,X,X,O,X,X,X
TJZSILO,O,X,X,X,X,X,X,X
TJZSIOL,O,X,X,X,X,X,O,X
TJZSLIO,O,X,X,X,X,X,X,X
TJZSLOI,O,X,X,X,X,X,X,X
TJZSOIL,O,X,X,X,X,X,O,X
TJZSOLI,O,X,X,X,X,X,X,X
TJZOILS,X,X,X,X,O,X,O,X
TJZOISL,X,X,X,X,X,X,O,X
TJZOLIS,X,X,X,X,O,X,O,X
TJZOLSI,O,X,X,X,O,X,X,X
TJZOSIL,O,X,X,X,X,X,O,X
TJZOSLI,O,X,X,X,X,X,X,X
TJOILSZ,X,O,X,X,X,X,X,X
TJOILZS,X,X,X,O,X,X,X,X
TJOISLZ,X,O,X,X,X,X,X,X
TJOISZL,X,O,X,X,X,X,X,X
TJOIZLS,X,X,X,O,X,X,O,X
TJOIZSL,X,O,X,O,X,X,O,X
TJOLISZ,X,X,X,X,X,O,X,O
TJOLIZS,X,X,X,O,X,O,X,O
TJOLSIZ,O,X,X,X,X,O,X,O
TJOLSZI,O,X,X,X,X,O,X,O
TJOLZIS,X,X,X,X,X,O,O,O
TJOLZSI,O,X,X,X,X,O,X,O
TJOSILZ,O,O,X,X,X,X,X,X
TJOSIZL,X,O,X,X,X,X,X,X
TJOSLIZ,O,X,X,X,X,O,X,X
TJOSLZI,O,X,X,X,X,O,X,X
TJOSZIL,O,O,X,X,X,X,O,X
TJOSZLI,O,X,X,X,X,X,X,X
TJOZILS,X,X,X,X,O,X,O,X
TJOZISL,X,X,X,X,X,X,O,X
TJOZLIS,X,X,X,X,O,X,O,X
TJOZLSI,O,X,X,X,O,X,X,X
TJOZSIL,O,X,X,X,X,X,O,X
TJOZSLI,O,X,X,X,X,X,X,X
TSILJZO,X,O,X,X,X,X,X,X
TSILJOZ,O,O,X,X,X,X,X,X
TSILZJO,X,O,X,X,X,X,X,X
TSILZOJ,X,O,X,X,X,X,X,X
TSILOJZ,O,O,X,X,X,X,X,X
TSILOZJ,X,O,X,X,X,X,X,X
TSIJLZO,X,O,X,X,X,X,X,X
TSIJLOZ,O,O,X,X,X,X,X,X
TSIJZLO,X,O,X,X,X,X,X,X
TSIJZOL,X,O,X,X,X,X,X,X
TSIJOLZ,O,O,X,X,X,X,X,X
TSIJOZL,X,O,X,X,X,X,X,X
TSIZLJO,X,O,X,X,X,X,X,X
TSIZLOJ,X,O,X,X,X,X,X,X
TSIZJLO,X,O,X,X,X,X,X,X
TSIZJOL,X,O,X,X,X,X,X,X
TSIZOLJ,X,O,X,X,X,X,X,X
TSIZOJL,X,O,X,X,X,X,X,X
TSIOLJZ,O,O,X,X,X,X,X,X
TSIOLZJ,X,O,X,X,X,X,X,X
TSIOJLZ,O,O,X,X,X,X,X,X
TSIOJZL,X,O,X,X,X,X,X,X
TSIOZLJ,X,O,X,X,X,X,X,X
TSIOZJL,X,O,X,X,X,X,X,X
TSLIJZO,X,O,X,X,X,X,X,X
TSLIJOZ,O,O,X,X,X,X,X,X
TSLIZJO,X,O,X,X,X,X,X,X
TSLIZOJ,X,O,X,X,X,X,X,X
TSLIOJZ,O,O,X,X,X,X,X,X
TSLIOZJ,X,O,X,X,X,X,X,X
TSLJIZO,X,X,X,X,X,O,X,X
TSLJIOZ,O,X,X,X,X,O,X,X
TSLJZIO,O,X,X,X,X,O,X,X
TSLJZOI,O,X,X,X,X,O,X,X
TSLJOIZ,O,X,X,X,X,O,X,X
TSLJOZI,O,X,X,X,X,O,X,X
TSLZIJO,O,O,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X
TSLZJIO,O,X,X,X,X,X,X,X
TSLZJOI,O,X,X,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X
TSLZOJI,O,X,X,X,X,X,X,X
TSLOIJZ,O,O,X,X,X,X,X,X
TSLOIZJ,X,O,X,X,X,X,X,X
TSLOJIZ,O,X,X,X,X,O,X,X
TSLOJZI,O,X,X,X,X,O,X,X
TSLOZIJ,O,O,X,X,X,X,X,X
TSLOZJI,O,X,X,X,X,X,X,X
TSJILZO,X,O,X,X,X,X,X,X
TSJILOZ,O,O,X,X,X,X,X,X
TSJIZLO,X,O,X,X,X,X,X,X
TSJIZOL,X,O,X,X,X,X,X,X
TSJIOLZ,O,O,X,X,X,X,X,X
TSJIOZL,X,O,X,X,X,X,X,X
TSJLIZO,X,X,X,X,X,O,X,X
TSJLIOZ,O,X,X,X,X,O,X,X
TSJLZIO,O,X,X,X,X,O,X,X
TSJLZOI,O,X,X,X,X,O,X,X
TSJLOIZ,O,X,X,X,X,O,X,X
TSJLOZI,O,X,X,X,X,O,X,X
TSJZILO,O,O,X,X,X,X,X,X
TSJZIOL,O,O,X,X,X,X,O,X
TSJZLIO,O,X,X,X,X,X,X,X
TSJZLOI,O,X,X,X,X,X,X,X
TSJZOIL,O,O,X,X,X,X,O,X
TSJZOLI,O,X,X,X,X,X,X,X
TSJOILZ,O,O,X,X,X,X,X,X
TSJOIZL,X,O,X,X,X,X,X,X
TSJOLIZ,O,X,X,X,X,O,X,X
TSJOLZI,O,X,X,X,X,O,X,X
TSJOZIL,O,O,X,X,X,X,O,X
TSJOZLI,O,X,X,X,X,X,X,X
TSZILJO,O,O,X,X,X,X,X,X
TSZILOJ,O,O,X,X,X,X,X,X
TSZIJLO,O,O,X,X,X,X,X,X
TSZIJOL,O,O,X,X,X,X,O,X
TSZIOLJ,O,O,X,X,X,X,X,X
TSZIOJL,O,O,X,X,X,X,O,X
TSZLIJO,O,O,X,X,X,X,X,X
TSZLIOJ,O,O,X,X,X,X,X,X
TSZLJIO,O,X,X,X,X,X,X,X
TSZLJOI,O,X,X,X,X,X,X,X
TSZLOIJ,O,O,X,X,X,X,X,X
TSZLOJI,O,X,X,X,X,X,X,X
TSZJILO,O,O,X,X,X,X,X,X
TSZJIOL,O,O,X,X,X,X,O,X
TSZJLIO,O,X,X,X,X,X,X,X
TSZJLOI,O,X,X,X,X,X,X,X
TSZJOIL,O,O,X,X,X,X,O,X
TSZJOLI,O,X,X,X,X,X,X,X
TSZOILJ,O,O,X,X,X,X,X,X
TSZOIJL,O,O,X,X,X,X,O,X
TSZOLIJ,O,O,X,X,X,X,X,X
TSZOLJI,O,X,X,X,X,X,X,X
TSZOJIL,O,O,X,X,X,X,O,X
TSZOJLI,O,X,X,X,X,X,X,X
TSOILJZ,O,O,X,X,X,X,X,X
TSOILZJ,X,O,X,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,X,X,X
TSOIJZL,X,O,X,X,X,X,X,X
TSOIZLJ,X,O,X,X,X,X,X,X
TSOIZJL,X,O,X,X,X,X,X,X
TSOLIJZ,O,O,X,X,X,X,X,X
TSOLIZJ,X,O,X,X,X,X,X,X
TSOLJIZ,O,X,X,X,X,O,X,X
TSOLJZI,O,X,X,X,X,O,X,X
TSOLZIJ,O,O,X,X,X,X,X,X
TSOLZJI,O,X,X,X,X,X,X,X
TSOJILZ,O,O,X,X,X,X,X,X
TSOJIZL,X,O,X,X,X,X,X,X
TSOJLIZ,O,X,X,X,X,O,X,X
TSOJLZI,O,X,X,X,X,O,X,X
TSOJZIL,O,O,X,X,X,X,O,X
TSOJZLI,O,X,X,X,X,X,X,X
TSOZILJ,O,O,X,X,X,X,X,X
TSOZIJL,O,O,X,X,X,X,O,X
TSOZLIJ,O,O,X,X,X,X,X,X
TSOZLJI,O,X,X,X,X,X,X,X
TSOZJIL,O,O,X,X,X,X,O,X
TSOZJLI,O,X,X,X,X,X,X,X
TZILJSO,X,X,O,X,O,X,X,X
TZILJOS,X,X,O,X,O,X,O,X
TZILSJO,X,X,O,X,X,X,X,X
TZILSOJ,X,X,O,X,X,X,X,X
TZILOJS,X,X,O,X,O,X,O,X
TZILOSJ,X,X,O,X,X,X,X,X
TZIJLSO,X,X,X,X,O,X,X,X
TZIJLOS,X,X,X,X,O,X,O,X
TZIJSLO,X,O,X,X,X,X,X,X
TZIJSOL,X,O,X,X,X,X,O,X
TZIJOLS,X,X,X,X,O,X,O,X
TZIJOSL,X,O,X,X,X,X,O,X
TZISLJO,X,O,O,X,X,X,X,X
TZISLOJ,X,O,O,X,X,X,X,X
TZISJLO,X,O,X,X,X,X,X,X
TZISJOL,X,O,X,X,X,X,O,X
TZISOLJ,X,O,O,X,X,X,X,X
TZISOJL,X,O,X,X,X,X,O,X
TZIOLJS,X,X,O,X,O,X,O,X
TZIOLSJ,X,X,O,X,X,X,X,X
TZIOJLS,X,X,X,X,O,X,O,X
TZIOJSL,X,O,X,X,X,X,O,X
TZIOSLJ,X,O,O,X,X,X,X,X
TZIOSJL,X,O,X,X,X,X,O,X
TZLIJSO,X,X,O,X,O,X,X,X
TZLIJOS,X,X,O,X,O,X,O,X
TZLISJO,X,X,O,X,X,X,X,X
TZLISOJ,X,X,O,X,X,X,X,X
TZLIOJS,X,X,O,X,O,X,O,X
TZLIOSJ,X,X,O,X,X,X,X,X
TZLJISO,X,X,O,X,O,X,X,X
TZLJIOS,X,X,O,X,O,X,O,X
TZLJSIO,O,X,X,X,O,X,X,X
TZLJSOI,O,X,X,X,O,X,X,X
TZLJOIS,X,X,O,X,O,X,O,X
TZLJOSI,O,X,X,X,O,X,X,X
TZLSIJO,O,X,X,X,X,X,X,X
TZLSIOJ,O,X,X,X,X,X,X,X
TZLSJIO,O,X,X,X,X,X,X,X
TZLSJOI,O,X,X,X,X,X,X,X
TZLSOIJ,O,X,X,X,X,X,X,X
TZLSOJI,O,X,X,X,X,X,X,X
TZLOIJS,X,X,O,X,O,X,O,X
TZLOISJ,X,X,O,X,X,X,X,X
TZLOJIS,X,X,O,X,O,X,O,X
TZLOJSI,O,X,X,X,O,X,X,X
TZLOSIJ,O,X,X,X,X,X,X,X
TZLOSJI,O,X,X,X,X,X,X,X
TZJILSO,X,X,X,X,O,X,X,X
TZJILOS,X,X,X,X,O,X,O,X
TZJISLO,X,X,X,X,X,X,X,X
TZJISOL,X,X,X,X,X,X,O,X
TZJIOLS,X,X,X,X,O,X,O,X
TZJIOSL,X,X,X,X,X,X,O,X
TZJLISO,X,X,X,X,O,X,X,X
TZJLIOS,X,X,X,X,O,X,O,X
TZJLSIO,O,X,X,X,O,X,X,X
TZJLSOI,O,X,X,X,O,X,X,X
TZJLOIS,X,X,X,X,O,X,O,X
TZJLOSI,O,X,X,X,O,X,X,X
TZJSILO,O,X,X,X,X,X,X,X
TZJSIOL,O,X,X,X,X,X,O,X
TZJSLIO,O,X,X,X,X,X,X,X
TZJSLOI,O,X,X,X,X,X,X,X
TZJSOIL,O,X,X,X,X,X,O,X
TZJSOLI,O,X,X,X,X,X,X,X
TZJOILS,X,X,X,X,O,X,O,X
