sequence,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlBcnBTjB+?rBimB3sB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlB3iBcoB+?rBimBTsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFqlBThBGjB8?sB3rBNsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhF3hBTjBWrBi?sB9sBUrB
TLSZOJI,O,X,X,X
TLSOIJZ,O,X,X,X
TLSOIZJ,O,X,O,X
TLSOJIZ,O,X,X,X
TLSOJZI,O,X,X,X
TLSOZIJ,O,X,O,X
TLSOZJI,O,X,X,X
TLZIJSO,X,O,O,X
TLZIJOS,X,O,X,X
TLZISJO,X,O,O,X
TLZISOJ,X,X,O,X
TLZIOJS,X,O,X,X
TLZIOSJ,X,O,X,X
TLZJISO,X,O,O,X
TLZJIOS,X,O,X,X
TLZJSIO,X,O,O,X
TLZJSOI,X,X,X,X
TLZJOIS,X,O,X,X
TLZJOSI,X,O,X,X
TLZSIJO,X,O,O,X
TLZSIOJ,X,X,O,X
TLZSJIO,X,O,O,X
TLZSJOI,X,X,X,X
TLZSOIJ,X,X,O,X
TLZSOJI,X,X,X,X
TLZOIJS,X,O,X,X
TLZOISJ,X,O,X,X
TLZOJIS,X,O,X,X
TLZOJSI,X,O,X,X
TLZOSIJ,X,O,X,X
TLZOSJI,X,O,X,X
TLOIJSZ,O,X,X,O
TLOIJZS,X,O,X,O
TLOISJZ,O,X,X,X
TLOISZJ,O,X,O,X
TLOIZJS,X,O,X,X
TLOIZSJ,X,O,X,X
TLOJISZ,O,X,X,O
TLOJIZS,X,O,X,O
TLOJSIZ,O,X,X,X
TLOJSZI,O,X,X,X
TLOJZIS,X,O,X,X
TLOJZSI,X,O,X,X
TLOSIJZ,O,X,X,X
TLOSIZJ,O,X,O,X
TLOSJIZ,O,X,X,X
TLOSJZI,O,X,X,X
TLOSZIJ,O,X,O,X
TLOSZJI,O,X,X,X
TLOZIJS,X,O,X,X
TLOZISJ,X,O,X,X
TLOZJIS,X,O,X,X
TLOZJSI,X,O,X,X
TLOZSIJ,X,O,X,X
TLOZSJI,X,O,X,X
TJILSZO,O,X,X,O
TJILSOZ,O,X,X,O
TJILZSO,X,O,O,O
TJILZOS,X,O,X,O
TJILOSZ,O,X,X,O
TJILOZS,X,O,X,O
TJISLZO,O,X,X,O
TJISLOZ,O,X,X,O
TJISZLO,O,O,X,X
TJISZOL,O,O,X,X
TJISOLZ,O,X,X,X
TJISOZL,O,O,X,X
TJIZLSO,X,O,O,X
TJIZLOS,X,O,X,X
TJIZSLO,O,O,O,X
TJIZSOL,O,O,X,X
TJIZOLS,X,O,X,X
TJIZOSL,O,O,X,X
TJIOLSZ,O,X,X,O
TJIOLZS,X,O,X,O
TJIOSLZ,O,X,X,X
TJIOSZL,O,O,X,X
TJIOZLS,X,O,X,X
TJIOZSL,O,O,X,X
TJLISZO,O,X,X,O
TJLISOZ,O,X,X,O
TJLIZSO,X,O,O,O
TJLIZOS,X,O,X,O
TJLIOSZ,O,X,X,O
TJLIOZS,X,O,X,O
TJLSIZO,O,X,X,O
TJLSIOZ,O,X,X,O
TJLSZIO,O,X,X,X
TJLSZOI,O,X,X,X
TJLSOIZ,O,X,X,X
TJLSOZI,O,X,X,X
TJLZISO,X,O,O,X
TJLZIOS,X,O,X,X
TJLZSIO,X,O,O,X
TJLZSOI,X,X,X,X
TJLZOIS,X,O,X,X
TJLZOSI,X,O,X,X
TJLOISZ,O,X,X,O
TJLOIZS,X,O,X,O
TJLOSIZ,O,X,X,X
TJLOSZI,O,X,X,X
TJLOZIS,X,O,X,X
TJLOZSI,X,O,X,X
TJSILZO,O,X,X,O
TJSILOZ,O,X,X,O
TJSIZLO,O,O,X,X
TJSIZOL,O,O,X,X
TJSIOLZ,O,X,X,X
