sequence,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlBcnBTjB+?rBimB3sB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFtlB3iBcoB+?rBimBTsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhFqlBThBGjB8?sB3rBNsB,v115@+gB8HeB8HeB8FeA8AeC8DeB8JeZEJvhF3hBTjBWrBi?sB9sBUrB
ITSZLJO,O,O,O,X
ITSZLOJ,O,X,O,X
ITSZJLO,O,O,O,X
ITSZJOL,O,O,X,X
ITSZOLJ,O,O,X,X
ITSZOJL,O,O,X,X
ITSOLJZ,O,X,X,X
ITSOLZJ,O,X,X,X
ITSOJLZ,O,X,X,X
ITSOJZL,O,O,X,X
ITSOZLJ,O,O,X,X
ITSOZJL,O,O,X,X
ITZLJSO,X,O,O,X
ITZLJOS,X,O,X,X
ITZLSJO,X,O,O,X
ITZLSOJ,X,X,O,X
ITZLOJS,X,O,X,X
ITZLOSJ,X,O,X,X
ITZJLSO,X,O,O,X
ITZJLOS,X,O,X,X
ITZJSLO,O,O,O,X
ITZJSOL,O,O,X,X
ITZJOLS,X,O,X,X
ITZJOSL,O,O,X,X
ITZSLJO,O,O,O,X
ITZSLOJ,O,X,O,X
ITZSJLO,O,O,O,X
ITZSJOL,O,O,X,X
ITZSOLJ,O,O,X,X
ITZSOJL,O,O,X,X
ITZOLJS,X,O,X,X
ITZOLSJ,X,O,X,X
ITZOJLS,X,O,X,X
ITZOJSL,O,O,X,X
ITZOSLJ,O,O,X,X
ITZOSJL,O,O,X,X
ITOLJSZ,O,X,X,O
ITOLJZS,X,O,X,O
ITOLSJZ,O,X,X,X
ITOLSZJ,O,X,X,X
ITOLZJS,X,O,X,X
ITOLZSJ,X,O,X,X
ITOJLSZ,O,X,X,O
ITOJLZS,X,O,X,O
ITOJSLZ,O,X,X,X
ITOJSZL,O,O,X,X
ITOJZLS,X,O,X,X
ITOJZSL,O,O,X,X
ITOSLJZ,O,X,X,X
ITOSLZJ,O,X,X,X
ITOSJLZ,O,X,X,X
ITOSJZL,O,O,X,X
ITOSZLJ,O,O,X,X
ITOSZJL,O,O,X,X
ITOZLJS,X,O,X,X
ITOZLSJ,X,O,X,X
ITOZJLS,X,O,X,X
ITOZJSL,O,O,X,X
ITOZSLJ,O,O,X,X
ITOZSJL,O,O,X,X
ILTJSZO,O,X,X,O
ILTJSOZ,O,X,X,O
ILTJZSO,X,O,O,O
ILTJZOS,X,O,X,O
ILTJOSZ,O,X,X,O
ILTJOZS,X,O,X,O
ILTSJZO,O,X,X,X
ILTSJOZ,O,X,X,X
ILTSZJO,O,X,O,X
ILTSZOJ,O,X,O,X
ILTSOJZ,O,X,X,X
ILTSOZJ,O,X,O,X
ILTZJSO,X,O,O,X
ILTZJOS,X,O,X,X
ILTZSJO,X,O,O,X
ILTZSOJ,X,X,O,X
ILTZOJS,X,O,X,X
ILTZOSJ,X,O,X,X
ILTOJSZ,O,X,X,O
ILTOJZS,X,O,X,O
ILTOSJZ,O,X,X,X
ILTOSZJ,O,X,O,X
ILTOZJS,X,O,X,X
ILTOZSJ,X,O,X,X
ILJTSZO,O,X,X,O
ILJTSOZ,O,X,X,O
ILJTZSO,X,O,O,O
ILJTZOS,X,O,X,O
ILJTOSZ,O,X,X,O
ILJTOZS,X,O,X,O
ILJSTZO,O,X,X,O
ILJSTOZ,O,X,X,O
ILJSZTO,O,X,O,O
ILJSZOT,O,X,O,X
ILJSOTZ,O,X,X,O
ILJSOZT,O,X,O,X
ILJZTSO,X,O,O,O
ILJZTOS,X,O,X,O
ILJZSTO,X,O,O,X
ILJZSOT,X,X,O,X
ILJZOTS,X,O,X,O
ILJZOST,X,O,O,X
ILJOTSZ,O,X,X,O
ILJOTZS,X,O,X,O
ILJOSTZ,O,X,X,O
ILJOSZT,O,X,O,X
ILJOZTS,X,O,X,O
ILJOZST,X,O,O,X
ILSTJZO,O,X,X,X
ILSTJOZ,O,X,X,X
ILSTZJO,O,X,O,X
ILSTZOJ,O,X,O,X
ILSTOJZ,O,X,X,X
ILSTOZJ,O,X,O,X
ILSJTZO,O,X,X,O
ILSJTOZ,O,X,X,O
ILSJZTO,O,X,O,X
ILSJZOT,O,X,O,X
ILSJOTZ,O,X,X,O
ILSJOZT,O,X,O,X
ILSZTJO,O,X,O,X
ILSZTOJ,O,X,O,X
ILSZJTO,O,X,O,X
ILSZJOT,O,X,O,X
ILSZOTJ,O,X,O,X
ILSZOJT,O,X,O,X
ILSOTJZ,O,X,X,X
ILSOTZJ,O,X,O,X
ILSOJTZ,O,X,X,O
ILSOJZT,O,X,O,X
ILSOZTJ,O,X,O,X
ILSOZJT,O,X,O,X
ILZTJSO,X,O,O,X
ILZTJOS,X,O,X,X
ILZTSJO,X,O,O,X
ILZTSOJ,X,X,O,X
ILZTOJS,X,O,X,X
ILZTOSJ,X,O,X,X
ILZJTSO,X,O,O,O
ILZJTOS,X,O,X,O
ILZJSTO,X,O,O,X
ILZJSOT,X,X,O,X
ILZJOTS,X,O,X,O
ILZJOST,X,O,O,X
ILZSTJO,X,O,O,X
ILZSTOJ,X,X,O,X
ILZSJTO,X,O,O,X
ILZSJOT,X,X,O,X
ILZSOTJ,X,O,O,X
ILZSOJT,X,O,O,X
ILZOTJS,X,O,X,X
ILZOTSJ,X,O,X,X
ILZOJTS,X,O,X,O
ILZOJST,X,O,O,X
ILZOSTJ,X,O,O,X
ILZOSJT,X,O,O,X
ILOTJSZ,O,X,X,O
ILOTJZS,X,O,X,O
ILOTSJZ,O,X,X,X
ILOTSZJ,O,X,O,X
ILOTZJS,X,O,X,X
ILOTZSJ,X,O,X,X
ILOJTSZ,O,X,X,O
ILOJTZS,X,O,X,O
ILOJSTZ,O,X,X,O
ILOJSZT,O,X,O,X
ILOJZTS,X,O,X,O
ILOJZST,X,O,O,X
ILOSTJZ,O,X,X,X
ILOSTZJ,O,X,O,X
ILOSJTZ,O,X,X,O
ILOSJZT,O,X,O,X
ILOSZTJ,O,X,O,X
ILOSZJT,O,X,O,X
ILOZTJS,X,O,X,X
ILOZTSJ,X,O,X,X
ILOZJTS,X,O,X,O
ILOZJST,X,O,O,X
ILOZSTJ,X,O,O,X
ILOZSJT,X,O,O,X
IJTLSZO,O,X,X,O
IJTLSOZ,O,X,X,O
IJTLZSO,X,O,O,O
IJTLZOS,X,O,X,O
IJTLOSZ,O,X,X,O
IJTLOZS,X,O,X,O
IJTSLZO,O,X,X,O
IJTSLOZ,O,X,X,O
IJTSZLO,O,O,X,X
IJTSZOL,O,O,X,X
IJTSOLZ,O,X,X,X
IJTSOZL,O,O,X,X
IJTZLSO,X,O,O,X
IJTZLOS,X,O,X,X
IJTZSLO,O,O,O,X
IJTZSOL,O,O,X,X
IJTZOLS,X,O,X,X
IJTZOSL,O,O,X,X
IJTOLSZ,O,X,X,O
IJTOLZS,X,O,X,O
IJTOSLZ,O,X,X,X
IJTOSZL,O,O,X,X
IJTOZLS,X,O,X,X
IJTOZSL,O,O,X,X
IJLTSZO,O,X,X,O
IJLTSOZ,O,X,X,O
IJLTZSO,X,O,O,O
IJLTZOS,X,O,X,O
IJLTOSZ,O,X,X,O
IJLTOZS,X,O,X,O
IJLSTZO,O,X,X,O
IJLSTOZ,O,X,X,O
IJLSZTO,O,X,O,O
IJLSZOT,O,X,O,X
IJLSOTZ,O,X,X,O
IJLSOZT,O,X,O,X
IJLZTSO,X,O,O,O
IJLZTOS,X,O,X,O
IJLZSTO,X,O,O,X
IJLZSOT,X,X,O,X
IJLZOTS,X,O,X,O
IJLZOST,X,O,O,X
IJLOTSZ,O,X,X,O
IJLOTZS,X,O,X,O
IJLOSTZ,O,X,X,O
IJLOSZT,O,X,O,X
IJLOZTS,X,O,X,O
IJLOZST,X,O,O,X
IJSTLZO,O,X,X,O
IJSTLOZ,O,X,X,O
IJSTZLO,O,O,X,X
IJSTZOL,O,O,X,X
IJSTOLZ,O,X,X,X
IJSTOZL,O,O,X,X
IJSLTZO,O,X,X,O
IJSLTOZ,O,X,X,O
IJSLZTO,O,X,O,O
IJSLZOT,O,X,O,X
IJSLOTZ,O,X,X,O
IJSLOZT,O,X,O,X
IJSZTLO,O,O,O,X
IJSZTOL,O,O,X,X
IJSZLTO,O,O,O,O
IJSZLOT,O,X,O,X
IJSZOTL,O,O,X,X
IJSZOLT,O,O,O,X
IJSOTLZ,O,X,X,X
IJSOTZL,O,O,X,X
IJSOLTZ,O,X,X,O
IJSOLZT,O,X,X,X
IJSOZTL,O,O,X,X
IJSOZLT,O,O,X,X
IJZTLSO,X,O,O,X
IJZTLOS,X,O,X,X
IJZTSLO,O,O,O,X
IJZTSOL,O,O,X,X
IJZTOLS,X,O,X,X
IJZTOSL,O,O,X,X
IJZLTSO,X,O,O,O
IJZLTOS,X,O,X,O
IJZLSTO,X,O,O,X
IJZLSOT,X,X,O,X
IJZLOTS,X,O,X,O
IJZLOST,X,O,O,X
IJZSTLO,O,O,O,X
IJZSTOL,O,O,X,X
IJZSLTO,O,O,O,O
IJZSLOT,O,X,O,X
IJZSOTL,O,O,X,X
IJZSOLT,O,O,O,X
IJZOTLS,X,O,X,X
IJZOTSL,O,O,X,X
IJZOLTS,X,O,X,O
IJZOLST,X,O,O,X
IJZOSTL,O,O,X,X
IJZOSLT,O,O,O,X
IJOTLSZ,O,X,X,O
IJOTLZS,X,O,X,O
IJOTSLZ,O,X,X,X
IJOTSZL,O,O,X,X
IJOTZLS,X,O,X,X
IJOTZSL,O,O,X,X
IJOLTSZ,O,X,X,O
IJOLTZS,X,O,X,O
IJOLSTZ,O,X,X,O
IJOLSZT,O,X,X,X
IJOLZTS,X,O,X,O
IJOLZST,X,O,O,X
IJOSTLZ,O,X,X,X
IJOSTZL,O,O,X,X
IJOSLTZ,O,X,X,O
IJOSLZT,O,X,X,X
IJOSZTL,O,O,X,X
IJOSZLT,O,O,X,X
IJOZTLS,X,O,X,X
IJOZTSL,O,O,X,X
IJOZLTS,X,O,X,O
IJOZLST,X,O,O,X
IJOZSTL,O,O,X,X
IJOZSLT,O,O,O,X
ISTLJZO,O,X,X,X
ISTLJOZ,O,X,X,X
ISTLZJO,O,X,O,X
ISTLZOJ,O,X,O,X
ISTLOJZ,O,X,X,X
ISTLOZJ,O,X,O,X
ISTJLZO,O,X,X,X
ISTJLOZ,O,X,X,X
ISTJZLO,O,O,X,X
ISTJZOL,O,O,X,X
ISTJOLZ,O,X,X,X
ISTJOZL,O,O,X,X
ISTZLJO,O,O,O,X
ISTZLOJ,O,X,O,X
ISTZJLO,O,O,O,X
ISTZJOL,O,O,X,X
ISTZOLJ,O,O,X,X
ISTZOJL,O,O,X,X
ISTOLJZ,O,X,X,X
ISTOLZJ,O,X,X,X
ISTOJLZ,O,X,X,X
ISTOJZL,O,O,X,X
ISTOZLJ,O,O,X,X
ISTOZJL,O,O,X,X
ISLTJZO,O,X,X,X
ISLTJOZ,O,X,X,X
ISLTZJO,O,X,O,X
ISLTZOJ,O,X,O,X
ISLTOJZ,O,X,X,X
ISLTOZJ,O,X,O,X
ISLJTZO,O,X,X,O
ISLJTOZ,O,X,X,O
ISLJZTO,O,X,O,X
ISLJZOT,O,X,O,X
ISLJOTZ,O,X,X,O
ISLJOZT,O,X,O,X
ISLZTJO,O,X,O,X
ISLZTOJ,O,X,O,X
ISLZJTO,O,X,O,X
ISLZJOT,O,X,O,X
ISLZOTJ,O,X,O,X
ISLZOJT,O,X,O,X
ISLOTJZ,O,X,X,X
ISLOTZJ,O,X,O,X
ISLOJTZ,O,X,X,O
ISLOJZT,O,X,O,X
ISLOZTJ,O,X,O,X
ISLOZJT,O,X,O,X
ISJTLZO,O,X,X,O
ISJTLOZ,O,X,X,O
ISJTZLO,O,O,X,X
ISJTZOL,O,O,X,X
ISJTOLZ,O,X,X,X
ISJTOZL,O,O,X,X
ISJLTZO,O,X,X,O
ISJLTOZ,O,X,X,O
ISJLZTO,O,X,O,O
ISJLZOT,O,X,O,X
ISJLOTZ,O,X,X,O
ISJLOZT,O,X,O,X
ISJZTLO,O,O,O,X
ISJZTOL,O,O,X,X
ISJZLTO,O,O,O,O
ISJZLOT,O,X,O,X
ISJZOTL,O,O,X,X
ISJZOLT,O,O,O,X
ISJOTLZ,O,X,X,X
ISJOTZL,O,O,X,X
ISJOLTZ,O,X,X,O
ISJOLZT,O,X,X,X
ISJOZTL,O,O,X,X
ISJOZLT,O,O,X,X
ISZTLJO,O,O,O,X
ISZTLOJ,O,X,O,X
ISZTJLO,O,O,O,X
ISZTJOL,O,O,X,X
ISZTOLJ,O,O,X,X
ISZTOJL,O,O,X,X
ISZLTJO,O,O,O,X
ISZLTOJ,O,X,O,X
ISZLJTO,O,O,O,X
ISZLJOT,O,X,O,X
ISZLOTJ,O,O,O,X
ISZLOJT,O,O,O,X
ISZJTLO,O,O,O,X
ISZJTOL,O,O,X,X
ISZJLTO,O,O,O,X
ISZJLOT,O,X,O,X
ISZJOTL,O,O,X,X
ISZJOLT,O,O,O,X
ISZOTLJ,O,O,X,X
ISZOTJL,O,O,X,X
ISZOLTJ,O,O,O,X
ISZOLJT,O,O,O,X
ISZOJTL,O,O,X,X
ISZOJLT,O,O,O,X
ISOTLJZ,O,X,X,X
ISOTLZJ,O,X,X,X
ISOTJLZ,O,X,X,X
ISOTJZL,O,O,X,X
ISOTZLJ,O,O,X,X
ISOTZJL,O,O,X,X
ISOLTJZ,O,X,X,X
ISOLTZJ,O,X,O,X
ISOLJTZ,O,X,X,O
ISOLJZT,O,X,O,X
ISOLZTJ,O,X,O,X
ISOLZJT,O,X,O,X
ISOJTLZ,O,X,X,X
ISOJTZL,O,O,X,X
ISOJLTZ,O,X,X,O
ISOJLZT,O,X,X,X
ISOJZTL,O,O,X,X
ISOJZLT,O,O,X,X
ISOZTLJ,O,O,X,X
ISOZTJL,O,O,X,X
ISOZLTJ,O,O,O,X
ISOZLJT,O,O,O,X
ISOZJTL,O,O,X,X
ISOZJLT,O,O,O,X
IZTLJSO,X,O,O,X
IZTLJOS,X,O,X,X
IZTLSJO,X,O,O,X
IZTLSOJ,X,X,O,X
IZTLOJS,X,O,X,X
IZTLOSJ,X,O,X,X
IZTJLSO,X,O,O,X
IZTJLOS,X,O,X,X
IZTJSLO,O,O,O,X
IZTJSOL,O,O,X,X
IZTJOLS,X,O,X,X
IZTJOSL,O,O,X,X
IZTSLJO,O,O,O,X
IZTSLOJ,O,X,O,X
IZTSJLO,O,O,O,X
IZTSJOL,O,O,X,X
IZTSOLJ,O,O,X,X
IZTSOJL,O,O,X,X
IZTOLJS,X,O,X,X
IZTOLSJ,X,O,X,X
IZTOJLS,X,O,X,X
IZTOJSL,O,O,X,X
IZTOSLJ,O,O,X,X
IZTOSJL,O,O,X,X
IZLTJSO,X,O,O,X
IZLTJOS,X,O,X,X
IZLTSJO,X,O,O,X
IZLTSOJ,X,X,O,X
IZLTOJS,X,O,X,X
IZLTOSJ,X,O,X,X
IZLJTSO,X,O,O,O
IZLJTOS,X,O,X,O
IZLJSTO,X,O,O,X
IZLJSOT,X,X,O,X
IZLJOTS,X,O,X,O
IZLJOST,X,O,O,X
IZLSTJO,X,O,O,X
IZLSTOJ,X,X,O,X
IZLSJTO,X,O,O,X
IZLSJOT,X,X,O,X
IZLSOTJ,X,O,O,X
IZLSOJT,X,O,O,X
IZLOTJS,X,O,X,X
IZLOTSJ,X,O,X,X
IZLOJTS,X,O,X,O
IZLOJST,X,O,O,X
IZLOSTJ,X,O,O,X
IZLOSJT,X,O,O,X
IZJTLSO,X,O,O,X
IZJTLOS,X,O,X,X
IZJTSLO,O,O,O,X
IZJTSOL,O,O,X,X
IZJTOLS,X,O,X,X
IZJTOSL,O,O,X,X
IZJLTSO,X,O,O,O
IZJLTOS,X,O,X,O
IZJLSTO,X,O,O,X
IZJLSOT,X,X,O,X
IZJLOTS,X,O,X,O
IZJLOST,X,O,O,X
IZJSTLO,O,O,O,X
IZJSTOL,O,O,X,X
IZJSLTO,O,O,O,O
IZJSLOT,O,X,O,X
IZJSOTL,O,O,X,X
IZJSOLT,O,O,O,X
IZJOTLS,X,O,X,X
IZJOTSL,O,O,X,X
IZJOLTS,X,O,X,O
IZJOLST,X,O,O,X
IZJOSTL,O,O,X,X
IZJOSLT,O,O,O,X
IZSTLJO,O,O,O,X
IZSTLOJ,O,X,O,X
IZSTJLO,O,O,O,X
IZSTJOL,O,O,X,X
IZSTOLJ,O,O,X,X
IZSTOJL,O,O,X,X
IZSLTJO,O,O,O,X
IZSLTOJ,O,X,O,X
IZSLJTO,O,O,O,X
IZSLJOT,O,X,O,X
IZSLOTJ,O,O,O,X
IZSLOJT,O,O,O,X
IZSJTLO,O,O,O,X
IZSJTOL,O,O,X,X
IZSJLTO,O,O,O,X
IZSJLOT,O,X,O,X
IZSJOTL,O,O,X,X
IZSJOLT,O,O,O,X
IZSOTLJ,O,O,X,X
IZSOTJL,O,O,X,X
IZSOLTJ,O,O,O,X
IZSOLJT,O,O,O,X
IZSOJTL,O,O,X,X
IZSOJLT,O,O,O,X
IZOTLJS,X,O,X,X
IZOTLSJ,X,O,X,X
IZOTJLS,X,O,X,X
IZOTJSL,O,O,X,X
IZOTSLJ,O,O,X,X
IZOTSJL,O,O,X,X
IZOLTJS,X,O,X,X
IZOLTSJ,X,O,X,X
IZOLJTS,X,O,X,O
IZOLJST,X,O,O,X
IZOLSTJ,X,O,O,X
IZOLSJT,X,O,O,X
IZOJTLS,X,O,X,X
IZOJTSL,O,O,X,X
IZOJLTS,X,O,X,O
IZOJLST,X,O,O,X
IZOJSTL,O,O,X,X
IZOJSLT,O,O,O,X
IZOSTLJ,O,O,X,X
IZOSTJL,O,O,X,X
IZOSLTJ,O,O,O,X
IZOSLJT,O,O,O,X
IZOSJTL,O,O,X,X
IZOSJLT,O,O,O,X
IOTLJSZ,O,X,X,O
IOTLJZS,X,O,X,O
IOTLSJZ,O,X,X,X
IOTLSZJ,O,X,X,X
IOTLZJS,X,O,X,X
IOTLZSJ,X,O,X,X
IOTJLSZ,O,X,X,O
IOTJLZS,X,O,X,O
IOTJSLZ,O,X,X,X
IOTJSZL,O,O,X,X
IOTJZLS,X,O,X,X
IOTJZSL,O,O,X,X
IOTSLJZ,O,X,X,X
IOTSLZJ,O,X,X,X
IOTSJLZ,O,X,X,X
IOTSJZL,O,O,X,X
IOTSZLJ,O,O,X,X
IOTSZJL,O,O,X,X
IOTZLJS,X,O,X,X
IOTZLSJ,X,O,X,X
IOTZJLS,X,O,X,X
IOTZJSL,O,O,X,X
IOTZSLJ,O,O,X,X
IOTZSJL,O,O,X,X
IOLTJSZ,O,X,X,O
IOLTJZS,X,O,X,O
IOLTSJZ,O,X,X,X
IOLTSZJ,O,X,O,X
IOLTZJS,X,O,X,X
IOLTZSJ,X,O,X,X
IOLJTSZ,O,X,X,O
IOLJTZS,X,O,X,O
IOLJSTZ,O,X,X,O
IOLJSZT,O,X,O,X
IOLJZTS,X,O,X,O
IOLJZST,X,O,O,X
IOLSTJZ,O,X,X,X
IOLSTZJ,O,X,O,X
IOLSJTZ,O,X,X,O
IOLSJZT,O,X,O,X
IOLSZTJ,O,X,O,X
IOLSZJT,O,X,O,X
IOLZTJS,X,O,X,X
IOLZTSJ,X,O,X,X
IOLZJTS,X,O,X,O
IOLZJST,X,O,O,X
IOLZSTJ,X,O,O,X
IOLZSJT,X,O,O,X
IOJTLSZ,O,X,X,O
IOJTLZS,X,O,X,O
IOJTSLZ,O,X,X,X
IOJTSZL,O,O,X,X
IOJTZLS,X,O,X,X
IOJTZSL,O,O,X,X
IOJLTSZ,O,X,X,O
IOJLTZS,X,O,X,O
IOJLSTZ,O,X,X,O
IOJLSZT,O,X,X,X
IOJLZTS,X,O,X,O
IOJLZST,X,O,O,X
IOJSTLZ,O,X,X,X
IOJSTZL,O,O,X,X
IOJSLTZ,O,X,X,O
IOJSLZT,O,X,X,X
IOJSZTL,O,O,X,X
IOJSZLT,O,O,X,X
IOJZTLS,X,O,X,X
IOJZTSL,O,O,X,X
IOJZLTS,X,O,X,O
IOJZLST,X,O,O,X
IOJZSTL,O,O,X,X
IOJZSLT,O,O,O,X
IOSTLJZ,O,X,X,X
IOSTLZJ,O,X,X,X
IOSTJLZ,O,X,X,X
IOSTJZL,O,O,X,X
IOSTZLJ,O,O,X,X
IOSTZJL,O,O,X,X
IOSLTJZ,O,X,X,X
IOSLTZJ,O,X,O,X
IOSLJTZ,O,X,X,O
IOSLJZT,O,X,O,X
IOSLZTJ,O,X,O,X
IOSLZJT,O,X,O,X
IOSJTLZ,O,X,X,X
IOSJTZL,O,O,X,X
IOSJLTZ,O,X,X,O
IOSJLZT,O,X,X,X
IOSJZTL,O,O,X,X
IOSJZLT,O,O,X,X
IOSZTLJ,O,O,X,X
IOSZTJL,O,O,X,X
IOSZLTJ,O,O,O,X
IOSZLJT,O,O,O,X
IOSZJTL,O,O,X,X
IOSZJLT,O,O,O,X
IOZTLJS,X,O,X,X
IOZTLSJ,X,O,X,X
IOZTJLS,X,O,X,X
IOZTJSL,O,O,X,X
IOZTSLJ,O,O,X,X
IOZTSJL,O,O,X,X
IOZLTJS,X,O,X,X
IOZLTSJ,X,O,X,X
IOZLJTS,X,O,X,O
IOZLJST,X,O,O,X
IOZLSTJ,X,O,O,X
IOZLSJT,X,O,O,X
IOZJTLS,X,O,X,X
IOZJTSL,O,O,X,X
IOZJLTS,X,O,X,O
IOZJLST,X,O,O,X
IOZJSTL,O,O,X,X
IOZJSLT,O,O,O,X
IOZSTLJ,O,O,X,X
IOZSTJL,O,O,X,X
IOZSLTJ,O,O,O,X
IOZSLJT,O,O,O,X
IOZSJTL,O,O,X,X
IOZSJLT,O,O,O,X
LTIJSZO,O,X,X,O
LTIJSOZ,O,X,X,O
LTIJZSO,X,O,O,O
LTIJZOS,X,O,X,O
LTIJOSZ,O,X,X,O
LTIJOZS,X,O,X,O
LTISJZO,O,X,X,X
LTISJOZ,O,X,X,X
LTISZJO,O,X,O,X
LTISZOJ,O,X,O,X
LTISOJZ,O,X,X,X
LTISOZJ,O,X,O,X
LTIZJSO,X,O,O,X
LTIZJOS,X,O,X,X
LTIZSJO,X,O,O,X
LTIZSOJ,X,X,O,X
LTIZOJS,X,O,X,X
LTIZOSJ,X,O,X,X
LTIOJSZ,O,X,X,O
LTIOJZS,X,O,X,O
LTIOSJZ,O,X,X,X
LTIOSZJ,O,X,O,X
LTIOZJS,X,O,X,X
LTIOZSJ,X,O,X,X
LTJISZO,O,X,X,O
LTJISOZ,O,X,X,O
LTJIZSO,X,O,O,O
LTJIZOS,X,O,X,O
LTJIOSZ,O,X,X,O
LTJIOZS,X,O,X,O
LTJSIZO,O,X,X,O
LTJSIOZ,O,X,X,O
LTJSZIO,O,X,X,X
LTJSZOI,O,X,X,X
LTJSOIZ,O,X,X,X
LTJSOZI,O,X,X,X
LTJZISO,X,O,O,X
LTJZIOS,X,O,X,X
LTJZSIO,X,O,O,X
LTJZSOI,X,X,X,X
LTJZOIS,X,O,X,X
LTJZOSI,X,O,X,X
LTJOISZ,O,X,X,O
LTJOIZS,X,O,X,O
LTJOSIZ,O,X,X,X
LTJOSZI,O,X,X,X
LTJOZIS,X,O,X,X
LTJOZSI,X,O,X,X
LTSIJZO,O,X,X,X
LTSIJOZ,O,X,X,X
LTSIZJO,O,X,O,X
LTSIZOJ,O,X,O,X
LTSIOJZ,O,X,X,X
LTSIOZJ,O,X,O,X
LTSJIZO,O,X,X,X
LTSJIOZ,O,X,X,X
LTSJZIO,O,X,X,X
LTSJZOI,O,X,X,X
LTSJOIZ,O,X,X,X
LTSJOZI,O,X,X,X
LTSZIJO,O,X,O,X
LTSZIOJ,O,X,O,X
LTSZJIO,O,X,O,X
LTSZJOI,O,X,X,X
LTSZOIJ,O,X,O,X
LTSZOJI,O,X,X,X
LTSOIJZ,O,X,X,X
LTSOIZJ,O,X,O,X
LTSOJIZ,O,X,X,X
LTSOJZI,O,X,X,X
LTSOZIJ,O,X,O,X
LTSOZJI,O,X,X,X
LTZIJSO,X,O,O,X
LTZIJOS,X,O,X,X
LTZISJO,X,O,O,X
LTZISOJ,X,X,O,X
LTZIOJS,X,O,X,X
LTZIOSJ,X,O,X,X
LTZJISO,X,O,O,X
LTZJIOS,X,O,X,X
LTZJSIO,X,O,O,X
LTZJSOI,X,X,X,X
LTZJOIS,X,O,X,X
LTZJOSI,X,O,X,X
LTZSIJO,X,O,O,X
LTZSIOJ,X,X,O,X
LTZSJIO,X,O,O,X
LTZSJOI,X,X,X,X
LTZSOIJ,X,X,O,X
LTZSOJI,X,X,X,X
LTZOIJS,X,O,X,X
LTZOISJ,X,O,X,X
LTZOJIS,X,O,X,X
LTZOJSI,X,O,X,X
LTZOSIJ,X,O,X,X
LTZOSJI,X,O,X,X
LTOIJSZ,O,X,X,O
LTOIJZS,X,O,X,O
LTOISJZ,O,X,X,X
LTOISZJ,O,X,O,X
LTOIZJS,X,O,X,X
LTOIZSJ,X,O,X,X
LTOJISZ,O,X,X,O
LTOJIZS,X,O,X,O
LTOJSIZ,O,X,X,X
LTOJSZI,O,X,X,X
LTOJZIS,X,O,X,X
LTOJZSI,X,O,X,X
LTOSIJZ,O,X,X,X
LTOSIZJ,O,X,O,X
LTOSJIZ,O,X,X,X
LTOSJZI,O,X,X,X
LTOSZIJ,O,X,O,X
LTOSZJI,O,X,X,X
LTOZIJS,X,O,X,X
LTOZISJ,X,O,X,X
LTOZJIS,X,O,X,X
LTOZJSI,X,O,X,X
LTOZSIJ,X,O,X,X
LTOZSJI,X,O,X,X
LITJSZO,O,X,X,O
LITJSOZ,O,X,X,O
LITJZSO,X,O,O,O
LITJZOS,X,O,X,O
LITJOSZ,O,X,X,O
LITJOZS,X,O,X,O
LITSJZO,O,X,X,X
LITSJOZ,O,X,X,X
LITSZJO,O,X,O,X
LITSZOJ,O,X,O,X
LITSOJZ,O,X,X,X
LITSOZJ,O,X,O,X
LITZJSO,X,O,O,X
LITZJOS,X,O,X,X
LITZSJO,X,O,O,X
LITZSOJ,X,X,O,X
LITZOJS,X,O,X,X
LITZOSJ,X,O,X,X
LITOJSZ,O,X,X,O
LITOJZS,X,O,X,O
LITOSJZ,O,X,X,X
LITOSZJ,O,X,O,X
LITOZJS,X,O,X,X
LITOZSJ,X,O,X,X
LIJTSZO,O,X,X,O
LIJTSOZ,O,X,X,O
LIJTZSO,X,O,O,O
LIJTZOS,X,O,X,O
LIJTOSZ,O,X,X,O
LIJTOZS,X,O,X,O
LIJSTZO,O,X,X,O
LIJSTOZ,O,X,X,O
LIJSZTO,O,X,O,O
LIJSZOT,O,X,O,X
LIJSOTZ,O,X,X,O
LIJSOZT,O,X,O,X
LIJZTSO,X,O,O,O
LIJZTOS,X,O,X,O
LIJZSTO,X,O,O,X
LIJZSOT,X,X,O,X
LIJZOTS,X,O,X,O
LIJZOST,X,O,O,X
LIJOTSZ,O,X,X,O
LIJOTZS,X,O,X,O
LIJOSTZ,O,X,X,O
LIJOSZT,O,X,O,X
LIJOZTS,X,O,X,O
LIJOZST,X,O,O,X
LISTJZO,O,X,X,X
LISTJOZ,O,X,X,X
LISTZJO,O,X,O,X
LISTZOJ,O,X,O,X
LISTOJZ,O,X,X,X
LISTOZJ,O,X,O,X
LISJTZO,O,X,X,O
LISJTOZ,O,X,X,O
LISJZTO,O,X,O,X
LISJZOT,O,X,O,X
LISJOTZ,O,X,X,O
LISJOZT,O,X,O,X
LISZTJO,O,X,O,X
LISZTOJ,O,X,O,X
LISZJTO,O,X,O,X
LISZJOT,O,X,O,X
LISZOTJ,O,X,O,X
LISZOJT,O,X,O,X
LISOTJZ,O,X,X,X
LISOTZJ,O,X,O,X
