sequence,v115@9gA8IeA8IeA8DeA8CeB8AeA8BeE8Je5EJvhFTgBOmB?dnBCjBXoB0qB,v115@9gA8IeA8IeA8DeA8CeB8AeA8BeE8Je5EJvhF0gBdnB?qnBTjB2qBXrB,v115@9gA8IeA8IeA8DeA8CeB8AeA8BeE8JeUAJvhFRhBCjB?tpBmmBXoBzqB,v115@9gA8IeA8IeA8DeA8CeB8AeA8BeE8Je5EJvhFTgBNmB?anBWoBXoB0qB,v115@9gA8IeA8IeA8DeA8CeB8AeA8BeE8Je5EJvhFNlBanB?unBcoBXmBzqB
TILJSZO,O,O,X,O,O
TILJSOZ,O,O,X,X,X
TILJZSO,O,O,X,O,O
TILJZOS,O,O,X,O,O
TILJOSZ,X,O,X,X,X
TILJOZS,X,O,X,O,X
TILSJZO,O,O,X,O,O
TILSJOZ,O,O,X,X,X
TILSZJO,O,X,X,O,O
TILSZOJ,O,X,X,O,O
TILSOJZ,O,O,X,X,X
TILSOZJ,O,X,X,X,O
TILZJSO,O,O,X,O,O
TILZJOS,O,O,X,O,O
TILZSJO,O,X,X,O,O
TILZSOJ,O,X,X,O,O
TILZOJS,O,O,X,O,O
TILZOSJ,O,X,X,O,O
TILOJSZ,X,O,X,X,X
TILOJZS,X,O,X,O,X
TILOSJZ,X,O,X,X,X
TILOSZJ,X,X,X,X,O
TILOZJS,X,O,X,O,O
TILOZSJ,X,X,X,O,O
TIJLSZO,O,O,O,O,O
TIJLSOZ,O,O,O,X,X
TIJLZSO,O,O,O,O,O
TIJLZOS,O,O,X,O,O
TIJLOSZ,X,O,X,X,X
TIJLOZS,X,O,X,O,X
TIJSLZO,O,O,O,O,O
TIJSLOZ,O,O,O,X,X
TIJSZLO,O,O,O,O,O
TIJSZOL,O,X,O,O,O
TIJSOLZ,O,X,O,X,X
TIJSOZL,O,X,O,X,X
TIJZLSO,O,O,O,O,O
TIJZLOS,O,O,X,O,O
TIJZSLO,O,O,O,O,O
TIJZSOL,O,X,O,O,O
TIJZOLS,O,O,X,O,O
TIJZOSL,O,X,O,O,O
TIJOLSZ,X,O,X,X,X
TIJOLZS,X,O,X,O,X
TIJOSLZ,O,X,O,X,X
TIJOSZL,O,X,O,X,X
TIJOZLS,O,O,X,O,X
TIJOZSL,O,X,O,O,X
TISLJZO,O,O,O,O,O
TISLJOZ,O,O,O,X,X
TISLZJO,O,X,O,O,O
TISLZOJ,O,X,O,O,O
TISLOJZ,O,O,O,X,X
TISLOZJ,O,X,O,X,O
TISJLZO,O,O,O,O,O
TISJLOZ,O,O,O,X,X
TISJZLO,O,O,O,O,O
TISJZOL,O,X,O,O,O
TISJOLZ,O,X,O,X,X
TISJOZL,O,X,O,X,X
TISZLJO,O,X,O,O,O
TISZLOJ,O,X,O,O,O
TISZJLO,O,X,O,O,O
TISZJOL,O,X,O,O,O
TISZOLJ,O,X,O,O,O
TISZOJL,O,X,X,O,O
TISOLJZ,O,X,O,X,X
TISOLZJ,O,X,O,X,O
