sequence,v115@DhD8IeA8HeE8EeB8JeOEJvhF8kB3lBRnBFmBSwBTsB,v115@DhD8IeA8HeE8EeB8Jei/IvhF3kBRmBusBFmB0qBzrB,v115@DhD8IeA8HeE8EeB8Jex/IvhF0hBTkBmqBCsBlqB3sB,v115@DhD8IeA8HeE8EeB8Jex/IvhFXhBTkB2qBlnBUsBSwB,v115@DhD8IeA8HeE8EeB8JeT/IvhFxgBypBXmBlnBUsBWwB,v115@DhD8IeA8HeE8EeB8JeKEJvhFflBxgBlnBzqBUsBGrB,v115@DhD8IeA8HeE8EeB8Je1GJvhFTkB6qB3nBmkBUmBxwB,v115@DhD8IeA8HeE8EeB8JeKEJvhFzfBRnBlqBGsBfrB0rB,v115@DhD8IeA8HeE8EeB8Jex/IvhFylB+mBTkB0qBXsBlsB,v115@DhD8IeA8HeE8EeB8Jem/IvhFChBTkB0qBxrBlrB3sB,v115@DhD8IeA8HeE8EeB8Je1FJvhF0hBTkB3nBmkBCrBxwB,v115@DhD8IeA8HeE8EeB8Jem/IvhFChBTkB3nBxqBVwBUsB,v115@DhD8IeA8HeE8EeB8JeTEJvhF0lBlmB3nBmkBCrBxwB,v115@DhD8IeA8HeE8EeB8Je0EJvhFllBRnBikBXrBTsBGrB,v115@DhD8IeA8HeE8EeB8Je3AJvhFqmBTkB8qBlnBmkBxwB,v115@DhD8IeA8HeE8EeB8Je3/IvhF1lBRnB2pB0mBzqBSxB,v115@DhD8IeA8HeE8EeB8JeOEJvhF0hBzkBVrB3nB6qBxwB,v115@DhD8IeA8HeE8EeB8JeOEJvhFxgBzkBVsBUrBCrB3sB,v115@DhD8IeA8HeE8EeB8JeyEJvhFRmB3nBTkBFmB0qBWxB,v115@DhD8IeA8HeE8EeB8JeOEJvhFThBClB3nBxqBVxB0qB,v115@DhD8IeA8HeE8EeB8JeOEJvhFXgBlnBRqBUsBCrBTrB
TILJSZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZJOS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZSJO,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZSOJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZOJS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZOSJ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TILOJZS,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOSZJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TILOZJS,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOZSJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
