sequence,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhFTiB6oB/qB8?sBmrBFrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhFOmBxiBfsBS?tB0qBlsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhFVnBilBXoBG?oBzqBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhFihB1rBxnBG?oB0qB3sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhF0iB6oBTlBX?rBlsBmrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhF8mBSoBlqBx?sBOrB3sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JelAJvhFziB+oB/qBx?rBirBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhF0iB6oBxqBl?sBmrBXrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeGDJvhFxlBXnBVtBi?lBzqBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhF8mBfoB6oBm?qBTsBlqB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeFBJvhFxiBSsBToBm?qB/qBUsB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeyGJvhFGjBUoBxqBT?sB/qBFrB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JexAJvhFXiB+oBilBz?qBFsB8sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeTAJvhFlhB2rBxnBS?tB0qB3sB,v115@9gB8HeB8HeB8HeC8BeA8BeB8JeFDJvhFxlBXnBStBT?lBerBUsB
TILJSZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILJZOS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILSZOJ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILZJOS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILZSOJ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TILZOJS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TILZOSJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILOZJS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TILOZSJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJLZOS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJSLZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJZLOS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
TIJOLZS,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TIJOSLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TISLJZO,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X
TISLZJO,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TISLZOJ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TISLOZJ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TISJLZO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISJZLO,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TISJZOL,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISJOZL,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISZLJO,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TISZLOJ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TISZJLO,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,O,X,O,O,X,O,X,X,X,X,X,X
TISZOLJ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TISZOJL,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TISOLJZ,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X
TISOLZJ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TISOJZL,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TISOZLJ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TISOZJL,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIZLJOS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TIZLOJS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIZJLOS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZSLJO,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIZSLOJ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TIZSJLO,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X
TIZSOJL,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X
TIZOLJS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIZOJLS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIZOSJL,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
TIOLJZS,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TIOLSJZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
TIOLSZJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIOLZJS,X,X,X,O,X,O,X,O,X,X,X,O,O,X,X
TIOLZSJ,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X
TIOJLZS,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TIOJSLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJSZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIOSJLZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSJZL,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TIOSZJL,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X
TIOZLJS,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
TIOZLSJ,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
TIOZJLS,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
TIOZJSL,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TIOZSLJ,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
TIOZSJL,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X
TLIJSZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLIJZOS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLISJZO,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O
TLISJOZ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,O
TLISZJO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,O
TLISZOJ,X,O,X,O,O,O,X,O,X,X,X,X,X,X,O
TLISOJZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O
TLISOZJ,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O
TLIZJSO,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
TLIZJOS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TLIZSJO,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TLIZSOJ,X,O,O,O,O,O,X,O,X,X,X,X,X,X,X
TLIZOJS,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
TLIZOSJ,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLIOZJS,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIZOS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSIZO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TLJSIOZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TLJSZIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJSOIZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TLJSOZI,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJZIOS,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
TLJOIZS,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLJOSIZ,X,X,X,X,X,X,X,X,O,X,O,X,O,X,X
TLJOSZI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLJOZSI,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLSIJZO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O
TLSIJOZ,X,X,O,X,X,X,X,O,O,X,X,X,X,X,O
TLSIZJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,O
TLSIZOJ,O,O,X,O,O,X,X,O,X,X,X,X,X,X,O
TLSIOJZ,X,X,O,X,O,X,X,O,X,X,X,X,X,X,O
