sequence,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeXCJvhF6oBRlBznBF?mB0qBWxB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeXCJvhF6oBFlB8qBz?nBGmBxwB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeCBJvhFxiBUlB+sBT?oBXrBlrB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeTCJvhF6oBFlBXmB8?sBGmBRwB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeRBJvhFGjBUlB3mBV?tBzqBSxB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeRBJvhFFjBUlBStBX?rBGrBTsB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeXCJvhFRlBCoBFmBT?oB0qBWxB,v115@9gC8GeA8IeB8DeA8CeC8EeB8Je3BJvhFFjBStBxqBG?qBTsBUrB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeRBJvhFTjBFlBGrBC?tBcsBXrB,v115@9gC8GeA8IeB8DeA8CeC8EeB8Je8GJvhFziB+oBRlB1?qBSxBXrB,v115@9gC8GeA8IeB8DeA8CeC8EeB8JeRBJvhF+oBUlBlnBT?rBCrB3sB,v115@9gC8GeA8IeB8DeA8CeC8EeB8Je1GJvhFXjBStBxqBG?qBUrBTsB
TILJSZO,X,X,X,O,X,X,X,X,O,X,X,O
TILJSOZ,X,X,X,X,X,X,X,O,O,X,X,O
TILJZSO,X,X,X,O,X,X,X,X,O,X,X,O
TILJZOS,X,X,X,O,X,X,X,O,O,O,X,X
TILJOSZ,X,X,X,X,X,X,X,O,O,X,X,O
TILJOZS,X,X,X,X,X,X,X,O,O,O,X,X
TILSJZO,X,X,X,O,X,X,X,X,X,X,X,O
TILSJOZ,X,X,X,X,X,X,X,O,X,X,X,O
TILSZJO,X,X,X,O,X,X,X,X,X,X,X,O
TILSZOJ,X,O,X,O,X,X,X,X,X,X,X,X
TILSOJZ,X,O,X,X,X,X,X,O,X,X,X,O
TILSOZJ,X,O,X,O,X,X,X,O,X,X,X,X
TILZJSO,X,X,X,O,X,X,X,X,X,X,X,O
TILZJOS,X,X,X,O,X,X,X,O,X,O,X,X
TILZSJO,X,X,X,O,X,X,X,X,X,X,X,O
TILZSOJ,X,O,X,O,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,O,X,X,X,O,X,X,X,X
TILZOSJ,X,O,X,O,X,X,X,O,X,X,X,X
TILOJSZ,X,O,X,X,X,X,X,O,O,X,X,O
TILOJZS,X,O,X,X,X,X,X,O,O,X,X,X
