sequence,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFCgBmiB?/qBFmB0nBTrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFzfBfmB?aoBGnB0qBlrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFzfBGhB?/nBaoBlqBUrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFflBlgB?cmBiiBznBWwB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFflB0gB?aoBGnBzqBlrB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFzfBmiB?0nBlqBfrB6rB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFflB6lB?ThBmiB0nBVwB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8JeZEJvhFThB/nB?aoBFlBUrBGqB,v115@GhA8IeA8AeA8CeB8BeA8AeB8CeD8Jex/IvhFynBOpB?/qBFmB0nBTrB
TILJSZO,X,X,O,X,X,X,X,X,X
TILJSOZ,X,X,O,X,O,X,X,X,X
TILJZSO,X,O,X,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,X,X,X
TILJOSZ,X,X,O,X,O,X,X,X,X
TILJOZS,X,O,X,X,X,X,X,X,X
TILSJZO,O,X,O,O,X,X,X,O,X
TILSJOZ,X,X,O,X,O,X,X,X,X
TILSZJO,O,X,O,O,X,X,X,O,X
TILSZOJ,O,X,O,O,X,X,X,O,X
TILSOJZ,X,X,O,X,O,X,X,X,X
TILSOZJ,O,X,O,X,X,X,X,O,X
TILZJSO,O,O,X,X,X,O,X,X,X
TILZJOS,X,O,X,X,X,O,X,X,X
TILZSJO,O,X,X,O,X,O,X,O,X
TILZSOJ,O,X,X,O,X,O,X,O,X
TILZOJS,X,O,X,X,X,O,X,X,X
TILZOSJ,X,X,X,X,X,O,X,O,X
TILOJSZ,X,X,O,X,O,X,X,X,X
TILOJZS,X,O,X,X,X,X,X,X,X
TILOSJZ,X,X,O,X,O,X,X,X,X
TILOSZJ,X,X,O,X,X,X,X,X,X
TILOZJS,X,O,X,X,X,O,X,X,X
TILOZSJ,X,X,X,X,X,O,X,X,X
TIJLSZO,X,X,O,X,X,X,X,X,X
TIJLSOZ,X,X,O,X,O,X,X,X,X
TIJLZSO,X,O,X,X,X,X,X,X,X
TIJLZOS,X,O,X,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,O,X,X,X,X
TIJLOZS,X,O,X,X,X,X,X,X,X
TIJSLZO,X,X,O,X,X,X,X,O,X
TIJSLOZ,X,X,O,X,O,X,X,X,X
TIJSZLO,X,X,O,X,X,X,X,O,X
TIJSZOL,X,X,O,X,X,X,X,O,X
TIJSOLZ,X,X,O,X,O,X,X,X,X
TIJSOZL,X,X,O,X,O,X,X,X,X
TIJZLSO,X,O,X,X,X,O,X,X,X
TIJZLOS,X,O,X,X,X,O,X,X,X
TIJZSLO,X,O,O,X,X,O,X,O,X
TIJZSOL,X,O,O,X,X,O,X,O,X
TIJZOLS,X,O,X,X,X,O,X,X,X
TIJZOSL,X,O,O,X,X,O,X,O,X
TIJOLSZ,X,X,O,X,O,X,X,X,X
TIJOLZS,X,O,X,X,X,X,X,X,X
TIJOSLZ,X,X,O,X,O,X,X,X,X
TIJOSZL,X,X,O,X,O,X,X,X,X
TIJOZLS,X,O,X,X,X,O,X,X,X
TIJOZSL,X,O,O,X,X,O,X,X,X
TISLJZO,O,X,O,O,X,X,O,O,X
TISLJOZ,X,X,O,X,O,X,O,X,X
TISLZJO,O,X,O,O,X,X,O,O,X
TISLZOJ,O,X,O,O,X,X,O,O,X
TISLOJZ,X,X,O,X,O,X,O,X,X
TISLOZJ,O,X,O,X,X,X,O,O,X
TISJLZO,O,X,O,O,X,X,O,O,X
TISJLOZ,X,X,O,X,O,X,O,X,X
TISJZLO,O,X,O,O,X,X,O,O,X
TISJZOL,O,X,O,O,X,X,O,O,X
TISJOLZ,X,X,O,O,O,X,O,X,X
TISJOZL,X,X,O,O,O,X,O,X,X
TISZLJO,O,X,O,O,X,O,O,O,X
TISZLOJ,O,X,O,O,X,O,O,O,X
TISZJLO,O,X,O,O,X,O,O,O,X
TISZJOL,O,X,O,O,X,O,O,O,X
TISZOLJ,O,X,O,O,X,O,O,O,X
TISZOJL,O,X,O,O,X,O,O,O,X
TISOLJZ,X,X,O,O,O,X,O,X,X
TISOLZJ,O,X,O,O,X,X,O,O,X
TISOJLZ,X,X,O,O,O,X,O,X,X
TISOJZL,X,X,O,O,O,X,O,X,X
TISOZLJ,O,X,O,O,X,O,O,O,X
TISOZJL,O,X,O,O,O,O,O,O,X
TIZLJSO,O,O,X,X,X,O,X,X,X
TIZLJOS,X,O,X,X,X,O,X,X,X
TIZLSJO,O,X,X,O,X,O,X,O,X
TIZLSOJ,O,X,X,O,X,O,X,O,X
TIZLOJS,X,O,X,X,X,O,X,X,X
TIZLOSJ,X,X,X,X,X,O,X,O,X
TIZJLSO,O,O,X,X,X,O,X,X,X
TIZJLOS,X,O,X,X,X,O,X,X,X
TIZJSLO,O,O,O,X,X,O,O,O,X
TIZJSOL,O,O,O,X,X,O,O,O,X
TIZJOLS,X,O,X,X,X,O,X,X,X
TIZJOSL,X,O,O,X,X,O,X,O,X
TIZSLJO,O,X,O,O,X,O,O,O,X
TIZSLOJ,O,X,O,O,X,O,O,O,X
TIZSJLO,O,O,O,O,X,O,O,O,X
TIZSJOL,O,O,O,O,X,O,O,O,X
TIZSOLJ,O,X,O,O,X,O,O,O,X
TIZSOJL,O,O,O,O,X,O,O,O,X
TIZOLJS,X,O,X,X,X,O,X,X,X
TIZOLSJ,X,X,X,O,X,O,X,O,X
TIZOJLS,X,O,X,X,X,O,X,X,X
TIZOJSL,X,O,O,X,X,O,X,O,X
TIZOSLJ,X,X,O,O,X,O,X,O,X
TIZOSJL,X,O,O,O,X,O,X,O,X
TIOLJSZ,X,X,O,X,O,X,X,X,X
TIOLJZS,X,O,X,X,X,X,X,X,X
TIOLSJZ,X,X,O,O,O,X,X,X,X
TIOLSZJ,X,X,O,O,X,X,X,X,X
TIOLZJS,X,O,X,X,X,O,X,X,X
TIOLZSJ,X,X,X,O,X,O,X,X,X
TIOJLSZ,X,X,O,X,O,X,X,X,X
TIOJLZS,X,O,X,X,X,X,X,X,X
TIOJSLZ,X,X,O,X,O,X,X,X,X
TIOJSZL,X,X,O,X,O,X,X,X,X
TIOJZLS,X,O,X,X,X,O,X,X,X
TIOJZSL,X,O,O,X,X,O,X,X,X
TIOSLJZ,X,X,O,O,O,X,X,X,X
TIOSLZJ,X,X,O,O,X,X,X,O,X
TIOSJLZ,X,X,O,O,O,X,X,X,X
TIOSJZL,X,X,O,O,O,X,X,X,X
TIOSZLJ,X,X,O,O,X,O,X,O,X
TIOSZJL,X,X,O,O,O,O,X,O,X
TIOZLJS,X,O,X,X,X,O,X,X,X
TIOZLSJ,X,X,X,O,X,O,X,O,X
TIOZJLS,X,O,X,X,X,O,X,X,X
TIOZJSL,X,O,O,X,X,O,X,O,X
TIOZSLJ,X,X,O,O,X,O,X,O,X
TIOZSJL,X,O,O,O,X,O,X,O,X
TLIJSZO,X,X,O,X,X,X,X,X,X
TLIJSOZ,X,X,O,X,O,X,X,X,X
TLIJZSO,X,O,X,X,X,X,X,X,X
TLIJZOS,X,O,X,X,X,X,X,X,X
TLIJOSZ,X,X,O,X,O,X,X,X,X
TLIJOZS,X,O,X,X,X,X,X,X,X
TLISJZO,O,X,O,O,X,X,X,O,X
TLISJOZ,X,X,O,X,O,X,X,X,X
TLISZJO,O,X,O,O,X,X,X,O,X
TLISZOJ,O,X,O,O,X,X,X,O,X
TLISOJZ,X,X,O,X,O,X,X,X,X
TLISOZJ,O,X,O,X,X,X,X,O,X
TLIZJSO,O,O,X,X,X,O,X,X,X
TLIZJOS,X,O,X,X,X,O,X,X,X
TLIZSJO,O,X,X,O,X,O,X,O,X
TLIZSOJ,O,X,X,O,X,O,X,O,X
TLIZOJS,X,O,X,X,X,O,X,X,X
TLIZOSJ,X,X,X,X,X,O,X,O,X
TLIOJSZ,X,X,O,X,O,X,X,X,X
TLIOJZS,X,O,X,X,X,X,X,X,X
TLIOSJZ,X,X,O,X,O,X,X,X,X
TLIOSZJ,X,X,O,X,X,X,X,X,X
TLIOZJS,X,O,X,X,X,O,X,X,X
TLIOZSJ,X,X,X,X,X,O,X,X,X
TLJISZO,X,X,O,X,X,X,X,X,O
TLJISOZ,X,X,O,X,O,X,X,X,O
TLJIZSO,X,O,X,X,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X,X,X,X
TLJIOSZ,X,X,O,X,O,X,X,X,X
TLJIOZS,X,O,X,X,X,X,X,X,X
TLJSIZO,X,X,O,X,X,X,X,X,O
TLJSIOZ,X,X,O,X,O,X,X,X,O
TLJSZIO,X,X,O,X,X,X,X,X,O
TLJSZOI,X,X,O,X,X,X,X,X,O
TLJSOIZ,X,X,O,X,O,X,X,X,O
TLJSOZI,X,X,O,X,O,X,X,X,O
TLJZISO,X,O,X,X,X,X,X,X,X
TLJZIOS,X,O,X,X,X,X,X,X,X
TLJZSIO,X,O,X,X,X,X,X,X,X
TLJZSOI,X,O,X,X,X,X,X,X,X
TLJZOIS,X,O,X,X,X,X,X,X,X
TLJZOSI,X,O,X,X,X,X,X,X,X
TLJOISZ,X,X,O,X,O,X,X,X,X
TLJOIZS,X,O,X,X,X,X,X,X,X
TLJOSIZ,X,X,O,X,O,X,X,X,X
TLJOSZI,X,X,O,X,O,X,X,X,X
TLJOZIS,X,O,X,X,X,X,X,X,X
TLJOZSI,X,O,X,X,X,X,X,X,X
TLSIJZO,O,X,O,O,X,X,X,O,O
TLSIJOZ,X,X,O,X,O,X,X,X,O
TLSIZJO,O,X,O,O,X,X,X,O,X
TLSIZOJ,O,X,O,O,X,X,X,O,X
TLSIOJZ,X,X,O,X,O,X,X,X,X
TLSIOZJ,O,X,O,X,X,X,X,O,X
TLSJIZO,O,X,O,O,X,X,X,O,O
TLSJIOZ,X,X,O,X,O,X,X,X,O
TLSJZIO,O,X,O,O,X,X,X,O,O
TLSJZOI,O,X,O,O,X,X,X,O,O
TLSJOIZ,X,X,O,X,O,X,X,X,O
TLSJOZI,X,X,O,X,O,X,X,X,O
TLSZIJO,O,X,O,O,X,X,X,O,X
TLSZIOJ,O,X,O,O,X,X,X,O,X
