sequence,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFWmBNnBaoB5?oBXrB0rB,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFWmBNnBaoB5?oB0rBXrB,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFdmBUiBaoB5?oBfsBWwB,v115@9gA8IeA8IeD8CeA8BeC8DeB8Kez/IvhFxhBUoBmrBt?qB6tB3rB
TLOZISJ,O,O,O,X
TLOZJIS,O,O,X,X
TLOZJSI,X,O,X,X
TLOZSIJ,O,O,O,X
TLOZSJI,O,O,O,X
TJILSZO,O,X,O,X
TJILSOZ,O,O,O,X
TJILZSO,X,O,X,X
TJILZOS,O,O,X,X
TJILOSZ,O,O,O,X
TJILOZS,O,O,X,X
TJISLZO,O,X,O,X
TJISLOZ,O,O,O,X
TJISZLO,O,X,O,X
TJISZOL,O,X,O,X
TJISOLZ,O,O,O,X
TJISOZL,O,X,O,X
TJIZLSO,X,O,X,X
TJIZLOS,O,O,X,X
TJIZSLO,X,O,X,X
TJIZSOL,X,O,X,X
TJIZOLS,O,O,X,X
TJIZOSL,X,O,X,X
TJIOLSZ,O,O,O,X
TJIOLZS,O,O,X,X
TJIOSLZ,O,O,O,X
TJIOSZL,O,X,O,X
TJIOZLS,O,O,X,X
TJIOZSL,X,O,X,X
TJLISZO,O,X,O,X
TJLISOZ,O,O,O,X
TJLIZSO,X,O,X,X
TJLIZOS,O,O,X,X
TJLIOSZ,O,O,O,X
TJLIOZS,O,O,X,X
TJLSIZO,O,X,O,X
TJLSIOZ,O,O,O,X
TJLSZIO,O,X,O,X
TJLSZOI,O,X,O,X
TJLSOIZ,O,O,O,X
TJLSOZI,O,X,O,X
TJLZISO,X,O,X,X
TJLZIOS,O,O,X,X
TJLZSIO,X,O,X,X
TJLZSOI,X,O,X,X
TJLZOIS,O,O,X,X
TJLZOSI,X,O,X,X
TJLOISZ,O,O,O,X
TJLOIZS,O,O,X,X
TJLOSIZ,O,O,O,X
TJLOSZI,O,X,O,X
TJLOZIS,O,O,X,X
TJLOZSI,X,O,X,X
TJSILZO,O,X,O,X
TJSILOZ,O,O,O,X
TJSIZLO,O,X,O,X
