sequence,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBmhBziB5?oBqrBlsB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gB6mBTiBe?oB5oBVxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBlhBaoB5?oBTnBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeRAJvhFUiBGjBFlB6?rB/tBTsB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhFlgBiiB5oB0?mBznBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeRAJvhFTiBFlB0mB6?tBXoBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeWFJvhF1mB5oBznBi?lB8rB3sB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBaoB5oBz?mB+sBlrB
TIOZLSJ,O,X,X,O,O,O,X,X
TIOZJLS,X,X,X,X,X,O,O,X
TIOZJSL,X,X,X,O,X,X,O,X
TIOZSLJ,O,X,X,O,O,O,X,X
TIOZSJL,X,X,X,O,O,X,X,X
TLIJSZO,O,O,O,O,X,X,X,O
TLIJSOZ,O,O,O,O,X,X,X,O
TLIJZSO,O,O,O,O,X,X,X,X
TLIJZOS,O,O,X,X,X,O,X,X
TLIJOSZ,O,O,O,O,X,X,O,O
TLIJOZS,O,O,X,O,X,X,O,X
TLISJZO,O,O,O,O,X,X,X,O
TLISJOZ,O,O,O,O,X,X,X,O
TLISZJO,O,O,O,O,X,X,X,O
TLISZOJ,O,O,O,O,X,O,X,X
TLISOJZ,O,O,X,O,X,X,X,X
TLISOZJ,O,O,X,O,X,X,X,X
TLIZJSO,O,O,X,O,X,X,X,X
TLIZJOS,O,O,X,X,X,O,X,X
TLIZSJO,O,O,X,O,X,X,X,X
TLIZSOJ,O,O,X,O,X,O,X,X
TLIZOJS,O,X,X,O,X,O,X,X
TLIZOSJ,O,X,X,O,X,O,X,X
TLIOJSZ,O,O,X,O,X,X,O,X
TLIOJZS,O,O,X,O,X,X,O,X
TLIOSJZ,O,O,X,O,X,X,X,X
TLIOSZJ,O,O,X,O,X,X,X,X
TLIOZJS,O,X,X,O,X,O,X,X
TLIOZSJ,O,X,X,O,X,O,X,X
TLJISZO,O,O,O,O,X,X,X,O
TLJISOZ,O,O,O,O,X,X,X,O
TLJIZSO,O,O,O,O,X,X,X,X
TLJIZOS,O,O,X,X,X,O,X,X
TLJIOSZ,O,O,O,O,X,X,O,O
TLJIOZS,O,O,X,O,X,X,O,X
TLJSIZO,O,O,O,O,X,X,X,O
TLJSIOZ,O,O,O,O,X,X,X,O
TLJSZIO,O,O,O,O,X,X,X,O
TLJSZOI,O,O,O,O,X,X,X,O
TLJSOIZ,O,O,O,O,X,X,X,O
TLJSOZI,O,O,O,O,X,X,X,O
TLJZISO,O,O,O,O,X,X,X,X
TLJZIOS,O,O,X,X,X,O,X,X
TLJZSIO,O,O,O,O,X,X,X,X
TLJZSOI,O,O,O,O,X,X,X,X
TLJZOIS,O,O,X,X,X,O,X,X
TLJZOSI,O,O,X,X,X,O,X,X
TLJOISZ,O,O,O,O,X,X,O,O
TLJOIZS,O,O,X,O,X,X,O,X
TLJOSIZ,O,O,O,O,X,X,X,O
TLJOSZI,O,O,O,O,X,X,X,O
TLJOZIS,O,O,X,O,X,X,X,X
TLJOZSI,O,O,X,O,X,X,X,X
TLSIJZO,O,O,O,O,X,X,X,O
TLSIJOZ,O,O,O,O,X,X,X,O
TLSIZJO,O,O,O,O,X,X,X,O
TLSIZOJ,O,O,O,O,X,O,X,X
TLSIOJZ,O,O,X,O,X,X,X,X
TLSIOZJ,O,O,X,O,X,X,X,X
TLSJIZO,O,O,O,O,X,X,X,O
TLSJIOZ,O,O,O,O,X,X,X,O
TLSJZIO,O,O,O,O,X,X,X,O
