sequence,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBmhBziB5?oBqrBlsB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gB6mBTiBe?oB5oBVxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBlhBaoB5?oBTnBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeRAJvhFUiBGjBFlB6?rB/tBTsB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhFlgBiiB5oB0?mBznBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeRAJvhFTiBFlB0mB6?tBXoBWxB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KeWFJvhF1mB5oBznBi?lB8rB3sB,v115@9gA8IeA8IeB8AeB8EeE8CeA8KefFJvhF0gBaoB5oBz?mB+sBlrB
TZLIOJS,O,X,X,O,X,O,X,X
TZLIOSJ,O,X,X,O,X,O,X,X
TZLJISO,O,O,X,O,X,X,X,X
TZLJIOS,O,O,X,X,X,O,X,X
TZLJSIO,O,O,X,O,X,X,X,X
TZLJSOI,O,O,X,O,X,X,X,X
TZLJOIS,O,O,X,X,X,O,X,X
TZLJOSI,O,O,X,X,X,O,X,X
TZLSIJO,O,O,X,O,X,X,X,X
TZLSIOJ,O,O,X,O,X,O,X,X
TZLSJIO,O,O,X,O,X,X,X,X
TZLSJOI,O,O,X,O,X,X,X,X
TZLSOIJ,O,O,X,O,X,O,X,X
TZLSOJI,O,O,X,O,X,O,X,X
TZLOIJS,O,X,X,O,X,O,X,X
TZLOISJ,O,X,X,O,X,O,X,X
TZLOJIS,O,O,X,O,X,O,X,X
TZLOJSI,O,O,X,O,X,O,X,X
TZLOSIJ,O,O,X,O,X,O,X,X
TZLOSJI,O,O,X,O,X,O,X,X
TZJILSO,X,O,X,X,X,X,X,X
TZJILOS,X,O,X,X,X,O,X,X
TZJISLO,X,O,X,X,X,X,X,X
TZJISOL,X,O,X,X,X,X,X,X
TZJIOLS,X,O,X,X,X,O,O,X
TZJIOSL,X,O,X,X,X,X,O,X
TZJLISO,X,O,X,X,X,X,X,X
TZJLIOS,X,O,X,X,X,O,X,X
TZJLSIO,X,O,X,X,X,X,X,X
TZJLSOI,X,O,X,X,X,X,X,X
TZJLOIS,X,O,X,X,X,O,X,X
TZJLOSI,X,O,X,X,X,O,X,X
TZJSILO,X,O,X,X,X,X,X,X
TZJSIOL,X,O,X,X,X,X,X,X
TZJSLIO,X,O,X,X,X,X,X,X
TZJSLOI,X,O,X,X,X,X,X,X
TZJSOIL,X,O,X,X,X,X,X,X
TZJSOLI,X,O,X,X,X,X,X,X
TZJOILS,X,O,X,X,X,O,O,X
TZJOISL,X,O,X,X,X,X,O,X
TZJOLIS,X,O,X,X,X,O,X,X
TZJOLSI,X,O,X,X,X,O,X,X
TZJOSIL,X,O,X,X,X,X,X,X
TZJOSLI,X,O,X,X,X,X,X,X
TZSILJO,O,O,X,O,X,X,X,X
TZSILOJ,O,O,X,O,O,O,X,X
TZSIJLO,X,O,X,O,X,X,X,X
TZSIJOL,X,O,X,O,O,X,X,X
TZSIOLJ,O,O,X,O,O,O,X,X
TZSIOJL,X,O,X,O,O,X,X,X
TZSLIJO,O,O,X,O,X,X,X,X
TZSLIOJ,O,O,X,O,O,O,X,X
TZSLJIO,O,O,X,O,X,X,X,X
TZSLJOI,O,O,X,O,X,X,X,X
TZSLOIJ,O,O,X,O,O,O,X,X
TZSLOJI,O,O,X,O,O,O,X,X
TZSJILO,X,O,X,O,X,X,X,X
TZSJIOL,X,O,X,O,O,X,X,X
TZSJLIO,X,O,X,O,X,X,X,X
TZSJLOI,X,O,X,O,X,X,X,X
TZSJOIL,X,O,X,O,O,X,X,X
TZSJOLI,X,O,X,O,O,X,X,X
TZSOILJ,O,O,X,O,O,O,X,X
TZSOIJL,X,O,X,O,O,X,X,X
TZSOLIJ,O,O,X,O,O,O,X,X
TZSOLJI,O,O,X,O,O,O,X,X
TZSOJIL,X,O,X,O,O,X,X,X
TZSOJLI,X,O,X,O,O,X,X,X
TZOILJS,O,X,X,X,X,O,X,X
TZOILSJ,O,X,X,O,O,O,X,X
TZOIJLS,X,X,X,X,X,O,O,X
TZOIJSL,X,X,X,O,X,X,O,X
TZOISLJ,O,X,X,O,O,O,X,X
TZOISJL,X,X,X,O,O,X,X,X
TZOLIJS,O,X,X,O,X,O,X,X
TZOLISJ,O,X,X,O,O,O,X,X
TZOLJIS,O,O,X,O,X,O,X,X
TZOLJSI,O,O,X,O,X,O,X,X
TZOLSIJ,O,O,X,O,O,O,X,X
TZOLSJI,O,O,X,O,O,O,X,X
TZOJILS,X,O,X,X,X,O,O,X
TZOJISL,X,O,X,O,X,X,O,X
TZOJLIS,X,O,X,X,X,O,X,X
TZOJLSI,X,O,X,X,X,O,X,X
TZOJSIL,X,O,X,O,X,X,X,X
TZOJSLI,X,O,X,O,X,X,X,X
TZOSILJ,O,O,X,O,O,O,X,X
TZOSIJL,X,O,X,O,O,X,X,X
TZOSLIJ,O,O,X,O,O,O,X,X
TZOSLJI,O,O,X,O,O,O,X,X
TZOSJIL,X,O,X,O,O,X,X,X
TZOSJLI,X,O,X,O,O,X,X,X
TOILJSZ,O,O,X,O,X,X,O,X
TOILJZS,O,O,X,O,X,X,O,X
TOILSJZ,O,O,X,O,X,X,X,X
TOILSZJ,O,O,X,O,X,X,X,X
TOILZJS,O,X,X,O,X,O,X,X
TOILZSJ,O,X,X,O,X,O,X,X
TOIJLSZ,O,O,X,X,X,X,O,X
TOIJLZS,O,O,X,X,X,X,O,X
TOIJSLZ,O,O,X,O,X,X,O,X
TOIJSZL,X,O,X,O,X,X,O,X
TOIJZLS,X,O,X,X,X,X,O,X
TOIJZSL,X,O,X,O,X,X,O,X
TOISLJZ,O,O,X,O,X,X,X,X
TOISLZJ,O,O,X,O,O,X,X,X
TOISJLZ,O,O,X,O,X,X,O,X
TOISJZL,X,O,X,O,O,X,O,X
TOISZLJ,O,O,X,O,O,X,X,X
TOISZJL,X,O,X,O,O,X,X,X
TOIZLJS,O,X,X,X,X,O,X,X
TOIZLSJ,O,X,X,O,O,O,X,X
TOIZJLS,X,X,X,X,X,O,O,X
TOIZJSL,X,X,X,O,X,X,O,X
TOIZSLJ,O,X,X,O,O,O,X,X
TOIZSJL,X,X,X,O,O,X,X,X
TOLIJSZ,O,O,X,O,X,X,O,X
TOLIJZS,O,O,X,O,X,X,O,X
TOLISJZ,O,O,X,O,X,X,X,X
TOLISZJ,O,O,X,O,X,X,X,X
TOLIZJS,O,X,X,O,X,O,X,X
TOLIZSJ,O,X,X,O,X,O,X,X
TOLJISZ,O,O,X,O,X,X,O,X
TOLJIZS,O,O,X,O,X,X,O,X
TOLJSIZ,O,O,X,O,X,X,X,X
TOLJSZI,O,O,X,O,X,X,X,X
TOLJZIS,O,O,X,O,X,X,X,X
TOLJZSI,O,O,X,O,X,X,X,X
TOLSIJZ,O,O,X,O,X,X,X,X
TOLSIZJ,O,O,X,O,X,X,X,X
TOLSJIZ,O,O,X,O,X,X,X,X
TOLSJZI,O,O,X,O,X,X,X,X
TOLSZIJ,O,O,X,O,X,X,X,X
TOLSZJI,O,O,X,O,X,X,X,X
TOLZIJS,O,X,X,O,X,O,X,X
TOLZISJ,O,X,X,O,X,O,X,X
TOLZJIS,O,O,X,O,X,O,X,X
TOLZJSI,O,O,X,O,X,O,X,X
TOLZSIJ,O,O,X,O,X,O,X,X
TOLZSJI,O,O,X,O,X,O,X,X
TOJILSZ,O,O,X,X,X,X,O,X
TOJILZS,O,O,X,X,X,X,O,X
TOJISLZ,O,O,X,O,X,X,O,X
TOJISZL,X,O,X,O,X,X,O,X
TOJIZLS,X,O,X,X,X,X,O,X
TOJIZSL,X,O,X,O,X,X,O,X
TOJLISZ,O,O,X,O,X,X,O,X
TOJLIZS,O,O,X,O,X,X,O,X
TOJLSIZ,O,O,X,O,X,X,X,X
TOJLSZI,O,O,X,O,X,X,X,X
TOJLZIS,O,O,X,O,X,X,X,X
TOJLZSI,O,O,X,O,X,X,X,X
TOJSILZ,O,O,X,O,X,X,O,X
TOJSIZL,X,O,X,O,X,X,O,X
TOJSLIZ,O,O,X,O,X,X,X,X
TOJSLZI,O,O,X,O,X,X,X,X
TOJSZIL,X,O,X,O,X,X,X,X
TOJSZLI,X,O,X,O,X,X,X,X
TOJZILS,X,O,X,X,X,X,O,X
TOJZISL,X,O,X,O,X,X,O,X
TOJZLIS,X,O,X,X,X,X,X,X
TOJZLSI,X,O,X,X,X,X,X,X
TOJZSIL,X,O,X,O,X,X,X,X
TOJZSLI,X,O,X,O,X,X,X,X
TOSILJZ,O,O,X,O,X,X,X,X
TOSILZJ,O,O,X,O,O,X,X,X
TOSIJLZ,O,O,X,O,X,X,O,X
TOSIJZL,X,O,X,O,O,X,O,X
TOSIZLJ,O,O,X,O,O,X,X,X
TOSIZJL,X,O,X,O,O,X,X,X
TOSLIJZ,O,O,X,O,X,X,X,X
TOSLIZJ,O,O,X,O,O,X,X,X
TOSLJIZ,O,O,X,O,X,X,X,X
TOSLJZI,O,O,X,O,X,X,X,X
TOSLZIJ,O,O,X,O,O,X,X,X
TOSLZJI,O,O,X,O,O,X,X,X
TOSJILZ,O,O,X,O,X,X,O,X
TOSJIZL,X,O,X,O,O,X,O,X
TOSJLIZ,O,O,X,O,X,X,X,X
TOSJLZI,O,O,X,O,X,X,X,X
TOSJZIL,X,O,X,O,O,X,X,X
TOSJZLI,X,O,X,O,O,X,X,X
TOSZILJ,O,O,X,O,O,X,X,X
TOSZIJL,X,O,X,O,O,X,X,X
TOSZLIJ,O,O,X,O,O,X,X,X
TOSZLJI,O,O,X,O,O,X,X,X
TOSZJIL,X,O,X,O,O,X,X,X
TOSZJLI,X,O,X,O,O,X,X,X
TOZILJS,O,X,X,X,X,O,X,X
TOZILSJ,O,X,X,O,O,O,X,X
TOZIJLS,X,X,X,X,X,O,O,X
TOZIJSL,X,X,X,O,X,X,O,X
TOZISLJ,O,X,X,O,O,O,X,X
TOZISJL,X,X,X,O,O,X,X,X
TOZLIJS,O,X,X,O,X,O,X,X
TOZLISJ,O,X,X,O,O,O,X,X
TOZLJIS,O,O,X,O,X,O,X,X
TOZLJSI,O,O,X,O,X,O,X,X
TOZLSIJ,O,O,X,O,O,O,X,X
TOZLSJI,O,O,X,O,O,O,X,X
TOZJILS,X,O,X,X,X,O,O,X
TOZJISL,X,O,X,O,X,X,O,X
TOZJLIS,X,O,X,X,X,O,X,X
TOZJLSI,X,O,X,X,X,O,X,X
TOZJSIL,X,O,X,O,X,X,X,X
TOZJSLI,X,O,X,O,X,X,X,X
TOZSILJ,O,O,X,O,O,O,X,X
TOZSIJL,X,O,X,O,O,X,X,X
TOZSLIJ,O,O,X,O,O,O,X,X
TOZSLJI,O,O,X,O,O,O,X,X
TOZSJIL,X,O,X,O,O,X,X,X
TOZSJLI,X,O,X,O,O,X,X,X
ITLJSZO,O,O,O,O,X,X,X,O
ITLJSOZ,O,O,O,O,X,X,X,O
ITLJZSO,O,O,O,O,X,X,X,X
ITLJZOS,O,O,X,X,X,O,X,X
ITLJOSZ,O,O,O,O,X,X,O,O
ITLJOZS,O,O,X,O,X,X,O,X
ITLSJZO,O,O,O,O,X,X,X,O
ITLSJOZ,O,O,O,O,X,X,X,O
ITLSZJO,O,O,O,O,X,X,X,O
ITLSZOJ,O,O,O,O,X,O,X,X
ITLSOJZ,O,O,X,O,X,X,X,X
ITLSOZJ,O,O,X,O,X,X,X,X
ITLZJSO,O,O,X,O,X,X,X,X
ITLZJOS,O,O,X,X,X,O,X,X
ITLZSJO,O,O,X,O,X,X,X,X
ITLZSOJ,O,O,X,O,X,O,X,X
ITLZOJS,O,X,X,O,X,O,X,X
ITLZOSJ,O,X,X,O,X,O,X,X
ITLOJSZ,O,O,X,O,X,X,O,X
ITLOJZS,O,O,X,O,X,X,O,X
ITLOSJZ,O,O,X,O,X,X,X,X
ITLOSZJ,O,O,X,O,X,X,X,X
ITLOZJS,O,X,X,O,X,O,X,X
ITLOZSJ,O,X,X,O,X,O,X,X
ITJLSZO,O,O,O,O,X,X,X,O
ITJLSOZ,O,O,O,O,X,X,X,O
ITJLZSO,O,O,O,O,X,X,X,X
ITJLZOS,O,O,X,X,X,O,X,X
ITJLOSZ,O,O,O,O,X,X,O,O
ITJLOZS,O,O,O,O,X,X,O,X
ITJSLZO,O,O,O,O,X,X,X,O
ITJSLOZ,O,O,O,O,X,X,X,O
ITJSZLO,X,O,O,O,X,X,X,O
ITJSZOL,X,O,O,O,X,X,X,O
ITJSOLZ,O,O,O,O,X,X,O,O
ITJSOZL,X,O,O,O,X,X,O,O
ITJZLSO,X,O,O,X,X,X,X,X
ITJZLOS,X,O,X,X,X,O,X,X
ITJZSLO,X,O,O,X,X,X,X,X
ITJZSOL,X,O,O,X,X,X,X,X
ITJZOLS,X,O,O,X,X,O,O,X
ITJZOSL,X,O,O,X,X,X,O,X
ITJOLSZ,O,O,O,X,X,X,O,O
ITJOLZS,O,O,O,X,X,X,O,X
ITJOSLZ,O,O,O,O,X,X,O,O
ITJOSZL,X,O,O,O,X,X,O,O
ITJOZLS,X,O,O,X,X,X,O,X
ITJOZSL,X,O,O,O,X,X,O,X
ITSLJZO,O,O,O,O,X,X,X,O
ITSLJOZ,O,O,O,O,X,X,X,O
ITSLZJO,O,O,O,O,X,X,X,O
ITSLZOJ,O,O,O,O,O,O,X,X
ITSLOJZ,O,O,X,O,X,X,X,X
ITSLOZJ,O,O,X,O,O,X,X,X
ITSJLZO,O,O,O,O,X,X,X,O
ITSJLOZ,O,O,O,O,X,X,X,O
ITSJZLO,X,O,O,O,X,X,X,O
ITSJZOL,X,O,O,O,O,X,X,O
ITSJOLZ,O,O,O,O,X,X,O,O
ITSJOZL,X,O,O,O,O,X,O,O
ITSZLJO,O,O,O,O,X,X,X,O
ITSZLOJ,O,O,O,O,O,O,X,X
ITSZJLO,O,O,O,O,X,X,X,O
ITSZJOL,X,O,O,O,O,X,X,O
ITSZOLJ,O,O,O,O,O,O,X,X
ITSZOJL,X,O,O,O,O,X,X,X
ITSOLJZ,O,O,X,O,X,X,X,X
ITSOLZJ,O,O,X,O,O,X,X,X
ITSOJLZ,O,O,X,O,X,X,O,X
ITSOJZL,X,O,X,O,O,X,O,X
ITSOZLJ,O,O,X,O,O,X,X,X
ITSOZJL,X,O,X,O,O,X,X,X
ITZLJSO,O,O,X,O,X,X,X,X
ITZLJOS,O,O,X,X,X,O,X,X
ITZLSJO,O,O,X,O,X,X,X,X
ITZLSOJ,O,O,X,O,X,O,X,X
ITZLOJS,O,X,X,O,X,O,X,X
ITZLOSJ,O,X,X,O,X,O,X,X
ITZJLSO,X,O,X,X,X,X,X,X
ITZJLOS,X,O,X,X,X,O,X,X
ITZJSLO,X,O,X,X,X,X,X,X
ITZJSOL,X,O,X,X,X,X,X,X
ITZJOLS,X,O,X,X,X,O,O,X
ITZJOSL,X,O,X,X,X,X,O,X
ITZSLJO,O,O,X,O,X,X,X,X
ITZSLOJ,O,O,X,O,O,O,X,X
ITZSJLO,X,O,X,O,X,X,X,X
ITZSJOL,X,O,X,O,O,X,X,X
ITZSOLJ,O,O,X,O,O,O,X,X
ITZSOJL,X,O,X,O,O,X,X,X
ITZOLJS,O,X,X,X,X,O,X,X
ITZOLSJ,O,X,X,O,O,O,X,X
ITZOJLS,X,X,X,X,X,O,O,X
ITZOJSL,X,X,X,O,X,X,O,X
ITZOSLJ,O,X,X,O,O,O,X,X
ITZOSJL,X,X,X,O,O,X,X,X
ITOLJSZ,O,O,X,O,X,X,O,X
ITOLJZS,O,O,X,O,X,X,O,X
ITOLSJZ,O,O,X,O,X,X,X,X
ITOLSZJ,O,O,X,O,X,X,X,X
ITOLZJS,O,X,X,O,X,O,X,X
ITOLZSJ,O,X,X,O,X,O,X,X
ITOJLSZ,O,O,X,X,X,X,O,X
ITOJLZS,O,O,X,X,X,X,O,X
ITOJSLZ,O,O,X,O,X,X,O,X
ITOJSZL,X,O,X,O,X,X,O,X
ITOJZLS,X,O,X,X,X,X,O,X
ITOJZSL,X,O,X,O,X,X,O,X
ITOSLJZ,O,O,X,O,X,X,X,X
ITOSLZJ,O,O,X,O,O,X,X,X
ITOSJLZ,O,O,X,O,X,X,O,X
ITOSJZL,X,O,X,O,O,X,O,X
ITOSZLJ,O,O,X,O,O,X,X,X
ITOSZJL,X,O,X,O,O,X,X,X
ITOZLJS,O,X,X,X,X,O,X,X
ITOZLSJ,O,X,X,O,O,O,X,X
ITOZJLS,X,X,X,X,X,O,O,X
ITOZJSL,X,X,X,O,X,X,O,X
ITOZSLJ,O,X,X,O,O,O,X,X
ITOZSJL,X,X,X,O,O,X,X,X
ILTJSZO,O,O,O,O,X,X,X,O
ILTJSOZ,O,O,O,O,X,X,X,O
ILTJZSO,O,O,O,O,X,X,X,X
ILTJZOS,O,O,X,X,X,O,X,X
ILTJOSZ,O,O,O,O,X,X,O,O
ILTJOZS,O,O,X,O,X,X,O,X
ILTSJZO,O,O,O,O,X,X,X,O
ILTSJOZ,O,O,O,O,X,X,X,O
ILTSZJO,O,O,O,O,X,X,X,O
ILTSZOJ,O,O,O,O,X,O,X,X
ILTSOJZ,O,O,X,O,X,X,X,X
ILTSOZJ,O,O,X,O,X,X,X,X
ILTZJSO,O,O,X,O,X,X,X,X
ILTZJOS,O,O,X,X,X,O,X,X
ILTZSJO,O,O,X,O,X,X,X,X
ILTZSOJ,O,O,X,O,X,O,X,X
ILTZOJS,O,X,X,O,X,O,X,X
ILTZOSJ,O,X,X,O,X,O,X,X
ILTOJSZ,O,O,X,O,X,X,O,X
ILTOJZS,O,O,X,O,X,X,O,X
ILTOSJZ,O,O,X,O,X,X,X,X
ILTOSZJ,O,O,X,O,X,X,X,X
ILTOZJS,O,X,X,O,X,O,X,X
ILTOZSJ,O,X,X,O,X,O,X,X
ILJTSZO,O,O,O,X,X,X,X,O
ILJTSOZ,O,O,O,X,X,X,X,O
ILJTZSO,O,O,O,X,X,X,X,X
ILJTZOS,O,O,X,X,X,X,X,X
ILJTOSZ,O,O,O,X,X,X,O,O
ILJTOZS,O,O,O,X,X,X,O,X
ILJSTZO,O,O,O,O,X,X,X,O
ILJSTOZ,O,O,O,X,X,X,X,O
ILJSZTO,O,O,O,O,X,X,X,O
ILJSZOT,O,X,O,O,X,X,X,O
ILJSOTZ,O,X,O,O,X,X,X,O
ILJSOZT,O,X,O,O,X,X,X,O
ILJZTSO,O,X,O,X,X,X,X,X
ILJZTOS,O,X,X,X,X,X,X,X
ILJZSTO,O,X,O,O,X,X,X,O
ILJZSOT,O,X,O,O,X,X,X,O
ILJZOTS,X,X,X,X,X,X,X,X
ILJZOST,X,X,X,X,X,X,X,O
ILJOTSZ,O,X,O,X,X,X,O,O
ILJOTZS,O,X,O,X,X,X,O,X
ILJOSTZ,O,X,O,O,X,X,X,O
ILJOSZT,O,X,O,O,X,X,X,O
ILJOZTS,X,X,O,X,X,X,X,X
ILJOZST,X,X,O,O,X,X,X,O
ILSTJZO,O,O,O,O,X,X,X,O
ILSTJOZ,O,O,O,O,X,X,X,O
ILSTZJO,O,O,O,O,X,X,X,O
ILSTZOJ,O,O,O,O,O,X,X,X
ILSTOJZ,O,O,X,O,X,X,X,X
ILSTOZJ,O,O,X,O,O,X,X,X
ILSJTZO,O,O,O,O,X,X,X,O
ILSJTOZ,O,O,O,O,X,X,X,O
ILSJZTO,O,O,O,O,X,X,X,O
ILSJZOT,O,X,O,O,X,X,X,O
ILSJOTZ,O,X,O,O,X,X,X,O
ILSJOZT,O,X,O,O,X,X,X,O
ILSZTJO,O,O,O,O,X,X,X,O
ILSZTOJ,O,O,O,O,O,X,X,X
ILSZJTO,O,O,O,O,X,X,X,O
ILSZJOT,O,X,O,O,X,X,X,O
ILSZOTJ,O,X,O,O,O,X,X,X
ILSZOJT,O,X,O,O,O,X,X,O
ILSOTJZ,O,X,X,O,X,X,X,X
ILSOTZJ,O,X,X,O,O,X,X,X
ILSOJTZ,O,X,O,O,X,X,X,O
ILSOJZT,O,X,O,O,X,X,X,O
ILSOZTJ,O,X,O,O,O,X,X,X
ILSOZJT,O,X,O,O,O,X,X,O
ILZTJSO,O,X,X,O,X,X,X,X
ILZTJOS,O,X,X,X,X,O,X,X
ILZTSJO,O,X,X,O,X,X,X,X
ILZTSOJ,O,X,X,O,X,O,X,X
ILZTOJS,O,X,X,X,X,O,X,X
ILZTOSJ,O,X,X,O,X,O,X,X
ILZJTSO,O,X,O,X,X,X,X,X
ILZJTOS,O,X,X,X,X,X,X,X
ILZJSTO,O,X,O,O,X,X,X,O
ILZJSOT,O,X,O,O,X,X,X,O
ILZJOTS,X,X,X,X,X,X,X,X
ILZJOST,X,X,X,X,X,X,X,O
ILZSTJO,O,X,O,O,X,X,X,O
ILZSTOJ,O,X,O,O,O,X,X,X
ILZSJTO,O,X,O,O,X,X,X,O
ILZSJOT,O,X,O,O,X,X,X,O
ILZSOTJ,O,X,O,O,O,X,X,X
ILZSOJT,O,X,O,O,O,X,X,O
ILZOTJS,X,X,X,X,X,O,X,X
ILZOTSJ,X,X,X,O,O,O,X,X
ILZOJTS,X,X,X,X,X,X,X,X
ILZOJST,X,X,X,O,O,X,X,X
ILZOSTJ,X,X,X,O,O,X,X,X
ILZOSJT,X,X,X,O,O,X,X,X
ILOTJSZ,O,X,X,O,X,X,O,X
ILOTJZS,O,X,X,O,X,X,O,X
ILOTSJZ,O,X,X,O,X,X,X,X
ILOTSZJ,O,X,X,O,X,X,X,X
ILOTZJS,O,X,X,O,X,X,X,X
ILOTZSJ,O,X,X,O,X,X,X,X
ILOJTSZ,O,X,O,X,X,X,O,O
ILOJTZS,O,X,X,X,X,X,O,X
ILOJSTZ,O,X,O,O,X,X,X,O
ILOJSZT,O,X,O,O,X,X,X,O
ILOJZTS,X,X,X,X,X,X,X,X
ILOJZST,X,X,X,O,X,X,X,O
ILOSTJZ,O,X,X,O,X,X,X,X
ILOSTZJ,O,X,X,O,O,X,X,X
ILOSJTZ,O,X,O,O,X,X,X,O
ILOSJZT,O,X,O,O,X,X,X,O
ILOSZTJ,O,X,O,O,O,X,X,X
ILOSZJT,O,X,O,O,O,X,X,O
ILOZTJS,X,X,X,O,X,X,X,X
ILOZTSJ,X,X,X,O,O,X,X,X
ILOZJTS,X,X,X,X,X,X,X,X
ILOZJST,X,X,X,O,O,X,X,X
ILOZSTJ,X,X,X,O,O,X,X,X
ILOZSJT,X,X,X,O,O,X,X,X
IJTLSZO,O,O,O,X,X,X,X,O
IJTLSOZ,O,O,O,X,X,X,X,O
IJTLZSO,O,O,O,X,X,X,X,X
IJTLZOS,O,O,X,X,X,X,X,X
IJTLOSZ,O,O,O,X,X,X,O,O
IJTLOZS,O,O,O,X,X,X,O,X
IJTSLZO,O,O,O,X,X,X,X,O
IJTSLOZ,O,O,O,X,X,X,X,O
IJTSZLO,X,O,O,X,X,X,X,O
IJTSZOL,X,O,O,X,X,X,X,O
IJTSOLZ,O,O,O,X,X,X,O,O
IJTSOZL,X,O,O,X,X,X,O,O
IJTZLSO,X,O,O,X,X,X,X,X
IJTZLOS,X,O,X,X,X,X,X,X
IJTZSLO,X,O,O,X,X,X,X,X
IJTZSOL,X,O,O,X,X,X,X,X
IJTZOLS,X,O,O,X,X,X,O,X
IJTZOSL,X,O,O,X,X,X,O,X
IJTOLSZ,O,O,O,X,X,X,O,O
IJTOLZS,O,O,O,X,X,X,O,X
IJTOSLZ,O,O,O,X,X,X,O,O
IJTOSZL,X,O,O,X,X,X,O,O
IJTOZLS,X,O,O,X,X,X,O,X
IJTOZSL,X,O,O,X,X,X,O,X
IJLTSZO,O,O,O,X,X,X,X,O
IJLTSOZ,O,O,O,X,X,X,X,O
IJLTZSO,O,O,O,X,X,X,X,X
IJLTZOS,O,O,X,X,X,X,X,X
IJLTOSZ,O,O,O,X,X,X,O,O
IJLTOZS,O,O,O,X,X,X,O,X
IJLSTZO,O,O,O,X,X,X,X,O
IJLSTOZ,O,O,O,X,X,X,X,O
IJLSZTO,O,O,O,X,X,X,X,O
IJLSZOT,O,X,O,X,X,X,X,O
IJLSOTZ,O,X,O,X,X,X,X,O
IJLSOZT,O,X,O,X,X,X,X,O
IJLZTSO,O,X,O,X,X,X,X,X
IJLZTOS,O,X,X,X,X,X,X,X
IJLZSTO,O,X,O,X,X,X,X,O
IJLZSOT,O,X,O,X,X,X,X,O
IJLZOTS,X,X,X,X,X,X,X,X
IJLZOST,X,X,X,X,X,X,X,O
IJLOTSZ,O,X,O,X,X,X,O,O
IJLOTZS,O,X,O,X,X,X,O,X
IJLOSTZ,O,X,O,X,X,X,X,O
IJLOSZT,O,X,O,X,X,X,X,O
IJLOZTS,X,X,O,X,X,X,X,X
IJLOZST,X,X,O,X,X,X,X,O
IJSTLZO,O,O,O,X,X,X,X,O
IJSTLOZ,O,O,O,X,X,X,X,O
IJSTZLO,X,O,O,X,X,X,X,O
IJSTZOL,X,O,O,X,O,X,X,O
IJSTOLZ,O,O,O,X,X,X,O,O
IJSTOZL,X,O,O,X,O,X,O,O
IJSLTZO,O,O,O,X,X,X,X,O
IJSLTOZ,O,O,O,X,X,X,X,O
IJSLZTO,O,O,O,X,X,X,X,O
IJSLZOT,O,X,O,X,X,X,X,O
IJSLOTZ,O,X,O,X,X,X,X,O
IJSLOZT,O,X,O,X,X,X,X,O
IJSZTLO,O,O,O,X,X,X,X,O
IJSZTOL,X,O,O,X,O,X,X,O
IJSZLTO,O,O,O,X,X,X,X,O
IJSZLOT,O,X,O,X,X,X,X,O
IJSZOTL,X,O,O,X,O,X,X,O
IJSZOLT,O,X,O,X,O,X,X,O
IJSOTLZ,X,O,O,X,X,X,O,O
IJSOTZL,X,O,O,X,O,X,O,O
IJSOLTZ,X,X,O,X,X,X,X,O
IJSOLZT,X,X,O,X,X,X,X,O
IJSOZTL,X,O,O,X,O,X,X,O
IJSOZLT,X,X,O,X,O,X,X,O
IJZTLSO,X,O,O,X,X,X,X,X
IJZTLOS,X,O,X,X,X,X,X,X
IJZTSLO,X,O,O,X,X,X,X,X
IJZTSOL,X,O,O,X,X,X,X,X
IJZTOLS,X,O,O,X,X,X,O,X
IJZTOSL,X,O,O,X,X,X,O,X
IJZLTSO,X,X,O,X,X,X,X,X
IJZLTOS,X,X,X,X,X,X,X,X
IJZLSTO,X,X,O,X,X,X,X,O
IJZLSOT,X,X,O,X,X,X,X,O
IJZLOTS,X,X,X,X,X,X,X,X
IJZLOST,X,X,X,X,X,X,X,O
IJZSTLO,X,O,O,X,X,X,X,O
IJZSTOL,X,O,O,X,O,X,X,O
IJZSLTO,X,O,O,X,X,X,X,O
IJZSLOT,X,X,O,X,X,X,X,O
IJZSOTL,X,O,O,X,O,X,X,O
IJZSOLT,X,X,O,X,O,X,X,O
IJZOTLS,X,X,O,X,X,X,O,X
IJZOTSL,X,X,O,X,X,X,O,X
IJZOLTS,X,X,O,X,X,X,X,X
IJZOLST,X,X,O,X,O,X,X,O
IJZOSTL,X,X,O,X,O,X,X,O
IJZOSLT,X,X,O,X,O,X,X,O
IJOTLSZ,X,O,O,X,X,X,O,O
IJOTLZS,X,O,O,X,X,X,O,X
IJOTSLZ,X,O,O,X,X,X,O,O
IJOTSZL,X,O,O,X,X,X,O,O
IJOTZLS,X,O,O,X,X,X,O,X
IJOTZSL,X,O,O,X,X,X,O,X
IJOLTSZ,X,X,O,X,X,X,O,O
IJOLTZS,X,X,O,X,X,X,O,X
IJOLSTZ,X,X,O,X,X,X,X,O
IJOLSZT,X,X,O,X,X,X,X,O
IJOLZTS,X,X,O,X,X,X,X,X
IJOLZST,X,X,O,X,X,X,X,O
