sequence,v115@XhA8AeF8AeE8JeOEJvhF0hB6nBTjBRlBXlBFrB,v115@XhA8AeF8AeE8JeKEJvhFflB0gBxhBTjBGnBFrB,v115@XhA8AeF8AeE8Je0/IvhFxgB6nBTjB2pBfrBlrB,v115@XhA8AeF8AeE8JeKEJvhFzfBRhBGjB3lBcrBlsB,v115@XhA8AeF8AeE8Je3AJvhFTjB0kBxmBikBGnBFrB,v115@XhA8AeF8AeE8Jem/IvhFSoBTkBRmB3lBcrBlsB
TILJSZO,O,O,X,O,X,X
TILJSOZ,O,O,X,O,X,X
TILJZSO,O,O,X,O,X,X
TILJZOS,O,O,X,O,X,X
TILJOSZ,O,O,X,O,X,X
TILJOZS,O,O,X,O,X,X
TILSJZO,O,O,X,O,X,X
TILSJOZ,O,O,X,O,X,X
TILSZJO,O,O,X,O,X,X
TILSZOJ,O,O,X,O,O,X
TILSOJZ,O,O,X,O,X,X
TILSOZJ,O,O,X,X,O,X
TILZJSO,O,X,X,O,X,X
TILZJOS,O,X,X,O,X,X
TILZSJO,O,X,X,O,X,X
TILZSOJ,O,X,X,O,O,X
TILZOJS,O,X,X,O,X,X
TILZOSJ,O,X,X,O,O,X
TILOJSZ,O,O,X,O,X,O
TILOJZS,O,O,X,O,X,O
TILOSJZ,O,O,X,O,X,X
TILOSZJ,O,O,X,X,O,X
TILOZJS,O,X,X,O,X,X
TILOZSJ,O,X,X,O,O,X
TIJLSZO,O,O,X,O,X,X
TIJLSOZ,O,O,X,O,X,X
TIJLZSO,O,O,X,O,X,X
TIJLZOS,O,O,X,O,X,X
TIJLOSZ,O,O,X,O,X,X
TIJLOZS,O,O,X,O,X,X
TIJSLZO,O,O,X,O,X,X
TIJSLOZ,O,O,X,O,X,X
TIJSZLO,O,X,X,O,X,X
TIJSZOL,O,X,X,O,O,X
TIJSOLZ,O,O,X,X,X,X
TIJSOZL,O,X,X,X,O,X
TIJZLSO,O,O,X,O,X,X
TIJZLOS,O,O,X,O,X,X
TIJZSLO,O,X,X,O,X,X
TIJZSOL,O,X,X,O,O,X
TIJZOLS,O,O,X,O,X,X
TIJZOSL,O,X,X,O,O,X
TIJOLSZ,O,O,X,O,X,X
TIJOLZS,O,O,X,O,X,X
TIJOSLZ,O,O,X,X,X,X
TIJOSZL,O,X,X,X,O,X
TIJOZLS,O,O,X,O,X,X
TIJOZSL,O,X,X,O,O,X
TISLJZO,O,X,X,O,X,X
TISLJOZ,O,X,X,O,X,X
TISLZJO,O,X,X,O,X,X
TISLZOJ,O,X,X,O,O,X
TISLOJZ,O,X,X,O,X,X
TISLOZJ,O,X,X,X,O,X
TISJLZO,O,X,X,O,X,X
TISJLOZ,O,X,X,O,X,X
TISJZLO,O,X,X,O,X,X
TISJZOL,O,X,X,O,O,X
TISJOLZ,O,X,X,X,X,X
TISJOZL,O,X,X,X,O,X
TISZLJO,O,X,X,O,X,X
TISZLOJ,O,X,X,O,O,X
TISZJLO,O,X,X,O,X,X
TISZJOL,O,X,X,O,O,X
TISZOLJ,O,X,X,O,O,X
TISZOJL,O,X,X,O,O,X
TISOLJZ,O,X,X,X,X,X
TISOLZJ,O,X,X,X,O,X
TISOJLZ,O,X,X,X,X,X
TISOJZL,O,X,X,X,O,X
TISOZLJ,O,X,X,X,O,X
TISOZJL,O,X,X,X,O,X
TIZLJSO,O,X,X,O,X,X
TIZLJOS,O,X,X,O,X,X
TIZLSJO,O,X,X,O,X,X
TIZLSOJ,O,X,X,O,O,X
TIZLOJS,O,X,X,O,X,X
TIZLOSJ,O,X,X,O,O,X
TIZJLSO,O,X,X,O,X,X
TIZJLOS,O,X,X,O,X,X
TIZJSLO,O,X,X,O,X,X
TIZJSOL,O,X,X,O,O,X
TIZJOLS,O,X,X,O,X,X
TIZJOSL,O,X,X,O,O,X
TIZSLJO,O,X,X,O,X,X
TIZSLOJ,O,X,X,O,O,X
TIZSJLO,O,X,X,O,X,X
TIZSJOL,O,X,X,O,O,X
TIZSOLJ,O,X,X,O,O,X
TIZSOJL,O,X,X,O,O,X
TIZOLJS,O,X,X,O,X,X
TIZOLSJ,O,X,X,O,O,X
TIZOJLS,O,X,X,O,X,X
TIZOJSL,O,X,X,O,O,X
TIZOSLJ,O,X,X,O,O,X
TIZOSJL,O,X,X,O,O,X
TIOLJSZ,O,O,X,O,X,O
TIOLJZS,O,O,X,O,X,O
TIOLSJZ,O,O,X,O,X,X
TIOLSZJ,O,O,X,X,O,X
TIOLZJS,O,X,X,O,X,X
TIOLZSJ,O,X,X,O,O,X
TIOJLSZ,O,O,X,O,X,O
TIOJLZS,O,O,X,O,X,O
TIOJSLZ,O,O,X,X,X,X
TIOJSZL,O,X,X,X,O,X
TIOJZLS,O,O,X,O,X,X
TIOJZSL,O,X,X,O,O,X
TIOSLJZ,O,X,X,X,X,X
TIOSLZJ,O,X,X,X,O,X
TIOSJLZ,O,X,X,X,X,X
TIOSJZL,O,X,X,X,O,X
TIOSZLJ,O,X,X,X,O,X
TIOSZJL,O,X,X,X,O,X
TIOZLJS,O,X,X,O,X,X
TIOZLSJ,O,X,X,O,O,X
TIOZJLS,O,X,X,O,X,X
TIOZJSL,O,X,X,O,O,X
TIOZSLJ,O,X,X,O,O,X
TIOZSJL,O,X,X,O,O,X
TLIJSZO,O,O,X,O,X,X
TLIJSOZ,O,O,X,O,X,X
TLIJZSO,O,O,X,O,X,X
TLIJZOS,O,O,X,O,X,X
TLIJOSZ,O,O,X,O,X,X
TLIJOZS,O,O,X,O,X,X
TLISJZO,O,O,X,O,X,X
TLISJOZ,O,O,X,O,X,X
TLISZJO,O,O,X,O,X,X
TLISZOJ,O,O,X,O,O,X
TLISOJZ,O,O,X,O,X,X
TLISOZJ,O,O,X,X,O,X
TLIZJSO,O,X,X,O,X,X
TLIZJOS,O,X,X,O,X,X
TLIZSJO,O,X,X,O,X,X
TLIZSOJ,O,X,X,O,O,X
TLIZOJS,O,X,X,O,X,X
TLIZOSJ,O,X,X,O,O,X
TLIOJSZ,O,O,X,O,X,O
TLIOJZS,O,O,X,O,X,O
TLIOSJZ,O,O,X,O,X,X
TLIOSZJ,O,O,X,X,O,X
TLIOZJS,O,X,X,O,X,X
TLIOZSJ,O,X,X,O,O,X
TLJISZO,O,O,X,O,X,X
TLJISOZ,O,O,X,O,X,X
TLJIZSO,O,O,X,O,X,X
TLJIZOS,O,O,X,O,X,X
TLJIOSZ,O,O,X,O,X,X
TLJIOZS,O,O,X,O,X,X
TLJSIZO,O,O,O,O,X,X
TLJSIOZ,O,O,O,O,X,X
TLJSZIO,O,O,O,O,X,X
TLJSZOI,O,O,O,O,X,X
TLJSOIZ,O,O,O,O,X,X
TLJSOZI,O,O,O,O,X,X
TLJZISO,O,O,X,O,X,X
TLJZIOS,O,O,O,O,X,X
TLJZSIO,O,O,O,O,X,X
TLJZSOI,O,O,O,O,X,X
TLJZOIS,O,O,O,O,X,X
TLJZOSI,O,O,O,O,X,X
TLJOISZ,O,O,X,O,X,X
TLJOIZS,O,O,X,O,X,X
TLJOSIZ,O,O,O,O,X,X
TLJOSZI,O,O,O,O,X,X
TLJOZIS,O,O,O,O,X,X
TLJOZSI,O,O,O,O,X,X
TLSIJZO,O,O,O,O,X,X
TLSIJOZ,O,O,O,O,X,X
TLSIZJO,O,O,O,O,X,X
TLSIZOJ,O,O,O,O,O,X
TLSIOJZ,O,O,O,O,X,X
TLSIOZJ,O,O,O,X,O,X
TLSJIZO,O,O,O,O,X,X
TLSJIOZ,O,O,O,O,X,X
TLSJZIO,O,O,O,O,X,X
TLSJZOI,O,O,O,O,X,X
TLSJOIZ,O,O,O,O,X,X
TLSJOZI,O,O,O,O,X,X
TLSZIJO,O,O,O,O,X,X
TLSZIOJ,O,O,O,O,O,X
TLSZJIO,O,O,O,O,X,X
TLSZJOI,O,O,O,O,X,X
TLSZOIJ,O,O,O,O,O,X
TLSZOJI,O,O,O,O,X,X
TLSOIJZ,O,O,O,O,X,X
TLSOIZJ,O,O,O,X,O,X
TLSOJIZ,O,O,O,O,X,X
TLSOJZI,O,O,O,O,X,X
TLSOZIJ,O,O,O,O,O,X
TLSOZJI,O,O,O,O,X,X
TLZIJSO,O,X,X,O,X,X
TLZIJOS,O,X,X,O,X,X
TLZISJO,O,X,X,O,X,X
TLZISOJ,O,X,X,O,O,X
TLZIOJS,O,X,X,O,X,X
TLZIOSJ,O,X,X,O,O,X
TLZJISO,O,O,X,O,X,X
TLZJIOS,O,O,X,O,X,X
TLZJSIO,O,O,X,O,X,X
TLZJSOI,O,O,X,O,X,X
TLZJOIS,O,O,X,O,X,X
TLZJOSI,O,O,X,O,X,X
TLZSIJO,O,O,X,O,X,X
TLZSIOJ,O,O,X,O,O,X
TLZSJIO,O,O,X,O,X,X
TLZSJOI,O,O,X,O,X,X
TLZSOIJ,O,O,X,O,O,X
TLZSOJI,O,O,X,O,X,X
TLZOIJS,O,X,X,O,X,X
TLZOISJ,O,X,X,O,O,X
TLZOJIS,O,O,X,O,X,X
TLZOJSI,O,O,X,O,X,X
TLZOSIJ,O,O,X,O,O,X
TLZOSJI,O,O,X,O,X,X
TLOIJSZ,O,O,X,O,X,O
TLOIJZS,O,O,X,O,X,O
TLOISJZ,O,O,X,O,X,X
TLOISZJ,O,O,X,X,O,X
TLOIZJS,O,X,X,O,X,X
TLOIZSJ,O,X,X,O,O,X
TLOJISZ,O,O,X,O,X,O
TLOJIZS,O,O,X,O,X,O
TLOJSIZ,O,O,O,O,X,X
TLOJSZI,O,O,O,O,X,X
TLOJZIS,O,O,O,O,X,X
TLOJZSI,O,O,O,O,X,X
TLOSIJZ,O,O,O,O,X,X
TLOSIZJ,O,O,O,X,O,X
TLOSJIZ,O,O,O,O,X,X
TLOSJZI,O,O,O,O,X,X
TLOSZIJ,O,O,O,O,O,X
TLOSZJI,O,O,O,O,X,X
TLOZIJS,O,X,X,O,X,X
TLOZISJ,O,X,X,O,O,X
TLOZJIS,O,O,X,O,X,X
TLOZJSI,O,O,X,O,X,X
TLOZSIJ,O,O,X,O,O,X
TLOZSJI,O,O,X,O,X,X
TJILSZO,O,O,X,O,X,X
TJILSOZ,O,O,X,O,X,X
TJILZSO,O,O,X,O,X,X
TJILZOS,O,O,X,O,X,X
TJILOSZ,O,O,X,O,X,X
TJILOZS,O,O,X,O,X,X
TJISLZO,O,O,X,O,X,X
TJISLOZ,O,O,X,O,X,X
TJISZLO,O,X,X,O,X,X
TJISZOL,O,X,X,O,O,X
TJISOLZ,O,O,X,X,X,X
TJISOZL,O,X,X,X,O,X
TJIZLSO,O,O,X,O,X,X
TJIZLOS,O,O,X,O,X,X
TJIZSLO,O,X,X,O,X,X
TJIZSOL,O,X,X,O,O,X
TJIZOLS,O,O,X,O,X,X
TJIZOSL,O,X,X,O,O,X
TJIOLSZ,O,O,X,O,X,X
TJIOLZS,O,O,X,O,X,X
TJIOSLZ,O,O,X,X,X,X
TJIOSZL,O,X,X,X,O,X
TJIOZLS,O,O,X,O,X,X
TJIOZSL,O,X,X,O,O,X
TJLISZO,O,O,X,O,X,X
TJLISOZ,O,O,X,O,X,X
TJLIZSO,O,O,X,O,X,X
TJLIZOS,O,O,X,O,X,X
TJLIOSZ,O,O,X,O,X,X
TJLIOZS,O,O,X,O,X,X
TJLSIZO,O,O,O,O,X,X
TJLSIOZ,O,O,O,O,X,X
TJLSZIO,O,O,O,O,X,X
TJLSZOI,O,O,O,O,X,X
TJLSOIZ,O,O,O,O,X,X
TJLSOZI,O,O,O,O,X,X
