sequence,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFihBziB5oB3?mB0qBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhF8mBziB5oBy?qBlsBXrB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KezAJvhFWnBxiB6tBU?lBXrBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFliB5oByqBz?mB8sBXrB,v115@9gA8IeC8GeB8HeC8BeB8AeA8Ke0BJvhF5oB3lBznBi?rBGqBlsB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KeGAJvhFxhBTmB/sBF?oB6tB0qB,v115@9gA8IeC8GeB8HeC8BeB8AeA8KezAJvhFWnB5oBysBU?lBXrBlsB
TILJSZO,O,O,O,X,X,X,X
TILJSOZ,O,O,O,X,X,X,O
TILJZSO,O,O,O,X,X,X,X
TILJZOS,O,O,X,O,X,X,X
TILJOSZ,O,O,O,X,X,X,X
TILJOZS,O,O,X,O,X,X,X
TILSJZO,O,O,O,X,X,X,X
TILSJOZ,O,O,O,X,X,X,O
TILSZJO,O,O,O,X,X,X,X
TILSZOJ,O,O,O,X,O,X,X
TILSOJZ,O,O,O,X,X,X,O
TILSOZJ,O,O,O,X,O,X,X
TILZJSO,O,O,O,X,X,X,X
TILZJOS,O,O,X,O,X,X,X
TILZSJO,O,O,O,X,X,X,X
TILZSOJ,O,O,O,X,O,X,X
TILZOJS,O,O,X,O,X,X,X
TILZOSJ,O,O,X,O,O,X,X
TILOJSZ,O,O,O,X,X,X,X
TILOJZS,O,O,X,O,X,X,X
TILOSJZ,O,O,O,X,X,X,X
TILOSZJ,O,O,O,X,O,X,X
TILOZJS,O,O,X,O,X,X,X
TILOZSJ,O,O,X,O,O,X,X
TIJLSZO,O,O,O,X,X,X,X
TIJLSOZ,O,O,O,X,X,X,X
TIJLZSO,O,O,O,X,X,X,X
TIJLZOS,O,O,X,O,X,X,X
TIJLOSZ,O,O,O,X,X,X,X
TIJLOZS,O,O,X,O,X,X,X
TIJSLZO,O,X,O,X,X,X,X
TIJSLOZ,O,X,O,X,X,X,X
TIJSZLO,O,X,X,X,X,X,X
TIJSZOL,O,X,X,X,X,X,X
TIJSOLZ,O,X,O,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X
TIJZLSO,O,O,X,X,X,X,X
TIJZLOS,O,O,X,O,X,X,X
TIJZSLO,O,X,X,X,X,X,X
TIJZSOL,O,X,X,X,X,X,X
TIJZOLS,O,O,X,X,X,X,X
TIJZOSL,O,X,X,X,X,X,X
TIJOLSZ,O,O,X,X,X,X,X
TIJOLZS,O,O,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X
TIJOZLS,O,O,X,X,X,X,X
TIJOZSL,O,X,X,X,X,X,X
TISLJZO,O,O,O,X,X,X,X
TISLJOZ,O,O,O,X,X,X,O
TISLZJO,O,O,O,X,X,X,X
TISLZOJ,O,O,O,X,O,X,X
TISLOJZ,O,O,O,X,X,X,O
TISLOZJ,O,O,O,X,O,X,X
TISJLZO,O,X,O,X,X,X,X
TISJLOZ,O,X,O,X,X,X,O
TISJZLO,O,X,X,X,X,X,X
TISJZOL,O,X,X,X,X,X,X
