sequence,v115@9gB8HeB8HeA8HeE8DeB8JeTAJvhFihBGjB8sBRqB3r?BFsB,v115@9gB8HeB8HeA8HeE8DeB8JeeFJvhFXiBTjBUmB1sBCm?BxwB,v115@9gB8HeB8HeA8HeE8DeB8JeeFJvhFRhBqnBTjBfrBUs?BlrB,v115@9gB8HeB8HeA8HeE8DeB8JeiAJvhFGiBTjB8rBRqB3s?BFrB,v115@9gB8HeB8HeA8HeE8DeB8JemAJvhFTjBXlBSrB0nBFn?BxwB,v115@9gB8HeB8HeA8HeE8DeB8JeeFJvhFqlB/mBTjB0nBFn?BxwB,v115@9gB8HeB8HeA8HeE8DeB8JeqHJvhFTjBVqBRmBmlBUs?B3rB,v115@9gB8HeB8HeA8HeE8DeB8JeSIJvhFVqBRmBmlBznBUs?B3rB,v115@9gB8HeB8HeA8HeE8DeB8JeGDJvhFXlBxmB8sBllBas?BTrB
TILJSZO,X,O,X,X,X,X,X,O,X
TILJSOZ,X,O,X,X,X,X,X,O,X
TILJZSO,X,O,X,X,X,X,X,O,X
TILJZOS,X,O,X,X,X,X,X,O,X
TILJOSZ,O,O,X,X,X,X,O,O,X
TILJOZS,O,O,X,X,X,X,O,O,X
TILSJZO,X,O,X,X,X,X,X,O,X
TILSJOZ,O,O,X,O,X,X,X,O,X
TILSZJO,O,O,X,O,X,X,X,O,X
TILSZOJ,O,O,X,O,X,X,X,O,X
TILSOJZ,O,O,X,O,X,X,O,O,X
TILSOZJ,O,O,X,O,X,X,O,O,X
TILZJSO,X,O,X,X,X,X,X,O,X
TILZJOS,O,O,X,X,X,X,O,O,X
TILZSJO,X,O,X,X,X,X,X,O,X
TILZSOJ,X,O,X,X,X,X,O,O,X
TILZOJS,O,O,X,X,X,X,O,O,X
TILZOSJ,X,O,X,X,X,X,O,O,X
TILOJSZ,O,O,X,X,X,X,O,O,X
TILOJZS,O,O,X,X,X,X,O,O,X
TILOSJZ,O,O,X,O,X,X,O,O,X
TILOSZJ,O,O,X,O,X,X,O,O,X
TILOZJS,O,O,X,X,X,X,O,O,X
TILOZSJ,X,O,X,X,X,X,O,O,X
TIJLSZO,X,O,X,X,X,O,X,O,X
TIJLSOZ,X,O,X,X,X,O,X,O,X
TIJLZSO,X,O,X,X,X,O,X,O,X
TIJLZOS,X,O,X,X,X,O,X,O,X
TIJLOSZ,O,O,X,X,X,O,O,O,X
TIJLOZS,O,O,X,X,X,O,O,O,X
TIJSLZO,X,O,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,X,X,X,X
TIJSZLO,X,O,X,X,X,X,X,X,X
TIJSZOL,X,O,X,X,X,X,X,X,X
TIJSOLZ,O,O,X,X,X,X,X,X,X
TIJSOZL,X,O,X,X,X,X,X,X,X
TIJZLSO,X,O,X,X,X,O,X,O,X
TIJZLOS,O,O,X,X,X,O,O,O,X
TIJZSLO,O,O,X,X,X,X,X,X,X
TIJZSOL,O,O,X,X,X,X,X,X,X
TIJZOLS,O,O,X,X,X,O,O,X,X
TIJZOSL,O,O,X,X,X,X,X,X,X
TIJOLSZ,O,O,X,X,X,O,O,X,X
TIJOLZS,O,O,X,X,X,O,O,X,X
TIJOSLZ,O,O,X,X,X,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X,X,X
TIJOZLS,O,O,X,X,X,O,X,X,X
TIJOZSL,O,O,X,X,X,X,X,X,X
