sequence,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkB3hBcnBTjBWx?BFtB,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkB3hBFjBTnBct?BWxB,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkB3hBziB+oB8r?B1xB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhF3hBGjBVsBUoBip?BRxB,v115@/gC8GeB8IeB8FeD8DeA8JeTDJvhFOpBxmB0kBFsBXt?BCsB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhF1mBxiB3nBctBip?BWxB,v115@/gC8GeB8IeB8FeD8DeA8Je3BJvhFCjB0kBVsBToBOp?BRxB,v115@/gC8GeB8IeB8FeD8DeA8Je3BJvhF0kBxnBOpBzrBFt?BCtB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhF1mB8nB+oBXnBip?BRxB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhFFiB0mBGoBXoBip?BRxB,v115@/gC8GeB8IeB8FeD8DeA8JeT/IvhFxiBlmB3nBctBip?BWxB,v115@/gC8GeB8IeB8FeD8DeA8JeZEJvhFqkBGjB0mBlnBXt?BzrB,v115@/gC8GeB8IeB8FeD8DeA8Je1GJvhFxiBOpBCoB0kBzr?BXtB
TILJSZO,O,X,O,O,X,X,X,X,O,X,X,X,X
TILJSOZ,O,X,O,O,O,O,X,X,O,X,X,X,X
TILJZSO,O,X,O,O,X,O,X,X,O,O,X,X,X
TILJZOS,O,X,O,O,X,O,X,X,O,O,X,X,X
TILJOSZ,O,X,O,O,X,O,X,X,O,X,X,X,X
TILJOZS,O,X,O,O,X,O,X,X,O,O,X,X,X
TILSJZO,O,X,O,O,X,X,X,X,O,X,X,X,X
TILSJOZ,O,X,O,O,O,X,X,X,O,X,X,X,X
TILSZJO,O,X,O,O,X,X,X,X,X,X,X,X,X
TILSZOJ,O,X,O,O,X,X,O,X,X,X,X,X,X
TILSOJZ,O,X,X,O,O,O,O,X,O,X,X,X,X
TILSOZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
TILZJSO,O,X,O,O,X,O,X,X,O,O,X,X,X
TILZJOS,O,X,O,O,X,O,X,X,O,O,X,X,X
TILZSJO,O,X,O,O,X,O,X,X,X,O,O,X,X
TILZSOJ,O,X,O,O,X,O,O,X,X,O,O,X,X
TILZOJS,O,X,O,O,X,O,O,X,O,O,X,X,X
TILZOSJ,O,X,O,O,X,O,O,X,X,O,O,X,X
TILOJSZ,O,X,O,O,X,O,O,X,O,X,X,X,X
TILOJZS,O,X,O,O,X,O,O,X,O,O,X,X,X
TILOSJZ,O,X,X,O,X,O,O,X,O,X,X,X,X
TILOSZJ,O,X,X,O,X,O,O,X,X,X,X,X,X
TILOZJS,O,X,O,O,X,O,O,X,O,O,X,X,X
TILOZSJ,O,X,O,O,X,O,O,X,X,O,O,X,X
TIJLSZO,O,X,O,O,X,X,X,X,O,X,X,X,X
TIJLSOZ,O,X,O,O,O,O,X,X,O,X,X,X,X
TIJLZSO,O,X,O,O,X,O,X,X,O,O,X,X,X
TIJLZOS,O,X,O,O,X,O,X,X,O,O,X,X,X
TIJLOSZ,O,X,O,O,X,O,X,X,O,X,X,X,X
TIJLOZS,O,X,O,O,X,O,X,X,O,O,X,X,X
TIJSLZO,X,X,X,O,X,X,X,X,O,X,X,X,O
TIJSLOZ,X,X,X,O,O,O,X,X,O,X,X,X,O
TIJSZLO,X,X,X,O,X,X,X,X,O,X,X,X,X
TIJSZOL,X,X,X,O,O,X,O,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJSOZL,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJZLSO,O,X,O,O,X,O,X,X,O,O,X,X,X
