sequence,v115@9gA8IeC8GeA8GeA8AeB8CeD8KeGAJvhFThBiiB5oB3?nBUqBFrB,v115@9gA8IeC8GeA8GeA8AeB8CeD8KeGAJvhFihBziB5oBU?nBFqBXrB,v115@9gA8IeC8GeA8GeA8AeB8CeD8KeXBJvhFKnBziB5oBc?rBGqBFqB,v115@9gA8IeC8GeA8GeA8AeB8CeD8KefGJvhF0hBmiB5oBS?sBzkB1vB,v115@9gA8IeC8GeA8GeA8AeB8CeD8KeXBJvhFxiBcrBTnB6?tBFqBGqB
TZSIJLO,O,O,X,O,X
TZSIJOL,O,O,X,X,X
TZSIOLJ,O,O,X,O,O
TZSIOJL,O,O,X,X,X
TZSLIJO,O,O,X,O,X
TZSLIOJ,O,O,O,O,O
TZSLJIO,O,O,X,O,X
TZSLJOI,O,O,X,O,O
TZSLOIJ,O,O,O,O,O
TZSLOJI,O,O,X,O,O
TZSJILO,O,O,X,O,X
TZSJIOL,O,O,X,X,X
TZSJLIO,O,O,X,O,X
TZSJLOI,O,O,X,O,O
TZSJOIL,O,O,X,X,X
TZSJOLI,O,O,X,X,O
TZSOILJ,O,O,X,O,O
TZSOIJL,O,O,X,X,X
TZSOLIJ,O,O,X,O,O
TZSOLJI,O,O,X,O,O
TZSOJIL,O,O,X,X,X
TZSOJLI,O,O,X,X,O
TZOILJS,O,O,O,X,O
TZOILSJ,O,O,O,X,O
TZOIJLS,O,O,O,X,X
TZOIJSL,O,O,X,X,X
TZOISLJ,O,O,X,X,O
TZOISJL,O,O,X,X,X
TZOLIJS,O,O,O,X,O
TZOLISJ,O,O,O,X,O
TZOLJIS,O,O,O,X,O
TZOLJSI,O,O,O,X,O
TZOLSIJ,O,O,O,X,O
TZOLSJI,O,O,X,X,O
TZOJILS,O,O,O,X,X
TZOJISL,O,O,X,X,X
TZOJLIS,O,O,O,X,O
TZOJLSI,O,O,O,X,O
TZOJSIL,O,O,X,X,X
TZOJSLI,O,O,X,X,O
TZOSILJ,O,O,X,X,O
TZOSIJL,O,O,X,X,X
TZOSLIJ,O,O,X,X,O
TZOSLJI,O,O,X,X,O
TZOSJIL,O,O,X,X,X
TZOSJLI,O,O,X,X,O
TOILJSZ,O,X,X,O,X
TOILJZS,X,O,O,X,O
TOILSJZ,O,O,X,O,X
TOILSZJ,O,O,X,O,O
TOILZJS,X,O,O,X,O
TOILZSJ,X,O,O,X,O
TOIJLSZ,O,X,X,O,X
TOIJLZS,X,O,O,X,X
TOIJSLZ,O,O,X,O,X
TOIJSZL,O,O,X,X,X
TOIJZLS,X,O,O,X,X
TOIJZSL,O,O,X,X,X
TOISLJZ,O,O,X,O,X
TOISLZJ,O,O,X,O,X
TOISJLZ,O,O,X,O,X
TOISJZL,O,O,X,X,X
TOISZLJ,O,O,X,O,X
TOISZJL,O,O,X,X,X
TOIZLJS,X,O,O,X,O
TOIZLSJ,X,O,O,X,O
TOIZJLS,X,O,O,X,X
TOIZJSL,O,O,X,X,X
TOIZSLJ,O,O,X,X,O
TOIZSJL,O,O,X,X,X
TOLIJSZ,O,X,X,O,X
TOLIJZS,X,O,O,X,O
TOLISJZ,O,O,X,O,X
TOLISZJ,O,O,X,O,O
TOLIZJS,X,O,O,X,O
TOLIZSJ,X,O,O,X,O
TOLJISZ,O,X,X,O,X
TOLJIZS,X,O,O,X,O
TOLJSIZ,O,X,X,O,X
TOLJSZI,O,X,X,O,X
TOLJZIS,X,O,O,X,O
TOLJZSI,X,O,O,X,O
TOLSIJZ,O,O,X,O,X
TOLSIZJ,O,O,X,O,O
TOLSJIZ,O,O,X,O,X
TOLSJZI,O,O,X,O,X
TOLSZIJ,O,O,X,O,O
TOLSZJI,O,O,X,O,O
TOLZIJS,X,O,O,X,O
TOLZISJ,X,O,O,X,O
TOLZJIS,X,O,O,X,O
TOLZJSI,X,O,O,X,O
TOLZSIJ,X,O,O,X,O
TOLZSJI,X,O,X,X,O
TOJILSZ,O,X,X,O,X
TOJILZS,X,O,O,X,X
TOJISLZ,O,O,X,O,X
TOJISZL,O,O,X,X,X
TOJIZLS,X,O,O,X,X
TOJIZSL,O,O,X,X,X
TOJLISZ,O,X,X,O,X
TOJLIZS,X,O,O,X,O
TOJLSIZ,O,X,X,O,X
TOJLSZI,O,X,X,O,X
TOJLZIS,X,O,O,X,O
TOJLZSI,X,O,O,X,O
TOJSILZ,O,O,X,O,X
TOJSIZL,O,O,X,X,X
TOJSLIZ,O,O,X,O,X
TOJSLZI,O,O,X,O,X
TOJSZIL,O,O,X,X,X
TOJSZLI,O,O,X,X,X
TOJZILS,X,O,O,X,X
TOJZISL,O,O,X,X,X
TOJZLIS,X,O,O,X,O
TOJZLSI,X,O,O,X,O
TOJZSIL,O,O,X,X,X
TOJZSLI,O,O,X,X,O
TOSILJZ,O,O,X,O,X
TOSILZJ,O,O,X,O,X
TOSIJLZ,O,O,X,O,X
TOSIJZL,O,O,X,X,X
TOSIZLJ,O,O,X,O,X
TOSIZJL,O,O,X,X,X
TOSLIJZ,O,O,X,O,X
TOSLIZJ,O,O,X,O,O
TOSLJIZ,O,O,X,O,X
TOSLJZI,O,O,X,O,X
TOSLZIJ,O,O,X,O,O
TOSLZJI,O,O,X,O,O
TOSJILZ,O,O,X,O,X
TOSJIZL,O,O,X,X,X
TOSJLIZ,O,O,X,O,X
TOSJLZI,O,O,X,O,X
TOSJZIL,O,O,X,X,X
TOSJZLI,O,O,X,X,X
TOSZILJ,O,O,X,O,O
TOSZIJL,O,O,X,X,X
TOSZLIJ,O,O,X,O,O
TOSZLJI,O,O,X,O,O
TOSZJIL,O,O,X,X,X
TOSZJLI,O,O,X,X,O
TOZILJS,X,O,O,X,O
TOZILSJ,X,O,O,X,O
TOZIJLS,X,O,O,X,X
TOZIJSL,O,O,X,X,X
TOZISLJ,O,O,X,X,O
TOZISJL,O,O,X,X,X
TOZLIJS,X,O,O,X,O
TOZLISJ,X,O,O,X,O
TOZLJIS,X,O,O,X,O
TOZLJSI,X,O,O,X,O
TOZLSIJ,X,O,O,X,O
TOZLSJI,X,O,X,X,O
TOZJILS,X,O,O,X,X
TOZJISL,O,O,X,X,X
TOZJLIS,X,O,O,X,O
TOZJLSI,X,O,O,X,O
TOZJSIL,O,O,X,X,X
TOZJSLI,O,O,X,X,O
TOZSILJ,O,O,X,X,O
TOZSIJL,O,O,X,X,X
TOZSLIJ,O,O,X,X,O
TOZSLJI,O,O,X,X,O
TOZSJIL,O,O,X,X,X
TOZSJLI,O,O,X,X,O
ITLJSZO,O,X,X,O,X
ITLJSOZ,O,X,X,O,X
ITLJZSO,X,O,O,O,X
ITLJZOS,X,O,O,X,X
ITLJOSZ,O,X,X,O,X
ITLJOZS,X,O,O,X,O
ITLSJZO,O,O,X,O,X
ITLSJOZ,O,O,X,O,X
ITLSZJO,O,O,X,O,X
ITLSZOJ,O,O,X,O,X
ITLSOJZ,O,O,X,O,X
ITLSOZJ,O,O,X,O,O
ITLZJSO,X,O,O,O,X
ITLZJOS,X,O,O,X,X
ITLZSJO,X,O,X,O,X
ITLZSOJ,X,O,O,O,O
ITLZOJS,X,O,O,X,O
ITLZOSJ,X,O,O,X,O
ITLOJSZ,O,X,X,O,X
ITLOJZS,X,O,O,X,O
ITLOSJZ,O,O,X,O,X
ITLOSZJ,O,O,X,O,O
ITLOZJS,X,O,O,X,O
ITLOZSJ,X,O,O,X,O
