sequence,v115@vhHKAJziBcpB3mB+tBXqBlsBRwB,v115@vhHK/IXjBcqB3mB+tBTpBlsBRwB,v115@vhH32I8kBzgBStB2uBlqB3rBxxB,v115@vhH32IXgB8lBStBTpB2vBlrBxxB,v115@vhHU4IzhBfoB2pBFrBXsBSyBxuB,v115@vhH32IKlBzgBcpB+tBlrB3sBRvB,v115@vhH6+IziBcpB3mB+tBXqBlsBRwB,v115@vhHT5I8kBXjBStB2uBlqB3rBxxB,v115@vhHT1IZkBflBfoBWvBUrBFsBSyB,v115@vhH/DJZkBClBOrBlnBXqBUsBTtB,v115@vhH/CJfnBTjBKpBUqBFrBGtBRxB,v115@vhHfBJifBcpBTlB+tBlrB3sBRvB,v115@vhHzAJfnBunBKpB/tBUqBFrBRxB,v115@vhHzAJ+mB3iBKpB/tBFqB0sBRwB,v115@vhHz4IfnBunBKpB/tBUqBFrBRxB,v115@vhHyEJXjBcqB3mB+tBTpBlsBRwB,v115@vhHX3IzgB+mBKpB/tBFqB0sBRwB,v115@vhHG5I/jBxkBXmBlnBipBUsBTtB,v115@vhH/EJ3gB0mBCoB2uBlqBTtBxwB,v115@vhH3BJ5oBOpB0lBlnBzpB3rByxB,v115@vhH3BJ+oBTkB0lBlnByuB3rBxxB,v115@vhHO6I3fBKqBUnB/tBTpBFrBRxB,v115@vhH6+IziBcpB3lB+tBlrB3sBRvB,v115@vhHC+IXjBcqB3mB+tBTpBlsBRwB,v115@vhH8/ISoB2pBllB3mBXsBTtBRvB,v115@vhHZEJXhBUlBFnB6tBWvBTrB3sB,v115@vhHG5I/jBxkB0mBlnBipB3qBTtB,v115@vhHT5I8lBXjB+tBipBlrB3sBRvB,v115@vhHZEJXiBupBUmBFoBTqBXsBSyB,v115@vhHX3IzgBfnBKpBUqBFrBGtBRxB,v115@vhHX3IfmB0hBKpBFqBGsBTtBRwB,v115@vhHX3IGhBKpBUmB/sBFqBTtBRwB,v115@vhH0/IfmBKpBXnBToBFqBWyBRwB,v115@vhH/6IZkBFlBXmB0nB6tBWvBzrB,v115@vhHT1I/kB0mBftB6tB2uBlqBxwB,v115@vhHKGJzhBXjBcpB+tBXqBlsBRwB,v115@vhH8EJzgBXjBStB2uBlqB3rBxxB,v115@vhHXAJ8lBXjBStBTpB2vBlrBxxB,v115@vhHZEJflBzhBfoBWvBUrBFsBSyB,v115@vhHZEJflBfnB0iBWvBFrBSxBTtB,v115@vhH0/IzhBfoB2pBFrBXsBSyBxuB,v115@vhHKFJzgBXjBcpB+tBlrB3sBRvB,v115@vhH/DJWlB/pB0mBlnBiqBTtBxwB,v115@vhH//IfnBTjBKpBUqBFrBGtBRxB,v115@vhHK/IfgBcqB3mB+tBTpBlsBRwB,v115@vhHT+IfoBKpBUmB/sB+tBFqBRwB,v115@vhH3CJcoBmkBXmBTpBFsBSyBxvB,v115@vhH/BJZnBOpBllBCoBUqBTrBXtB,v115@vhH/BJ/nBOpBllBToBUqBirBRxB,v115@vhHT5IcfBXgBXhBliB5oBasBetB,v115@vhH8/I5oB/pBllB3mBatB2vBTsB,v115@vhHq6IfhBcpBTlB+tBlrB3sBRvB,v115@vhHy/IfoB5oBOpBllBUnBzpBXrB,v115@vhHT+I/kB0mBftB6tB2uBlqBxwB,v115@vhHO/IflBcoBXmBTpBFsBSyBxvB,v115@vhHZ6IanB/oBUlBFmBftBTpBWxB,v115@vhH/6I/kB0mBCoB2uBlqBTtBxwB,v115@vhH5+IWlB3hB/pBlnBiqBUsBTtB,v115@vhHZ/IzbB+pBKqBfrBlmB3nBctB,v115@vhHZ/IzbBGlBlmB3nBctB3pByvB,v115@vhHO/IFgBXhBXiB6oBcpBznBxxB,v115@vhH8FJXjBaqB3mB+tBTpBlsBRwB,v115@vhH//ITgB+mBKpB/tBFqB0sBRwB,v115@vhHi2IfhBcpBTlB+tBlrB3sBRvB,v115@vhHZEJUjBupB3lBFnBXrBSxBTtB,v115@vhHz7IZkBFlBXmB0nB6tBWvB3rB,v115@vhHK6I3gBTkBlmB3nBctBmqBxuB,v115@vhHZ6IqkB3gBlmB3nBctB2uBzqB,v115@vhHZ6I+kB3gBlmB3nBctByuBzqB,v115@vhHZ6IflBulBlmB3nBctBTpByvB,v115@vhH5+IUhBynB/pBFlB3qBGsBTtB,v115@vhHfDJ5oBikB3lBFnBWvB0rBzsB,v115@vhHfDJ5oB/pBaqBuqBFnB0rBzsB,v115@vhHWDJ/pBRlBFnBXoBTqB0rBSyB
comments,S-01/Hold O_tetramino TKI,S-02/Hold S_tetramino Castle Top,S-03/Out of Order TKI,S-03/Out of Order TKI,S-03M/Out of Order TKI,S-03/Out of Order TKI,S-04/Alt Hold O_tetramino TKI,S-05/Shifted God,S-05M/Shifted God,S-06/TSD/New SOS,S-07/Dormant God DPC,S-07M/Dormant God DPC,S-08/Slanted TKI,S-08/Slanted TKI,S-09/Slanted O God,S-10,S-11,S-12/Millennium Bridge,S-13,S-14,S-14,S-15/Redeemed TKI,S-15M/Redeemed TKI,S-16/Orange Juice TKI,S-17/Lime 2.0,S-18,S-19/Blackfriars Bridge,S-20/Fallen Angel,S-21/Elephant,S-22/Reversed TKI,S-22/Reversed TKI,S-22/Reversed TKI,S-23,S-24/Turret DPC (congruent),S-25/Ajanba TSD,S-26/Shifted TKI,S-27/Centre TKI,S-27/Centre TKI,S-27M/Centre TKI,S-27M/Centre TKI,S-27M/Centre TKI,S-27/Centre TKI,S-28/Warped TSD,S-29/Glitter Brooch,S-30/Fonzie DPC (congruent),S-30M,S-31,S-32,S-32,S-33/Canopy,S-34/Bizarre TSD,S-35/Stalagmite,S-36/Vine,S-37,S-37M,S-38/Emerald,S-39/Stacked S_tetramino Ajanba TSD,S-40,S-41/Pelican,S-41/Pelican,S-42/Suspension Bridge,S-43/Shifted 91DT,S-44,S-45,S-46,S-47/Lime/SSO,S-48,S-48,S-48,S-48,S-49/Basin,S-50/Kuruma/Trident,S-50/Kuruma/Trident/Old SOS,S-50/Kuruma/Trident
score,5089.880952380952,5046.507936507936,5017.857142857143,5017.857142857143,5017.857142857143,5017.857142857143,5017.341269841269,5003.452380952381,5003.452380952381,4988.789682539683,4977.5,4977.5,4951.746031746032,4951.746031746032,4926.984126984127,4923.630952380952,4913.253968253968,4899.4047619047615,4892.916666666667,4892.916666666667,4892.916666666667,4887.341269841269,4887.341269841269,4887.063492063492,4885.853174603175,4881.388888888889,4879.285714285715,4872.996031746032,4861.309523809524,4850.952380952381,4850.952380952381,4850.952380952381,4850.178571428572,4841.746031746032,4836.269841269841,4820.773809523809,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4818.690476190476,4806.230158730159,4800.793650793651,4773.035714285715,4773.035714285715,4751.269841269841,4739.444444444444,4739.444444444444,4729.4047619047615,4706.646825396825,4697.6984126984125,4697.242063492064,4697.162698412699,4697.162698412699,4673.373015873016,4665.6547619047615,4659.146825396825,4656.825396825397,4656.825396825397,4655.2182539682535,4647.837301587301,4645.257936507936,4641.706349206349,4628.353174603175,4628.253968253968,4618.888888888889,4618.888888888889,4618.888888888889,4618.888888888889,4616.111111111111,4606.984126984127,4606.984126984127,4606.984126984127
TILJSZO,O,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X
TILJZSO,O,X,O,X,X,X,X,O,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,X,O,X,X,X,X,O,X,O,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILJOSZ,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TILJOZS,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,O,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X
TILSJZO,O,X,X,X,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O
