sequence,v115@HhB8GeC8FeE8EeB8Jem/IvhFzgBXjBUnBCnBlqBxwB,v115@HhB8GeC8FeE8EeB8Jem/IvhFChBxiBTmB0qBXsBlsB,v115@HhB8GeC8FeE8EeB8Jem/IvhFFiBXjBxqBTsBCrBUrB,v115@HhB8GeC8FeE8EeB8Jex/IvhFFjB2qBCnBTsB8qB3rB,v115@HhB8GeC8FeE8EeB8Jex/IvhF2nB/qBFmBCoBUsBTrB,v115@HhB8GeC8FeE8EeB8Jex/IvhFymBXjBTlB0mB+sBVwB,v115@HhB8GeC8FeE8EeB8Jem/IvhFXjBRmBFmB0qBCsBTsB,v115@HhB8GeC8FeE8EeB8Jem/IvhFzgBRnBCoBlqB3rBUsB,v115@HhB8GeC8FeE8EeB8Jex/IvhFFiBXjBilB+rB8qBTsB,v115@HhB8GeC8FeE8EeB8Jex/IvhF0hBXjBlqBCsBmqBTsB,v115@HhB8GeC8FeE8EeB8Jex/IvhF0hBXjBmqBCsBlqBTsB,v115@HhB8GeC8FeE8EeB8Je3AJvhFFjBxmBmkBzqBCsBUsB,v115@HhB8GeC8FeE8EeB8Je1FJvhF0hBXjBmkBTnBCrBxwB,v115@HhB8GeC8FeE8EeB8Jem/IvhFzgBRnB3mBCoB0qBVxB,v115@HhB8GeC8FeE8EeB8Jex/IvhFzhBFjBilB+sB8qB3rB,v115@HhB8GeC8FeE8EeB8Jem/IvhFChBXjB0qBxrBlrBTsB
TILJSZO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TILJSOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TILJZSO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TILJZOS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TILJOSZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TILSJZO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TILSJOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSZJO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TILSZOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILSOJZ,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TILSOZJ,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TILZJSO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TILZJOS,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TILZSJO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TILZSOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TILOJSZ,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X
TILOJZS,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TILOSJZ,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X
TILOSZJ,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TILOZJS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TIJLSZO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
