sequence,v115@RhA8AeC8EeG8AeA8Ke2EJvhFXhB8mBziB5oBClBlsB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBymBziB5oBGmBlsB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBFhBeoB5oBzmB6sB,v115@RhA8AeC8EeG8AeA8Ke2EJvhFXhBliB5oBzmB8sBCqB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBFhBxiBzmBCtBGtB,v115@RhA8AeC8EeG8AeA8KeUBJvhFGjBxkB6sB/tBlpBzrB
TIOZLSJ,O,O,X,O,X,X
TIOZJLS,O,X,X,O,X,X
TIOZJSL,O,X,O,O,X,X
TIOZSLJ,O,O,O,O,O,X
TIOZSJL,O,O,O,O,O,X
TLIJSZO,X,O,X,X,X,X
TLIJSOZ,X,O,X,X,X,X
TLIJZSO,O,X,X,X,X,X
TLIJZOS,O,X,X,X,X,X
TLIJOSZ,X,O,X,X,X,X
TLIJOZS,O,X,X,X,X,X
TLISJZO,X,O,X,X,X,O
TLISJOZ,X,O,X,X,X,X
TLISZJO,X,O,X,X,X,O
TLISZOJ,X,O,O,X,X,X
TLISOJZ,X,O,O,X,X,X
TLISOZJ,X,O,O,X,X,X
TLIZJSO,O,X,X,X,X,X
TLIZJOS,O,X,X,X,X,X
TLIZSJO,O,O,X,X,X,O
TLIZSOJ,O,O,X,X,X,X
TLIZOJS,O,X,X,X,X,X
TLIZOSJ,O,O,X,X,X,X
TLIOJSZ,X,O,O,X,X,X
TLIOJZS,O,X,X,X,X,X
TLIOSJZ,X,O,O,X,X,X
TLIOSZJ,X,O,O,X,X,X
TLIOZJS,O,X,X,X,X,X
TLIOZSJ,O,O,X,X,X,X
TLJISZO,X,O,X,X,X,X
TLJISOZ,X,O,X,X,X,X
TLJIZSO,O,X,X,X,X,X
TLJIZOS,O,X,X,X,X,X
TLJIOSZ,X,O,X,X,X,X
TLJIOZS,O,X,X,X,X,X
TLJSIZO,X,O,X,X,X,X
TLJSIOZ,X,O,X,X,X,X
TLJSZIO,X,O,X,X,X,X
TLJSZOI,X,O,X,X,X,X
TLJSOIZ,X,O,X,X,X,X
TLJSOZI,X,O,X,X,X,X
TLJZISO,O,X,X,X,X,X
TLJZIOS,O,X,X,X,X,X
TLJZSIO,O,X,X,X,X,X
TLJZSOI,O,X,X,X,X,X
TLJZOIS,O,X,X,X,X,X
TLJZOSI,O,X,X,X,X,X
TLJOISZ,X,O,X,X,X,X
TLJOIZS,O,X,X,X,X,X
TLJOSIZ,X,O,X,X,X,X
TLJOSZI,X,O,X,X,X,X
TLJOZIS,O,X,X,X,X,X
TLJOZSI,O,X,X,X,X,X
TLSIJZO,X,O,X,X,X,O
TLSIJOZ,X,O,X,X,X,X
TLSIZJO,X,O,X,X,X,O
TLSIZOJ,X,O,O,X,X,X
TLSIOJZ,X,O,O,X,X,X
TLSIOZJ,X,O,O,X,X,X
TLSJIZO,X,O,X,X,X,O
TLSJIOZ,X,O,X,X,X,X
TLSJZIO,X,O,X,X,X,O
TLSJZOI,X,O,X,X,X,X
TLSJOIZ,X,O,X,X,X,X
TLSJOZI,X,O,X,X,X,X
TLSZIJO,X,O,X,X,X,O
TLSZIOJ,X,O,O,X,X,X
TLSZJIO,X,O,X,X,X,O
TLSZJOI,X,O,X,X,X,X
TLSZOIJ,X,O,O,X,O,X
TLSZOJI,X,O,O,X,O,X
TLSOIJZ,X,O,O,X,O,X
TLSOIZJ,X,O,O,X,O,X
TLSOJIZ,X,O,O,X,O,X
TLSOJZI,X,O,O,X,O,X
TLSOZIJ,X,O,O,X,O,X
TLSOZJI,X,O,O,X,O,X
TLZIJSO,O,X,X,X,X,X
TLZIJOS,O,X,X,X,X,X
TLZISJO,O,O,X,X,X,O
TLZISOJ,O,O,X,X,X,X
TLZIOJS,O,X,X,X,X,X
TLZIOSJ,O,O,X,X,X,X
TLZJISO,O,X,X,X,X,X
