sequence,v115@RhA8AeC8EeG8AeA8Ke2EJvhFXhB8mBziB5oBClBlsB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBymBziB5oBGmBlsB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBFhBeoB5oBzmB6sB,v115@RhA8AeC8EeG8AeA8Ke2EJvhFXhBliB5oBzmB8sBCqB,v115@RhA8AeC8EeG8AeA8Ke/EJvhFUgBFhBxiBzmBCtBGtB,v115@RhA8AeC8EeG8AeA8KeUBJvhFGjBxkB6sB/tBlpBzrB
TOLSJZI,X,O,O,X,O,X
TOLSZIJ,X,O,O,X,O,X
TOLSZJI,X,O,O,X,O,X
TOLZIJS,O,X,X,X,X,X
TOLZISJ,O,O,X,X,O,X
TOLZJIS,O,X,X,X,X,X
TOLZJSI,O,X,X,X,X,X
TOLZSIJ,O,O,X,X,O,X
TOLZSJI,O,O,X,X,O,X
TOJILSZ,X,O,O,X,X,X
TOJILZS,O,X,X,X,X,X
TOJISLZ,X,O,O,X,X,X
TOJISZL,O,O,O,O,O,X
TOJIZLS,O,X,X,O,X,X
TOJIZSL,O,X,O,O,X,X
TOJLISZ,X,O,O,X,O,X
TOJLIZS,O,X,X,X,X,X
TOJLSIZ,X,O,O,X,O,X
TOJLSZI,X,O,O,X,O,X
TOJLZIS,O,X,X,X,X,X
TOJLZSI,O,X,X,X,X,X
TOJSILZ,X,O,O,X,X,X
TOJSIZL,O,O,O,O,O,X
TOJSLIZ,X,O,O,X,O,X
TOJSLZI,X,O,O,X,O,X
TOJSZIL,O,O,O,O,O,X
TOJSZLI,O,O,O,O,O,X
TOJZILS,O,X,X,O,X,X
TOJZISL,O,X,O,O,X,X
TOJZLIS,O,X,X,O,X,X
TOJZLSI,O,X,X,O,X,X
TOJZSIL,O,X,O,O,X,X
TOJZSLI,O,X,O,O,X,X
TOSILJZ,X,O,O,X,O,X
TOSILZJ,X,O,O,X,O,X
TOSIJLZ,X,O,O,X,X,X
TOSIJZL,O,O,O,O,O,X
TOSIZLJ,O,O,O,O,O,X
TOSIZJL,O,O,O,O,O,X
TOSLIJZ,X,O,O,X,O,X
TOSLIZJ,X,O,O,X,O,X
TOSLJIZ,X,O,O,X,O,X
TOSLJZI,X,O,O,X,O,X
TOSLZIJ,X,O,O,X,O,X
TOSLZJI,X,O,O,X,O,X
TOSJILZ,X,O,O,X,X,X
TOSJIZL,O,O,O,O,O,X
TOSJLIZ,X,O,O,X,O,X
TOSJLZI,X,O,O,X,O,X
TOSJZIL,O,O,O,O,O,X
TOSJZLI,O,O,O,O,O,X
TOSZILJ,O,O,O,O,O,X
TOSZIJL,O,O,O,O,O,X
TOSZLIJ,O,O,O,O,O,X
TOSZLJI,O,O,O,O,O,X
TOSZJIL,O,O,O,O,O,X
TOSZJLI,O,O,O,O,O,X
TOZILJS,O,X,X,O,X,X
TOZILSJ,O,O,X,O,X,X
TOZIJLS,O,X,X,O,X,X
TOZIJSL,O,X,O,O,X,X
TOZISLJ,O,O,O,O,O,X
TOZISJL,O,O,O,O,O,X
TOZLIJS,O,X,X,O,X,X
TOZLISJ,O,O,X,O,O,X
TOZLJIS,O,X,X,O,X,X
TOZLJSI,O,X,X,O,X,X
TOZLSIJ,O,O,X,O,O,X
TOZLSJI,O,O,X,O,O,X
TOZJILS,O,X,X,O,X,X
TOZJISL,O,X,O,O,X,X
TOZJLIS,O,X,X,O,X,X
TOZJLSI,O,X,X,O,X,X
TOZJSIL,O,X,O,O,X,X
TOZJSLI,O,X,O,O,X,X
TOZSILJ,O,O,O,O,O,X
TOZSIJL,O,O,O,O,O,X
TOZSLIJ,O,O,O,O,O,X
TOZSLJI,O,O,O,O,O,X
TOZSJIL,O,O,O,O,O,X
TOZSJLI,O,O,O,O,O,X
ITLJSZO,X,O,X,X,X,X
ITLJSOZ,X,O,X,X,X,X
ITLJZSO,O,X,X,X,X,X
ITLJZOS,O,X,X,X,X,X
ITLJOSZ,X,O,X,X,X,X
ITLJOZS,O,X,X,X,X,X
ITLSJZO,X,O,X,X,X,O
ITLSJOZ,X,O,X,X,X,X
ITLSZJO,X,O,X,X,X,O
ITLSZOJ,X,O,O,X,X,X
ITLSOJZ,X,O,O,X,X,X
ITLSOZJ,X,O,O,X,X,X
ITLZJSO,O,X,X,X,X,X
ITLZJOS,O,X,X,X,X,X
ITLZSJO,O,O,X,X,X,O
ITLZSOJ,O,O,X,X,X,X
ITLZOJS,O,X,X,X,X,X
ITLZOSJ,O,O,X,X,X,X
ITLOJSZ,X,O,O,X,X,X
ITLOJZS,O,X,X,X,X,X
ITLOSJZ,X,O,O,X,X,X
ITLOSZJ,X,O,O,X,X,X
ITLOZJS,O,X,X,X,X,X
ITLOZSJ,O,O,X,X,X,X
ITJLSZO,X,O,X,X,X,X
ITJLSOZ,X,O,X,X,X,X
ITJLZSO,O,X,X,X,X,X
ITJLZOS,O,X,X,X,X,X
ITJLOSZ,X,O,X,X,X,X
ITJLOZS,O,X,X,X,X,X
ITJSLZO,X,O,X,X,X,X
ITJSLOZ,X,O,X,X,X,X
ITJSZLO,O,O,X,X,X,X
ITJSZOL,O,O,O,X,X,X
ITJSOLZ,X,O,O,X,X,X
ITJSOZL,O,O,O,O,X,X
ITJZLSO,O,X,X,X,X,X
ITJZLOS,O,X,X,X,X,X
ITJZSLO,O,X,X,X,X,X
ITJZSOL,O,X,X,X,X,X
ITJZOLS,O,X,X,O,X,X
ITJZOSL,O,X,X,O,X,X
ITJOLSZ,X,O,O,X,X,X
ITJOLZS,O,X,X,X,X,X
ITJOSLZ,X,O,O,X,X,X
ITJOSZL,O,O,O,O,X,X
ITJOZLS,O,X,X,O,X,X
ITJOZSL,O,X,O,O,X,X
ITSLJZO,X,O,X,X,X,O
ITSLJOZ,X,O,X,X,X,X
ITSLZJO,X,O,X,X,X,O
ITSLZOJ,X,O,O,X,X,X
ITSLOJZ,X,O,O,X,X,X
ITSLOZJ,X,O,O,X,X,X
ITSJLZO,X,O,X,X,X,O
ITSJLOZ,X,O,X,X,X,X
ITSJZLO,O,O,X,X,X,X
ITSJZOL,O,O,O,X,X,X
ITSJOLZ,X,O,O,X,X,X
ITSJOZL,O,O,O,O,X,X
ITSZLJO,O,O,X,X,X,O
ITSZLOJ,O,O,O,X,X,X
ITSZJLO,O,O,X,X,X,X
ITSZJOL,O,O,O,X,X,X
ITSZOLJ,O,O,O,X,O,X
ITSZOJL,O,O,O,X,O,X
ITSOLJZ,X,O,O,X,O,X
ITSOLZJ,X,O,O,X,O,X
ITSOJLZ,X,O,O,X,X,X
ITSOJZL,O,O,O,O,O,X
ITSOZLJ,O,O,O,O,O,X
ITSOZJL,O,O,O,O,O,X
ITZLJSO,O,X,X,X,X,X
ITZLJOS,O,X,X,X,X,X
ITZLSJO,O,O,X,X,X,O
ITZLSOJ,O,O,X,X,X,X
ITZLOJS,O,X,X,X,X,X
ITZLOSJ,O,O,X,X,X,X
ITZJLSO,O,X,X,X,X,X
ITZJLOS,O,X,X,X,X,X
ITZJSLO,O,X,X,X,X,X
ITZJSOL,O,X,X,X,X,X
ITZJOLS,O,X,X,O,X,X
ITZJOSL,O,X,X,O,X,X
ITZSLJO,O,O,X,X,X,O
ITZSLOJ,O,O,O,X,X,X
ITZSJLO,O,O,X,X,X,X
ITZSJOL,O,O,O,X,X,X
ITZSOLJ,O,O,O,X,X,X
ITZSOJL,O,O,O,X,X,X
ITZOLJS,O,X,X,O,X,X
ITZOLSJ,O,O,X,O,X,X
ITZOJLS,O,X,X,O,X,X
ITZOJSL,O,X,O,O,X,X
ITZOSLJ,O,O,O,O,X,X
ITZOSJL,O,O,O,O,X,X
ITOLJSZ,X,O,O,X,O,X
ITOLJZS,O,X,X,X,X,X
ITOLSJZ,X,O,O,X,O,X
ITOLSZJ,X,O,O,X,O,X
ITOLZJS,O,X,X,X,X,X
ITOLZSJ,O,O,X,X,O,X
ITOJLSZ,X,O,O,X,X,X
ITOJLZS,O,X,X,X,X,X
ITOJSLZ,X,O,O,X,X,X
ITOJSZL,O,O,O,O,O,X
ITOJZLS,O,X,X,O,X,X
ITOJZSL,O,X,O,O,X,X
ITOSLJZ,X,O,O,X,O,X
ITOSLZJ,X,O,O,X,O,X
ITOSJLZ,X,O,O,X,X,X
ITOSJZL,O,O,O,O,O,X
ITOSZLJ,O,O,O,O,O,X
ITOSZJL,O,O,O,O,O,X
ITOZLJS,O,X,X,O,X,X
ITOZLSJ,O,O,X,O,X,X
ITOZJLS,O,X,X,O,X,X
ITOZJSL,O,X,O,O,X,X
ITOZSLJ,O,O,O,O,O,X
ITOZSJL,O,O,O,O,O,X
ILTJSZO,X,O,X,X,X,X
ILTJSOZ,X,O,X,X,X,X
ILTJZSO,O,X,X,X,X,X
ILTJZOS,O,X,X,X,X,X
ILTJOSZ,X,O,X,X,X,X
ILTJOZS,O,X,X,X,X,X
ILTSJZO,X,O,X,X,X,O
ILTSJOZ,X,O,X,X,X,X
ILTSZJO,X,O,X,X,X,O
ILTSZOJ,X,O,O,X,X,X
ILTSOJZ,X,O,O,X,X,X
ILTSOZJ,X,O,O,X,X,X
ILTZJSO,O,X,X,X,X,X
ILTZJOS,O,X,X,X,X,X
ILTZSJO,O,O,X,X,X,O
ILTZSOJ,O,O,X,X,X,X
ILTZOJS,O,X,X,X,X,X
ILTZOSJ,O,O,X,X,X,X
ILTOJSZ,X,O,O,X,X,X
ILTOJZS,O,X,X,X,X,X
ILTOSJZ,X,O,O,X,X,X
ILTOSZJ,X,O,O,X,X,X
ILTOZJS,O,X,X,X,X,X
ILTOZSJ,O,O,X,X,X,X
ILJTSZO,X,O,X,X,X,X
ILJTSOZ,X,O,X,X,X,X
ILJTZSO,O,X,X,X,X,X
ILJTZOS,O,X,X,X,X,X
ILJTOSZ,X,O,X,X,X,X
ILJTOZS,O,X,X,X,X,X
ILJSTZO,X,O,X,X,X,O
ILJSTOZ,X,O,X,X,X,X
ILJSZTO,O,O,X,X,X,O
ILJSZOT,X,X,O,X,X,O
ILJSOTZ,X,X,O,X,X,X
ILJSOZT,X,X,O,O,X,O
ILJZTSO,O,X,X,X,X,X
ILJZTOS,O,X,X,X,X,X
ILJZSTO,O,X,X,X,X,O
ILJZSOT,X,X,X,X,X,O
ILJZOTS,X,X,X,O,X,X
ILJZOST,X,X,X,O,X,X
ILJOTSZ,X,X,O,X,X,X
ILJOTZS,X,X,X,X,X,X
ILJOSTZ,X,X,O,X,X,X
ILJOSZT,X,X,O,O,X,X
ILJOZTS,X,X,X,O,X,X
ILJOZST,X,X,X,O,X,X
ILSTJZO,X,O,X,X,X,O
ILSTJOZ,X,O,X,X,X,X
ILSTZJO,X,O,X,X,X,O
ILSTZOJ,X,O,O,X,X,X
ILSTOJZ,X,O,O,X,X,X
ILSTOZJ,X,O,O,X,X,X
ILSJTZO,X,O,X,X,X,O
ILSJTOZ,X,O,X,X,X,X
ILSJZTO,O,O,X,X,X,O
ILSJZOT,X,X,O,X,X,O
ILSJOTZ,X,X,O,X,X,X
ILSJOZT,X,X,O,O,X,O
ILSZTJO,O,O,X,X,X,O
ILSZTOJ,O,O,O,X,X,X
ILSZJTO,O,O,X,X,X,O
ILSZJOT,X,X,O,X,X,O
ILSZOTJ,X,O,O,X,O,X
ILSZOJT,X,X,O,X,O,O
ILSOTJZ,X,O,O,X,O,X
ILSOTZJ,X,O,O,X,O,X
ILSOJTZ,X,X,O,X,O,X
ILSOJZT,X,X,O,O,O,O
ILSOZTJ,X,O,O,O,O,X
ILSOZJT,X,X,O,O,O,O
ILZTJSO,O,X,X,X,X,X
ILZTJOS,O,X,X,X,X,X
ILZTSJO,O,O,X,X,X,O
ILZTSOJ,O,O,X,X,X,X
ILZTOJS,O,X,X,X,X,X
ILZTOSJ,O,O,X,X,X,X
ILZJTSO,O,X,X,X,X,X
ILZJTOS,O,X,X,X,X,X
ILZJSTO,O,X,X,X,X,O
ILZJSOT,X,X,X,X,X,O
ILZJOTS,X,X,X,O,X,X
ILZJOST,X,X,X,O,X,X
ILZSTJO,O,O,X,X,X,O
ILZSTOJ,O,O,X,X,X,X
ILZSJTO,O,O,X,X,X,O
ILZSJOT,X,X,X,X,X,O
ILZSOTJ,X,O,X,X,X,X
ILZSOJT,X,X,X,X,X,O
ILZOTJS,X,X,X,O,X,X
ILZOTSJ,X,X,X,O,X,X
ILZOJTS,X,X,X,O,X,X
ILZOJST,X,X,X,O,X,X
ILZOSTJ,X,X,X,O,X,X
ILZOSJT,X,X,X,O,X,O
ILOTJSZ,X,O,O,X,O,X
ILOTJZS,X,X,X,X,X,X
ILOTSJZ,X,O,O,X,O,X
ILOTSZJ,X,O,O,X,O,X
ILOTZJS,X,X,X,X,X,X
ILOTZSJ,X,O,X,X,O,X
ILOJTSZ,X,X,O,X,O,X
ILOJTZS,X,X,X,X,X,X
ILOJSTZ,X,X,O,X,O,X
ILOJSZT,X,X,O,O,O,X
ILOJZTS,X,X,X,O,X,X
ILOJZST,X,X,X,O,X,X
ILOSTJZ,X,O,O,X,O,X
ILOSTZJ,X,O,O,X,O,X
ILOSJTZ,X,X,O,X,O,X
ILOSJZT,X,X,O,O,O,O
ILOSZTJ,X,O,O,O,O,X
ILOSZJT,X,X,O,O,O,O
ILOZTJS,X,X,X,O,X,X
ILOZTSJ,X,X,X,O,O,X
ILOZJTS,X,X,X,O,X,X
ILOZJST,X,X,X,O,X,X
ILOZSTJ,X,X,X,O,O,X
ILOZSJT,X,X,X,O,O,O
IJTLSZO,X,O,X,X,X,X
IJTLSOZ,X,O,X,X,X,X
IJTLZSO,O,X,X,X,X,X
IJTLZOS,O,X,X,X,X,X
IJTLOSZ,X,O,X,X,X,X
IJTLOZS,O,X,X,X,X,X
IJTSLZO,X,O,X,X,X,X
IJTSLOZ,X,O,X,X,X,X
IJTSZLO,O,O,X,X,X,X
IJTSZOL,O,O,O,X,X,X
IJTSOLZ,X,O,O,X,X,X
IJTSOZL,O,O,O,O,X,X
IJTZLSO,O,X,X,X,X,X
IJTZLOS,O,X,X,X,X,X
IJTZSLO,O,X,X,X,X,X
IJTZSOL,O,X,X,X,X,X
IJTZOLS,O,X,X,O,X,X
IJTZOSL,O,X,X,O,X,X
IJTOLSZ,X,O,O,X,X,X
IJTOLZS,O,X,X,X,X,X
IJTOSLZ,X,O,O,X,X,X
IJTOSZL,O,O,O,O,X,X
IJTOZLS,O,X,X,O,X,X
IJTOZSL,O,X,O,O,X,X
IJLTSZO,X,O,X,X,X,X
IJLTSOZ,X,O,X,X,X,X
IJLTZSO,O,X,X,X,X,X
IJLTZOS,O,X,X,X,X,X
IJLTOSZ,X,O,X,X,X,X
IJLTOZS,O,X,X,X,X,X
IJLSTZO,X,O,X,X,X,O
IJLSTOZ,X,O,X,X,X,X
IJLSZTO,O,O,X,X,X,O
IJLSZOT,X,X,O,X,X,O
IJLSOTZ,X,X,O,X,X,X
IJLSOZT,X,X,O,O,X,O
IJLZTSO,O,X,X,X,X,X
IJLZTOS,O,X,X,X,X,X
IJLZSTO,O,X,X,X,X,O
IJLZSOT,X,X,X,X,X,O
IJLZOTS,X,X,X,O,X,X
IJLZOST,X,X,X,O,X,X
IJLOTSZ,X,X,O,X,X,X
IJLOTZS,X,X,X,X,X,X
IJLOSTZ,X,X,O,X,X,X
IJLOSZT,X,X,O,O,X,X
IJLOZTS,X,X,X,O,X,X
IJLOZST,X,X,X,O,X,X
IJSTLZO,X,O,X,X,X,O
IJSTLOZ,X,O,X,X,X,X
IJSTZLO,O,O,X,X,X,X
IJSTZOL,O,O,O,X,X,X
IJSTOLZ,X,O,O,X,X,X
IJSTOZL,O,O,O,O,X,X
IJSLTZO,X,O,X,X,X,O
IJSLTOZ,X,O,X,X,X,X
IJSLZTO,O,O,X,X,X,O
IJSLZOT,X,X,O,X,X,O
IJSLOTZ,X,X,O,X,X,X
IJSLOZT,X,X,O,O,X,O
IJSZTLO,O,O,X,X,X,X
IJSZTOL,O,O,O,X,X,X
IJSZLTO,O,O,X,X,X,O
IJSZLOT,X,X,O,X,X,O
IJSZOTL,O,X,O,O,X,X
IJSZOLT,X,X,O,O,X,X
IJSOTLZ,X,X,O,X,X,X
IJSOTZL,X,X,O,O,X,X
IJSOLTZ,X,X,O,X,X,X
IJSOLZT,X,X,O,O,X,O
IJSOZTL,O,X,O,O,X,X
IJSOZLT,X,X,O,O,X,X
IJZTLSO,O,X,X,X,X,X
IJZTLOS,O,X,X,X,X,X
IJZTSLO,O,X,X,X,X,X
IJZTSOL,O,X,X,X,X,X
IJZTOLS,O,X,X,O,X,X
IJZTOSL,O,X,X,O,X,X
IJZLTSO,O,X,X,X,X,X
IJZLTOS,O,X,X,X,X,X
IJZLSTO,O,X,X,X,X,O
IJZLSOT,X,X,X,X,X,O
IJZLOTS,X,X,X,O,X,X
IJZLOST,X,X,X,O,X,X
IJZSTLO,O,X,X,X,X,X
IJZSTOL,O,X,O,X,X,X
IJZSLTO,O,X,X,X,X,O
IJZSLOT,X,X,O,X,X,O
IJZSOTL,O,X,O,O,X,X
IJZSOLT,X,X,O,O,X,X
IJZOTLS,O,X,X,O,X,X
IJZOTSL,O,X,O,O,X,X
IJZOLTS,X,X,X,O,X,X
IJZOLST,X,X,X,O,X,X
IJZOSTL,O,X,O,O,X,X
IJZOSLT,X,X,O,O,X,X
IJOTLSZ,X,X,O,X,X,X
IJOTLZS,O,X,X,X,X,X
IJOTSLZ,X,X,O,X,X,X
IJOTSZL,O,X,O,O,X,X
IJOTZLS,O,X,X,O,X,X
IJOTZSL,O,X,O,O,X,X
IJOLTSZ,X,X,O,X,X,X
IJOLTZS,X,X,X,X,X,X
IJOLSTZ,X,X,O,X,X,X
IJOLSZT,X,X,O,O,X,X
IJOLZTS,X,X,X,O,X,X
IJOLZST,X,X,X,O,X,X
IJOSTLZ,X,X,O,X,X,X
IJOSTZL,X,X,O,O,X,X
IJOSLTZ,X,X,O,X,X,X
IJOSLZT,X,X,O,O,X,X
IJOSZTL,O,X,O,O,X,X
IJOSZLT,X,X,O,O,X,X
IJOZTLS,O,X,X,O,X,X
IJOZTSL,O,X,O,O,X,X
IJOZLTS,X,X,X,O,X,X
IJOZLST,X,X,X,O,X,X
IJOZSTL,O,X,O,O,X,X
IJOZSLT,X,X,O,O,X,X
ISTLJZO,X,O,X,X,X,O
ISTLJOZ,X,O,X,X,X,X
ISTLZJO,X,O,X,X,X,O
ISTLZOJ,X,O,O,X,X,X
ISTLOJZ,X,O,O,X,X,X
ISTLOZJ,X,O,O,X,X,X
ISTJLZO,X,O,X,X,X,O
ISTJLOZ,X,O,X,X,X,X
ISTJZLO,O,O,X,X,X,X
ISTJZOL,O,O,O,X,X,X
ISTJOLZ,X,O,O,X,X,X
ISTJOZL,O,O,O,O,X,X
ISTZLJO,O,O,X,X,X,O
ISTZLOJ,O,O,O,X,X,X
ISTZJLO,O,O,X,X,X,X
ISTZJOL,O,O,O,X,X,X
ISTZOLJ,O,O,O,X,O,X
ISTZOJL,O,O,O,X,O,X
ISTOLJZ,X,O,O,X,O,X
ISTOLZJ,X,O,O,X,O,X
ISTOJLZ,X,O,O,X,X,X
ISTOJZL,O,O,O,O,O,X
ISTOZLJ,O,O,O,O,O,X
ISTOZJL,O,O,O,O,O,X
ISLTJZO,X,O,X,X,X,O
ISLTJOZ,X,O,X,X,X,X
ISLTZJO,X,O,X,X,X,O
ISLTZOJ,X,O,O,X,X,X
ISLTOJZ,X,O,O,X,X,X
ISLTOZJ,X,O,O,X,X,X
ISLJTZO,X,O,X,X,X,O
ISLJTOZ,X,O,X,X,X,X
ISLJZTO,O,O,X,X,X,O
ISLJZOT,X,X,O,X,X,O
ISLJOTZ,X,X,O,X,X,X
ISLJOZT,X,X,O,O,X,O
ISLZTJO,O,O,X,X,X,O
ISLZTOJ,O,O,O,X,X,X
ISLZJTO,O,O,X,X,X,O
ISLZJOT,X,X,O,X,X,O
ISLZOTJ,X,O,O,X,O,X
ISLZOJT,X,X,O,X,O,O
ISLOTJZ,X,O,O,X,O,X
ISLOTZJ,X,O,O,X,O,X
ISLOJTZ,X,X,O,X,O,X
ISLOJZT,X,X,O,O,O,O
ISLOZTJ,X,O,O,O,O,X
ISLOZJT,X,X,O,O,O,O
ISJTLZO,X,O,X,X,X,O
ISJTLOZ,X,O,X,X,X,X
ISJTZLO,O,O,X,X,X,X
ISJTZOL,O,O,O,X,X,X
ISJTOLZ,X,O,O,X,X,X
ISJTOZL,O,O,O,O,X,X
ISJLTZO,X,O,X,X,X,O
ISJLTOZ,X,O,X,X,X,X
ISJLZTO,O,O,X,X,X,O
ISJLZOT,X,X,O,X,X,O
ISJLOTZ,X,X,O,X,X,X
ISJLOZT,X,X,O,O,X,O
ISJZTLO,O,O,X,X,X,X
ISJZTOL,O,O,O,X,X,X
ISJZLTO,O,O,X,X,X,O
ISJZLOT,X,X,O,X,X,O
ISJZOTL,O,X,O,O,X,X
ISJZOLT,X,X,O,O,X,X
ISJOTLZ,X,X,O,X,X,X
ISJOTZL,X,X,O,O,X,X
ISJOLTZ,X,X,O,X,X,X
ISJOLZT,X,X,O,O,X,O
ISJOZTL,O,X,O,O,X,X
ISJOZLT,X,X,O,O,X,X
ISZTLJO,O,O,X,X,X,O
ISZTLOJ,O,O,O,X,X,X
ISZTJLO,O,O,X,X,X,X
ISZTJOL,O,O,O,X,X,X
ISZTOLJ,O,O,O,X,O,X
ISZTOJL,O,O,O,X,O,X
ISZLTJO,O,O,X,X,X,O
ISZLTOJ,O,O,O,X,X,X
ISZLJTO,O,O,X,X,X,O
ISZLJOT,X,X,O,X,X,O
ISZLOTJ,X,O,O,X,O,X
ISZLOJT,X,X,O,X,O,O
ISZJTLO,O,O,X,X,X,X
ISZJTOL,O,O,O,X,X,X
ISZJLTO,O,O,X,X,X,O
ISZJLOT,X,X,O,X,X,O
ISZJOTL,O,X,O,O,X,X
ISZJOLT,X,X,O,O,X,X
ISZOTLJ,O,O,O,O,O,X
ISZOTJL,O,O,O,O,O,X
ISZOLTJ,X,O,O,O,O,X
ISZOLJT,X,X,O,O,O,O
ISZOJTL,O,X,O,O,O,X
ISZOJLT,X,X,O,O,X,X
ISOTLJZ,X,O,O,X,O,X
ISOTLZJ,X,O,O,X,O,X
ISOTJLZ,X,O,O,X,X,X
ISOTJZL,X,O,O,O,O,X
ISOTZLJ,X,O,O,O,O,X
ISOTZJL,X,O,O,O,O,X
ISOLTJZ,X,O,O,X,O,X
ISOLTZJ,X,O,O,X,O,X
ISOLJTZ,X,X,O,X,O,X
ISOLJZT,X,X,O,O,O,O
ISOLZTJ,X,O,O,O,O,X
ISOLZJT,X,X,O,O,O,O
ISOJTLZ,X,X,O,X,X,X
ISOJTZL,X,X,O,O,O,X
ISOJLTZ,X,X,O,X,X,X
ISOJLZT,X,X,O,O,X,O
ISOJZTL,O,X,O,O,O,X
ISOJZLT,X,X,O,O,X,X
ISOZTLJ,O,O,O,O,O,X
ISOZTJL,O,O,O,O,O,X
ISOZLTJ,X,O,O,O,O,X
ISOZLJT,X,X,O,O,O,O
ISOZJTL,O,X,O,O,O,X
ISOZJLT,X,X,O,O,X,X
IZTLJSO,O,X,X,X,X,X
IZTLJOS,O,X,X,X,X,X
IZTLSJO,O,O,X,X,X,O
IZTLSOJ,O,O,X,X,X,X
IZTLOJS,O,X,X,X,X,X
IZTLOSJ,O,O,X,X,X,X
IZTJLSO,O,X,X,X,X,X
IZTJLOS,O,X,X,X,X,X
IZTJSLO,O,X,X,X,X,X
IZTJSOL,O,X,X,X,X,X
IZTJOLS,O,X,X,O,X,X
IZTJOSL,O,X,X,O,X,X
IZTSLJO,O,O,X,X,X,O
IZTSLOJ,O,O,O,X,X,X
IZTSJLO,O,O,X,X,X,X
IZTSJOL,O,O,O,X,X,X
IZTSOLJ,O,O,O,X,X,X
IZTSOJL,O,O,O,X,X,X
IZTOLJS,O,X,X,O,X,X
IZTOLSJ,O,O,X,O,X,X
IZTOJLS,O,X,X,O,X,X
IZTOJSL,O,X,O,O,X,X
IZTOSLJ,O,O,O,O,X,X
IZTOSJL,O,O,O,O,X,X
IZLTJSO,O,X,X,X,X,X
IZLTJOS,O,X,X,X,X,X
IZLTSJO,O,O,X,X,X,O
IZLTSOJ,O,O,X,X,X,X
IZLTOJS,O,X,X,X,X,X
IZLTOSJ,O,O,X,X,X,X
IZLJTSO,O,X,X,X,X,X
IZLJTOS,O,X,X,X,X,X
IZLJSTO,O,X,X,X,X,O
IZLJSOT,X,X,X,X,X,O
IZLJOTS,X,X,X,O,X,X
IZLJOST,X,X,X,O,X,X
IZLSTJO,O,O,X,X,X,O
IZLSTOJ,O,O,X,X,X,X
IZLSJTO,O,O,X,X,X,O
IZLSJOT,X,X,X,X,X,O
IZLSOTJ,X,O,X,X,X,X
IZLSOJT,X,X,X,X,X,O
IZLOTJS,X,X,X,O,X,X
IZLOTSJ,X,X,X,O,X,X
IZLOJTS,X,X,X,O,X,X
IZLOJST,X,X,X,O,X,X
IZLOSTJ,X,X,X,O,X,X
IZLOSJT,X,X,X,O,X,O
IZJTLSO,O,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X
IZJTSLO,O,X,X,X,X,X
IZJTSOL,O,X,X,X,X,X
IZJTOLS,O,X,X,O,X,X
IZJTOSL,O,X,X,O,X,X
IZJLTSO,O,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X
IZJLSTO,O,X,X,X,X,O
IZJLSOT,X,X,X,X,X,O
IZJLOTS,X,X,X,O,X,X
IZJLOST,X,X,X,O,X,X
IZJSTLO,O,X,X,X,X,X
IZJSTOL,O,X,O,X,X,X
IZJSLTO,O,X,X,X,X,O
IZJSLOT,X,X,O,X,X,O
IZJSOTL,O,X,O,O,X,X
IZJSOLT,X,X,O,O,X,X
IZJOTLS,O,X,X,O,X,X
IZJOTSL,O,X,O,O,X,X
IZJOLTS,X,X,X,O,X,X
IZJOLST,X,X,X,O,X,X
IZJOSTL,O,X,O,O,X,X
IZJOSLT,X,X,O,O,X,X
IZSTLJO,O,O,X,X,X,O
IZSTLOJ,O,O,O,X,X,X
IZSTJLO,O,O,X,X,X,X
IZSTJOL,O,O,O,X,X,X
IZSTOLJ,O,O,O,X,X,X
IZSTOJL,O,O,O,X,X,X
IZSLTJO,O,O,X,X,X,O
IZSLTOJ,O,O,O,X,X,X
IZSLJTO,O,O,X,X,X,O
IZSLJOT,X,X,O,X,X,O
IZSLOTJ,X,O,O,X,X,X
IZSLOJT,X,X,O,X,X,O
IZSJTLO,O,O,X,X,X,X
IZSJTOL,O,O,O,X,X,X
IZSJLTO,O,O,X,X,X,O
IZSJLOT,X,X,O,X,X,O
IZSJOTL,O,X,O,O,X,X
IZSJOLT,X,X,O,O,X,X
IZSOTLJ,O,O,O,O,X,X
IZSOTJL,O,O,O,O,X,X
IZSOLTJ,X,O,O,O,X,X
IZSOLJT,X,X,O,O,X,O
IZSOJTL,O,X,O,O,X,X
IZSOJLT,X,X,O,O,X,X
IZOTLJS,O,X,X,O,X,X
IZOTLSJ,O,X,X,O,X,X
IZOTJLS,O,X,X,O,X,X
IZOTJSL,O,X,O,O,X,X
IZOTSLJ,O,X,O,O,X,X
IZOTSJL,O,X,O,O,X,X
IZOLTJS,X,X,X,O,X,X
IZOLTSJ,X,X,X,O,X,X
IZOLJTS,X,X,X,O,X,X
IZOLJST,X,X,X,O,X,X
IZOLSTJ,X,X,X,O,X,X
IZOLSJT,X,X,X,O,X,O
IZOJTLS,O,X,X,O,X,X
IZOJTSL,O,X,O,O,X,X
IZOJLTS,X,X,X,O,X,X
IZOJLST,X,X,X,O,X,X
IZOJSTL,O,X,O,O,X,X
IZOJSLT,X,X,O,O,X,X
IZOSTLJ,O,X,O,O,X,X
IZOSTJL,O,X,O,O,X,X
