sequence,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukB3gBCiB8?qBTnB1wB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBFhBTiB6?qBcrBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukB3gBlmBc?sBzqBCsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBFhBXiB6?qBcsBTrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBTiBllBc?rBXsBCrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBllBcrBT?nBCrBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JeZEJvhFukBfnB6nBl?lB0rBzqB,v115@FhB8HeB8BeA8EeB8AeB8DeC8Jei/IvhFRhB+nBcpBl?lBXrBzrB,v115@FhB8HeB8BeA8EeB8AeB8DeC8Jei/IvhFWnBcpBllBx?rBzqBXsB,v115@FhB8HeB8BeA8EeB8AeB8DeC8JexBJvhFTkBllB3mBc?sBipBWwB
TILJSZO,O,O,X,O,X,X,X,X,X,X
TILJSOZ,X,O,X,O,X,X,X,X,X,X
TILJZSO,O,O,X,O,O,X,O,X,O,X
TILJZOS,O,O,X,O,X,O,X,X,O,X
TILJOSZ,O,X,X,O,X,X,X,X,X,X
TILJOZS,O,O,X,O,X,X,X,X,X,X
TILSJZO,O,O,X,O,X,X,X,X,X,X
TILSJOZ,X,O,X,O,X,X,X,X,X,X
TILSZJO,O,O,X,O,X,X,X,X,X,X
TILSZOJ,O,O,X,O,X,X,X,X,X,X
TILSOJZ,X,O,X,O,X,X,X,X,X,X
TILSOZJ,X,O,X,O,X,X,X,X,X,X
TILZJSO,O,O,X,O,O,X,O,X,O,X
TILZJOS,O,O,X,O,X,O,X,X,O,X
TILZSJO,O,O,X,O,O,X,O,X,O,X
TILZSOJ,O,O,X,O,O,X,O,X,X,X
TILZOJS,O,O,X,O,X,O,X,X,O,X
TILZOSJ,O,O,X,O,X,X,X,X,X,X
TILOJSZ,O,X,X,O,X,X,X,X,X,X
TILOJZS,O,O,X,O,X,X,X,X,X,X
TILOSJZ,O,X,X,O,X,X,X,X,X,X
TILOSZJ,O,X,X,O,X,X,X,X,X,X
TILOZJS,O,O,X,O,X,X,X,X,X,X
TILOZSJ,O,O,X,O,X,X,X,X,X,X
