sequence,v115@GhA8GeC8BeA8EeB8AeB8DeC8Jei/IvhF3gBRiBcpBT?mBNsBWwB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je0/IvhFxgBiiBNpBG?mBzqBXsB,v115@GhA8GeC8BeA8EeB8AeB8DeC8JeZEJvhFukB9mBiiB0?lBXsBzqB,v115@GhA8GeC8BeA8EeB8AeB8DeC8JeZEJvhFtkB0gBmhBq?rB3nBzqB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je0/IvhF6lBmhBNpBT?mB3nBRwB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je9FJvhFOmB8mBTkB3?nBipBRwB
TLIOZSJ,X,O,X,O,O,X
TLJISZO,O,X,O,O,X,X
TLJISOZ,X,X,O,X,X,X
TLJIZSO,O,X,O,O,X,X
TLJIZOS,O,X,X,O,X,X
TLJIOSZ,X,X,X,O,X,X
TLJIOZS,X,X,X,O,X,X
TLJSIZO,O,O,O,O,X,X
TLJSIOZ,X,O,O,X,X,X
TLJSZIO,O,O,O,O,X,X
TLJSZOI,O,O,O,X,X,X
TLJSOIZ,X,O,O,X,X,X
TLJSOZI,X,O,O,X,X,X
TLJZISO,O,O,O,O,X,X
TLJZIOS,O,O,X,O,X,X
TLJZSIO,O,O,O,O,X,X
TLJZSOI,O,O,O,X,X,X
TLJZOIS,O,O,X,O,X,X
TLJZOSI,O,O,X,X,X,X
TLJOISZ,O,O,X,O,X,X
TLJOIZS,O,O,X,O,X,X
TLJOSIZ,O,O,X,O,X,X
TLJOSZI,O,O,X,O,X,X
TLJOZIS,O,O,X,O,X,X
TLJOZSI,O,O,X,O,X,X
TLSIJZO,X,O,O,O,X,X
TLSIJOZ,X,O,O,X,X,X
TLSIZJO,O,O,O,O,X,X
TLSIZOJ,O,O,O,X,X,X
TLSIOJZ,X,O,O,O,X,X
TLSIOZJ,X,O,O,O,X,X
TLSJIZO,O,O,O,O,X,X
TLSJIOZ,X,O,O,X,X,X
TLSJZIO,O,O,O,O,X,X
TLSJZOI,O,O,O,X,X,X
TLSJOIZ,X,O,O,X,X,X
TLSJOZI,X,O,O,X,X,X
TLSZIJO,O,O,O,O,X,X
TLSZIOJ,O,O,O,X,X,X
TLSZJIO,O,O,O,O,X,X
TLSZJOI,O,O,O,X,X,X
TLSZOIJ,O,O,O,X,X,X
TLSZOJI,O,O,O,X,X,X
TLSOIJZ,X,O,O,O,X,X
TLSOIZJ,X,O,O,O,X,X
TLSOJIZ,X,O,O,O,X,X
TLSOJZI,X,O,O,O,X,X
TLSOZIJ,X,O,O,O,X,X
TLSOZJI,X,O,O,O,X,X
TLZIJSO,O,O,O,O,X,X
TLZIJOS,O,O,X,O,O,X
TLZISJO,O,O,O,O,X,X
TLZISOJ,O,O,O,X,O,X
TLZIOJS,O,O,X,O,O,X
TLZIOSJ,O,O,X,O,O,X
TLZJISO,O,O,O,O,X,X
TLZJIOS,O,O,X,O,O,X
TLZJSIO,O,O,O,O,X,X
TLZJSOI,O,O,O,X,X,X
TLZJOIS,O,O,X,O,X,X
TLZJOSI,O,O,X,X,X,X
TLZSIJO,O,O,O,O,X,X
TLZSIOJ,O,O,O,X,O,X
TLZSJIO,O,O,O,O,X,X
TLZSJOI,O,O,O,X,X,X
TLZSOIJ,O,O,O,X,X,X
TLZSOJI,O,O,O,X,X,X
TLZOIJS,O,O,X,O,O,X
TLZOISJ,O,O,X,O,O,X
TLZOJIS,O,O,X,O,X,X
TLZOJSI,O,O,X,O,X,X
TLZOSIJ,O,O,X,O,X,X
TLZOSJI,O,O,X,O,X,X
TLOIJSZ,X,O,X,O,X,X
TLOIJZS,X,O,X,O,X,O
TLOISJZ,X,X,X,O,X,X
TLOISZJ,X,X,X,O,X,X
TLOIZJS,X,O,X,O,X,O
TLOIZSJ,X,O,X,O,X,X
TLOJISZ,X,O,X,O,X,X
TLOJIZS,X,O,X,O,X,X
TLOJSIZ,X,O,X,O,X,X
TLOJSZI,X,O,X,O,X,X
TLOJZIS,X,O,X,O,X,X
TLOJZSI,X,O,X,O,X,X
TLOSIJZ,X,O,X,O,X,X
TLOSIZJ,X,O,X,O,X,X
TLOSJIZ,X,O,X,O,X,X
TLOSJZI,X,O,X,O,X,X
TLOSZIJ,X,O,X,O,X,X
TLOSZJI,X,O,X,O,X,X
TLOZIJS,X,O,X,O,X,X
TLOZISJ,X,O,X,O,X,X
TLOZJIS,X,O,X,O,X,X
TLOZJSI,X,O,X,O,X,X
TLOZSIJ,X,O,X,O,X,X
TLOZSJI,X,O,X,O,X,X
TJILSZO,O,X,O,O,X,X
TJILSOZ,X,X,O,X,X,X
TJILZSO,O,X,O,O,X,X
TJILZOS,O,X,X,O,O,O
TJILOSZ,X,X,X,O,O,X
TJILOZS,X,X,X,O,O,O
TJISLZO,O,X,O,X,X,X
TJISLOZ,X,X,O,X,X,X
TJISZLO,O,X,O,X,X,X
TJISZOL,O,X,O,X,X,O
TJISOLZ,X,X,O,X,X,X
TJISOZL,O,X,O,X,X,O
TJIZLSO,O,X,O,O,X,X
TJIZLOS,O,X,X,O,O,O
TJIZSLO,O,X,O,X,X,X
TJIZSOL,O,X,O,X,X,O
TJIZOLS,O,X,X,O,O,O
TJIZOSL,O,X,X,X,O,O
TJIOLSZ,O,X,X,O,O,X
TJIOLZS,O,X,X,O,O,O
TJIOSLZ,O,X,X,X,O,X
TJIOSZL,O,X,X,X,O,O
TJIOZLS,O,X,X,O,O,O
TJIOZSL,O,X,X,X,O,O
TJLISZO,O,X,O,O,X,X
TJLISOZ,X,X,O,X,X,X
TJLIZSO,O,X,O,O,X,X
TJLIZOS,O,X,X,O,X,X
TJLIOSZ,X,X,X,O,X,X
TJLIOZS,X,X,X,O,X,X
TJLSIZO,O,O,O,O,X,X
TJLSIOZ,X,O,O,X,X,X
TJLSZIO,O,O,O,O,X,X
TJLSZOI,O,O,O,X,X,X
TJLSOIZ,X,O,O,X,X,X
TJLSOZI,X,O,O,X,X,X
TJLZISO,O,O,O,O,X,X
TJLZIOS,O,O,X,O,X,X
TJLZSIO,O,O,O,O,X,X
TJLZSOI,O,O,O,X,X,X
TJLZOIS,O,O,X,O,X,X
TJLZOSI,O,O,X,X,X,X
TJLOISZ,O,O,X,O,X,X
TJLOIZS,O,O,X,O,X,X
TJLOSIZ,O,O,X,O,X,X
TJLOSZI,O,O,X,O,X,X
TJLOZIS,O,O,X,O,X,X
TJLOZSI,O,O,X,O,X,X
TJSILZO,O,O,O,X,X,X
TJSILOZ,X,O,O,X,X,X
TJSIZLO,O,O,O,X,X,X
TJSIZOL,O,O,O,X,X,X
TJSIOLZ,X,O,O,X,X,X
TJSIOZL,O,O,O,X,X,X
TJSLIZO,O,O,O,X,X,X
TJSLIOZ,X,O,O,X,X,X
TJSLZIO,O,O,O,X,X,X
TJSLZOI,O,O,O,X,X,X
TJSLOIZ,X,O,O,X,X,X
TJSLOZI,X,O,O,X,X,X
TJSZILO,O,O,O,X,X,X
TJSZIOL,O,O,O,X,X,X
TJSZLIO,O,O,O,X,X,X
TJSZLOI,O,O,O,X,X,X
TJSZOIL,O,O,O,X,X,X
TJSZOLI,O,O,O,X,X,X
TJSOILZ,O,O,O,X,X,X
TJSOIZL,O,O,O,X,X,X
TJSOLIZ,O,O,O,X,X,X
TJSOLZI,O,O,O,X,X,X
TJSOZIL,O,O,O,X,X,X
TJSOZLI,O,O,O,X,X,X
TJZILSO,O,O,O,O,X,X
TJZILOS,O,O,X,O,O,X
TJZISLO,O,X,O,X,X,X
TJZISOL,O,X,O,X,X,X
TJZIOLS,O,X,X,O,O,X
TJZIOSL,O,X,X,X,O,X
TJZLISO,O,O,O,O,X,X
TJZLIOS,O,O,X,O,O,X
TJZLSIO,O,O,O,O,X,X
TJZLSOI,O,O,O,X,X,X
TJZLOIS,O,O,X,O,X,X
TJZLOSI,O,O,X,X,X,X
TJZSILO,O,O,O,X,X,X
TJZSIOL,O,O,O,X,X,X
TJZSLIO,O,O,O,X,X,X
TJZSLOI,O,O,O,X,X,X
TJZSOIL,O,O,O,X,X,X
TJZSOLI,O,O,O,X,X,X
TJZOILS,O,O,X,O,X,X
TJZOISL,O,O,X,X,X,X
TJZOLIS,O,O,X,O,X,X
TJZOLSI,O,O,X,O,X,X
TJZOSIL,O,O,X,X,X,X
TJZOSLI,O,O,X,X,X,X
TJOILSZ,O,O,X,O,X,X
TJOILZS,O,O,X,O,X,O
TJOISLZ,O,O,X,X,X,X
