sequence,v115@GhA8GeC8BeA8EeB8AeB8DeC8Jei/IvhF3gBRiBcpBT?mBNsBWwB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je0/IvhFxgBiiBNpBG?mBzqBXsB,v115@GhA8GeC8BeA8EeB8AeB8DeC8JeZEJvhFukB9mBiiB0?lBXsBzqB,v115@GhA8GeC8BeA8EeB8AeB8DeC8JeZEJvhFtkB0gBmhBq?rB3nBzqB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je0/IvhF6lBmhBNpBT?mB3nBRwB,v115@GhA8GeC8BeA8EeB8AeB8DeC8Je9FJvhFOmB8mBTkB3?nBipBRwB
TOILJSZ,X,O,X,O,O,X
TOILJZS,X,O,X,O,O,O
TOILSJZ,X,X,X,O,O,X
TOILSZJ,X,X,X,O,O,X
TOILZJS,X,O,X,O,O,O
TOILZSJ,X,O,X,O,O,X
TOIJLSZ,X,O,X,O,O,X
TOIJLZS,X,O,X,O,O,O
TOIJSLZ,X,O,X,X,O,X
TOIJSZL,O,O,X,X,O,O
TOIJZLS,O,O,X,O,O,O
TOIJZSL,O,O,X,X,O,O
TOISLJZ,X,O,X,O,O,X
TOISLZJ,X,O,X,O,O,X
TOISJLZ,X,O,X,X,O,X
TOISJZL,X,O,X,X,O,O
TOISZLJ,O,O,X,O,O,X
TOISZJL,X,O,X,X,O,O
TOIZLJS,O,O,X,O,O,O
TOIZLSJ,O,O,X,O,O,X
TOIZJLS,O,O,X,O,O,O
TOIZJSL,O,O,X,X,O,O
TOIZSLJ,O,O,X,O,O,X
TOIZSJL,X,O,X,X,O,O
TOLIJSZ,X,O,X,O,X,X
TOLIJZS,X,O,X,O,X,O
TOLISJZ,X,X,X,O,X,X
TOLISZJ,X,X,X,O,X,X
TOLIZJS,X,O,X,O,X,O
TOLIZSJ,X,O,X,O,X,X
TOLJISZ,X,O,X,O,X,X
TOLJIZS,X,O,X,O,X,X
TOLJSIZ,X,O,X,O,X,X
TOLJSZI,X,O,X,O,X,X
TOLJZIS,X,O,X,O,X,X
TOLJZSI,X,O,X,O,X,X
TOLSIJZ,X,O,X,O,X,X
TOLSIZJ,X,O,X,O,X,X
TOLSJIZ,X,O,X,O,X,X
TOLSJZI,X,O,X,O,X,X
TOLSZIJ,X,O,X,O,X,X
TOLSZJI,X,O,X,O,X,X
TOLZIJS,X,O,X,O,X,X
TOLZISJ,X,O,X,O,X,X
TOLZJIS,X,O,X,O,X,X
TOLZJSI,X,O,X,O,X,X
TOLZSIJ,X,O,X,O,X,X
TOLZSJI,X,O,X,O,X,X
TOJILSZ,O,O,X,O,X,X
TOJILZS,O,O,X,O,X,O
TOJISLZ,O,O,X,X,X,X
TOJISZL,O,O,X,X,X,O
TOJIZLS,O,O,X,O,X,O
TOJIZSL,O,O,X,X,X,O
TOJLISZ,O,O,X,O,X,X
TOJLIZS,O,O,X,O,X,X
TOJLSIZ,O,O,X,O,X,X
TOJLSZI,O,O,X,O,X,X
TOJLZIS,O,O,X,O,X,X
TOJLZSI,O,O,X,O,X,X
TOJSILZ,O,O,X,X,X,X
TOJSIZL,O,O,X,X,X,X
TOJSLIZ,O,O,X,X,X,X
TOJSLZI,O,O,X,X,X,X
TOJSZIL,O,O,X,X,X,X
TOJSZLI,O,O,X,X,X,X
TOJZILS,O,O,X,O,X,X
TOJZISL,O,O,X,X,X,X
TOJZLIS,O,O,X,O,X,X
TOJZLSI,O,O,X,O,X,X
TOJZSIL,O,O,X,X,X,X
TOJZSLI,O,O,X,X,X,X
TOSILJZ,X,O,X,O,X,X
TOSILZJ,X,O,X,O,X,X
TOSIJLZ,X,O,X,X,X,X
TOSIJZL,X,O,X,X,X,O
TOSIZLJ,O,O,X,O,X,X
TOSIZJL,X,O,X,X,X,O
TOSLIJZ,X,O,X,O,X,X
TOSLIZJ,X,O,X,O,X,X
TOSLJIZ,X,O,X,O,X,X
TOSLJZI,X,O,X,O,X,X
TOSLZIJ,X,O,X,O,X,X
TOSLZJI,X,O,X,O,X,X
TOSJILZ,X,O,X,X,X,X
TOSJIZL,O,O,X,X,X,X
TOSJLIZ,X,O,X,X,X,X
TOSJLZI,X,O,X,X,X,X
TOSJZIL,O,O,X,X,X,X
TOSJZLI,O,O,X,X,X,X
TOSZILJ,O,O,X,O,X,X
TOSZIJL,X,O,X,X,X,X
TOSZLIJ,O,O,X,O,X,X
TOSZLJI,O,O,X,O,X,X
TOSZJIL,O,O,X,X,X,X
TOSZJLI,O,O,X,X,X,X
TOZILJS,O,O,X,O,O,O
TOZILSJ,O,O,X,O,O,X
TOZIJLS,O,O,X,O,O,O
TOZIJSL,O,O,X,X,O,O
TOZISLJ,O,O,X,O,O,X
TOZISJL,X,O,X,X,O,O
TOZLIJS,O,O,X,O,O,X
TOZLISJ,O,O,X,O,O,X
TOZLJIS,O,O,X,O,X,X
TOZLJSI,O,O,X,O,X,X
TOZLSIJ,O,O,X,O,X,X
TOZLSJI,O,O,X,O,X,X
TOZJILS,O,O,X,O,X,X
TOZJISL,O,O,X,X,X,X
TOZJLIS,O,O,X,O,X,X
TOZJLSI,O,O,X,O,X,X
TOZJSIL,O,O,X,X,X,X
TOZJSLI,O,O,X,X,X,X
TOZSILJ,O,O,X,O,X,X
TOZSIJL,X,O,X,X,X,X
TOZSLIJ,O,O,X,O,X,X
TOZSLJI,O,O,X,O,X,X
TOZSJIL,O,O,X,X,X,X
TOZSJLI,O,O,X,X,X,X
ITLJSZO,O,X,O,O,X,X
ITLJSOZ,X,X,O,X,X,X
ITLJZSO,O,X,O,O,X,X
ITLJZOS,O,X,X,O,O,O
ITLJOSZ,X,X,X,O,O,X
ITLJOZS,X,X,X,O,O,O
ITLSJZO,X,O,O,O,X,X
ITLSJOZ,X,O,O,X,X,X
ITLSZJO,O,O,O,O,X,X
ITLSZOJ,O,O,O,X,O,X
ITLSOJZ,X,O,O,O,O,X
ITLSOZJ,X,O,O,O,O,X
ITLZJSO,O,O,O,O,X,X
ITLZJOS,O,O,X,O,O,O
ITLZSJO,O,O,O,O,X,X
ITLZSOJ,O,O,O,X,O,X
ITLZOJS,O,O,X,O,O,O
ITLZOSJ,O,O,X,O,O,X
ITLOJSZ,X,O,X,O,O,X
ITLOJZS,X,O,X,O,O,O
ITLOSJZ,X,X,X,O,O,X
ITLOSZJ,X,X,X,O,O,X
ITLOZJS,X,O,X,O,O,O
ITLOZSJ,X,O,X,O,O,X
ITJLSZO,O,X,O,O,X,X
ITJLSOZ,X,X,O,X,X,X
ITJLZSO,O,X,O,O,X,X
ITJLZOS,O,X,X,O,O,O
ITJLOSZ,X,X,X,O,O,X
ITJLOZS,X,X,X,O,O,O
ITJSLZO,O,X,O,X,X,X
ITJSLOZ,X,X,O,X,X,X
ITJSZLO,O,X,O,X,X,X
ITJSZOL,O,X,O,X,X,O
ITJSOLZ,X,X,O,X,X,X
ITJSOZL,O,X,O,X,X,O
ITJZLSO,O,X,O,O,X,X
ITJZLOS,O,X,X,O,O,O
ITJZSLO,O,X,O,X,X,X
ITJZSOL,O,X,O,X,X,O
ITJZOLS,O,X,X,O,O,O
ITJZOSL,O,X,X,X,O,O
ITJOLSZ,O,X,X,O,O,X
ITJOLZS,O,X,X,O,O,O
ITJOSLZ,O,X,X,X,O,X
ITJOSZL,O,X,X,X,O,O
ITJOZLS,O,X,X,O,O,O
ITJOZSL,O,X,X,X,O,O
ITSLJZO,X,O,O,O,X,X
ITSLJOZ,X,O,O,X,X,X
ITSLZJO,O,O,O,O,X,X
ITSLZOJ,O,O,O,X,O,X
ITSLOJZ,X,O,O,O,O,X
ITSLOZJ,X,O,O,O,O,X
ITSJLZO,O,O,O,X,X,X
ITSJLOZ,X,O,O,X,X,X
ITSJZLO,O,O,O,X,X,X
ITSJZOL,O,O,O,X,X,O
ITSJOLZ,X,O,O,X,X,X
ITSJOZL,O,O,O,X,X,O
ITSZLJO,O,O,O,O,X,X
ITSZLOJ,O,O,O,X,O,X
ITSZJLO,O,O,O,X,X,X
ITSZJOL,O,O,O,X,X,O
ITSZOLJ,O,O,O,O,O,X
ITSZOJL,X,O,O,X,O,O
ITSOLJZ,X,O,O,O,O,X
ITSOLZJ,X,O,O,O,O,X
ITSOJLZ,X,O,O,X,O,X
ITSOJZL,X,O,O,X,O,O
ITSOZLJ,O,O,O,O,O,X
ITSOZJL,X,O,O,X,O,O
ITZLJSO,O,O,O,O,X,X
ITZLJOS,O,O,X,O,O,O
ITZLSJO,O,O,O,O,X,X
ITZLSOJ,O,O,O,X,O,X
ITZLOJS,O,O,X,O,O,O
ITZLOSJ,O,O,X,O,O,X
ITZJLSO,O,O,O,O,X,X
ITZJLOS,O,O,X,O,O,O
ITZJSLO,O,X,O,X,X,X
ITZJSOL,O,X,O,X,X,O
ITZJOLS,O,X,X,O,O,O
ITZJOSL,O,X,X,X,O,O
ITZSLJO,O,O,O,O,X,X
ITZSLOJ,O,O,O,X,O,X
ITZSJLO,O,O,O,X,X,X
ITZSJOL,O,O,O,X,X,O
ITZSOLJ,O,O,O,O,O,X
ITZSOJL,X,O,O,X,O,O
ITZOLJS,O,O,X,O,O,O
ITZOLSJ,O,O,X,O,O,X
ITZOJLS,O,O,X,O,O,O
ITZOJSL,O,O,X,X,O,O
ITZOSLJ,O,O,X,O,O,X
ITZOSJL,X,O,X,X,O,O
ITOLJSZ,X,O,X,O,O,X
ITOLJZS,X,O,X,O,O,O
ITOLSJZ,X,X,X,O,O,X
ITOLSZJ,X,X,X,O,O,X
ITOLZJS,X,O,X,O,O,O
ITOLZSJ,X,O,X,O,O,X
ITOJLSZ,X,O,X,O,O,X
ITOJLZS,X,O,X,O,O,O
ITOJSLZ,X,O,X,X,O,X
ITOJSZL,O,O,X,X,O,O
ITOJZLS,O,O,X,O,O,O
ITOJZSL,O,O,X,X,O,O
ITOSLJZ,X,O,X,O,O,X
ITOSLZJ,X,O,X,O,O,X
ITOSJLZ,X,O,X,X,O,X
ITOSJZL,X,O,X,X,O,O
ITOSZLJ,O,O,X,O,O,X
ITOSZJL,X,O,X,X,O,O
ITOZLJS,O,O,X,O,O,O
ITOZLSJ,O,O,X,O,O,X
ITOZJLS,O,O,X,O,O,O
ITOZJSL,O,O,X,X,O,O
ITOZSLJ,O,O,X,O,O,X
ITOZSJL,X,O,X,X,O,O
ILTJSZO,O,X,O,O,X,X
ILTJSOZ,X,X,O,X,X,X
ILTJZSO,O,X,O,O,X,X
ILTJZOS,O,X,X,O,O,O
ILTJOSZ,X,X,X,O,O,X
ILTJOZS,X,X,X,O,O,O
ILTSJZO,X,O,O,O,X,X
ILTSJOZ,X,O,O,X,X,X
ILTSZJO,O,O,O,O,X,X
ILTSZOJ,O,O,O,X,O,X
ILTSOJZ,X,O,O,O,O,X
ILTSOZJ,X,O,O,O,O,X
ILTZJSO,O,O,O,O,X,X
ILTZJOS,O,O,X,O,O,O
ILTZSJO,O,O,O,O,X,X
ILTZSOJ,O,O,O,X,O,X
ILTZOJS,O,O,X,O,O,O
ILTZOSJ,O,O,X,O,O,X
ILTOJSZ,X,O,X,O,O,X
ILTOJZS,X,O,X,O,O,O
ILTOSJZ,X,X,X,O,O,X
ILTOSZJ,X,X,X,O,O,X
ILTOZJS,X,O,X,O,O,O
ILTOZSJ,X,O,X,O,O,X
ILJTSZO,O,X,O,O,X,X
ILJTSOZ,X,X,O,X,X,X
ILJTZSO,O,X,O,O,X,X
ILJTZOS,O,X,X,O,O,O
ILJTOSZ,X,X,X,O,O,X
ILJTOZS,X,X,X,O,O,O
ILJSTZO,X,X,O,O,X,X
ILJSTOZ,X,X,O,X,X,X
ILJSZTO,O,X,O,X,X,X
ILJSZOT,O,X,O,X,X,X
ILJSOTZ,X,X,O,X,X,X
ILJSOZT,X,X,O,X,X,X
ILJZTSO,O,X,O,O,X,X
ILJZTOS,O,X,X,O,X,O
ILJZSTO,O,X,O,X,X,X
ILJZSOT,O,X,O,X,X,X
ILJZOTS,O,X,X,X,X,O
ILJZOST,O,X,O,X,X,X
ILJOTSZ,X,X,X,O,O,X
ILJOTZS,X,X,X,O,O,O
ILJOSTZ,X,X,O,O,O,X
ILJOSZT,X,X,O,X,X,X
ILJOZTS,X,X,X,O,O,O
ILJOZST,X,X,O,X,X,X
ILSTJZO,X,O,O,O,X,X
ILSTJOZ,X,O,O,X,X,X
ILSTZJO,X,O,O,O,X,X
ILSTZOJ,X,O,O,X,O,X
ILSTOJZ,X,O,O,O,O,X
ILSTOZJ,X,O,O,O,O,X
ILSJTZO,X,O,O,O,X,X
ILSJTOZ,X,O,O,X,X,X
ILSJZTO,X,O,O,X,X,X
ILSJZOT,X,X,O,X,X,X
ILSJOTZ,X,O,O,X,X,X
ILSJOZT,X,X,O,X,X,X
ILSZTJO,O,X,O,X,X,X
ILSZTOJ,O,X,O,X,X,X
ILSZJTO,O,X,O,X,X,X
ILSZJOT,O,X,O,X,X,X
ILSZOTJ,O,X,O,X,X,X
ILSZOJT,O,X,O,X,X,X
ILSOTJZ,X,O,O,O,O,X
ILSOTZJ,X,O,O,O,O,X
ILSOJTZ,X,O,O,O,O,X
ILSOJZT,X,O,O,X,X,X
ILSOZTJ,X,X,O,X,X,X
ILSOZJT,X,X,O,X,X,X
ILZTJSO,O,X,O,O,X,X
ILZTJOS,O,X,X,O,O,O
ILZTSJO,O,X,O,O,X,X
ILZTSOJ,O,X,O,X,O,X
ILZTOJS,O,X,X,O,O,O
ILZTOSJ,O,X,X,O,O,X
ILZJTSO,O,X,O,O,X,X
ILZJTOS,O,X,X,O,X,O
ILZJSTO,O,X,O,X,X,X
ILZJSOT,O,X,O,X,X,X
ILZJOTS,O,X,X,X,X,O
ILZJOST,O,X,O,X,X,X
ILZSTJO,O,X,O,X,X,X
ILZSTOJ,O,X,O,X,X,X
ILZSJTO,O,X,O,X,X,X
ILZSJOT,O,X,O,X,X,X
ILZSOTJ,O,X,O,X,X,X
ILZSOJT,O,X,O,X,X,X
ILZOTJS,O,X,X,O,O,O
ILZOTSJ,O,X,X,O,O,X
ILZOJTS,O,X,X,O,O,O
ILZOJST,O,X,O,X,X,X
ILZOSTJ,O,X,O,X,X,X
ILZOSJT,O,X,O,X,X,X
ILOTJSZ,X,O,X,O,O,X
ILOTJZS,X,O,X,O,O,O
ILOTSJZ,X,X,X,O,O,X
ILOTSZJ,X,X,X,O,O,X
ILOTZJS,X,O,X,O,O,O
ILOTZSJ,X,O,X,O,O,X
ILOJTSZ,X,O,X,O,O,X
ILOJTZS,X,O,X,O,O,O
ILOJSTZ,X,O,O,O,O,X
ILOJSZT,X,X,O,X,X,X
ILOJZTS,X,O,X,O,O,O
ILOJZST,X,X,O,X,X,X
ILOSTJZ,X,X,O,O,O,X
ILOSTZJ,X,X,O,O,O,X
ILOSJTZ,X,X,O,O,O,X
ILOSJZT,X,X,O,X,X,X
ILOSZTJ,X,X,O,X,X,X
ILOSZJT,X,X,O,X,X,X
ILOZTJS,X,X,X,O,O,O
ILOZTSJ,X,X,X,O,O,X
ILOZJTS,X,X,X,O,O,O
ILOZJST,X,X,O,X,X,X
ILOZSTJ,X,X,O,X,X,X
ILOZSJT,X,X,O,X,X,X
IJTLSZO,O,X,O,O,X,X
IJTLSOZ,X,X,O,X,X,X
IJTLZSO,O,X,O,O,X,X
IJTLZOS,O,X,X,O,O,O
IJTLOSZ,X,X,X,O,O,X
IJTLOZS,X,X,X,O,O,O
IJTSLZO,O,X,O,X,X,X
IJTSLOZ,X,X,O,X,X,X
IJTSZLO,O,X,O,X,X,X
IJTSZOL,O,X,O,X,X,O
IJTSOLZ,X,X,O,X,X,X
IJTSOZL,O,X,O,X,X,O
IJTZLSO,O,X,O,O,X,X
IJTZLOS,O,X,X,O,O,O
IJTZSLO,O,X,O,X,X,X
IJTZSOL,O,X,O,X,X,O
IJTZOLS,O,X,X,O,O,O
IJTZOSL,O,X,X,X,O,O
IJTOLSZ,O,X,X,O,O,X
IJTOLZS,O,X,X,O,O,O
IJTOSLZ,O,X,X,X,O,X
IJTOSZL,O,X,X,X,O,O
IJTOZLS,O,X,X,O,O,O
IJTOZSL,O,X,X,X,O,O
IJLTSZO,O,X,O,O,X,X
IJLTSOZ,X,X,O,X,X,X
IJLTZSO,O,X,O,O,X,X
IJLTZOS,O,X,X,O,O,O
IJLTOSZ,X,X,X,O,O,X
IJLTOZS,X,X,X,O,O,O
IJLSTZO,X,X,O,O,X,X
IJLSTOZ,X,X,O,X,X,X
IJLSZTO,O,X,O,X,X,X
IJLSZOT,O,X,O,X,X,X
IJLSOTZ,X,X,O,X,X,X
IJLSOZT,X,X,O,X,X,X
IJLZTSO,O,X,O,O,X,X
IJLZTOS,O,X,X,O,X,O
IJLZSTO,O,X,O,X,X,X
IJLZSOT,O,X,O,X,X,X
IJLZOTS,O,X,X,X,X,O
IJLZOST,O,X,O,X,X,X
IJLOTSZ,X,X,X,O,O,X
IJLOTZS,X,X,X,O,O,O
IJLOSTZ,X,X,O,O,O,X
IJLOSZT,X,X,O,X,X,X
IJLOZTS,X,X,X,O,O,O
IJLOZST,X,X,O,X,X,X
IJSTLZO,O,X,O,X,X,X
IJSTLOZ,X,X,O,X,X,X
IJSTZLO,O,X,O,X,X,X
IJSTZOL,O,X,O,X,X,O
IJSTOLZ,X,X,O,X,X,X
IJSTOZL,O,X,O,X,X,O
IJSLTZO,X,X,O,X,X,X
IJSLTOZ,X,X,O,X,X,X
IJSLZTO,O,X,O,X,X,X
IJSLZOT,O,X,O,X,X,X
IJSLOTZ,X,X,O,X,X,X
IJSLOZT,X,X,O,X,X,X
IJSZTLO,O,X,O,X,X,X
IJSZTOL,O,X,O,X,X,O
IJSZLTO,O,X,O,X,X,X
IJSZLOT,O,X,O,X,X,X
IJSZOTL,X,X,O,X,X,O
IJSZOLT,O,X,O,X,X,X
IJSOTLZ,X,X,O,X,X,X
IJSOTZL,X,X,O,X,X,O
IJSOLTZ,X,X,O,X,X,X
IJSOLZT,X,X,O,X,X,X
IJSOZTL,X,X,O,X,X,O
IJSOZLT,O,X,O,X,X,X
IJZTLSO,O,X,O,X,X,X
IJZTLOS,O,X,X,X,X,O
IJZTSLO,O,X,O,X,X,X
IJZTSOL,O,X,O,X,X,O
IJZTOLS,O,X,X,X,X,O
IJZTOSL,O,X,X,X,X,O
IJZLTSO,O,X,O,X,X,X
IJZLTOS,O,X,X,X,X,O
IJZLSTO,O,X,O,X,X,X
IJZLSOT,O,X,O,X,X,X
IJZLOTS,O,X,X,X,X,O
IJZLOST,O,X,O,X,X,X
IJZSTLO,O,X,O,X,X,X
IJZSTOL,O,X,O,X,X,O
IJZSLTO,O,X,O,X,X,X
IJZSLOT,O,X,O,X,X,X
IJZSOTL,X,X,O,X,X,O
IJZSOLT,O,X,O,X,X,X
IJZOTLS,O,X,X,X,X,O
IJZOTSL,O,X,X,X,X,O
IJZOLTS,O,X,X,X,X,O
IJZOLST,O,X,O,X,X,X
IJZOSTL,X,X,O,X,X,O
IJZOSLT,O,X,O,X,X,X
IJOTLSZ,X,X,X,O,O,X
IJOTLZS,X,X,X,O,O,O
IJOTSLZ,X,X,X,X,O,X
IJOTSZL,O,X,X,X,O,O
IJOTZLS,O,X,X,O,O,O
IJOTZSL,O,X,X,X,O,O
IJOLTSZ,X,X,X,O,O,X
IJOLTZS,X,X,X,O,O,O
IJOLSTZ,X,X,O,O,O,X
IJOLSZT,X,X,O,X,X,X
IJOLZTS,X,X,X,O,O,O
IJOLZST,X,X,O,X,X,X
IJOSTLZ,X,X,O,X,O,X
IJOSTZL,X,X,O,X,O,O
IJOSLTZ,X,X,O,X,O,X
IJOSLZT,X,X,O,X,X,X
IJOSZTL,X,X,O,X,X,O
IJOSZLT,O,X,O,X,X,X
IJOZTLS,O,X,X,X,O,O
IJOZTSL,O,X,X,X,O,O
IJOZLTS,O,X,X,X,O,O
IJOZLST,O,X,O,X,X,X
IJOZSTL,X,X,O,X,X,O
IJOZSLT,O,X,O,X,X,X
ISTLJZO,X,O,O,O,X,X
ISTLJOZ,X,O,O,X,X,X
ISTLZJO,O,O,O,O,X,X
ISTLZOJ,O,O,O,X,O,X
ISTLOJZ,X,O,O,O,O,X
ISTLOZJ,X,O,O,O,O,X
ISTJLZO,O,O,O,X,X,X
ISTJLOZ,X,O,O,X,X,X
ISTJZLO,O,O,O,X,X,X
ISTJZOL,O,O,O,X,X,O
ISTJOLZ,X,O,O,X,X,X
ISTJOZL,O,O,O,X,X,O
ISTZLJO,O,O,O,O,X,X
ISTZLOJ,O,O,O,X,O,X
ISTZJLO,O,O,O,X,X,X
ISTZJOL,O,O,O,X,X,O
ISTZOLJ,O,O,O,O,O,X
ISTZOJL,X,O,O,X,O,O
ISTOLJZ,X,O,O,O,O,X
ISTOLZJ,X,O,O,O,O,X
ISTOJLZ,X,O,O,X,O,X
ISTOJZL,X,O,O,X,O,O
ISTOZLJ,O,O,O,O,O,X
ISTOZJL,X,O,O,X,O,O
ISLTJZO,X,O,O,O,X,X
ISLTJOZ,X,O,O,X,X,X
ISLTZJO,X,O,O,O,X,X
ISLTZOJ,X,O,O,X,O,X
ISLTOJZ,X,O,O,O,O,X
ISLTOZJ,X,O,O,O,O,X
ISLJTZO,X,O,O,O,X,X
ISLJTOZ,X,O,O,X,X,X
ISLJZTO,X,O,O,X,X,X
ISLJZOT,X,X,O,X,X,X
ISLJOTZ,X,O,O,X,X,X
ISLJOZT,X,X,O,X,X,X
ISLZTJO,O,X,O,X,X,X
ISLZTOJ,O,X,O,X,X,X
ISLZJTO,O,X,O,X,X,X
ISLZJOT,O,X,O,X,X,X
ISLZOTJ,O,X,O,X,X,X
ISLZOJT,O,X,O,X,X,X
ISLOTJZ,X,O,O,O,O,X
ISLOTZJ,X,O,O,O,O,X
ISLOJTZ,X,O,O,O,O,X
ISLOJZT,X,O,O,X,X,X
ISLOZTJ,X,X,O,X,X,X
ISLOZJT,X,X,O,X,X,X
ISJTLZO,O,O,O,X,X,X
ISJTLOZ,X,O,O,X,X,X
ISJTZLO,O,O,O,X,X,X
ISJTZOL,O,O,O,X,X,O
ISJTOLZ,X,O,O,X,X,X
ISJTOZL,O,O,O,X,X,O
ISJLTZO,X,O,O,X,X,X
ISJLTOZ,X,O,O,X,X,X
ISJLZTO,O,O,O,X,X,X
ISJLZOT,O,X,O,X,X,X
ISJLOTZ,X,O,O,X,X,X
ISJLOZT,X,X,O,X,X,X
ISJZTLO,O,O,O,X,X,X
ISJZTOL,O,O,O,X,X,O
ISJZLTO,O,O,O,X,X,X
ISJZLOT,O,X,O,X,X,X
ISJZOTL,X,X,O,X,X,O
ISJZOLT,O,X,O,X,X,X
ISJOTLZ,X,O,O,X,X,X
ISJOTZL,X,O,O,X,X,O
ISJOLTZ,X,O,O,X,X,X
ISJOLZT,X,X,O,X,X,X
ISJOZTL,X,X,O,X,X,O
ISJOZLT,O,X,O,X,X,X
ISZTLJO,O,X,O,X,X,X
ISZTLOJ,O,X,O,X,X,X
ISZTJLO,O,X,O,X,X,X
ISZTJOL,O,X,O,X,X,O
ISZTOLJ,O,X,O,X,X,X
ISZTOJL,X,X,O,X,X,O
ISZLTJO,O,X,O,X,X,X
ISZLTOJ,O,X,O,X,X,X
ISZLJTO,O,X,O,X,X,X
ISZLJOT,O,X,O,X,X,X
ISZLOTJ,O,X,O,X,X,X
ISZLOJT,O,X,O,X,X,X
ISZJTLO,O,X,O,X,X,X
ISZJTOL,O,X,O,X,X,O
ISZJLTO,O,X,O,X,X,X
ISZJLOT,O,X,O,X,X,X
ISZJOTL,X,X,O,X,X,O
ISZJOLT,O,X,O,X,X,X
ISZOTLJ,X,X,O,X,X,X
ISZOTJL,X,X,O,X,X,O
ISZOLTJ,O,X,O,X,X,X
ISZOLJT,O,X,O,X,X,X
ISZOJTL,X,X,O,X,X,O
ISZOJLT,X,X,O,X,X,X
ISOTLJZ,X,O,O,O,O,X
ISOTLZJ,X,O,O,O,O,X
ISOTJLZ,X,O,O,X,O,X
ISOTJZL,X,O,O,X,O,O
ISOTZLJ,X,O,O,O,O,X
ISOTZJL,X,O,O,X,O,O
ISOLTJZ,X,O,O,O,O,X
ISOLTZJ,X,O,O,O,O,X
ISOLJTZ,X,O,O,O,O,X
ISOLJZT,X,O,O,X,X,X
ISOLZTJ,X,X,O,X,X,X
ISOLZJT,X,X,O,X,X,X
ISOJTLZ,X,O,O,X,O,X
ISOJTZL,X,O,O,X,O,O
ISOJLTZ,X,O,O,X,O,X
ISOJLZT,X,O,O,X,X,X
ISOJZTL,X,O,O,X,X,O
ISOJZLT,X,O,O,X,X,X
ISOZTLJ,X,X,O,X,X,X
ISOZTJL,X,X,O,X,X,O
ISOZLTJ,O,X,O,X,X,X
ISOZLJT,O,X,O,X,X,X
ISOZJTL,X,X,O,X,X,O
ISOZJLT,X,X,O,X,X,X
IZTLJSO,O,X,O,O,X,X
IZTLJOS,O,X,X,O,O,O
IZTLSJO,O,X,O,O,X,X
IZTLSOJ,O,X,O,X,O,X
IZTLOJS,O,X,X,O,O,O
IZTLOSJ,O,X,X,O,O,X
IZTJLSO,O,X,O,O,X,X
IZTJLOS,O,X,X,O,O,O
IZTJSLO,O,X,O,X,X,X
IZTJSOL,O,X,O,X,X,O
IZTJOLS,O,X,X,O,O,O
IZTJOSL,O,X,X,X,O,O
IZTSLJO,O,X,O,O,X,X
IZTSLOJ,O,X,O,X,O,X
IZTSJLO,O,X,O,X,X,X
IZTSJOL,O,X,O,X,X,O
IZTSOLJ,O,X,O,O,O,X
IZTSOJL,X,X,O,X,O,O
IZTOLJS,O,X,X,O,O,O
IZTOLSJ,O,X,X,O,O,X
IZTOJLS,O,X,X,O,O,O
IZTOJSL,O,X,X,X,O,O
IZTOSLJ,O,X,X,O,O,X
IZTOSJL,X,X,X,X,O,O
IZLTJSO,O,X,O,O,X,X
IZLTJOS,O,X,X,O,O,O
IZLTSJO,O,X,O,O,X,X
IZLTSOJ,O,X,O,X,O,X
IZLTOJS,O,X,X,O,O,O
IZLTOSJ,O,X,X,O,O,X
IZLJTSO,O,X,O,O,X,X
IZLJTOS,O,X,X,O,X,O
IZLJSTO,O,X,O,X,X,X
IZLJSOT,O,X,O,X,X,X
IZLJOTS,O,X,X,X,X,O
IZLJOST,O,X,O,X,X,X
IZLSTJO,O,X,O,X,X,X
IZLSTOJ,O,X,O,X,X,X
IZLSJTO,O,X,O,X,X,X
IZLSJOT,O,X,O,X,X,X
IZLSOTJ,O,X,O,X,X,X
IZLSOJT,O,X,O,X,X,X
IZLOTJS,O,X,X,O,O,O
IZLOTSJ,O,X,X,O,O,X
IZLOJTS,O,X,X,O,O,O
IZLOJST,O,X,O,X,X,X
IZLOSTJ,O,X,O,X,X,X
IZLOSJT,O,X,O,X,X,X
IZJTLSO,O,X,O,X,X,X
IZJTLOS,O,X,X,X,X,O
IZJTSLO,O,X,O,X,X,X
IZJTSOL,O,X,O,X,X,O
IZJTOLS,O,X,X,X,X,O
IZJTOSL,O,X,X,X,X,O
IZJLTSO,O,X,O,X,X,X
IZJLTOS,O,X,X,X,X,O
IZJLSTO,O,X,O,X,X,X
IZJLSOT,O,X,O,X,X,X
IZJLOTS,O,X,X,X,X,O
IZJLOST,O,X,O,X,X,X
IZJSTLO,O,X,O,X,X,X
IZJSTOL,O,X,O,X,X,O
IZJSLTO,O,X,O,X,X,X
IZJSLOT,O,X,O,X,X,X
IZJSOTL,X,X,O,X,X,O
IZJSOLT,O,X,O,X,X,X
IZJOTLS,O,X,X,X,X,O
IZJOTSL,O,X,X,X,X,O
IZJOLTS,O,X,X,X,X,O
IZJOLST,O,X,O,X,X,X
IZJOSTL,X,X,O,X,X,O
IZJOSLT,O,X,O,X,X,X
IZSTLJO,O,X,O,X,X,X
IZSTLOJ,O,X,O,X,X,X
