sequence,v115@PhC8FeE8DeD8JeT/IvhFcmBenBCjBXlBllBxvB,v115@PhC8FeE8DeD8JeT/IvhF/lBWnBxiBUqBlrBarB,v115@PhC8FeE8DeD8JeT/IvhFelBRhBCjB8rB3qBFrB,v115@PhC8FeE8DeD8Je/EJvhFzgBWnBxiB0qBlrBaqB,v115@PhC8FeE8DeD8Je/EJvhFUgBxiBKrBFnBGmBTqB,v115@PhC8FeE8DeD8JeyEJvhFXhBxiBFnB0kB+qBTrB,v115@PhC8FeE8DeD8Je2EJvhFXhBxiBFnBSqBTrBUqB
TILJSZO,O,X,X,O,O,O,X
TILJSOZ,O,X,X,X,O,O,O
TILJZSO,O,O,X,O,X,X,X
TILJZOS,O,O,X,O,X,X,X
TILJOSZ,O,X,X,X,O,O,O
TILJOZS,O,O,X,O,X,X,X
TILSJZO,O,X,X,O,O,O,X
TILSJOZ,O,X,X,X,O,O,O
TILSZJO,X,X,X,O,O,O,X
TILSZOJ,X,X,X,O,O,X,X
TILSOJZ,O,X,X,X,O,O,X
TILSOZJ,X,X,X,X,O,O,X
TILZJSO,X,O,X,O,X,X,X
TILZJOS,X,O,X,O,X,X,X
TILZSJO,X,O,X,O,O,O,X
TILZSOJ,X,O,X,O,O,X,X
TILZOJS,X,O,X,O,X,X,X
TILZOSJ,X,O,X,O,O,O,X
TILOJSZ,O,X,X,X,O,O,O
TILOJZS,O,O,X,O,X,X,X
TILOSJZ,O,X,X,X,O,O,O
TILOSZJ,X,X,X,X,O,O,X
TILOZJS,X,O,X,O,X,X,X
TILOZSJ,X,O,X,O,O,O,X
TIJLSZO,O,X,X,O,O,O,X
TIJLSOZ,O,X,X,X,O,O,O
TIJLZSO,O,O,X,O,X,X,X
TIJLZOS,O,O,X,O,X,X,X
TIJLOSZ,O,X,X,X,O,O,O
TIJLOZS,O,O,X,O,X,X,X
TIJSLZO,O,X,X,O,O,O,X
TIJSLOZ,O,X,X,X,O,O,O
TIJSZLO,O,O,X,O,O,X,X
TIJSZOL,O,O,X,O,X,X,O
TIJSOLZ,O,X,X,X,O,X,O
TIJSOZL,O,O,X,O,O,X,O
TIJZLSO,O,O,X,O,X,X,X
TIJZLOS,O,O,X,O,X,X,X
TIJZSLO,O,O,X,O,X,X,X
TIJZSOL,O,O,X,O,X,X,O
TIJZOLS,O,O,X,O,X,X,X
TIJZOSL,O,O,X,O,X,X,O
TIJOLSZ,O,X,X,X,O,O,O
TIJOLZS,O,O,X,O,X,X,X
TIJOSLZ,O,X,X,X,O,O,O
TIJOSZL,O,O,X,O,O,X,O
TIJOZLS,O,O,X,O,X,X,X
TIJOZSL,O,O,X,O,X,X,O
TISLJZO,O,X,X,O,O,O,X
TISLJOZ,O,X,X,X,O,O,O
TISLZJO,X,X,X,O,O,O,X
TISLZOJ,X,X,X,O,O,X,X
TISLOJZ,O,X,X,X,O,O,X
TISLOZJ,X,X,X,X,O,O,X
TISJLZO,O,X,X,O,O,O,X
TISJLOZ,O,X,X,X,O,O,O
TISJZLO,O,O,X,O,O,X,X
TISJZOL,O,O,X,O,X,X,O
TISJOLZ,O,X,X,X,O,X,O
TISJOZL,O,O,X,O,O,X,O
TISZLJO,X,O,X,O,O,O,X
TISZLOJ,X,O,X,O,O,X,X
TISZJLO,O,O,X,O,O,X,X
TISZJOL,O,O,X,O,X,X,O
TISZOLJ,X,O,X,O,O,X,X
TISZOJL,O,O,X,O,O,X,X
TISOLJZ,O,X,X,X,O,O,O
TISOLZJ,X,X,X,X,O,O,X
TISOJLZ,O,X,X,X,O,O,O
TISOJZL,O,O,X,O,O,X,O
TISOZLJ,X,O,X,O,O,O,X
TISOZJL,O,O,X,O,O,X,O
TIZLJSO,X,O,X,O,X,X,X
TIZLJOS,X,O,X,O,X,X,X
TIZLSJO,X,O,X,O,O,O,X
TIZLSOJ,X,O,X,O,O,X,X
TIZLOJS,X,O,X,O,X,X,X
TIZLOSJ,X,O,X,O,O,O,X
TIZJLSO,O,O,X,O,X,X,X
TIZJLOS,O,O,X,O,X,X,X
TIZJSLO,O,O,X,O,X,X,X
TIZJSOL,O,O,X,O,X,X,O
TIZJOLS,O,O,X,O,X,X,X
TIZJOSL,O,O,X,O,X,X,O
TIZSLJO,X,O,X,O,O,O,X
TIZSLOJ,X,O,X,O,O,X,X
TIZSJLO,O,O,X,O,O,X,X
TIZSJOL,O,O,X,O,X,X,O
TIZSOLJ,X,O,X,O,O,X,X
TIZSOJL,O,O,X,O,O,X,X
TIZOLJS,X,O,X,O,X,X,X
TIZOLSJ,X,O,X,O,O,O,X
TIZOJLS,O,O,X,O,X,X,X
TIZOJSL,O,O,X,O,X,X,O
TIZOSLJ,X,O,X,O,O,O,X
TIZOSJL,O,O,X,O,O,X,O
