sequence,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhFFiBTjB?XlBSsBWvB0rB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je3AJvhFTjBxmB?UqBCsBupBFsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je3AJvhFTjBxmB?UqBFsBupBCsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhF3hBGjB?lnBUqBzrBCqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je0BJvhFTjBRlB?SsBFlBWvBXsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je3AJvhF1mBxiB?CoBUqBzrBupB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JefFJvhF0gBlhB?xnBCoBWvBzrB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhF3hBTjB?FlBWvBCsBcsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeXCJvhFTjBRlB?SsBFlBWvB0rB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JefFJvhF0gBxhB?TjBWvBFsBCsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JexBJvhFTjBfqB?urBcsBlqBCqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeuEJvhF3gB0mB?xnBCoBVvBzrB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeTDJvhFRlBGnB?ClBXnBVvB0rB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8Je5EJvhF3hBTjB?OqBCsBcsBlqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeRAJvhFGiBTjB?lmBUqBXsBCqB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeWFJvhF1mBxiB?CoB8pBzrB3qB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeWFJvhFTjBxmB?8pBCsB3qBFsB,v115@9gA8IeA8IeA8BeB8CeC8CeA8BeC8JeFFJvhF0mBxnB?upBCoB3qBzrB
TILJSZO,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TILJSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TILSJZO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TILZJOS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TILZSJO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TILZSOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TILZOSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TILOSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TIJSLZO,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TIJSLOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJSZLO,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIJSOZL,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X
TIJZLSO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIJZLOS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJZSLO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIJZSOL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIJZOLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TIJZOSL,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X
TIJOSLZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIJOSZL,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X
TIJOZLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIJOZSL,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TISLJZO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISLJOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISLZOJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TISJLOZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TISJZOL,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISJOZL,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X
TISZLJO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TISZLOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TISZJOL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISZOLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISOLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TISOJZL,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TISOZLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZLJSO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIZLJOS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZLSJO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIZLSOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZLOJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZLOSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZJLSO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIZJLOS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZJSLO,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
TIZJSOL,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TIZJOLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TIZJOSL,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIZSLJO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIZSLOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSJLO,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIZSJOL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZSOLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZSOJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIZOLJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZOLSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOJLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O
TIZOJSL,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIZOSJL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X
TIOJSLZ,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X
TIOJSZL,X,X,X,X,X,X,O,X,X,O,X,O,O,X,X,X,X,X
TIOJZLS,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X
TIOJZSL,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
