sequence,v115@FhA8IeA8BeA8EeB8AeD8BeC8KeOEJvhFdlBzgBCiB5?oBXnBUrB,v115@FhA8IeA8BeA8EeB8AeD8BeC8KeNEJvhFUgBGhBTiB5?oByqB3rB,v115@FhA8IeA8BeA8EeB8AeD8BeC8KeNEJvhFalBulB3hBc?nB5oBTrB,v115@FhA8IeA8BeA8EeB8AeD8BeC8KeNEJvhFalBulBcmBT?iB5oB3rB,v115@FhA8IeA8BeA8EeB8AeD8BeC8KeOEJvhFdlBzgBcnB5?oBSrB3rB,v115@FhA8IeA8BeA8EeB8AeD8BeC8KeNEJvhF3gBGiB5oBK?rBzrBUqB
TILJSZO,O,O,O,O,O,X
TILJSOZ,O,O,O,O,O,O
TILJZSO,O,O,O,X,O,X
TILJZOS,O,O,O,X,O,X
TILJOSZ,X,O,O,O,O,O
TILJOZS,X,O,O,X,O,O
TILSJZO,O,O,O,O,O,X
TILSJOZ,O,O,O,O,O,O
TILSZJO,O,O,O,O,O,X
TILSZOJ,O,O,O,O,O,O
TILSOJZ,O,O,O,O,O,O
TILSOZJ,O,O,O,O,O,O
TILZJSO,O,O,O,X,O,X
TILZJOS,O,O,O,X,O,X
TILZSJO,O,O,O,O,O,X
TILZSOJ,O,O,O,O,O,O
TILZOJS,O,O,O,X,O,O
TILZOSJ,O,O,O,O,O,O
TILOJSZ,X,O,O,O,O,O
TILOJZS,X,O,O,X,O,O
TILOSJZ,X,O,O,O,O,O
TILOSZJ,X,O,O,O,O,O
TILOZJS,X,O,O,X,O,O
TILOZSJ,X,O,O,O,O,O
TIJLSZO,O,O,O,O,O,X
TIJLSOZ,O,O,O,O,O,O
TIJLZSO,O,O,O,X,O,X
TIJLZOS,O,O,O,X,O,X
TIJLOSZ,X,O,O,O,O,O
TIJLOZS,X,O,O,X,O,O
TIJSLZO,O,O,O,O,O,X
TIJSLOZ,O,O,O,O,O,X
TIJSZLO,O,O,O,O,O,X
TIJSZOL,O,O,O,O,X,X
TIJSOLZ,O,O,O,O,X,O
TIJSOZL,O,O,O,O,X,X
TIJZLSO,O,O,O,X,O,X
TIJZLOS,O,O,O,X,O,X
TIJZSLO,O,O,O,X,O,X
TIJZSOL,O,O,O,X,X,X
TIJZOLS,O,O,O,X,O,O
TIJZOSL,O,O,O,X,X,X
TIJOLSZ,X,O,O,O,O,O
TIJOLZS,X,O,O,X,O,O
TIJOSLZ,O,O,O,O,X,O
TIJOSZL,O,O,O,O,X,X
TIJOZLS,O,O,O,X,O,O
TIJOZSL,O,O,O,X,X,X
TISLJZO,O,O,O,O,O,X
TISLJOZ,O,O,O,O,O,O
TISLZJO,O,O,O,O,O,X
TISLZOJ,O,O,O,O,O,O
TISLOJZ,O,O,O,O,O,O
TISLOZJ,O,O,O,O,O,O
TISJLZO,O,O,O,O,O,X
TISJLOZ,O,O,O,O,O,X
TISJZLO,O,O,O,O,O,X
TISJZOL,O,O,O,O,X,X
TISJOLZ,O,O,O,O,X,O
TISJOZL,O,O,O,O,X,X
TISZLJO,O,O,O,O,O,X
TISZLOJ,O,O,O,O,O,X
TISZJLO,O,O,O,O,O,X
TISZJOL,O,O,O,O,X,X
TISZOLJ,O,O,O,O,X,X
TISZOJL,O,O,O,O,X,X
TISOLJZ,O,O,O,O,X,O
TISOLZJ,O,O,O,O,X,O
TISOJLZ,O,O,O,O,X,O
TISOJZL,O,O,O,O,X,X
TISOZLJ,O,O,O,O,X,X
TISOZJL,O,O,O,O,X,X
TIZLJSO,O,O,O,X,O,X
TIZLJOS,O,O,O,X,O,X
TIZLSJO,O,O,O,O,O,X
TIZLSOJ,O,O,O,O,O,O
TIZLOJS,O,O,O,X,O,O
TIZLOSJ,O,O,O,O,O,O
TIZJLSO,O,O,O,X,O,X
TIZJLOS,O,O,O,X,O,X
TIZJSLO,O,O,O,X,O,X
TIZJSOL,O,O,O,X,X,X
TIZJOLS,O,O,O,X,O,O
TIZJOSL,O,O,O,X,X,X
TIZSLJO,O,O,O,O,O,X
TIZSLOJ,O,O,O,O,O,X
TIZSJLO,O,O,O,O,O,X
TIZSJOL,O,O,O,O,X,X
TIZSOLJ,O,O,O,O,X,X
TIZSOJL,O,O,O,O,X,X
TIZOLJS,O,O,O,X,O,O
TIZOLSJ,O,O,O,O,O,O
TIZOJLS,O,O,O,X,O,O
TIZOJSL,O,O,O,X,X,X
TIZOSLJ,O,O,O,O,X,X
TIZOSJL,O,O,O,O,X,X
TIOLJSZ,X,O,O,O,O,O
TIOLJZS,X,O,O,X,O,O
TIOLSJZ,X,O,O,O,O,O
TIOLSZJ,X,O,O,O,O,O
TIOLZJS,X,O,O,X,O,O
TIOLZSJ,X,O,O,O,O,O
TIOJLSZ,X,O,O,O,O,O
