sequence,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF3hBcnB6oBT?lBdtBWxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBxhBTjBu?rBcsBXtB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBxhBXjBu?rBctBTsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxiBT?oBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxiBT?oB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB2nBTlBc?tBXsBCtB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBTjBx?sBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB6oBTlBm?nBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mB6oBTlBm?nB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeUAJvhF9mBOnB6oBz?nB3lBRxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mBynB+oBT?lBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeRAJvhF9mBynB+oBT?lB0sBXsB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFtlBXiBTjBW?tB0mBRxB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxnBT?oBXsB0sB,v115@9gA8IeB8HeB8BeA8EeE8DeA8JeaFJvhFulB9mBxnBT?oB0sBXsB
TILJSZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TILJSOZ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
TILJZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TILJZOS,O,O,O,X,O,X,O,X,X,O,X,X,O,X,O
TILJOSZ,O,X,O,O,O,X,O,X,X,O,X,X,O,X,X
TILJOZS,O,O,O,O,O,X,O,X,X,O,X,X,O,X,X
TILSJZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TILSJOZ,X,O,O,O,X,X,O,O,X,X,X,X,O,O,X
TILSZJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TILSZOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TILSOJZ,X,O,X,O,X,X,O,O,X,O,X,X,X,O,X
TILSOZJ,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TILZJSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TILZJOS,O,O,O,X,O,X,O,X,O,O,X,X,O,X,O
TILZSJO,O,O,O,X,X,X,X,X,X,X,X,X,X,X,O
TILZSOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TILZOJS,O,X,O,X,O,X,O,X,O,O,X,X,X,X,O
TILZOSJ,O,O,O,X,O,X,X,X,O,O,X,X,X,X,X
TILOJSZ,O,X,O,O,O,X,O,O,X,O,X,X,O,X,X
TILOJZS,O,O,O,O,O,X,O,X,O,O,X,X,O,X,X
TILOSJZ,O,O,X,O,O,X,O,O,X,O,X,X,X,X,X
TILOSZJ,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X
TILOZJS,O,X,O,O,O,X,O,X,O,O,X,X,X,X,X
TILOZSJ,O,O,O,X,O,X,X,O,O,O,X,X,X,X,X
TIJLSZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TIJLSOZ,X,O,O,O,X,X,O,X,X,X,X,X,O,O,X
TIJLZSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TIJLZOS,O,O,O,X,O,X,O,X,X,O,X,X,O,X,O
TIJLOSZ,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
TIJLOZS,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
TIJSLZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TIJSLOZ,X,O,O,O,X,X,O,X,X,X,O,X,O,O,X
TIJSZLO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
TIJSZOL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TIJSOLZ,X,O,O,O,X,X,O,X,X,O,O,X,O,O,X
TIJSOZL,X,X,O,O,X,X,X,X,X,O,O,X,O,X,X
TIJZLSO,O,O,O,X,X,X,O,X,X,X,X,X,O,X,O
TIJZLOS,O,O,O,X,O,X,O,X,X,O,X,O,O,X,O
TIJZSLO,O,O,O,X,X,X,X,X,X,X,X,X,O,X,O
TIJZSOL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TIJZOLS,O,O,O,X,O,X,O,X,X,O,X,O,O,X,O
TIJZOSL,O,O,O,X,O,X,X,X,X,O,X,O,O,X,X
TIJOLSZ,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
TIJOLZS,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
TIJOSLZ,O,X,O,O,O,X,O,X,X,O,O,O,O,X,X
TIJOSZL,O,X,O,O,X,X,X,X,X,O,O,O,O,X,X
TIJOZLS,O,O,O,O,O,X,O,X,X,O,O,O,O,X,X
TIJOZSL,O,O,O,X,O,X,X,X,X,O,O,O,O,X,X
TISLJZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TISLJOZ,X,O,O,O,X,X,O,O,X,X,X,X,O,O,X
TISLZJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TISLZOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TISLOJZ,X,O,X,O,X,X,O,O,X,O,X,X,X,O,X
TISLOZJ,X,O,O,O,X,X,X,O,X,O,X,X,X,X,X
TISJLZO,O,O,O,X,X,X,O,X,X,X,X,X,O,O,X
TISJLOZ,X,O,O,O,X,X,O,O,X,X,O,X,O,O,X
TISJZLO,O,O,O,X,X,X,X,X,X,X,X,X,O,O,X
TISJZOL,O,O,O,X,X,X,X,X,X,O,X,X,O,X,X
TISJOLZ,X,O,O,O,X,X,O,O,X,O,O,X,O,O,X
TISJOZL,X,X,O,O,X,X,X,O,X,O,O,X,O,X,X
TISZLJO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TISZLOJ,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X
TISZJOL,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TISZOLJ,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TISZOJL,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TISOLJZ,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X
TISOLZJ,X,O,O,O,X,O,X,O,X,O,X,X,X,X,X
TISOJLZ,X,O,X,O,X,X,O,O,X,O,O,X,X,O,X
TISOJZL,X,X,X,O,X,O,X,O,X,O,O,X,X,X,X
