sequence,v115@OhB8FeA8AeD8DeE8Je0/IvhFxgBdnBGjB/pBarBTqB,v115@OhB8FeA8AeD8DeE8JeT/IvhFxgBdnBGjB/qBarB0pB,v115@OhB8FeA8AeD8DeE8Jex/IvhFNmBanBGjBTkB0qBXqB,v115@OhB8FeA8AeD8DeE8Jex/IvhFNmBanBGjBTkBXqB0qB,v115@OhB8FeA8AeD8DeE8JeT/IvhFNmBanBGjBxpBXqB0qB,v115@OhB8FeA8AeD8DeE8JeNEJvhFRgBanBGjBXmBzpB0qB,v115@OhB8FeA8AeD8DeE8JeT/IvhF0gBdnBGjBypBXmBRvB,v115@OhB8FeA8AeD8DeE8JeNGJvhFanBGjBxkBTkBXqB0qB,v115@OhB8FeA8AeD8DeE8JeNGJvhFanBGjBxkBTkB0qBXqB
TILJSZO,O,O,X,X,O,X,O,O,X
TILJSOZ,O,O,X,O,O,O,O,O,X
TILJZSO,O,O,X,X,O,X,O,X,O
TILJZOS,O,O,O,X,O,O,O,X,O
TILJOSZ,O,O,O,O,O,O,O,X,X
TILJOZS,O,X,O,O,O,O,O,X,X
TILSJZO,O,O,X,X,O,X,O,O,X
TILSJOZ,O,O,X,O,O,O,O,O,X
TILSZJO,O,O,X,X,O,X,O,O,X
TILSZOJ,O,O,X,X,O,X,O,X,X
TILSOJZ,O,O,X,O,O,X,O,O,X
TILSOZJ,O,O,X,O,O,X,O,X,X
TILZJSO,O,O,X,X,O,X,O,X,O
TILZJOS,O,O,O,X,O,O,O,X,O
TILZSJO,O,O,X,X,O,X,O,X,O
TILZSOJ,O,O,X,X,O,X,O,X,X
TILZOJS,O,O,O,X,O,X,O,X,O
TILZOSJ,O,X,O,X,O,X,O,X,X
TILOJSZ,O,O,O,O,O,O,O,X,X
TILOJZS,O,X,O,O,O,O,O,X,X
TILOSJZ,O,O,O,O,O,O,O,X,X
TILOSZJ,O,O,X,O,O,O,O,X,X
TILOZJS,O,X,O,O,O,O,O,X,X
TILOZSJ,O,X,O,X,O,X,O,X,X
TIJLSZO,O,O,X,X,O,X,O,O,X
TIJLSOZ,O,O,X,O,O,O,O,O,X
TIJLZSO,O,O,X,X,O,X,O,X,O
TIJLZOS,O,O,O,X,O,O,O,X,O
TIJLOSZ,O,O,O,O,O,O,O,X,X
TIJLOZS,O,X,O,O,O,O,O,X,X
TIJSLZO,O,O,X,X,O,X,O,O,X
TIJSLOZ,O,O,X,O,O,O,O,O,X
TIJSZLO,O,O,X,X,X,X,X,O,X
TIJSZOL,O,O,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,O,O,X,X,O,X
TIJSOZL,O,O,X,O,X,X,X,X,X
TIJZLSO,O,O,X,X,O,X,O,X,O
TIJZLOS,O,O,O,X,O,O,O,X,O
TIJZSLO,O,O,X,X,X,X,X,X,O
TIJZSOL,O,O,X,X,X,X,X,X,X
TIJZOLS,X,O,O,X,O,X,X,X,O
TIJZOSL,O,O,O,X,X,X,X,X,X
TIJOLSZ,O,O,O,O,O,O,O,X,X
TIJOLZS,O,X,O,O,O,O,O,X,X
TIJOSLZ,O,X,O,O,O,O,X,X,X
TIJOSZL,O,O,X,O,X,O,X,X,X
TIJOZLS,X,O,O,O,O,O,X,X,X
TIJOZSL,O,O,O,X,X,X,X,X,X
TISLJZO,O,O,X,X,O,X,O,O,X
TISLJOZ,O,O,X,O,O,O,O,O,X
TISLZJO,O,O,X,X,O,X,O,O,X
TISLZOJ,O,O,X,X,O,X,O,X,X
TISLOJZ,O,O,X,O,O,X,O,O,X
TISLOZJ,O,O,X,O,O,X,O,X,X
TISJLZO,O,O,X,X,O,X,O,O,X
TISJLOZ,O,O,X,O,O,O,O,O,X
TISJZLO,O,O,X,X,X,X,X,O,X
TISJZOL,O,O,X,X,X,X,X,X,X
TISJOLZ,O,X,X,O,O,X,X,O,X
TISJOZL,O,O,X,O,X,X,X,X,X
TISZLJO,O,O,X,X,X,X,X,O,X
TISZLOJ,O,O,X,X,X,X,X,X,X
TISZJLO,O,O,X,X,X,X,X,O,X
TISZJOL,O,O,X,X,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,X,X
TISZOJL,O,O,X,X,X,X,X,X,X
TISOLJZ,O,X,X,O,O,X,X,O,X
TISOLZJ,O,X,X,O,O,X,X,X,X
TISOJLZ,O,X,X,O,O,X,X,O,X
TISOJZL,O,O,X,O,X,X,X,X,X
TISOZLJ,O,O,X,O,X,X,X,X,X
TISOZJL,O,O,X,O,X,X,X,X,X
TIZLJSO,O,O,X,X,O,X,O,X,O
TIZLJOS,O,O,O,X,O,O,O,X,O
TIZLSJO,O,O,X,X,O,X,O,X,O
TIZLSOJ,O,O,X,X,O,X,O,X,X
TIZLOJS,O,O,O,X,O,X,O,X,O
TIZLOSJ,O,X,O,X,O,X,O,X,X
TIZJLSO,O,O,X,X,O,X,O,X,O
TIZJLOS,O,O,O,X,O,O,O,X,O
TIZJSLO,O,O,X,X,X,X,X,X,O
TIZJSOL,O,O,X,X,X,X,X,X,X
TIZJOLS,X,O,O,X,O,X,X,X,O
TIZJOSL,O,O,O,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,X,X,O
TIZSLOJ,X,O,X,X,X,X,X,X,X
TIZSJLO,O,O,X,X,X,X,X,X,O
TIZSJOL,O,O,X,X,X,X,X,X,X
TIZSOLJ,X,O,X,X,X,X,X,X,X
TIZSOJL,O,O,X,X,X,X,X,X,X
TIZOLJS,X,O,O,X,O,X,X,X,O
TIZOLSJ,X,X,O,X,O,X,X,X,X
TIZOJLS,X,O,O,X,O,X,X,X,O
TIZOJSL,O,O,O,X,X,X,X,X,X
TIZOSLJ,O,O,O,X,X,X,X,X,X
TIZOSJL,O,O,O,X,X,X,X,X,X
TIOLJSZ,O,O,O,O,O,O,O,X,X
TIOLJZS,O,X,O,O,O,O,O,X,X
TIOLSJZ,O,O,O,O,O,O,O,X,X
TIOLSZJ,O,O,X,O,O,O,O,X,X
TIOLZJS,O,X,O,O,O,O,O,X,X
TIOLZSJ,O,X,O,X,O,X,O,X,X
TIOJLSZ,O,O,O,O,O,O,O,X,X
TIOJLZS,O,X,O,O,O,O,O,X,X
TIOJSLZ,O,X,O,O,O,O,X,X,X
TIOJSZL,O,O,X,O,X,O,X,X,X
TIOJZLS,X,O,O,O,O,O,X,X,X
TIOJZSL,O,O,O,X,X,X,X,X,X
TIOSLJZ,O,X,O,O,O,O,X,X,X
TIOSLZJ,O,X,X,O,O,O,X,X,X
TIOSJLZ,O,X,O,O,O,O,X,X,X
TIOSJZL,O,O,X,O,X,O,X,X,X
TIOSZLJ,O,O,X,O,X,O,X,X,X
TIOSZJL,O,O,X,O,X,O,X,X,X
TIOZLJS,X,O,O,O,O,O,X,X,X
TIOZLSJ,X,X,O,X,O,X,X,X,X
TIOZJLS,X,O,O,O,O,O,X,X,X
TIOZJSL,O,O,O,X,X,X,X,X,X
TIOZSLJ,O,X,O,X,X,X,X,X,X
TIOZSJL,O,O,O,X,X,X,X,X,X
TLIJSZO,O,O,X,X,O,X,O,O,X
TLIJSOZ,O,O,X,O,O,O,O,O,X
TLIJZSO,O,O,X,X,O,X,O,X,O
TLIJZOS,O,O,O,X,O,O,O,X,O
TLIJOSZ,O,O,O,O,O,O,O,X,X
TLIJOZS,O,X,O,O,O,O,O,X,X
TLISJZO,O,O,X,X,O,X,O,O,X
TLISJOZ,O,O,X,O,O,O,O,O,X
TLISZJO,O,O,X,X,O,X,O,O,X
TLISZOJ,O,O,X,X,O,X,O,X,X
TLISOJZ,O,O,X,O,O,X,O,O,X
TLISOZJ,O,O,X,O,O,X,O,X,X
TLIZJSO,O,O,X,X,O,X,O,X,O
TLIZJOS,O,O,O,X,O,O,O,X,O
TLIZSJO,O,O,X,X,O,X,O,X,O
TLIZSOJ,O,O,X,X,O,X,O,X,X
TLIZOJS,O,O,O,X,O,X,O,X,O
TLIZOSJ,O,X,O,X,O,X,O,X,X
TLIOJSZ,O,O,O,O,O,O,O,X,X
TLIOJZS,O,X,O,O,O,O,O,X,X
TLIOSJZ,O,O,O,O,O,O,O,X,X
TLIOSZJ,O,O,X,O,O,O,O,X,X
TLIOZJS,O,X,O,O,O,O,O,X,X
TLIOZSJ,O,X,O,X,O,X,O,X,X
TLJISZO,O,O,X,X,O,X,O,O,X
TLJISOZ,O,O,X,O,O,O,O,O,X
TLJIZSO,O,O,X,X,O,X,O,X,O
TLJIZOS,O,O,O,X,O,O,O,X,O
TLJIOSZ,O,O,O,O,O,O,O,X,X
TLJIOZS,O,X,O,O,O,O,O,X,X
TLJSIZO,O,O,X,X,O,X,O,O,X
TLJSIOZ,O,O,X,O,O,O,O,O,X
TLJSZIO,O,O,X,X,X,X,X,O,O
TLJSZOI,O,O,O,O,X,X,O,X,X
TLJSOIZ,O,O,O,O,X,O,O,O,X
TLJSOZI,O,O,O,O,X,O,O,X,X
TLJZISO,O,O,X,X,O,X,O,X,O
TLJZIOS,O,O,O,X,O,O,O,X,O
TLJZSIO,O,O,X,X,X,X,X,O,O
TLJZSOI,O,O,O,O,X,X,O,X,X
TLJZOIS,O,O,O,O,X,O,O,X,O
TLJZOSI,O,O,O,O,X,O,O,X,X
TLJOISZ,O,O,O,O,O,O,O,X,X
TLJOIZS,O,X,O,O,O,O,O,X,X
TLJOSIZ,O,O,O,O,X,O,O,O,X
TLJOSZI,O,O,O,O,X,O,O,X,X
TLJOZIS,O,X,O,O,X,O,O,X,O
TLJOZSI,O,X,O,O,X,O,O,X,X
TLSIJZO,O,O,X,X,O,X,O,O,X
TLSIJOZ,O,O,X,O,O,O,O,O,X
TLSIZJO,O,O,X,X,O,X,O,O,X
TLSIZOJ,O,O,X,X,O,X,O,X,X
TLSIOJZ,O,O,X,O,O,X,O,O,X
TLSIOZJ,O,O,X,O,O,X,O,X,X
TLSJIZO,O,O,X,X,O,X,O,O,X
TLSJIOZ,O,O,X,O,O,O,O,O,X
TLSJZIO,O,O,X,X,X,X,X,O,O
TLSJZOI,O,O,O,O,X,X,O,X,X
TLSJOIZ,O,O,O,O,X,O,O,O,X
TLSJOZI,O,O,O,O,X,O,O,X,X
TLSZIJO,O,O,X,X,X,X,X,O,O
TLSZIOJ,O,O,X,X,X,X,X,X,X
TLSZJIO,O,O,X,X,X,X,X,O,O
TLSZJOI,O,O,O,O,X,X,O,X,X
TLSZOIJ,O,O,O,O,X,X,X,X,X
TLSZOJI,O,O,O,O,X,X,O,X,X
TLSOIJZ,O,O,O,O,X,O,O,O,X
TLSOIZJ,O,O,X,O,X,O,O,X,X
TLSOJIZ,O,O,O,O,X,O,O,O,X
TLSOJZI,O,O,O,O,X,O,O,X,X
TLSOZIJ,O,O,O,O,X,O,X,X,X
TLSOZJI,O,O,O,O,X,O,O,X,X
TLZIJSO,O,O,X,X,O,X,O,X,O
TLZIJOS,O,O,O,X,O,O,O,X,O
TLZISJO,O,O,X,X,O,X,O,X,O
TLZISOJ,O,O,X,X,O,X,O,X,X
TLZIOJS,O,O,O,X,O,X,O,X,O
TLZIOSJ,O,X,O,X,O,X,O,X,X
TLZJISO,O,O,X,X,O,X,O,X,O
TLZJIOS,O,O,O,X,O,O,O,X,O
TLZJSIO,O,O,X,X,X,X,X,O,O
TLZJSOI,O,O,O,O,X,X,O,X,X
TLZJOIS,O,O,O,O,X,O,O,X,O
TLZJOSI,O,O,O,O,X,O,O,X,X
TLZSIJO,O,O,X,X,X,X,X,O,O
TLZSIOJ,O,O,X,X,X,X,X,X,X
TLZSJIO,O,O,X,X,X,X,X,O,O
TLZSJOI,O,O,O,O,X,X,O,X,X
TLZSOIJ,O,O,O,O,X,X,X,X,X
TLZSOJI,O,O,O,O,X,X,O,X,X
TLZOIJS,O,O,O,O,X,O,O,X,O
TLZOISJ,O,X,O,X,X,X,O,X,X
TLZOJIS,O,O,O,O,X,O,O,X,O
TLZOJSI,O,O,O,O,X,O,O,X,X
