sequence,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeRAJvhFUiBGjB9qBT?mB/tBywB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFxhBXjBimB9?tB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeGAJvhFNmBaoB5oBX?nB0qBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFXiBdoB5oBe?rBUlBzrB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KeCBJvhFOnBXjBTmB9?tBUlBRwB,v115@9gA8IeC8GeB8EeA8BeC8DeB8KefGJvhF6mBNnBToBU?lBGtBRwB
TILJSZO,O,X,O,O,X,X
TILJSOZ,O,X,X,O,O,O
TILJZSO,O,X,O,O,X,X
TILJZOS,X,X,O,X,X,X
TILJOSZ,X,X,X,O,O,O
TILJOZS,X,X,X,O,O,X
TILSJZO,O,X,O,O,X,X
TILSJOZ,O,X,X,O,O,O
TILSZJO,O,X,O,X,X,X
TILSZOJ,O,X,O,X,X,O
TILSOJZ,O,X,X,O,O,O
TILSOZJ,O,X,X,X,O,O
TILZJSO,O,X,O,X,X,X
TILZJOS,X,X,O,X,X,X
TILZSJO,O,X,O,X,X,X
TILZSOJ,O,X,O,X,X,O
TILZOJS,X,X,O,X,X,X
TILZOSJ,O,X,O,X,X,O
TILOJSZ,O,X,X,O,O,O
TILOJZS,O,X,X,O,O,X
TILOSJZ,O,X,X,O,O,O
TILOSZJ,O,X,X,X,O,O
TILOZJS,O,X,X,X,O,X
TILOZSJ,O,X,X,X,O,O
TIJLSZO,O,X,O,O,X,X
TIJLSOZ,O,X,X,O,O,O
TIJLZSO,O,X,O,O,X,X
TIJLZOS,X,X,O,X,X,X
TIJLOSZ,X,X,X,O,O,O
TIJLOZS,X,X,X,O,O,X
TIJSLZO,O,O,O,O,X,X
TIJSLOZ,O,O,X,O,O,O
TIJSZLO,O,O,O,O,X,X
TIJSZOL,O,O,O,X,O,X
TIJSOLZ,O,O,X,O,O,O
TIJSOZL,O,O,X,O,O,X
TIJZLSO,X,O,O,O,X,X
TIJZLOS,X,O,O,X,X,X
TIJZSLO,O,O,O,O,X,X
TIJZSOL,O,O,O,X,O,X
TIJZOLS,X,O,O,O,O,X
TIJZOSL,X,O,O,O,O,X
TIJOLSZ,X,O,X,O,O,O
TIJOLZS,X,O,X,O,O,X
TIJOSLZ,X,O,X,O,O,O
TIJOSZL,X,O,X,O,O,X
TIJOZLS,X,X,X,O,O,X
TIJOZSL,X,X,X,O,O,X
TISLJZO,O,O,O,O,X,X
TISLJOZ,O,O,X,O,O,O
TISLZJO,O,X,O,X,X,X
TISLZOJ,O,X,O,X,X,O
TISLOJZ,O,X,X,O,O,O
TISLOZJ,O,X,X,X,O,O
TISJLZO,O,O,O,O,X,X
TISJLOZ,O,O,X,O,O,O
TISJZLO,O,O,O,O,X,X
TISJZOL,O,O,O,X,O,X
TISJOLZ,O,O,X,O,O,O
TISJOZL,O,O,X,O,O,X
TISZLJO,O,O,O,X,X,X
TISZLOJ,O,O,O,X,X,O
TISZJLO,O,O,O,O,X,X
TISZJOL,O,O,O,X,O,X
TISZOLJ,X,O,O,X,O,O
TISZOJL,O,O,O,O,O,X
TISOLJZ,O,O,X,O,O,O
TISOLZJ,O,O,X,X,O,O
TISOJLZ,O,O,X,O,O,O
TISOJZL,O,O,X,O,O,X
TISOZLJ,X,O,X,X,O,O
TISOZJL,O,O,X,O,O,X
TIZLJSO,O,O,O,X,X,X
TIZLJOS,X,O,O,X,X,X
TIZLSJO,O,O,O,X,X,X
TIZLSOJ,O,O,O,X,X,O
TIZLOJS,X,O,O,X,X,X
TIZLOSJ,O,O,O,X,X,O
TIZJLSO,X,O,O,O,X,X
TIZJLOS,X,O,O,X,X,X
TIZJSLO,O,O,O,O,X,X
TIZJSOL,O,O,O,X,O,X
TIZJOLS,X,O,O,O,O,X
TIZJOSL,X,O,O,O,O,X
TIZSLJO,O,O,O,X,X,X
TIZSLOJ,O,O,O,X,X,O
TIZSJLO,O,O,O,O,X,X
