sequence,v115@GhA8HeC8GeD8DeD8Jei/IvhFRhBunBfqBzmBUrBlqB,v115@GhA8HeC8GeD8DeD8JeT/IvhFxgBliBXlBUnBGrByvB,v115@GhA8HeC8GeD8DeD8JeT/IvhFxgBliBSqB/rBUnB2vB,v115@GhA8HeC8GeD8DeD8Je/EJvhFzgBRiBGnB0qBlrBaqB,v115@GhA8HeC8GeD8DeD8JeT/IvhFylB3iBFqBxrBurB0qB,v115@GhA8HeC8GeD8DeD8JeT/IvhF0gBlhB3iBRqBCsB2vB,v115@GhA8HeC8GeD8DeD8JeT/IvhF3iBxlBmlBUnBFqBSwB,v115@GhA8HeC8GeD8DeD8JeT/IvhFUiBxlBmlB3nBFqBSwB,v115@GhA8HeC8GeD8DeD8Je2EJvhF/mBRiBcqBTnBClBVwB,v115@GhA8HeC8GeD8DeD8Je3AJvhFRiB0kBSsBzqBlrBmpB
TILJSZO,X,X,X,O,O,O,X,X,X,X
TILJSOZ,X,X,X,X,O,O,X,X,X,X
TILJZSO,X,X,X,O,O,O,X,X,X,X
TILJZOS,X,X,X,O,O,O,X,X,X,X
TILJOSZ,X,X,O,X,O,O,X,X,X,X
TILJOZS,X,X,X,O,O,O,X,X,X,X
TILSJZO,X,X,X,O,O,O,X,X,X,X
TILSJOZ,X,X,O,X,O,O,X,X,X,X
TILSZJO,X,X,X,O,O,O,X,X,X,X
TILSZOJ,X,X,O,X,O,O,X,X,X,X
TILSOJZ,X,X,O,X,O,O,O,X,X,X
TILSOZJ,X,X,O,X,O,O,O,X,X,X
TILZJSO,X,X,X,O,O,O,X,X,X,X
TILZJOS,X,X,X,O,O,O,X,X,X,X
TILZSJO,X,X,O,O,O,O,X,X,X,X
TILZSOJ,X,X,O,X,O,O,X,X,X,X
TILZOJS,X,X,X,X,O,O,X,O,X,X
TILZOSJ,X,X,O,X,O,O,X,O,X,X
TILOJSZ,X,X,O,X,O,O,X,X,X,X
TILOJZS,X,X,X,X,O,O,X,X,X,X
TILOSJZ,X,X,O,X,O,O,O,X,X,X
TILOSZJ,X,X,O,X,O,O,O,X,X,X
TILOZJS,X,X,X,X,O,O,X,O,X,X
TILOZSJ,X,X,O,X,O,O,X,O,X,X
TIJLSZO,X,X,X,O,O,X,X,X,X,X
TIJLSOZ,X,X,X,X,O,X,X,X,X,X
TIJLZSO,X,X,X,O,O,X,X,X,X,X
TIJLZOS,X,X,X,O,O,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,X,X,X,X,X
TIJLOZS,X,X,X,O,O,X,X,X,X,X
TIJSLZO,X,X,X,O,O,X,X,X,X,X
TIJSLOZ,X,O,X,X,O,X,X,X,X,X
TIJSZLO,X,X,X,O,O,X,X,X,X,X
TIJSZOL,X,O,X,O,O,X,X,X,X,X
TIJSOLZ,X,O,X,X,O,X,O,X,X,X
TIJSOZL,X,O,X,O,O,X,O,X,X,X
TIJZLSO,X,X,X,O,O,X,X,X,X,X
TIJZLOS,X,X,X,O,O,X,X,X,X,X
TIJZSLO,X,X,X,O,O,X,X,X,X,X
TIJZSOL,X,X,X,O,O,X,X,X,X,X
TIJZOLS,X,X,X,O,O,X,X,O,X,X
TIJZOSL,X,X,X,O,O,X,X,O,X,X
TIJOLSZ,X,X,X,X,O,X,X,X,X,X
TIJOLZS,X,X,X,O,O,X,X,X,X,X
TIJOSLZ,X,X,X,X,O,X,O,X,X,X
TIJOSZL,X,X,X,O,O,X,O,X,X,X
TIJOZLS,X,X,X,O,O,X,X,O,X,X
TIJOZSL,X,X,X,O,O,X,X,O,X,X
TISLJZO,X,X,X,O,O,O,X,X,X,X
TISLJOZ,X,X,O,X,O,O,O,X,X,X
TISLZJO,X,X,X,O,O,O,X,X,X,X
TISLZOJ,X,X,O,X,O,O,O,X,X,X
TISLOJZ,X,O,O,X,O,O,O,X,X,X
TISLOZJ,X,O,O,X,O,O,O,X,X,X
TISJLZO,X,X,X,O,O,X,X,X,X,X
TISJLOZ,X,O,O,X,O,X,X,X,X,X
TISJZLO,X,X,X,O,O,X,X,X,X,X
TISJZOL,X,O,X,O,O,X,X,X,X,X
TISJOLZ,X,O,O,X,O,X,O,X,X,X
TISJOZL,X,O,O,O,O,X,O,X,X,X
TISZLJO,X,X,X,O,O,O,X,X,X,X
TISZLOJ,X,O,O,X,O,O,X,X,X,X
TISZJLO,X,O,X,O,O,X,X,X,X,X
TISZJOL,X,O,X,O,O,X,X,X,O,X
TISZOLJ,X,O,O,X,O,O,O,O,O,X
TISZOJL,X,O,O,O,O,X,O,O,O,X
TISOLJZ,X,O,O,X,O,O,O,X,X,X
TISOLZJ,X,O,O,X,O,O,O,X,O,X
TISOJLZ,X,O,O,X,O,X,O,X,X,X
TISOJZL,X,O,O,O,O,X,O,X,O,X
TISOZLJ,X,O,O,X,O,O,O,O,O,X
TISOZJL,X,O,O,O,O,X,O,O,O,X
TIZLJSO,X,O,X,O,O,O,X,X,X,X
TIZLJOS,X,O,X,O,O,O,X,X,X,X
TIZLSJO,X,X,O,O,O,O,X,X,X,X
TIZLSOJ,X,O,O,X,O,O,X,X,X,X
TIZLOJS,X,O,X,X,O,O,X,O,X,X
TIZLOSJ,X,O,O,X,O,O,X,O,X,X
TIZJLSO,X,O,X,O,O,X,X,X,X,X
TIZJLOS,X,O,X,O,O,X,X,X,X,X
TIZJSLO,X,O,O,O,O,X,X,X,X,X
TIZJSOL,X,O,O,O,O,X,X,X,O,X
TIZJOLS,X,O,X,O,O,X,X,O,X,X
TIZJOSL,X,O,O,O,O,X,X,O,O,X
TIZSLJO,X,X,O,O,O,O,X,X,X,X
TIZSLOJ,X,O,O,X,O,O,X,X,X,X
TIZSJLO,X,O,O,O,O,X,X,X,X,X
TIZSJOL,X,O,O,O,O,X,X,X,O,X
TIZSOLJ,X,O,O,X,O,O,O,O,O,X
TIZSOJL,X,O,O,O,O,X,O,O,O,X
TIZOLJS,X,O,X,X,O,O,X,O,X,X
TIZOLSJ,X,O,O,X,O,O,X,O,X,X
TIZOJLS,X,O,X,O,O,X,X,O,X,X
TIZOJSL,X,O,O,O,O,X,X,O,O,X
TIZOSLJ,X,O,O,X,O,O,O,O,O,X
TIZOSJL,X,O,O,O,O,X,O,O,O,X
TIOLJSZ,X,X,O,X,O,O,X,X,X,X
TIOLJZS,X,X,X,X,O,O,X,X,X,X
TIOLSJZ,X,X,O,X,O,O,O,X,X,X
TIOLSZJ,X,X,O,X,O,O,O,X,X,X
TIOLZJS,X,X,X,X,O,O,X,O,X,X
TIOLZSJ,X,X,O,X,O,O,X,O,X,X
TIOJLSZ,X,X,X,X,O,X,X,X,X,X
TIOJLZS,X,X,X,O,O,X,X,X,X,X
TIOJSLZ,X,X,X,X,O,X,O,X,X,X
TIOJSZL,X,X,X,O,O,X,O,X,X,X
TIOJZLS,X,X,X,O,O,X,X,O,X,X
TIOJZSL,X,X,X,O,O,X,X,O,X,X
TIOSLJZ,X,O,O,X,O,O,O,X,X,X
TIOSLZJ,X,O,O,X,O,O,O,X,O,X
TIOSJLZ,X,O,O,X,O,X,O,X,X,X
TIOSJZL,X,O,O,O,O,X,O,X,O,X
TIOSZLJ,X,O,O,X,O,O,O,O,O,X
TIOSZJL,X,O,O,O,O,X,O,O,O,X
TIOZLJS,X,O,X,X,O,O,X,O,X,X
TIOZLSJ,X,O,O,X,O,O,X,O,X,X
TIOZJLS,X,O,X,O,O,X,X,O,X,X
TIOZJSL,X,O,O,O,O,X,X,O,O,X
TIOZSLJ,X,O,O,X,O,O,O,O,O,X
TIOZSJL,X,O,O,O,O,X,O,O,O,X
TLIJSZO,X,X,X,O,O,O,X,X,X,X
TLIJSOZ,X,X,X,X,O,O,O,X,X,X
TLIJZSO,X,X,X,O,O,O,X,X,X,X
TLIJZOS,X,X,X,O,O,O,X,O,X,X
TLIJOSZ,X,X,O,X,O,O,O,X,X,X
TLIJOZS,X,X,X,O,O,O,X,O,X,X
TLISJZO,X,X,X,O,O,O,X,X,X,X
TLISJOZ,X,X,O,X,O,O,O,X,X,X
TLISZJO,X,X,O,O,O,O,X,X,X,X
TLISZOJ,X,X,O,X,O,O,O,O,X,X
TLISOJZ,X,X,O,X,O,O,O,X,X,X
TLISOZJ,X,X,O,X,O,O,O,O,X,X
TLIZJSO,X,X,X,O,O,O,X,X,X,X
TLIZJOS,X,X,X,O,O,O,X,O,X,X
TLIZSJO,X,X,O,O,O,O,X,X,X,X
TLIZSOJ,X,X,O,X,O,O,O,O,X,X
TLIZOJS,X,X,X,X,O,O,X,O,X,X
TLIZOSJ,X,X,O,X,O,O,O,O,X,X
TLIOJSZ,X,X,O,X,O,O,O,X,X,X
TLIOJZS,X,X,X,X,O,O,X,O,X,X
TLIOSJZ,X,X,O,X,O,O,O,X,X,X
TLIOSZJ,X,X,O,X,O,O,O,O,X,X
TLIOZJS,X,X,X,X,O,O,X,O,X,X
TLIOZSJ,X,X,O,X,O,O,O,O,X,X
TLJISZO,X,X,X,O,O,O,X,X,X,X
TLJISOZ,X,X,X,X,O,O,O,X,X,X
TLJIZSO,X,X,X,O,O,O,X,X,X,X
TLJIZOS,X,X,X,O,O,O,X,O,X,X
TLJIOSZ,X,X,O,X,O,O,O,X,X,X
TLJIOZS,X,X,X,O,O,O,X,O,X,X
TLJSIZO,X,X,X,O,O,O,X,X,X,X
TLJSIOZ,X,O,O,X,O,O,O,X,X,X
TLJSZIO,X,X,X,O,X,X,X,X,X,X
TLJSZOI,O,X,X,O,X,X,X,X,X,X
TLJSOIZ,O,O,O,X,O,O,O,X,X,X
TLJSOZI,O,X,X,X,X,X,X,X,X,X
TLJZISO,X,X,X,O,X,X,X,X,X,X
TLJZIOS,X,X,X,O,X,X,X,X,X,X
TLJZSIO,X,X,O,O,X,X,X,X,X,X
TLJZSOI,X,X,O,O,X,X,X,X,X,X
TLJZOIS,O,X,X,O,X,X,X,X,X,X
TLJZOSI,X,X,O,O,X,X,X,X,X,X
TLJOISZ,O,X,O,X,O,O,O,X,X,X
TLJOIZS,O,X,X,O,O,O,X,O,X,X
TLJOSIZ,O,X,O,X,O,O,O,X,X,X
TLJOSZI,O,X,X,X,X,X,X,X,X,X
TLJOZIS,O,X,X,O,X,X,X,X,X,X
TLJOZSI,X,X,O,O,X,X,X,X,X,X
TLSIJZO,X,X,X,O,O,O,X,X,X,X
TLSIJOZ,X,X,O,X,O,O,O,X,X,X
TLSIZJO,X,X,O,O,O,O,X,X,X,X
TLSIZOJ,X,X,O,X,O,O,O,O,X,X
TLSIOJZ,X,O,O,X,O,O,O,X,X,X
TLSIOZJ,X,O,O,X,O,O,O,O,X,X
TLSJIZO,X,X,X,O,O,O,X,X,X,X
TLSJIOZ,X,O,O,X,O,O,O,X,X,X
TLSJZIO,X,X,X,O,X,X,X,X,X,X
TLSJZOI,O,X,X,O,X,X,X,X,X,X
TLSJOIZ,O,O,O,X,O,O,O,X,X,X
TLSJOZI,O,X,X,X,X,X,X,X,X,X
TLSZIJO,X,X,O,O,O,O,X,X,X,X
TLSZIOJ,X,O,O,X,O,O,O,X,X,X
TLSZJIO,X,O,O,O,X,X,X,X,X,X
TLSZJOI,O,O,O,O,X,X,X,X,O,X
TLSZOIJ,O,O,O,X,O,O,O,X,O,X
TLSZOJI,O,O,O,O,X,X,X,X,O,X
TLSOIJZ,O,O,O,X,O,O,O,X,X,X
TLSOIZJ,X,O,O,X,O,O,O,O,O,X
TLSOJIZ,O,O,O,X,O,O,O,X,X,X
TLSOJZI,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,O,O,X,O,O,O,X,O,X
TLSOZJI,O,O,O,X,X,X,X,X,O,X
TLZIJSO,X,O,X,O,O,O,X,X,X,X
TLZIJOS,X,O,X,O,O,O,X,O,X,X
TLZISJO,X,X,O,O,O,O,X,X,X,X
TLZISOJ,X,O,O,X,O,O,O,O,X,X
TLZIOJS,X,O,X,X,O,O,X,O,X,X
TLZIOSJ,X,O,O,X,O,O,O,O,X,X
TLZJISO,X,O,X,O,X,X,X,X,X,X
TLZJIOS,X,O,X,O,X,X,X,X,X,X
TLZJSIO,X,O,O,O,X,X,X,X,X,X
TLZJSOI,X,O,O,O,X,X,X,X,O,X
TLZJOIS,O,O,X,O,X,X,X,X,X,X
TLZJOSI,X,X,O,O,X,X,X,X,O,X
TLZSIJO,X,X,O,O,O,O,X,X,X,X
TLZSIOJ,X,O,O,X,O,O,O,X,X,X
TLZSJIO,X,O,O,O,X,X,X,X,X,X
TLZSJOI,X,O,O,O,X,X,X,X,O,X
TLZSOIJ,X,O,O,X,O,O,O,X,O,X
TLZSOJI,X,O,O,O,X,X,X,X,O,X
TLZOIJS,O,O,X,X,O,O,X,O,X,O
TLZOISJ,X,O,O,X,O,O,O,O,X,O
TLZOJIS,O,O,X,O,X,X,X,X,X,O
TLZOJSI,X,X,O,O,X,X,X,X,O,O
TLZOSIJ,X,O,O,X,O,O,O,X,O,O
TLZOSJI,X,O,O,O,X,X,X,X,O,O
TLOIJSZ,O,X,O,X,O,O,O,X,X,X
TLOIJZS,O,X,X,X,O,O,X,O,X,X
TLOISJZ,X,X,O,X,O,O,O,X,X,X
TLOISZJ,X,X,O,X,O,O,O,O,X,X
TLOIZJS,X,X,X,X,O,O,X,O,X,X
TLOIZSJ,X,X,O,X,O,O,O,O,X,X
TLOJISZ,O,X,O,X,O,O,O,X,X,X
TLOJIZS,O,X,X,O,O,O,X,O,X,X
TLOJSIZ,O,X,O,X,O,O,O,X,X,X
TLOJSZI,O,X,X,X,X,X,X,X,X,X
TLOJZIS,O,X,X,O,X,X,X,X,X,X
TLOJZSI,X,X,O,O,X,X,X,X,X,X
TLOSIJZ,O,O,O,X,O,O,O,X,X,X
TLOSIZJ,X,O,O,X,O,O,O,O,O,X
TLOSJIZ,O,O,O,X,O,O,O,X,X,X
TLOSJZI,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,O,O,X,O,O,O,X,O,O
TLOSZJI,O,O,O,X,X,X,X,X,O,O
TLOZIJS,O,O,X,X,O,O,X,O,X,O
TLOZISJ,X,O,O,X,O,O,O,O,X,O
TLOZJIS,O,O,X,O,X,X,X,X,X,O
TLOZJSI,X,X,O,O,X,X,X,X,O,O
TLOZSIJ,X,O,O,X,O,O,O,X,O,O
TLOZSJI,X,O,O,O,X,X,X,X,O,O
TJILSZO,X,X,X,O,O,X,X,X,X,X
TJILSOZ,X,X,X,X,O,X,X,X,X,X
TJILZSO,X,X,X,O,O,X,X,X,X,X
TJILZOS,X,X,X,O,O,X,X,X,X,X
TJILOSZ,X,X,X,X,O,X,X,X,X,X
TJILOZS,X,X,X,O,O,X,X,X,X,X
TJISLZO,X,X,X,O,O,X,X,X,X,X
TJISLOZ,X,O,X,X,O,X,X,X,X,X
TJISZLO,X,X,X,O,O,X,X,X,X,X
TJISZOL,X,O,X,O,O,X,X,X,X,X
TJISOLZ,X,O,X,X,O,X,O,X,X,X
TJISOZL,X,O,X,O,O,X,O,X,X,X
TJIZLSO,X,X,X,O,O,X,X,X,X,X
TJIZLOS,X,X,X,O,O,X,X,X,X,X
TJIZSLO,X,X,X,O,O,X,X,X,X,X
TJIZSOL,X,X,X,O,O,X,X,X,X,X
TJIZOLS,X,X,X,O,O,X,X,O,X,X
TJIZOSL,X,X,X,O,O,X,X,O,X,X
TJIOLSZ,X,X,X,X,O,X,X,X,X,X
TJIOLZS,X,X,X,O,O,X,X,X,X,X
TJIOSLZ,X,X,X,X,O,X,O,X,X,X
TJIOSZL,X,X,X,O,O,X,O,X,X,X
TJIOZLS,X,X,X,O,O,X,X,O,X,X
TJIOZSL,X,X,X,O,O,X,X,O,X,X
TJLISZO,X,X,X,O,O,X,X,X,X,X
TJLISOZ,X,X,X,X,O,X,X,X,X,X
TJLIZSO,X,X,X,O,O,X,X,X,X,X
TJLIZOS,X,X,X,O,O,X,X,X,X,X
TJLIOSZ,X,X,O,X,O,X,X,X,X,X
TJLIOZS,X,X,X,O,O,X,X,X,X,X
TJLSIZO,X,X,X,O,O,X,X,X,X,X
TJLSIOZ,X,O,O,X,O,X,X,X,X,X
TJLSZIO,X,X,X,O,X,X,X,X,X,X
TJLSZOI,O,X,X,O,X,X,X,X,X,X
TJLSOIZ,O,O,O,X,O,X,X,X,X,X
TJLSOZI,O,X,X,X,X,X,X,X,X,X
TJLZISO,X,X,X,O,X,X,X,X,X,X
TJLZIOS,X,X,X,O,X,X,X,X,X,X
TJLZSIO,X,X,O,O,X,X,X,X,X,X
TJLZSOI,X,X,O,O,X,X,X,X,X,X
TJLZOIS,O,X,X,O,X,X,X,X,X,X
TJLZOSI,X,X,O,O,X,X,X,X,X,X
TJLOISZ,O,X,O,X,O,X,X,X,X,X
TJLOIZS,O,X,X,O,O,X,X,X,X,X
TJLOSIZ,O,X,O,X,O,X,X,X,X,X
TJLOSZI,O,X,X,X,X,X,X,X,X,X
TJLOZIS,O,X,X,O,X,X,X,X,X,X
TJLOZSI,X,X,O,O,X,X,X,X,X,X
TJSILZO,X,X,X,O,O,X,X,X,X,X
TJSILOZ,X,O,O,X,O,X,X,X,X,X
TJSIZLO,X,O,X,O,O,X,X,X,X,X
TJSIZOL,X,O,X,O,O,X,X,X,X,X
TJSIOLZ,X,O,O,X,O,X,O,X,X,X
TJSIOZL,X,O,O,O,O,X,O,X,X,X
TJSLIZO,X,X,X,O,O,X,X,X,X,X
TJSLIOZ,X,O,O,X,O,X,O,X,X,X
TJSLZIO,X,X,X,O,X,X,X,X,X,X
TJSLZOI,O,X,X,O,X,X,X,X,X,X
TJSLOIZ,O,O,O,X,O,X,O,X,X,X
TJSLOZI,O,X,X,X,X,X,X,X,X,X
TJSZILO,X,O,X,O,X,X,X,X,X,X
TJSZIOL,X,O,X,O,X,X,X,X,O,X
TJSZLIO,X,O,X,O,X,X,X,X,X,X
TJSZLOI,O,O,X,O,X,X,X,X,O,X
TJSZOIL,O,O,X,O,X,X,X,X,O,X
TJSZOLI,O,O,X,O,X,X,X,X,O,X
TJSOILZ,O,O,O,X,O,X,O,X,X,X
TJSOIZL,X,O,O,O,O,X,O,X,O,X
TJSOLIZ,O,O,O,X,O,X,O,X,X,X
TJSOLZI,O,X,X,X,X,X,X,X,X,X
TJSOZIL,O,O,X,O,X,X,X,X,O,X
TJSOZLI,O,O,X,O,X,X,X,X,O,X
TJZILSO,X,O,X,O,X,X,X,X,X,X
TJZILOS,X,O,X,O,X,X,X,X,X,X
TJZISLO,X,O,O,O,X,X,X,X,X,X
TJZISOL,X,O,O,O,X,X,X,X,O,X
TJZIOLS,X,O,X,O,X,X,X,X,X,X
TJZIOSL,X,O,O,O,X,X,X,X,O,X
TJZLISO,X,O,X,O,X,X,X,X,X,X
TJZLIOS,X,O,X,O,X,X,X,X,X,X
TJZLSIO,X,O,O,O,X,X,X,X,X,X
TJZLSOI,X,O,O,O,X,X,X,X,O,X
TJZLOIS,O,O,X,O,X,X,X,X,X,X
TJZLOSI,X,X,O,O,X,X,X,X,O,X
TJZSILO,X,O,O,O,X,X,X,X,X,X
TJZSIOL,X,O,O,O,X,X,X,X,O,X
TJZSLIO,X,O,O,O,X,X,X,X,X,X
TJZSLOI,O,O,O,O,X,X,X,X,O,X
TJZSOIL,O,O,O,O,X,X,X,X,O,X
TJZSOLI,O,O,O,O,X,X,X,X,O,X
TJZOILS,O,O,X,O,X,X,X,X,X,X
TJZOISL,O,O,O,O,X,X,X,X,O,X
TJZOLIS,O,O,X,O,X,X,X,X,X,X
TJZOLSI,X,X,O,O,X,X,X,X,O,X
TJZOSIL,O,O,O,O,X,X,X,X,O,X
TJZOSLI,O,O,O,O,X,X,X,X,O,X
TJOILSZ,O,X,X,X,O,X,X,X,X,X
TJOILZS,O,X,X,O,O,X,X,X,X,X
TJOISLZ,O,X,X,X,O,X,O,X,X,X
TJOISZL,X,X,X,O,O,X,O,X,X,X
TJOIZLS,O,X,X,O,O,X,X,O,X,X
TJOIZSL,O,X,X,O,O,X,X,O,X,X
TJOLISZ,O,X,O,X,O,X,X,X,X,X
TJOLIZS,O,X,X,O,O,X,X,X,X,X
TJOLSIZ,O,X,O,X,O,X,X,X,X,X
TJOLSZI,O,X,X,X,X,X,X,X,X,X
TJOLZIS,O,X,X,O,X,X,X,X,X,X
TJOLZSI,X,X,O,O,X,X,X,X,X,X
TJOSILZ,O,O,O,X,O,X,O,X,X,X
TJOSIZL,X,O,O,O,O,X,O,X,O,X
TJOSLIZ,O,O,O,X,O,X,O,X,X,X
TJOSLZI,O,X,X,X,X,X,X,X,X,X
TJOSZIL,O,O,X,O,X,X,X,X,O,X
TJOSZLI,O,O,X,O,X,X,X,X,O,X
TJOZILS,O,O,X,O,X,X,X,X,X,X
TJOZISL,O,O,O,O,X,X,X,X,O,X
TJOZLIS,O,O,X,O,X,X,X,X,X,X
TJOZLSI,X,X,O,O,X,X,X,X,O,X
TJOZSIL,O,O,O,O,X,X,X,X,O,X
TJOZSLI,O,O,O,O,X,X,X,X,O,X
TSILJZO,X,X,X,O,O,O,X,X,X,X
TSILJOZ,X,X,O,X,O,O,O,X,X,X
TSILZJO,X,X,O,O,O,O,X,X,X,X
TSILZOJ,X,X,O,X,O,O,O,X,X,X
TSILOJZ,X,O,O,X,O,O,O,X,X,X
TSILOZJ,X,O,O,X,O,O,O,X,X,X
TSIJLZO,X,X,X,O,O,X,X,X,X,X
TSIJLOZ,X,O,O,X,O,X,X,X,X,X
TSIJZLO,X,O,X,O,O,X,X,X,X,X
TSIJZOL,X,O,X,O,O,X,X,X,X,X
TSIJOLZ,X,O,O,X,O,X,O,X,X,X
TSIJOZL,X,O,O,O,O,X,O,X,X,X
TSIZLJO,X,X,O,O,O,O,X,X,X,X
TSIZLOJ,X,O,O,X,O,O,X,X,X,X
