sequence,v115@HhA8GeD8FeD8EeC8Je0/IvhFzhBCjB3lBmlBFsBxvB,v115@HhA8GeD8FeD8EeC8Jex/IvhFmhBCjBTmB0qBXsBFqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBCjBTqBxrBmrB3rB,v115@HhA8GeD8FeD8EeC8Jel/IvhFxiBmlBSsBTqBfsBUrB,v115@HhA8GeD8FeD8EeC8JeSFJvhFxiBlmBcsBmkB3qBTrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFWmBxiBTnBKqBXmB1wB,v115@HhA8GeD8FeD8EeC8Je0/IvhFCjBRmBlmBmqBXsBTqB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUrBFsB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBxiBKrBGnBfsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBFsBCsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBCsBFsBTqB,v115@HhA8GeD8FeD8EeC8Jel/IvhFUiBxlBCoBmqBzrB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBVnBTlBCoBmrBxvB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUmB1vBXsB,v115@HhA8GeD8FeD8EeC8Jel/IvhFzgBxiBKqBGnBfsBUrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFmhBCjBxqBXsBFrBTqB
IZSLTOJ,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X,O
IZSLJTO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
IZSLJOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSLOTJ,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZSLOJT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJTLO,O,O,X,X,O,X,O,X,X,O,X,X,O,X,X,O
IZSJTOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IZSJLTO,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X,O
IZSJLOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSJOTL,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IZSJOLT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSOTLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZSOTJL,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSOLTJ,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
IZSOLJT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
IZSOJTL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOJLT,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOTLJS,O,X,O,X,X,O,X,O,O,X,X,X,X,X,X,X
IZOTLSJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOTJLS,O,X,O,O,X,O,X,O,X,O,X,X,X,X,X,X
IZOTJSL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOTSLJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
IZOTSJL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOLTJS,O,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X
IZOLTSJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
IZOLJTS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IZOLJST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSTJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOJTLS,X,X,O,O,X,O,X,X,X,O,X,X,X,X,X,X
IZOJTSL,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X
IZOJLTS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X
IZOJLST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IZOJSTL,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IZOJSLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTLJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IZOSLTJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSJLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTLJZS,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IOTLSJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOTLSZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOTLZJS,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
IOTLZSJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOTJLSZ,O,X,O,O,X,X,X,O,X,O,X,X,X,X,X,X
IOTJLZS,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X
IOTJSLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTJZLS,O,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IOTJZSL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTSLJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOTSLZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOTSJLZ,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOTSJZL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOTSZLJ,O,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X
IOTSZJL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTZLJS,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
IOTZLSJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOTZJLS,O,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IOTZJSL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOTZSLJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTZSJL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOLTJSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
IOLTJZS,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
IOLTSJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOLTSZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
IOLTZJS,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
IOLTZSJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLJTSZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLJSTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZTS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLJZST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSTJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLSTZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLSJTZ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOLSJZT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IOLSZJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
IOLZTSJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLZJTS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOLZJST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSTJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJTLSZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
IOJTLZS,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IOJTSLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOJTZLS,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IOJTZSL,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOJLTSZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X
IOJLSTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZTS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X
IOJLZST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTLZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSTZL,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOJSLTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSLZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJSZTL,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOJSZLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJZTLS,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IOJZTSL,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOJZLTS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X
IOJZLST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJZSTL,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOJZSLT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTLJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSTLZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSTJLZ,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSTZJL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOSLTJZ,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSLTZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSLJTZ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOSLJZT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IOSLZJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJLTZ,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X
IOSJLZT,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZTL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJZLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTLJ,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOSZTJL,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOSZLTJ,O,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
IOSZLJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZJLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZTLJS,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
IOZTLSJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOZTJLS,O,X,O,O,X,O,X,O,X,O,X,O,X,X,X,X
IOZTJSL,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOZTSLJ,O,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
IOZTSJL,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOZLTJS,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
IOZLTSJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
IOZLJTS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
IOZLJST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSTJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZJTLS,X,X,O,O,X,O,X,X,X,O,X,O,X,X,X,X
IOZJTSL,X,X,O,X,X,O,X,X,X,X,X,O,O,X,X,X
IOZJLTS,X,X,O,O,X,X,X,X,O,X,X,O,X,X,X,X
IOZJLST,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOZJSTL,X,O,O,X,X,X,X,X,X,X,X,O,O,X,X,X
IOZJSLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTLJ,O,O,O,X,O,X,X,X,X,X,X,O,X,X,X,X
IOZSTJL,O,O,O,X,X,O,X,X,X,X,X,O,X,X,X,X
IOZSLTJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJTL,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSJLT,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSZO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LTIJSOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
LTIJZSO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LTIJZOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LTIJOSZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTIJOZS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LTISJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTISZJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTISZOJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTISOJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTISOZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTIZJSO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LTIZJOS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
LTIZSJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTIZSOJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LTIZOJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LTIZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOJSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIOJZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTIOSJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTIOSZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTIOZJS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTIOZSJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJISZO,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTJISOZ,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
LTJIZSO,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
LTJIZOS,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
LTJIOSZ,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
LTJIOZS,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
LTJSIZO,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LTJSIOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
LTJSZIO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
LTJSZOI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X
LTJSOIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
LTJSOZI,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTJZISO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
LTJZIOS,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
LTJZSIO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
LTJZSOI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X
LTJZOIS,X,X,X,X,X,O,X,O,X,O,O,X,X,X,O,X
LTJZOSI,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X
LTJOISZ,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
LTJOIZS,O,X,X,X,X,O,X,O,O,O,O,O,X,X,X,X
LTJOSIZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X
LTJOSZI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X
LTJOZIS,X,X,X,X,X,O,X,O,O,O,O,X,X,X,O,X
LTJOZSI,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X
LTSIJZO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTSIJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LTSIZJO,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
LTSIZOJ,O,O,X,X,O,X,O,X,X,X,X,X,X,O,X,O
LTSIOJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O
LTSIOZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,O
LTSJIZO,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O
LTSJIOZ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LTSJZIO,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
LTSJZOI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
LTSJOIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTSJOZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZIJO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
LTSZIOJ,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
LTSZJIO,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTSZJOI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
LTSZOIJ,X,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LTSZOJI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
LTSOIJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTSOIZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTSOJIZ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTSOJZI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOZIJ,X,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTSOZJI,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZIJSO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LTZIJOS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
LTZISJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZISOJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LTZIOJS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,O,X
LTZIOSJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZJISO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
LTZJIOS,X,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
LTZJSIO,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X
LTZJSOI,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O,X
LTZJOIS,X,X,O,X,X,O,X,O,X,O,O,X,X,X,O,X
LTZJOSI,X,X,X,X,X,O,X,X,O,O,O,X,X,X,O,X
LTZSIJO,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X,O
LTZSIOJ,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X,O
LTZSJIO,X,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
LTZSJOI,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X
LTZSOIJ,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X
LTZSOJI,X,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X
LTZOIJS,O,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X
LTZOISJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZOJIS,X,X,O,X,X,O,X,O,X,X,X,X,X,X,O,X
LTZOJSI,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LTZOSIJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTZOSJI,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LTOIJSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTOIJZS,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
LTOISJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTOISZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTOIZJS,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X
LTOIZSJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LTOJISZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LTOJIZS,O,X,O,O,X,O,X,O,O,X,X,O,X,X,X,X
LTOJSIZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOJSZI,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X
LTOJZIS,X,X,O,O,X,O,X,O,O,X,X,X,X,X,O,X
LTOJZSI,X,X,X,O,X,O,X,X,O,X,X,X,X,X,O,X
LTOSIJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTOSIZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTOSJIZ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTOSJZI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOSZIJ,X,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTOSZJI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTOZIJS,O,X,O,X,X,O,X,O,O,X,X,O,X,X,O,X
LTOZISJ,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
LTOZJIS,X,X,O,X,X,O,X,O,O,X,X,X,X,X,O,X
LTOZJSI,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X
LTOZSIJ,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTOZSJI,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X
LITJSZO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
LITJSOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
LITJZSO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LITJZOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
LITJOSZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LITJOZS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
LITSJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LITSZJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LITSZOJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LITSOJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LITSOZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LITZJSO,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X
LITZJOS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X
LITZSJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LITZSOJ,O,O,X,X,O,X,X,O,X,X,X,X,X,O,X,X
LITZOJS,O,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
LITZOSJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
LITOJSZ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LITOJZS,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
LITOSJZ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LITOSZJ,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LITOZJS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LITOZSJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LIJTSZO,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
LIJTSOZ,O,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X
LIJTZSO,O,X,X,X,X,X,O,X,O,O,O,X,O,X,X,X
LIJTZOS,O,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X
LIJTOSZ,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
LIJTOZS,O,X,X,X,X,X,X,O,X,O,O,X,X,X,X,X
LIJSTZO,O,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X
LIJSTOZ,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LIJSZTO,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
LIJSZOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJSOTZ,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LIJSOZT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJZTSO,O,X,X,X,X,X,O,X,O,O,O,X,O,X,X,X
LIJZTOS,O,X,X,X,X,X,X,O,X,O,O,X,X,X,O,X
LIJZSTO,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
LIJZSOT,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJZOTS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
LIJZOST,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
LIJOTSZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJOTZS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LIJOSTZ,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJOSZT,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJOZTS,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X
LIJOZST,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
