sequence,v115@HhA8GeD8FeD8EeC8Je0/IvhFzhBCjB3lBmlBFsBxvB,v115@HhA8GeD8FeD8EeC8Jex/IvhFmhBCjBTmB0qBXsBFqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBCjBTqBxrBmrB3rB,v115@HhA8GeD8FeD8EeC8Jel/IvhFxiBmlBSsBTqBfsBUrB,v115@HhA8GeD8FeD8EeC8JeSFJvhFxiBlmBcsBmkB3qBTrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFWmBxiBTnBKqBXmB1wB,v115@HhA8GeD8FeD8EeC8Je0/IvhFCjBRmBlmBmqBXsBTqB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUrBFsB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFlgBxiBKrBGnBfsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBFsBCsBTqB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBxiBmqBCsBFsBTqB,v115@HhA8GeD8FeD8EeC8Jel/IvhFUiBxlBCoBmqBzrB3qB,v115@HhA8GeD8FeD8EeC8Je0/IvhFXhBVnBTlBCoBmrBxvB,v115@HhA8GeD8FeD8EeC8JezBJvhFCjBRlBmkBUmB1vBXsB,v115@HhA8GeD8FeD8EeC8Jel/IvhFzgBxiBKqBGnBfsBUrB,v115@HhA8GeD8FeD8EeC8Je0/IvhFmhBCjBxqBXsBFrBTqB
TILOZJS,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILOZSJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJLSOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TIJLZSO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJLZOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TIJLOSZ,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJSLZO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TIJSZLO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJSZOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJZLSO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJZLOS,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TIJZSLO,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIJZSOL,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TIJZOLS,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X
TIJZOSL,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X
TIJOLSZ,O,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIJOLZS,O,X,X,O,X,O,X,O,X,O,X,O,X,X,X,X
TIJOSLZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TIJOZLS,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X,X
TIJOZSL,O,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X
TISLJZO,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TISLZJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TISLOJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TISLOZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TISJLZO,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJLOZ,O,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X
TISJZLO,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TISJZOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TISJOZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZLOJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TISZJLO,O,O,X,X,O,X,X,X,X,O,X,X,X,X,X,X
TISZJOL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,O,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TISZOJL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TISOLZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
TISOJLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TISOJZL,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
