sequence,v115@GhA8IeA8EeE8AeA8DeD8JeZEJvhFFgBmhBziBfqBUr?BCrB,v115@GhA8IeA8EeE8AeA8DeD8JeZEJvhFUgBymBziBfqBFm?BWwB,v115@GhA8IeA8EeE8AeA8DeD8JeZEJvhFukB1lBziBiqB8r?BXrB,v115@GhA8IeA8EeE8AeA8DeD8JexAJvhFymBziB3kBcqBVw?BOpB,v115@GhA8IeA8EeE8AeA8DeD8JeZEJvhFCgBziBmlBFqB8r?BXrB,v115@GhA8IeA8EeE8AeA8DeD8JeZEJvhFWlBziBimBllBUq?B3rB,v115@GhA8IeA8EeE8AeA8DeD8Jex/IvhFXhBziBOpBVqByv?B8rB,v115@GhA8IeA8EeE8AeA8DeD8JeRBJvhFziB2pB8qBFqB3r?BipB,v115@GhA8IeA8EeE8AeA8DeD8JelAJvhFziBimBxpBOpBUq?B3rB,v115@GhA8IeA8EeE8AeA8DeD8JeyEJvhFziBRmBOpBfrBUq?BlrB
TILJSZO,X,O,O,X,O,X,O,X,X,X
TILJSOZ,X,O,O,X,O,X,O,X,X,X
TILJZSO,X,X,O,O,O,X,O,X,O,X
TILJZOS,X,X,O,O,O,X,O,X,O,X
TILJOSZ,X,O,O,X,O,X,O,X,X,X
TILJOZS,X,X,O,O,O,X,O,X,O,X
TILSJZO,X,X,O,X,O,X,X,X,X,X
TILSJOZ,X,X,O,X,O,X,X,X,X,X
TILSZJO,X,X,X,O,X,X,X,X,X,X
TILSZOJ,X,O,X,O,X,X,X,X,X,X
TILSOJZ,X,X,O,X,O,X,X,X,X,X
TILSOZJ,X,O,X,O,X,X,X,X,X,X
TILZJSO,X,X,O,O,O,X,X,X,O,X
TILZJOS,X,X,O,O,O,O,X,X,O,X
TILZSJO,X,X,X,O,X,X,X,X,O,X
TILZSOJ,X,X,X,O,X,X,X,X,O,X
TILZOJS,X,X,O,O,O,O,X,X,O,X
TILZOSJ,X,X,X,O,X,X,X,X,O,X
TILOJSZ,X,O,O,X,O,X,O,X,X,X
TILOJZS,X,X,O,O,O,X,O,X,O,X
TILOSJZ,X,X,O,X,O,X,X,X,X,X
TILOSZJ,X,O,X,O,X,X,X,X,X,X
TILOZJS,X,X,O,O,O,O,X,X,O,X
TILOZSJ,X,X,X,O,X,X,X,X,O,X
TIJLSZO,X,O,O,X,O,X,O,X,X,X
TIJLSOZ,X,O,O,X,O,X,O,X,X,X
TIJLZSO,X,X,O,X,O,X,O,X,X,X
TIJLZOS,X,X,O,X,O,X,O,X,X,X
TIJLOSZ,X,O,O,X,O,X,O,X,X,X
TIJLOZS,X,X,O,X,O,X,O,X,X,X
TIJSLZO,X,O,X,X,O,X,X,X,X,X
TIJSLOZ,O,O,X,X,O,X,X,X,X,X
TIJSZLO,O,O,X,X,O,X,X,X,X,X
TIJSZOL,O,O,X,X,O,X,X,X,X,X
TIJSOLZ,O,O,X,X,O,X,X,X,X,X
TIJSOZL,O,O,X,X,O,X,X,X,X,X
TIJZLSO,X,X,X,X,O,X,X,X,X,X
TIJZLOS,X,X,X,X,O,X,X,X,X,X
TIJZSLO,O,X,X,X,O,X,X,X,X,X
TIJZSOL,O,X,X,X,O,X,X,X,X,X
TIJZOLS,X,X,X,X,O,X,X,X,X,X
TIJZOSL,O,X,X,X,O,X,X,X,X,X
TIJOLSZ,X,O,O,X,O,X,O,X,X,X
TIJOLZS,X,X,O,X,O,X,O,X,X,X
TIJOSLZ,O,O,X,X,O,X,X,X,X,X
TIJOSZL,O,O,X,X,O,X,X,X,X,X
TIJOZLS,X,X,X,X,O,X,X,X,X,X
TIJOZSL,O,X,X,X,O,X,X,X,X,X
TISLJZO,X,X,X,X,O,X,X,X,X,X
TISLJOZ,O,X,X,X,O,X,X,X,X,X
TISLZJO,O,X,X,X,X,X,X,X,X,X
TISLZOJ,O,O,X,X,X,X,X,X,X,X
TISLOJZ,O,X,X,X,O,X,X,X,X,X
TISLOZJ,O,O,X,X,X,X,X,X,X,X
TISJLZO,X,O,X,X,O,X,X,X,X,X
TISJLOZ,O,O,X,X,O,X,X,X,X,X
TISJZLO,O,O,X,X,O,X,X,X,X,X
TISJZOL,O,O,X,X,O,X,X,X,X,X
TISJOLZ,O,O,X,X,O,X,X,X,X,X
TISJOZL,O,O,X,X,O,X,X,X,X,X
TISZLJO,O,X,X,X,X,X,X,X,X,X
TISZLOJ,O,O,X,X,X,X,X,X,X,X
TISZJLO,O,X,X,X,X,X,X,X,X,X
TISZJOL,O,X,X,X,X,X,X,X,X,X
TISZOLJ,O,O,X,X,X,X,X,X,X,X
TISZOJL,O,X,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,X,O,X,X,X,X,X
TISOLZJ,O,O,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,X,O,X,X,X,X,X
TISOJZL,O,O,X,X,O,X,X,X,X,X
TISOZLJ,O,O,X,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,O,O,X,X,X,X,X
TIZLJOS,X,X,X,O,O,O,X,X,X,X
TIZLSJO,X,X,X,O,X,X,X,X,X,X
TIZLSOJ,X,X,X,O,X,X,X,X,X,X
TIZLOJS,X,X,X,O,O,O,X,X,X,O
TIZLOSJ,X,X,X,O,X,X,X,X,X,O
TIZJLSO,X,X,X,O,O,X,X,X,X,X
TIZJLOS,X,X,X,O,O,O,X,X,X,X
TIZJSLO,O,X,X,O,O,X,X,X,X,X
TIZJSOL,O,X,X,O,O,X,X,X,X,X
TIZJOLS,X,X,X,O,O,O,X,X,X,X
TIZJOSL,O,X,X,O,O,X,X,X,X,X
TIZSLJO,O,X,X,O,X,X,X,X,X,X
TIZSLOJ,O,X,X,O,X,X,X,X,X,X
TIZSJLO,O,X,X,O,X,X,X,X,X,X
TIZSJOL,O,X,X,O,X,X,X,X,X,X
TIZSOLJ,O,X,X,O,X,X,X,X,X,X
TIZSOJL,O,X,X,O,X,X,X,X,X,X
TIZOLJS,X,X,X,O,O,O,X,X,X,O
TIZOLSJ,X,X,X,O,X,X,X,X,X,O
TIZOJLS,X,X,X,O,O,O,X,X,X,X
TIZOJSL,O,X,X,O,O,X,X,X,X,X
TIZOSLJ,O,X,X,O,X,X,X,X,X,X
TIZOSJL,O,X,X,O,X,X,X,X,X,X
TIOLJSZ,X,O,O,X,O,X,O,X,X,X
TIOLJZS,X,X,O,O,O,X,O,X,O,X
TIOLSJZ,X,X,O,X,O,X,X,X,X,X
TIOLSZJ,X,O,X,O,X,X,X,X,X,X
TIOLZJS,X,X,O,O,O,O,X,X,O,X
TIOLZSJ,X,X,X,O,X,X,X,X,O,X
TIOJLSZ,X,O,O,X,O,X,O,X,X,X
TIOJLZS,X,X,O,X,O,X,O,X,X,X
TIOJSLZ,O,O,X,X,O,X,X,X,X,X
TIOJSZL,O,O,X,X,O,X,X,X,X,X
TIOJZLS,X,X,X,X,O,X,X,X,X,X
TIOJZSL,O,X,X,X,O,X,X,X,X,X
TIOSLJZ,O,X,X,X,O,X,X,X,X,X
TIOSLZJ,O,O,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,X,X,O,X,X,X,X,X
TIOSJZL,O,O,X,X,O,X,X,X,X,X
TIOSZLJ,O,O,X,X,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,O,O,O,X,X,X,O
TIOZLSJ,X,X,X,O,X,X,X,X,X,O
TIOZJLS,X,X,X,O,O,O,X,X,X,X
TIOZJSL,O,X,X,O,O,X,X,X,X,X
TIOZSLJ,O,X,X,O,X,X,X,X,X,X
TIOZSJL,O,X,X,O,X,X,X,X,X,X
TLIJSZO,X,O,O,X,O,X,O,X,X,X
TLIJSOZ,X,O,O,X,O,X,O,X,X,X
TLIJZSO,X,X,O,O,O,X,O,X,O,X
TLIJZOS,X,X,O,O,O,X,O,X,O,X
TLIJOSZ,X,O,O,X,O,X,O,X,X,X
TLIJOZS,X,X,O,O,O,X,O,X,O,X
TLISJZO,X,X,O,X,O,X,X,X,X,X
TLISJOZ,X,X,O,X,O,X,X,X,X,X
TLISZJO,X,X,X,O,X,X,X,X,X,X
TLISZOJ,X,O,X,O,X,X,X,X,X,X
TLISOJZ,X,X,O,X,O,X,X,X,X,X
TLISOZJ,X,O,X,O,X,X,X,X,X,X
TLIZJSO,X,X,O,O,O,X,X,X,O,X
TLIZJOS,X,X,O,O,O,O,X,X,O,X
TLIZSJO,X,X,X,O,X,X,X,X,O,X
TLIZSOJ,X,X,X,O,X,X,X,X,O,X
TLIZOJS,X,X,O,O,O,O,X,X,O,X
TLIZOSJ,X,X,X,O,X,X,X,X,O,X
TLIOJSZ,X,O,O,X,O,X,O,X,X,X
TLIOJZS,X,X,O,O,O,X,O,X,O,X
TLIOSJZ,X,X,O,X,O,X,X,X,X,X
TLIOSZJ,X,O,X,O,X,X,X,X,X,X
TLIOZJS,X,X,O,O,O,O,X,X,O,X
TLIOZSJ,X,X,X,O,X,X,X,X,O,X
TLJISZO,X,O,O,X,O,X,O,X,X,X
TLJISOZ,X,O,O,X,O,X,O,X,X,X
TLJIZSO,X,X,O,O,O,X,O,X,X,X
TLJIZOS,X,X,O,O,O,X,O,X,X,X
TLJIOSZ,X,O,O,X,O,X,O,X,X,X
TLJIOZS,X,X,O,O,O,X,O,X,X,X
TLJSIZO,X,O,O,X,O,X,O,X,X,X
TLJSIOZ,X,O,O,X,O,X,O,X,X,X
TLJSZIO,X,O,X,X,X,X,O,X,X,X
TLJSZOI,X,O,X,X,X,X,O,X,X,X
TLJSOIZ,X,O,O,X,O,X,O,X,X,X
TLJSOZI,X,O,X,X,X,X,O,X,X,X
TLJZISO,X,X,O,O,O,X,O,X,X,X
TLJZIOS,X,X,O,O,O,X,O,X,X,X
TLJZSIO,X,X,X,O,X,X,O,X,X,X
TLJZSOI,X,X,X,O,X,X,O,X,X,X
TLJZOIS,X,X,O,O,O,X,O,X,X,X
TLJZOSI,X,X,X,O,X,X,O,X,X,X
TLJOISZ,X,O,O,X,O,X,O,X,X,X
TLJOIZS,X,X,O,O,O,X,O,X,X,X
TLJOSIZ,X,O,O,X,O,X,O,X,X,X
TLJOSZI,X,O,X,X,X,X,O,X,X,X
TLJOZIS,X,X,O,O,O,X,O,X,X,X
TLJOZSI,X,X,X,O,X,X,O,X,X,X
TLSIJZO,X,X,O,X,O,X,X,X,X,X
TLSIJOZ,X,X,O,X,O,X,X,X,X,X
TLSIZJO,X,X,X,O,X,X,X,X,X,X
TLSIZOJ,X,O,X,O,X,X,X,X,X,X
TLSIOJZ,X,X,O,X,O,X,X,X,X,X
TLSIOZJ,X,O,X,O,X,X,X,X,X,X
TLSJIZO,X,X,O,X,O,X,O,X,X,X
TLSJIOZ,X,X,O,X,O,X,O,X,X,X
TLSJZIO,X,X,X,X,X,X,O,X,X,X
TLSJZOI,X,X,X,X,X,X,O,X,X,X
TLSJOIZ,X,X,O,X,O,X,O,X,X,X
TLSJOZI,X,X,X,X,X,X,O,X,X,X
TLSZIJO,X,X,X,O,X,X,X,X,X,X
TLSZIOJ,X,O,X,O,X,X,X,X,X,X
TLSZJIO,X,X,X,O,X,X,X,X,X,X
TLSZJOI,X,X,X,O,X,X,X,X,X,X
TLSZOIJ,X,O,X,O,X,X,X,X,X,X
TLSZOJI,X,X,X,O,X,X,X,X,X,X
TLSOIJZ,X,X,O,X,O,X,X,X,X,X
TLSOIZJ,X,O,X,O,X,X,X,X,X,X
TLSOJIZ,X,X,O,X,O,X,O,X,X,X
TLSOJZI,X,X,X,X,X,X,O,X,X,X
TLSOZIJ,X,O,X,O,X,X,X,X,X,X
TLSOZJI,X,X,X,O,X,X,X,X,X,X
TLZIJSO,X,X,O,O,O,X,X,X,X,X
TLZIJOS,X,X,O,O,O,O,X,X,X,X
TLZISJO,X,X,X,O,X,X,X,X,X,X
TLZISOJ,X,X,X,O,X,X,X,X,X,X
TLZIOJS,X,X,O,O,O,O,X,X,X,X
TLZIOSJ,X,X,X,O,X,X,X,X,X,X
TLZJISO,X,X,O,O,O,X,O,X,X,X
TLZJIOS,X,X,O,O,O,O,O,X,X,X
TLZJSIO,X,X,X,O,X,X,O,X,X,X
TLZJSOI,X,X,X,O,X,X,O,X,X,X
TLZJOIS,X,X,O,O,O,O,O,X,X,X
TLZJOSI,X,X,X,O,X,X,O,X,X,X
TLZSIJO,X,X,X,O,X,X,X,X,X,X
TLZSIOJ,X,X,X,O,X,X,X,X,X,X
TLZSJIO,X,X,X,O,X,X,X,X,X,X
TLZSJOI,X,X,X,O,X,X,X,X,X,X
TLZSOIJ,X,X,X,O,X,X,X,X,X,X
TLZSOJI,X,X,X,O,X,X,X,X,X,X
TLZOIJS,X,X,O,O,O,O,X,X,X,X
TLZOISJ,X,X,X,O,X,X,X,X,X,X
TLZOJIS,X,X,O,O,O,O,O,X,X,X
TLZOJSI,X,X,X,O,X,X,O,X,X,X
TLZOSIJ,X,X,X,O,X,X,X,X,X,X
TLZOSJI,X,X,X,O,X,X,X,X,X,X
TLOIJSZ,X,O,O,X,O,X,O,X,X,X
TLOIJZS,X,X,O,O,O,X,O,X,O,X
TLOISJZ,X,X,O,X,O,X,X,X,X,X
TLOISZJ,X,O,X,O,X,X,X,X,X,X
TLOIZJS,X,X,O,O,O,O,X,X,O,X
TLOIZSJ,X,X,X,O,X,X,X,X,O,X
TLOJISZ,X,O,O,X,O,X,O,X,X,X
TLOJIZS,X,X,O,O,O,X,O,X,X,X
TLOJSIZ,X,O,O,X,O,X,O,X,X,X
TLOJSZI,X,O,X,X,X,X,O,X,X,X
TLOJZIS,X,X,O,O,O,X,O,X,X,X
TLOJZSI,X,X,X,O,X,X,O,X,X,X
TLOSIJZ,X,X,O,X,O,X,X,X,X,X
TLOSIZJ,X,O,X,O,X,X,X,X,X,X
TLOSJIZ,X,X,O,X,O,X,O,X,X,X
TLOSJZI,X,X,X,X,X,X,O,X,X,X
TLOSZIJ,X,O,X,O,X,X,X,X,X,X
TLOSZJI,X,X,X,O,X,X,X,X,X,X
TLOZIJS,X,X,O,O,O,O,X,X,X,X
TLOZISJ,X,X,X,O,X,X,X,X,X,X
TLOZJIS,X,X,O,O,O,O,O,X,X,X
TLOZJSI,X,X,X,O,X,X,O,X,X,X
TLOZSIJ,X,X,X,O,X,X,X,X,X,X
TLOZSJI,X,X,X,O,X,X,X,X,X,X
TJILSZO,X,O,O,X,O,X,O,X,X,X
TJILSOZ,X,O,O,X,O,X,O,X,X,X
TJILZSO,X,X,O,X,O,X,O,X,X,X
TJILZOS,X,X,O,X,O,X,O,X,X,X
TJILOSZ,X,O,O,X,O,X,O,X,X,X
TJILOZS,X,X,O,X,O,X,O,X,X,X
TJISLZO,X,O,X,X,O,X,X,X,X,X
TJISLOZ,O,O,X,X,O,X,X,X,X,X
TJISZLO,O,O,X,X,O,X,X,X,X,X
TJISZOL,O,O,X,X,O,X,X,X,X,X
TJISOLZ,O,O,X,X,O,X,X,X,X,X
TJISOZL,O,O,X,X,O,X,X,X,X,X
TJIZLSO,X,X,X,X,O,X,X,X,X,X
TJIZLOS,X,X,X,X,O,X,X,X,X,X
TJIZSLO,O,X,X,X,O,X,X,X,X,X
TJIZSOL,O,X,X,X,O,X,X,X,X,X
TJIZOLS,X,X,X,X,O,X,X,X,X,X
TJIZOSL,O,X,X,X,O,X,X,X,X,X
TJIOLSZ,X,O,O,X,O,X,O,X,X,X
TJIOLZS,X,X,O,X,O,X,O,X,X,X
TJIOSLZ,O,O,X,X,O,X,X,X,X,X
TJIOSZL,O,O,X,X,O,X,X,X,X,X
TJIOZLS,X,X,X,X,O,X,X,X,X,X
TJIOZSL,O,X,X,X,O,X,X,X,X,X
TJLISZO,X,O,O,X,O,X,O,X,X,X
TJLISOZ,X,O,O,X,O,X,O,X,X,X
TJLIZSO,X,X,O,O,O,X,O,X,X,X
TJLIZOS,X,X,O,O,O,X,O,X,X,X
TJLIOSZ,X,O,O,X,O,X,O,X,X,X
TJLIOZS,X,X,O,O,O,X,O,X,X,X
TJLSIZO,X,O,O,X,O,X,O,X,X,X
TJLSIOZ,X,O,O,X,O,X,O,X,X,X
TJLSZIO,X,O,X,X,X,X,O,X,X,X
TJLSZOI,X,O,X,X,X,X,O,X,X,X
TJLSOIZ,X,O,O,X,O,X,O,X,X,X
TJLSOZI,X,O,X,X,X,X,O,X,X,X
TJLZISO,X,X,O,O,O,X,O,X,X,X
TJLZIOS,X,X,O,O,O,X,O,X,X,X
TJLZSIO,X,X,X,O,X,X,O,X,X,X
TJLZSOI,X,X,X,O,X,X,O,X,X,X
TJLZOIS,X,X,O,O,O,X,O,X,X,X
TJLZOSI,X,X,X,O,X,X,O,X,X,X
TJLOISZ,X,O,O,X,O,X,O,X,X,X
TJLOIZS,X,X,O,O,O,X,O,X,X,X
TJLOSIZ,X,O,O,X,O,X,O,X,X,X
TJLOSZI,X,O,X,X,X,X,O,X,X,X
TJLOZIS,X,X,O,O,O,X,O,X,X,X
TJLOZSI,X,X,X,O,X,X,O,X,X,X
TJSILZO,X,O,X,X,O,X,X,X,X,X
TJSILOZ,O,O,X,X,O,X,X,X,X,X
TJSIZLO,O,O,X,X,O,X,X,X,X,X
TJSIZOL,O,O,X,X,O,X,X,X,X,X
TJSIOLZ,O,O,X,X,O,X,X,X,X,X
TJSIOZL,O,O,X,X,O,X,X,X,X,X
TJSLIZO,X,O,X,X,O,X,O,X,X,X
TJSLIOZ,O,O,X,X,O,X,O,X,X,X
TJSLZIO,X,O,X,X,X,X,O,X,X,X
TJSLZOI,X,O,X,X,X,X,O,X,X,X
TJSLOIZ,O,O,X,X,O,X,O,X,X,X
TJSLOZI,X,O,X,X,X,X,O,X,X,X
TJSZILO,O,O,X,X,X,X,X,X,X,X
TJSZIOL,O,O,X,X,X,X,X,X,X,X
TJSZLIO,O,O,X,X,X,X,X,X,X,X
TJSZLOI,O,O,X,X,X,X,X,X,X,X
TJSZOIL,O,O,X,X,X,X,X,X,X,X
TJSZOLI,O,O,X,X,X,X,X,X,X,X
TJSOILZ,O,O,X,X,O,X,X,X,X,X
TJSOIZL,O,O,X,X,O,X,X,X,X,X
TJSOLIZ,O,O,X,X,O,X,O,X,X,X
TJSOLZI,X,O,X,X,X,X,O,X,X,X
TJSOZIL,O,O,X,X,X,X,X,X,X,X
TJSOZLI,O,O,X,X,X,X,X,X,X,X
TJZILSO,X,X,X,O,O,X,X,X,X,X
TJZILOS,X,X,X,O,O,X,X,X,X,X
TJZISLO,O,X,X,O,O,X,X,O,X,X
TJZISOL,O,X,X,O,O,X,X,O,X,X
TJZIOLS,X,X,X,O,O,X,X,X,X,X
TJZIOSL,O,X,X,O,O,X,X,O,X,X
TJZLISO,X,X,X,O,O,X,O,X,X,X
TJZLIOS,X,X,X,O,O,X,O,X,X,X
TJZLSIO,X,X,X,O,X,X,O,O,X,X
TJZLSOI,X,X,X,O,X,X,O,O,X,X
TJZLOIS,X,X,X,O,O,X,O,X,X,X
TJZLOSI,X,X,X,O,X,X,O,O,X,X
TJZSILO,O,X,X,O,X,X,X,O,X,X
TJZSIOL,O,X,X,O,X,X,X,O,X,X
TJZSLIO,O,X,X,O,X,X,X,O,X,X
TJZSLOI,O,X,X,O,X,X,X,O,X,X
TJZSOIL,O,X,X,O,X,X,X,O,X,X
TJZSOLI,O,X,X,O,X,X,X,O,X,X
TJZOILS,X,X,X,O,O,X,X,X,X,X
TJZOISL,O,X,X,O,O,X,X,O,X,X
TJZOLIS,X,X,X,O,O,X,O,X,X,X
TJZOLSI,X,X,X,O,X,X,O,O,X,X
TJZOSIL,O,X,X,O,X,X,X,O,X,X
TJZOSLI,O,X,X,O,X,X,X,O,X,X
TJOILSZ,X,O,O,X,O,X,O,X,X,X
TJOILZS,X,X,O,X,O,X,O,X,X,X
TJOISLZ,O,O,X,X,O,X,X,X,X,X
TJOISZL,O,O,X,X,O,X,X,X,X,X
TJOIZLS,X,X,X,X,O,X,X,X,X,X
TJOIZSL,O,X,X,X,O,X,X,X,X,X
TJOLISZ,X,O,O,X,O,X,O,X,X,X
TJOLIZS,X,X,O,O,O,X,O,X,X,X
TJOLSIZ,X,O,O,X,O,X,O,X,X,X
TJOLSZI,X,O,X,X,X,X,O,X,X,X
TJOLZIS,X,X,O,O,O,X,O,X,X,X
TJOLZSI,X,X,X,O,X,X,O,X,X,X
TJOSILZ,O,O,X,X,O,X,X,X,X,X
TJOSIZL,O,O,X,X,O,X,X,X,X,X
TJOSLIZ,O,O,X,X,O,X,O,X,X,X
TJOSLZI,X,O,X,X,X,X,O,X,X,X
TJOSZIL,O,O,X,X,X,X,X,X,X,X
TJOSZLI,O,O,X,X,X,X,X,X,X,X
TJOZILS,X,X,X,O,O,X,X,X,X,X
TJOZISL,O,X,X,O,O,X,X,O,X,X
TJOZLIS,X,X,X,O,O,X,O,X,X,X
