sequence,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhFXgB8lBanB5?nB9rBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBanB5?nB9rBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeT/IvhFKlBfmBmhB5?nBtrB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFUhBanB5nBX?lBGrBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Jex/IvhF8lBGiBikB9?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFRgBGiB0lB6?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Je0/IvhFxhB2pBzlBt?rB6sBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeyEJvhFzgBGiB9rB/?sBxpB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Je0/IvhFxhB/pBzlBt?rB6sBOqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBXqBx?rBtrB6sB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Jex/IvhF8lB/pBaqB9?rBTnBGsB
TIZSJOL,O,O,O,X,O,O,X,O,X,X,X
TIZSOLJ,O,O,O,X,O,X,X,O,X,X,O
TIZSOJL,O,O,O,X,O,O,X,O,X,X,X
TIZOLJS,O,X,O,X,O,X,X,X,X,X,X
TIZOLSJ,O,O,O,X,O,X,X,O,X,X,X
TIZOJLS,O,X,O,X,X,X,X,X,X,X,X
TIZOJSL,O,X,O,X,O,X,X,X,X,X,X
TIZOSLJ,O,O,O,X,O,X,X,O,X,X,O
TIZOSJL,O,O,O,X,O,O,X,O,X,X,X
TIOLJSZ,O,O,X,O,X,X,O,O,O,X,X
TIOLJZS,O,X,X,O,X,X,O,X,X,X,X
TIOLSJZ,O,O,O,X,O,O,O,O,O,X,X
TIOLSZJ,O,O,O,X,O,X,X,O,O,X,X
TIOLZJS,O,X,O,X,O,X,O,X,X,X,X
TIOLZSJ,O,O,O,X,O,X,X,O,O,X,X
TIOJLSZ,O,O,X,O,X,X,O,O,X,X,X
TIOJLZS,O,X,X,O,X,X,O,X,X,X,X
TIOJSLZ,O,O,O,O,X,X,X,O,X,X,X
TIOJSZL,O,O,O,O,X,X,X,O,X,X,X
TIOJZLS,O,X,X,O,X,X,O,X,X,X,X
TIOJZSL,O,X,O,O,X,X,X,X,X,X,X
TIOSLJZ,O,O,O,X,O,O,X,O,O,X,X
TIOSLZJ,O,O,O,X,O,X,X,O,O,X,O
TIOSJLZ,O,O,O,X,O,O,X,O,X,X,X
TIOSJZL,O,O,O,X,O,O,X,O,X,X,X
TIOSZLJ,O,O,O,X,O,X,X,O,O,X,O
TIOSZJL,O,O,O,X,O,X,X,O,X,O,X
TIOZLJS,O,X,O,X,O,X,X,X,X,X,X
TIOZLSJ,O,O,O,X,O,X,X,O,X,X,X
TIOZJLS,O,X,O,X,X,X,X,X,X,X,X
TIOZJSL,O,X,O,X,O,X,X,X,X,X,X
TIOZSLJ,O,O,O,X,O,X,X,O,X,X,O
TIOZSJL,O,O,O,X,O,O,X,O,X,X,X
TLIJSZO,O,O,O,O,X,O,X,O,X,X,X
TLIJSOZ,O,O,O,O,X,O,X,O,O,X,X
TLIJZSO,O,X,O,O,X,X,X,X,X,X,X
TLIJZOS,O,X,O,O,X,X,O,X,X,X,X
TLIJOSZ,O,O,X,O,X,X,O,O,O,X,X
TLIJOZS,O,X,X,O,X,X,O,X,X,X,X
TLISJZO,O,O,O,O,O,O,X,O,X,X,X
TLISJOZ,O,O,O,O,X,O,X,O,O,X,X
