sequence,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhFXgB8lBanB5?nB9rBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBanB5?nB9rBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeT/IvhFKlBfmBmhB5?nBtrB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFUhBanB5nBX?lBGrBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Jex/IvhF8lBGiBikB9?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeNEJvhFRgBGiB0lB6?rB/sBzpB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Je0/IvhFxhB2pBzlBt?rB6sBXqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeyEJvhFzgBGiB9rB/?sBxpB0pB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Je0/IvhFxhB/pBzlBt?rB6sBOqB,v115@FhB8HeB8HeC8BeB8AeA8AeB8JeOEJvhF8kBzgBXqBx?rBtrB6sB,v115@FhB8HeB8HeC8BeB8AeA8AeB8Jex/IvhF8lB/pBaqB9?rBTnBGsB
TSLOJIZ,O,O,O,X,O,O,O,O,O,X,X
TSLOJZI,O,O,O,X,O,O,O,X,O,X,O
TSLOZIJ,O,O,O,X,O,O,X,X,O,X,O
TSLOZJI,O,O,O,X,O,O,X,X,O,X,O
TSJILZO,O,O,O,O,O,O,X,O,X,X,X
TSJILOZ,O,O,O,O,X,O,X,O,X,X,X
TSJIZLO,O,O,O,O,O,O,X,O,X,X,X
TSJIZOL,O,O,O,O,O,O,X,O,X,X,X
TSJIOLZ,O,O,O,O,O,O,X,O,X,X,X
TSJIOZL,O,O,O,O,O,O,X,O,X,X,X
TSJLIZO,O,O,O,O,O,O,X,O,X,X,X
TSJLIOZ,O,O,O,O,X,O,X,O,O,X,X
TSJLZIO,O,O,O,O,O,O,X,X,X,X,O
TSJLZOI,O,O,O,O,O,O,O,X,O,X,O
TSJLOIZ,O,O,O,O,O,O,O,O,O,X,X
TSJLOZI,O,O,O,O,O,O,O,X,O,X,O
TSJZILO,O,O,O,O,O,O,X,O,X,X,X
TSJZIOL,O,O,O,O,O,O,X,O,X,X,X
TSJZLIO,O,O,O,O,O,O,X,X,X,X,O
TSJZLOI,O,O,O,O,O,O,O,X,O,X,O
TSJZOIL,O,O,O,O,O,O,X,O,X,X,X
TSJZOLI,O,O,O,O,O,X,O,X,O,X,O
TSJOILZ,O,O,O,O,O,O,X,O,X,X,X
TSJOIZL,O,O,O,O,O,O,X,O,X,X,X
TSJOLIZ,O,O,O,O,O,O,O,O,O,X,X
TSJOLZI,O,O,O,O,O,O,O,X,O,X,O
TSJOZIL,O,O,O,O,O,O,X,O,X,X,X
TSJOZLI,O,O,O,O,O,O,O,X,O,X,O
TSZILJO,O,O,O,X,O,O,X,O,X,X,O
TSZILOJ,O,O,O,X,O,O,X,O,O,X,O
TSZIJLO,O,O,O,X,O,O,X,O,X,O,X
TSZIJOL,O,O,O,X,O,O,X,O,X,O,X
TSZIOLJ,O,O,O,X,O,X,X,O,O,X,O
TSZIOJL,O,O,O,X,O,O,X,O,X,O,X
TSZLIJO,O,O,O,X,O,O,X,X,X,X,O
TSZLIOJ,O,O,O,X,O,O,X,X,O,X,O
TSZLJIO,O,O,O,X,O,O,X,X,X,X,O
TSZLJOI,O,O,O,X,O,O,X,X,O,X,O
TSZLOIJ,O,O,O,X,O,O,X,X,O,X,O
TSZLOJI,O,O,O,X,O,O,X,X,O,X,O
TSZJILO,O,O,O,X,O,O,X,O,X,O,X
TSZJIOL,O,O,O,X,O,O,X,O,X,O,X
TSZJLIO,O,O,O,X,O,O,X,X,X,X,O
TSZJLOI,O,O,O,X,O,O,X,X,O,X,O
TSZJOIL,O,O,O,X,O,O,X,O,X,O,X
TSZJOLI,O,O,O,X,O,X,X,X,O,X,O
TSZOILJ,O,O,O,X,O,X,X,O,O,X,O
TSZOIJL,O,O,O,X,O,O,X,O,X,O,X
TSZOLIJ,O,O,O,X,O,O,X,X,O,X,O
TSZOLJI,O,O,O,X,O,O,X,X,O,X,O
TSZOJIL,O,O,O,X,O,O,X,O,X,O,X
TSZOJLI,O,O,O,X,O,X,X,X,O,X,O
TSOILJZ,O,O,O,X,O,O,X,O,O,X,X
TSOILZJ,O,O,O,X,O,O,X,O,O,X,O
TSOIJLZ,O,O,O,X,O,O,X,O,X,X,X
TSOIJZL,O,O,O,X,O,O,X,O,X,X,X
TSOIZLJ,O,O,O,X,O,O,X,O,O,X,O
TSOIZJL,O,O,O,X,O,O,X,O,X,O,X
TSOLIJZ,O,O,O,X,O,O,O,O,O,X,X
TSOLIZJ,O,O,O,X,O,O,X,O,O,X,O
TSOLJIZ,O,O,O,X,O,O,O,O,O,X,X
TSOLJZI,O,O,O,X,O,O,O,X,O,X,O
TSOLZIJ,O,O,O,X,O,O,X,X,O,X,O
TSOLZJI,O,O,O,X,O,O,X,X,O,X,O
TSOJILZ,O,O,O,X,O,O,X,O,X,X,X
TSOJIZL,O,O,O,X,O,O,X,O,X,X,X
TSOJLIZ,O,O,O,X,O,O,O,O,O,X,X
TSOJLZI,O,O,O,X,O,O,O,X,O,X,O
TSOJZIL,O,O,O,X,O,O,X,O,X,X,X
TSOJZLI,O,O,O,X,O,O,O,X,O,X,O
TSOZILJ,O,O,O,X,O,O,X,O,O,X,O
TSOZIJL,O,O,O,X,O,O,X,O,X,O,X
TSOZLIJ,O,O,O,X,O,O,X,X,O,X,O
TSOZLJI,O,O,O,X,O,O,X,X,O,X,O
TSOZJIL,O,O,O,X,O,O,X,O,X,O,X
TSOZJLI,O,O,O,X,O,O,X,X,O,X,O
TZILJSO,O,X,O,O,O,O,X,X,X,X,X
TZILJOS,O,X,O,O,X,X,X,X,X,X,X
TZILSJO,O,O,O,X,O,O,X,O,X,X,X
TZILSOJ,O,O,O,X,O,O,X,O,X,X,X
TZILOJS,O,X,O,X,X,X,X,X,X,X,X
TZILOSJ,O,O,O,X,O,O,X,O,X,X,X
TZIJLSO,O,X,O,O,X,X,X,X,X,X,X
TZIJLOS,O,X,O,O,X,X,X,X,X,X,X
TZIJSLO,O,X,O,O,O,O,X,X,X,X,X
TZIJSOL,O,X,O,O,O,O,X,X,X,X,X
TZIJOLS,O,X,O,O,X,X,X,X,X,X,X
TZIJOSL,O,X,O,O,X,X,X,X,X,X,X
TZISLJO,O,O,O,X,O,O,X,O,X,X,O
TZISLOJ,O,O,O,X,O,O,X,O,X,X,O
TZISJLO,O,O,O,X,O,O,X,O,X,X,X
TZISJOL,O,O,O,X,O,O,X,O,X,X,X
TZISOLJ,O,O,O,X,O,X,X,O,X,X,O
TZISOJL,O,O,O,X,O,O,X,O,X,X,X
TZIOLJS,O,X,O,X,O,X,X,X,X,X,X
TZIOLSJ,O,O,O,X,O,X,X,O,X,X,X
TZIOJLS,O,X,O,X,X,X,X,X,X,X,X
TZIOJSL,O,X,O,X,O,X,X,X,X,X,X
TZIOSLJ,O,O,O,X,O,X,X,O,X,X,O
TZIOSJL,O,O,O,X,O,O,X,O,X,X,X
TZLIJSO,O,X,O,O,O,O,X,X,X,X,X
TZLIJOS,O,X,O,O,X,X,X,X,X,X,X
TZLISJO,O,O,O,X,O,O,X,X,X,X,X
TZLISOJ,O,O,O,X,O,O,X,X,O,X,X
TZLIOJS,O,X,O,X,X,X,O,X,X,X,X
TZLIOSJ,O,O,O,X,O,O,X,X,O,X,X
TZLJISO,O,X,O,O,O,O,X,X,X,X,X
TZLJIOS,O,X,O,O,X,X,O,X,X,X,X
TZLJSIO,O,X,O,O,O,O,X,X,X,X,X
TZLJSOI,O,X,O,O,O,O,O,X,X,X,X
TZLJOIS,O,X,O,O,X,X,O,X,X,X,X
TZLJOSI,O,X,O,O,X,X,O,X,X,X,X
TZLSIJO,O,O,O,X,O,O,X,X,X,X,O
TZLSIOJ,O,O,O,X,O,O,X,X,O,X,O
TZLSJIO,O,O,O,X,O,O,X,X,X,X,O
TZLSJOI,O,O,O,X,O,O,X,X,O,X,O
TZLSOIJ,O,O,O,X,O,O,X,X,O,X,O
TZLSOJI,O,O,O,X,O,O,X,X,O,X,O
TZLOIJS,O,X,O,X,O,X,O,X,X,X,X
TZLOISJ,O,O,O,X,O,O,X,X,O,X,X
TZLOJIS,O,X,O,X,O,X,O,X,X,X,X
TZLOJSI,O,X,O,X,O,X,O,X,X,X,X
TZLOSIJ,O,O,O,X,O,O,X,X,O,X,O
TZLOSJI,O,O,O,X,O,O,X,X,O,X,O
TZJILSO,O,X,O,O,X,X,X,X,X,X,X
TZJILOS,O,X,O,O,X,X,O,X,X,X,X
TZJISLO,O,X,O,O,O,O,X,X,X,X,X
TZJISOL,O,X,O,O,O,O,X,X,X,X,X
TZJIOLS,O,X,O,O,X,X,O,X,X,X,X
TZJIOSL,O,X,O,O,X,X,X,X,X,X,X
TZJLISO,O,X,O,O,O,O,X,X,X,X,X
TZJLIOS,O,X,O,O,X,X,O,X,X,X,X
TZJLSIO,O,X,O,O,O,O,X,X,X,X,X
TZJLSOI,O,X,O,O,O,O,O,X,X,X,X
TZJLOIS,O,X,O,O,X,X,O,X,X,X,X
TZJLOSI,O,X,O,O,X,X,O,X,X,X,X
TZJSILO,O,X,O,O,O,O,X,X,X,X,X
TZJSIOL,O,X,O,O,O,O,X,X,X,X,X
TZJSLIO,O,X,O,O,O,O,X,X,X,X,O
TZJSLOI,O,X,O,O,O,O,O,X,X,X,O
TZJSOIL,O,X,O,O,O,O,X,X,X,X,X
TZJSOLI,O,X,O,O,O,X,O,X,X,X,O
TZJOILS,O,X,O,O,X,X,O,X,X,X,X
TZJOISL,O,X,O,O,O,X,X,X,X,X,X
TZJOLIS,O,X,O,O,O,X,O,X,X,X,X
TZJOLSI,O,X,O,O,O,X,O,X,X,X,X
TZJOSIL,O,X,O,O,O,X,X,X,X,X,X
TZJOSLI,O,X,O,O,O,X,O,X,X,X,O
TZSILJO,O,O,O,X,O,O,X,O,X,X,O
TZSILOJ,O,O,O,X,O,O,X,O,O,X,O
TZSIJLO,O,O,O,X,O,O,X,O,X,X,X
TZSIJOL,O,O,O,X,O,O,X,O,X,X,X
TZSIOLJ,O,O,O,X,O,X,X,O,O,X,O
TZSIOJL,O,O,O,X,O,O,X,O,X,X,X
TZSLIJO,O,O,O,X,O,O,X,X,X,X,O
TZSLIOJ,O,O,O,X,O,O,X,X,O,X,O
TZSLJIO,O,O,O,X,O,O,X,X,X,X,O
TZSLJOI,O,O,O,X,O,O,X,X,O,X,O
TZSLOIJ,O,O,O,X,O,O,X,X,O,X,O
TZSLOJI,O,O,O,X,O,O,X,X,O,X,O
TZSJILO,O,O,O,X,O,O,X,O,X,X,X
TZSJIOL,O,O,O,X,O,O,X,O,X,X,X
TZSJLIO,O,O,O,X,O,O,X,X,X,X,O
TZSJLOI,O,O,O,X,O,O,X,X,O,X,O
TZSJOIL,O,O,O,X,O,O,X,O,X,X,X
TZSJOLI,O,O,O,X,O,X,X,X,O,X,O
TZSOILJ,O,O,O,X,O,X,X,O,O,X,O
TZSOIJL,O,O,O,X,O,O,X,O,X,X,X
TZSOLIJ,O,O,O,X,O,O,X,X,O,X,O
TZSOLJI,O,O,O,X,O,O,X,X,O,X,O
TZSOJIL,O,O,O,X,O,O,X,O,X,X,X
TZSOJLI,O,O,O,X,O,X,X,X,O,X,O
TZOILJS,O,X,O,X,O,X,X,X,X,X,X
TZOILSJ,O,O,O,X,O,X,X,O,X,X,X
TZOIJLS,O,X,O,X,X,X,X,X,X,X,X
TZOIJSL,O,X,O,X,O,X,X,X,X,X,X
TZOISLJ,O,O,O,X,O,X,X,O,X,X,O
TZOISJL,O,O,O,X,O,O,X,O,X,X,X
TZOLIJS,O,X,O,X,O,X,O,X,X,X,X
TZOLISJ,O,O,O,X,O,O,X,X,O,X,X
TZOLJIS,O,X,O,X,O,X,O,X,X,X,X
TZOLJSI,O,X,O,X,O,X,O,X,X,X,X
TZOLSIJ,O,O,O,X,O,O,X,X,O,X,O
TZOLSJI,O,O,O,X,O,O,X,X,O,X,O
TZOJILS,O,X,O,X,X,X,O,X,X,X,X
TZOJISL,O,X,O,X,O,X,X,X,X,X,X
TZOJLIS,O,X,O,X,O,X,O,X,X,X,X
TZOJLSI,O,X,O,X,O,X,O,X,X,X,X
TZOJSIL,O,X,O,X,O,X,X,X,X,X,X
TZOJSLI,O,X,O,X,O,X,O,X,X,X,O
TZOSILJ,O,O,O,X,O,X,X,O,O,X,O
TZOSIJL,O,O,O,X,O,O,X,O,X,X,X
TZOSLIJ,O,O,O,X,O,O,X,X,O,X,O
TZOSLJI,O,O,O,X,O,O,X,X,O,X,O
TZOSJIL,O,O,O,X,O,O,X,O,X,X,X
TZOSJLI,O,O,O,X,O,X,X,X,O,X,O
TOILJSZ,O,O,X,O,X,O,O,O,O,X,X
TOILJZS,O,X,X,O,X,X,O,X,X,X,X
TOILSJZ,O,O,O,X,O,O,O,O,O,X,X
TOILSZJ,O,O,O,X,O,O,X,O,O,X,X
TOILZJS,O,X,O,X,O,O,O,X,X,X,X
TOILZSJ,O,O,O,X,O,O,X,O,O,X,X
TOIJLSZ,O,O,X,O,X,O,O,O,X,X,X
TOIJLZS,O,X,X,O,X,X,O,X,X,X,X
TOIJSLZ,O,O,O,O,X,O,X,O,X,X,X
TOIJSZL,O,O,O,O,X,O,X,O,X,X,X
TOIJZLS,O,X,X,O,X,X,O,X,X,X,X
TOIJZSL,O,X,O,O,X,O,X,X,X,X,X
TOISLJZ,O,O,O,X,O,O,X,O,O,X,X
TOISLZJ,O,O,O,X,O,O,X,O,O,X,O
TOISJLZ,O,O,O,X,O,O,X,O,X,X,X
TOISJZL,O,O,O,X,O,O,X,O,X,X,X
TOISZLJ,O,O,O,X,O,O,X,O,O,X,O
TOISZJL,O,O,O,X,O,O,X,O,X,X,X
TOIZLJS,O,X,O,X,O,O,X,X,X,X,X
TOIZLSJ,O,O,O,X,O,O,X,O,X,X,X
TOIZJLS,O,X,O,X,X,X,X,X,X,X,X
TOIZJSL,O,X,O,X,O,O,X,X,X,X,X
TOIZSLJ,O,O,O,X,O,O,X,O,X,X,O
TOIZSJL,O,O,O,X,O,O,X,O,X,X,X
TOLIJSZ,O,O,X,O,X,O,O,O,O,X,X
TOLIJZS,O,X,X,O,X,X,O,X,X,X,X
TOLISJZ,O,O,O,X,O,O,O,O,O,X,X
TOLISZJ,O,O,O,X,O,O,X,O,O,X,X
TOLIZJS,O,X,O,X,O,O,O,X,X,X,X
TOLIZSJ,O,O,O,X,O,O,X,O,O,X,X
TOLJISZ,O,O,X,O,X,O,O,X,O,X,X
TOLJIZS,O,X,X,O,X,X,O,X,X,X,X
TOLJSIZ,O,O,X,O,O,O,O,X,O,X,X
TOLJSZI,O,O,X,O,O,O,O,X,O,X,X
TOLJZIS,O,X,X,O,O,O,O,X,X,X,X
TOLJZSI,O,X,X,O,O,O,O,X,X,X,X
TOLSIJZ,O,O,O,X,O,O,O,O,O,X,X
TOLSIZJ,O,O,O,X,O,O,X,O,O,X,O
TOLSJIZ,O,O,O,X,O,O,O,O,O,X,X
TOLSJZI,O,O,O,X,O,O,O,X,O,X,O
TOLSZIJ,O,O,O,X,O,O,X,X,O,X,O
TOLSZJI,O,O,O,X,O,O,X,X,O,X,O
TOLZIJS,O,X,O,X,O,O,O,X,X,X,X
TOLZISJ,O,O,O,X,O,O,X,X,O,X,X
TOLZJIS,O,X,O,X,O,O,O,X,X,X,X
TOLZJSI,O,X,O,X,O,O,O,X,X,X,X
TOLZSIJ,O,O,O,X,O,O,X,X,O,X,O
TOLZSJI,O,O,O,X,O,O,X,X,O,X,O
TOJILSZ,O,O,X,O,X,O,O,O,X,X,X
TOJILZS,O,X,X,O,X,X,O,X,X,X,X
TOJISLZ,O,O,O,O,X,O,X,O,X,X,X
TOJISZL,O,O,O,O,X,O,X,O,X,X,X
TOJIZLS,O,X,X,O,X,X,O,X,X,X,X
TOJIZSL,O,X,O,O,X,O,X,X,X,X,X
TOJLISZ,O,O,X,O,X,O,O,X,O,X,X
TOJLIZS,O,X,X,O,X,X,O,X,X,X,X
TOJLSIZ,O,O,X,O,O,O,O,X,O,X,X
TOJLSZI,O,O,X,O,O,O,O,X,O,X,X
TOJLZIS,O,X,X,O,O,O,O,X,X,X,X
TOJLZSI,O,X,X,O,O,O,O,X,X,X,X
TOJSILZ,O,O,O,O,O,O,X,O,X,X,X
TOJSIZL,O,O,O,O,O,O,X,O,X,X,X
TOJSLIZ,O,O,O,O,O,O,O,O,O,X,X
TOJSLZI,O,O,O,O,O,O,O,X,O,X,O
TOJSZIL,O,O,O,O,O,O,X,O,X,X,X
TOJSZLI,O,O,O,O,O,O,O,X,O,X,O
TOJZILS,O,X,X,O,X,X,O,X,X,X,X
TOJZISL,O,X,O,O,O,O,X,X,X,X,X
TOJZLIS,O,X,X,O,O,O,O,X,X,X,X
TOJZLSI,O,X,X,O,O,O,O,X,X,X,X
TOJZSIL,O,X,O,O,O,O,X,X,X,X,X
TOJZSLI,O,X,O,O,O,O,O,X,X,X,O
TOSILJZ,O,O,O,X,O,O,X,O,O,X,X
TOSILZJ,O,O,O,X,O,O,X,O,O,X,O
TOSIJLZ,O,O,O,X,O,O,X,O,X,X,X
TOSIJZL,O,O,O,X,O,O,X,O,X,X,X
TOSIZLJ,O,O,O,X,O,O,X,O,O,X,O
TOSIZJL,O,O,O,X,O,O,X,O,X,X,X
TOSLIJZ,O,O,O,X,O,O,O,O,O,X,X
TOSLIZJ,O,O,O,X,O,O,X,O,O,X,O
TOSLJIZ,O,O,O,X,O,O,O,O,O,X,X
TOSLJZI,O,O,O,X,O,O,O,X,O,X,O
TOSLZIJ,O,O,O,X,O,O,X,X,O,X,O
TOSLZJI,O,O,O,X,O,O,X,X,O,X,O
TOSJILZ,O,O,O,X,O,O,X,O,X,X,X
TOSJIZL,O,O,O,X,O,O,X,O,X,X,X
TOSJLIZ,O,O,O,X,O,O,O,O,O,X,X
TOSJLZI,O,O,O,X,O,O,O,X,O,X,O
TOSJZIL,O,O,O,X,O,O,X,O,X,X,X
TOSJZLI,O,O,O,X,O,O,O,X,O,X,O
TOSZILJ,O,O,O,X,O,O,X,O,O,X,O
TOSZIJL,O,O,O,X,O,O,X,O,X,X,X
TOSZLIJ,O,O,O,X,O,O,X,X,O,X,O
TOSZLJI,O,O,O,X,O,O,X,X,O,X,O
TOSZJIL,O,O,O,X,O,O,X,O,X,X,X
TOSZJLI,O,O,O,X,O,O,X,X,O,X,O
TOZILJS,O,X,O,X,O,O,X,X,X,X,X
TOZILSJ,O,O,O,X,O,O,X,O,X,X,X
TOZIJLS,O,X,O,X,X,X,X,X,X,X,X
TOZIJSL,O,X,O,X,O,O,X,X,X,X,X
TOZISLJ,O,O,O,X,O,O,X,O,X,X,O
TOZISJL,O,O,O,X,O,O,X,O,X,X,X
TOZLIJS,O,X,O,X,O,O,O,X,X,X,X
TOZLISJ,O,O,O,X,O,O,X,X,O,X,X
TOZLJIS,O,X,O,X,O,O,O,X,X,X,X
TOZLJSI,O,X,O,X,O,O,O,X,X,X,X
TOZLSIJ,O,O,O,X,O,O,X,X,O,X,O
TOZLSJI,O,O,O,X,O,O,X,X,O,X,O
TOZJILS,O,X,O,X,X,X,O,X,X,X,X
TOZJISL,O,X,O,X,O,O,X,X,X,X,X
TOZJLIS,O,X,O,X,O,O,O,X,X,X,X
TOZJLSI,O,X,O,X,O,O,O,X,X,X,X
TOZJSIL,O,X,O,X,O,O,X,X,X,X,X
TOZJSLI,O,X,O,X,O,O,O,X,X,X,O
TOZSILJ,O,O,O,X,O,O,X,O,O,X,O
TOZSIJL,O,O,O,X,O,O,X,O,X,X,X
TOZSLIJ,O,O,O,X,O,O,X,X,O,X,O
TOZSLJI,O,O,O,X,O,O,X,X,O,X,O
TOZSJIL,O,O,O,X,O,O,X,O,X,X,X
TOZSJLI,O,O,O,X,O,O,X,X,O,X,O
ITLJSZO,O,O,O,O,X,O,X,O,X,X,X
ITLJSOZ,O,O,O,O,X,O,X,O,O,X,X
ITLJZSO,O,X,O,O,X,X,X,X,X,X,X
ITLJZOS,O,X,O,O,X,X,O,X,X,X,X
ITLJOSZ,O,O,X,O,X,X,O,O,O,X,X
ITLJOZS,O,X,X,O,X,X,O,X,X,X,X
ITLSJZO,O,O,O,O,O,O,X,O,X,X,X
ITLSJOZ,O,O,O,O,X,O,X,O,O,X,X
ITLSZJO,O,O,O,X,O,O,X,O,X,X,X
ITLSZOJ,O,O,O,X,O,O,X,O,O,X,X
ITLSOJZ,O,O,O,X,X,O,O,O,O,X,X
ITLSOZJ,O,O,O,X,X,X,X,O,O,X,X
ITLZJSO,O,X,O,O,O,O,X,X,X,X,X
ITLZJOS,O,X,O,O,X,X,X,X,X,X,X
ITLZSJO,O,O,O,X,O,O,X,O,X,X,X
ITLZSOJ,O,O,O,X,O,O,X,O,O,X,X
ITLZOJS,O,X,O,X,X,X,O,X,X,X,X
ITLZOSJ,O,O,O,X,O,O,X,O,O,X,X
ITLOJSZ,O,O,X,O,X,X,O,O,O,X,X
ITLOJZS,O,X,X,O,X,X,O,X,X,X,X
ITLOSJZ,O,O,O,X,X,O,O,O,O,X,X
ITLOSZJ,O,O,O,X,X,X,X,O,O,X,X
ITLOZJS,O,X,O,X,X,X,O,X,X,X,X
ITLOZSJ,O,O,O,X,X,X,X,O,O,X,X
ITJLSZO,O,O,O,O,X,O,X,O,X,X,X
ITJLSOZ,O,O,O,O,X,O,X,O,X,X,X
ITJLZSO,O,X,O,O,X,X,X,X,X,X,X
ITJLZOS,O,X,O,O,X,X,O,X,X,X,X
ITJLOSZ,O,O,X,O,X,X,O,O,X,X,X
ITJLOZS,O,X,X,O,X,X,O,X,X,X,X
ITJSLZO,O,O,O,O,X,O,X,O,X,X,X
ITJSLOZ,O,O,O,O,X,O,X,O,X,X,X
ITJSZLO,O,O,O,O,X,O,X,O,X,X,X
ITJSZOL,O,O,O,O,X,O,X,O,X,X,X
ITJSOLZ,O,O,O,O,X,O,X,O,X,X,X
ITJSOZL,O,O,O,O,X,O,X,O,X,X,X
ITJZLSO,O,X,O,O,X,X,X,X,X,X,X
ITJZLOS,O,X,O,O,X,X,O,X,X,X,X
ITJZSLO,O,X,O,O,X,O,X,X,X,X,X
ITJZSOL,O,X,O,O,X,O,X,X,X,X,X
ITJZOLS,O,X,O,O,X,X,O,X,X,X,X
ITJZOSL,O,X,O,O,X,X,X,X,X,X,X
ITJOLSZ,O,O,X,O,X,X,O,O,X,X,X
ITJOLZS,O,X,X,O,X,X,O,X,X,X,X
ITJOSLZ,O,O,O,O,X,X,X,O,X,X,X
ITJOSZL,O,O,O,O,X,X,X,O,X,X,X
ITJOZLS,O,X,X,O,X,X,O,X,X,X,X
ITJOZSL,O,X,O,O,X,X,X,X,X,X,X
ITSLJZO,O,O,O,O,O,O,X,O,X,X,X
ITSLJOZ,O,O,O,O,X,O,X,O,O,X,X
ITSLZJO,O,O,O,X,O,O,X,O,X,X,O
ITSLZOJ,O,O,O,X,O,O,X,O,O,X,O
ITSLOJZ,O,O,O,X,X,O,X,O,O,X,X
ITSLOZJ,O,O,O,X,X,X,X,O,O,X,O
ITSJLZO,O,O,O,O,O,O,X,O,X,X,X
ITSJLOZ,O,O,O,O,X,O,X,O,X,X,X
ITSJZLO,O,O,O,O,O,O,X,O,X,X,X
ITSJZOL,O,O,O,O,O,O,X,O,X,X,X
ITSJOLZ,O,O,O,O,O,O,X,O,X,X,X
ITSJOZL,O,O,O,O,O,O,X,O,X,X,X
ITSZLJO,O,O,O,X,O,O,X,O,X,X,O
ITSZLOJ,O,O,O,X,O,O,X,O,O,X,O
ITSZJLO,O,O,O,X,O,O,X,O,X,O,X
ITSZJOL,O,O,O,X,O,O,X,O,X,O,X
ITSZOLJ,O,O,O,X,O,X,X,O,O,X,O
ITSZOJL,O,O,O,X,O,O,X,O,X,O,X
ITSOLJZ,O,O,O,X,O,O,X,O,O,X,X
ITSOLZJ,O,O,O,X,O,X,X,O,O,X,O
ITSOJLZ,O,O,O,X,O,O,X,O,X,X,X
ITSOJZL,O,O,O,X,O,O,X,O,X,X,X
ITSOZLJ,O,O,O,X,O,X,X,O,O,X,O
ITSOZJL,O,O,O,X,O,X,X,O,X,O,X
ITZLJSO,O,X,O,O,O,O,X,X,X,X,X
ITZLJOS,O,X,O,O,X,X,X,X,X,X,X
ITZLSJO,O,O,O,X,O,O,X,O,X,X,X
ITZLSOJ,O,O,O,X,O,O,X,O,X,X,X
ITZLOJS,O,X,O,X,X,X,X,X,X,X,X
ITZLOSJ,O,O,O,X,O,O,X,O,X,X,X
ITZJLSO,O,X,O,O,X,X,X,X,X,X,X
ITZJLOS,O,X,O,O,X,X,X,X,X,X,X
ITZJSLO,O,X,O,O,O,O,X,X,X,X,X
ITZJSOL,O,X,O,O,O,O,X,X,X,X,X
ITZJOLS,O,X,O,O,X,X,X,X,X,X,X
ITZJOSL,O,X,O,O,X,X,X,X,X,X,X
ITZSLJO,O,O,O,X,O,O,X,O,X,X,O
ITZSLOJ,O,O,O,X,O,O,X,O,X,X,O
ITZSJLO,O,O,O,X,O,O,X,O,X,X,X
ITZSJOL,O,O,O,X,O,O,X,O,X,X,X
ITZSOLJ,O,O,O,X,O,X,X,O,X,X,O
ITZSOJL,O,O,O,X,O,O,X,O,X,X,X
ITZOLJS,O,X,O,X,O,X,X,X,X,X,X
ITZOLSJ,O,O,O,X,O,X,X,O,X,X,X
ITZOJLS,O,X,O,X,X,X,X,X,X,X,X
ITZOJSL,O,X,O,X,O,X,X,X,X,X,X
ITZOSLJ,O,O,O,X,O,X,X,O,X,X,O
ITZOSJL,O,O,O,X,O,O,X,O,X,X,X
ITOLJSZ,O,O,X,O,X,X,O,O,O,X,X
ITOLJZS,O,X,X,O,X,X,O,X,X,X,X
ITOLSJZ,O,O,O,X,O,O,O,O,O,X,X
ITOLSZJ,O,O,O,X,O,X,X,O,O,X,X
ITOLZJS,O,X,O,X,O,X,O,X,X,X,X
ITOLZSJ,O,O,O,X,O,X,X,O,O,X,X
ITOJLSZ,O,O,X,O,X,X,O,O,X,X,X
ITOJLZS,O,X,X,O,X,X,O,X,X,X,X
ITOJSLZ,O,O,O,O,X,X,X,O,X,X,X
ITOJSZL,O,O,O,O,X,X,X,O,X,X,X
ITOJZLS,O,X,X,O,X,X,O,X,X,X,X
ITOJZSL,O,X,O,O,X,X,X,X,X,X,X
ITOSLJZ,O,O,O,X,O,O,X,O,O,X,X
ITOSLZJ,O,O,O,X,O,X,X,O,O,X,O
ITOSJLZ,O,O,O,X,O,O,X,O,X,X,X
ITOSJZL,O,O,O,X,O,O,X,O,X,X,X
ITOSZLJ,O,O,O,X,O,X,X,O,O,X,O
ITOSZJL,O,O,O,X,O,X,X,O,X,O,X
ITOZLJS,O,X,O,X,O,X,X,X,X,X,X
ITOZLSJ,O,O,O,X,O,X,X,O,X,X,X
ITOZJLS,O,X,O,X,X,X,X,X,X,X,X
ITOZJSL,O,X,O,X,O,X,X,X,X,X,X
ITOZSLJ,O,O,O,X,O,X,X,O,X,X,O
ITOZSJL,O,O,O,X,O,O,X,O,X,X,X
ILTJSZO,O,O,O,O,X,O,X,O,X,X,X
ILTJSOZ,O,O,O,O,X,O,X,O,O,X,X
ILTJZSO,O,X,O,O,X,X,X,X,X,X,X
ILTJZOS,O,X,O,O,X,X,O,X,X,X,X
ILTJOSZ,O,O,X,O,X,X,O,O,O,X,X
ILTJOZS,O,X,X,O,X,X,O,X,X,X,X
ILTSJZO,O,O,O,O,O,O,X,O,X,X,X
ILTSJOZ,O,O,O,O,X,O,X,O,O,X,X
