sequence,v115@HhA8IeD8AeA8DeD8AeA8BeA8Kel/IvhF3gBUiBaoB5?oBOrBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanBziB5?oBOrB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanBziB5oBF?mB3sBmqB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFxgBVnBGjBa?rB/tBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanB5oBO?rBznB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanB5oBFmBz?nBmqB3sB
TLIOZSJ,O,X,O,O,X,O
TLJISZO,O,X,O,O,X,X
TLJISOZ,O,X,O,O,X,X
TLJIZSO,O,X,O,O,X,X
TLJIZOS,O,X,X,X,X,O
TLJIOSZ,O,X,X,X,X,X
TLJIOZS,O,X,X,X,X,O
TLJSIZO,O,X,X,O,X,X
TLJSIOZ,O,X,X,O,X,X
TLJSZIO,O,X,X,O,X,X
TLJSZOI,O,X,X,O,X,X
TLJSOIZ,O,X,X,O,X,X
TLJSOZI,O,X,X,O,X,X
TLJZISO,O,X,O,O,X,X
TLJZIOS,O,X,X,X,X,O
TLJZSIO,O,X,X,O,X,X
TLJZSOI,O,X,X,O,X,X
TLJZOIS,O,X,X,X,X,O
TLJZOSI,O,X,X,X,X,X
TLJOISZ,O,X,X,X,X,X
TLJOIZS,O,X,X,X,X,O
TLJOSIZ,O,X,X,X,X,X
TLJOSZI,O,X,X,X,X,X
TLJOZIS,O,X,X,X,X,O
TLJOZSI,O,X,X,X,X,X
TLSIJZO,O,O,O,O,X,X
TLSIJOZ,O,O,O,O,X,X
TLSIZJO,X,O,O,O,X,X
TLSIZOJ,X,O,O,O,X,O
TLSIOJZ,O,O,O,O,X,X
TLSIOZJ,O,O,O,O,X,O
TLSJIZO,O,O,O,O,X,X
TLSJIOZ,O,O,O,O,X,X
TLSJZIO,O,O,O,O,X,X
TLSJZOI,O,O,O,O,X,X
TLSJOIZ,O,O,O,O,X,X
TLSJOZI,O,O,O,O,X,X
TLSZIJO,X,O,O,O,X,X
TLSZIOJ,X,O,O,O,X,O
TLSZJIO,X,O,O,O,X,X
TLSZJOI,X,O,O,O,X,X
TLSZOIJ,X,O,O,O,X,O
TLSZOJI,X,O,O,O,X,X
TLSOIJZ,O,O,O,O,X,X
TLSOIZJ,O,O,O,O,X,O
TLSOJIZ,O,O,O,O,X,X
TLSOJZI,O,O,O,O,X,X
TLSOZIJ,O,O,O,O,X,O
TLSOZJI,O,O,O,O,X,X
TLZIJSO,O,X,O,O,X,X
TLZIJOS,O,X,X,X,X,O
TLZISJO,X,O,O,O,X,X
TLZISOJ,X,O,O,O,X,O
TLZIOJS,X,X,X,O,X,O
TLZIOSJ,X,X,O,O,X,O
TLZJISO,O,X,O,O,X,X
TLZJIOS,O,X,X,X,X,O
TLZJSIO,O,X,X,O,X,X
TLZJSOI,O,X,X,O,X,X
TLZJOIS,O,X,X,X,X,O
TLZJOSI,O,X,X,X,X,X
TLZSIJO,X,O,O,O,X,X
TLZSIOJ,X,O,O,O,X,O
TLZSJIO,X,O,O,O,X,X
TLZSJOI,X,O,O,O,X,X
TLZSOIJ,X,O,O,O,X,O
TLZSOJI,X,O,O,O,X,X
TLZOIJS,X,X,X,O,X,O
TLZOISJ,X,X,O,O,X,O
TLZOJIS,X,X,X,O,X,O
TLZOJSI,X,X,X,O,X,X
TLZOSIJ,X,X,X,O,X,O
TLZOSJI,X,X,X,O,X,X
TLOIJSZ,O,X,X,O,X,X
TLOIJZS,O,X,X,O,X,O
TLOISJZ,O,X,O,O,X,X
TLOISZJ,O,X,O,O,X,O
TLOIZJS,O,X,X,O,X,O
TLOIZSJ,O,X,O,O,X,O
TLOJISZ,O,X,X,O,X,X
TLOJIZS,O,X,X,O,X,O
TLOJSIZ,O,X,X,O,X,X
TLOJSZI,O,X,X,O,X,X
TLOJZIS,O,X,X,O,X,O
TLOJZSI,O,X,X,O,X,X
TLOSIJZ,O,X,X,O,X,X
TLOSIZJ,O,X,X,O,X,O
TLOSJIZ,O,X,X,O,X,X
TLOSJZI,O,X,X,O,X,X
TLOSZIJ,O,X,X,O,X,O
TLOSZJI,O,X,X,O,X,X
TLOZIJS,O,X,X,O,X,O
TLOZISJ,O,X,O,O,X,O
TLOZJIS,O,X,X,O,X,O
TLOZJSI,O,X,X,O,X,X
TLOZSIJ,O,X,X,O,X,O
TLOZSJI,O,X,X,O,X,X
TJILSZO,O,O,O,X,O,X
TJILSOZ,O,O,O,X,O,X
TJILZSO,O,O,O,X,O,X
TJILZOS,O,O,X,X,O,O
TJILOSZ,O,O,X,X,O,X
TJILOZS,O,O,X,X,O,O
TJISLZO,O,O,O,O,O,X
TJISLOZ,O,O,O,X,O,X
TJISZLO,O,O,O,O,O,X
TJISZOL,O,O,O,O,O,X
TJISOLZ,O,O,O,X,O,X
TJISOZL,O,O,O,O,O,X
TJIZLSO,O,O,O,X,O,X
TJIZLOS,O,O,X,X,O,O
TJIZSLO,O,O,O,O,O,X
TJIZSOL,O,O,O,O,O,X
TJIZOLS,O,O,X,X,O,O
TJIZOSL,O,O,X,X,O,X
TJIOLSZ,O,O,X,X,O,X
TJIOLZS,O,O,X,X,O,O
TJIOSLZ,O,O,X,X,O,X
TJIOSZL,O,O,X,X,O,X
TJIOZLS,O,O,X,X,O,O
TJIOZSL,O,O,X,X,O,X
TJLISZO,O,O,O,O,O,X
TJLISOZ,O,O,O,O,O,X
TJLIZSO,O,O,O,O,O,X
TJLIZOS,O,O,X,X,O,O
TJLIOSZ,O,O,X,X,O,X
TJLIOZS,O,O,X,X,O,O
TJLSIZO,O,O,X,O,O,X
TJLSIOZ,O,O,X,O,O,X
TJLSZIO,O,O,X,O,O,X
TJLSZOI,O,O,X,O,O,X
TJLSOIZ,O,O,X,O,O,X
TJLSOZI,O,O,X,O,O,X
TJLZISO,O,O,O,O,O,X
TJLZIOS,O,O,X,X,O,O
TJLZSIO,O,O,X,O,O,X
TJLZSOI,O,O,X,O,O,X
TJLZOIS,O,O,X,X,O,O
TJLZOSI,O,X,X,X,O,X
TJLOISZ,O,O,X,X,O,X
TJLOIZS,O,O,X,X,O,O
TJLOSIZ,O,X,X,X,O,X
TJLOSZI,O,X,X,X,O,X
TJLOZIS,O,O,X,X,O,O
TJLOZSI,O,X,X,X,O,X
TJSILZO,O,O,O,O,O,X
TJSILOZ,O,O,O,O,O,X
TJSIZLO,O,O,O,O,O,X
TJSIZOL,O,O,O,O,O,X
TJSIOLZ,O,O,O,X,O,X
TJSIOZL,O,O,O,O,O,X
TJSLIZO,O,O,O,O,O,X
TJSLIOZ,O,O,O,O,O,X
TJSLZIO,O,O,O,O,O,X
TJSLZOI,O,O,O,O,O,X
TJSLOIZ,O,O,O,O,O,X
TJSLOZI,O,O,O,O,O,X
TJSZILO,O,O,O,O,O,X
TJSZIOL,O,O,O,O,O,X
TJSZLIO,O,O,O,O,O,X
TJSZLOI,O,O,O,O,O,X
TJSZOIL,O,O,O,O,O,X
TJSZOLI,O,O,O,O,O,X
TJSOILZ,O,O,O,X,O,X
TJSOIZL,O,O,O,O,O,X
TJSOLIZ,O,O,O,O,O,X
TJSOLZI,O,O,O,O,O,X
TJSOZIL,O,O,O,O,O,X
TJSOZLI,O,O,O,O,O,X
TJZILSO,O,O,O,X,O,X
TJZILOS,O,O,X,X,O,O
TJZISLO,O,O,O,O,O,X
TJZISOL,O,O,O,O,O,X
TJZIOLS,O,O,X,X,O,O
TJZIOSL,O,O,X,X,O,X
TJZLISO,O,O,O,O,O,X
TJZLIOS,O,O,X,X,O,O
TJZLSIO,O,O,X,O,O,X
TJZLSOI,O,O,X,O,O,X
TJZLOIS,O,O,X,X,O,O
TJZLOSI,O,X,X,X,O,X
TJZSILO,O,O,O,O,O,X
TJZSIOL,O,O,O,O,O,X
TJZSLIO,O,O,O,O,O,X
TJZSLOI,O,O,O,O,O,X
TJZSOIL,O,O,O,O,O,X
TJZSOLI,O,O,O,O,O,X
TJZOILS,O,O,X,X,O,O
TJZOISL,O,O,X,X,O,X
TJZOLIS,O,O,X,X,O,O
TJZOLSI,O,X,X,X,O,X
TJZOSIL,O,O,X,X,O,X
TJZOSLI,O,O,X,X,O,X
TJOILSZ,O,O,X,X,O,X
TJOILZS,O,O,X,X,O,O
TJOISLZ,O,O,X,X,O,X
TJOISZL,O,O,X,X,O,X
TJOIZLS,O,O,X,X,O,O
TJOIZSL,O,O,X,X,O,X
TJOLISZ,O,O,X,X,O,X
TJOLIZS,O,O,X,X,O,O
TJOLSIZ,O,X,X,X,O,X
TJOLSZI,O,X,X,X,O,X
TJOLZIS,O,O,X,X,O,O
TJOLZSI,O,X,X,X,O,X
TJOSILZ,O,O,X,X,O,X
TJOSIZL,O,O,X,X,O,X
TJOSLIZ,O,O,X,X,O,X
TJOSLZI,O,O,X,X,O,X
TJOSZIL,O,O,X,X,O,X
TJOSZLI,O,O,X,X,O,X
TJOZILS,O,O,X,X,O,O
TJOZISL,O,O,X,X,O,X
TJOZLIS,O,O,X,X,O,O
TJOZLSI,O,X,X,X,O,X
TJOZSIL,O,O,X,X,O,X
TJOZSLI,O,O,X,X,O,X
TSILJZO,O,O,O,O,X,X
TSILJOZ,O,O,O,O,X,X
TSILZJO,X,O,O,O,X,X
TSILZOJ,X,O,O,O,X,O
TSILOJZ,O,O,O,O,X,X
TSILOZJ,O,O,O,O,X,O
TSIJLZO,O,O,O,O,X,X
TSIJLOZ,O,O,O,O,X,X
TSIJZLO,O,O,O,O,X,X
TSIJZOL,O,O,O,O,X,X
TSIJOLZ,O,O,O,X,X,X
TSIJOZL,O,O,O,O,X,X
TSIZLJO,X,O,O,O,X,X
TSIZLOJ,X,O,O,O,X,O
TSIZJLO,X,O,O,O,X,X
TSIZJOL,X,O,O,O,X,X
TSIZOLJ,O,O,O,X,X,O
TSIZOJL,O,O,O,O,X,X
TSIOLJZ,O,O,O,X,X,X
TSIOLZJ,O,O,O,X,X,O
TSIOJLZ,O,O,O,X,X,X
TSIOJZL,O,O,O,O,X,X
TSIOZLJ,O,O,O,X,X,O
TSIOZJL,O,O,O,O,X,X
TSLIJZO,O,O,O,O,X,X
TSLIJOZ,O,O,O,O,X,X
TSLIZJO,X,O,O,O,X,X
TSLIZOJ,X,O,O,O,X,O
TSLIOJZ,O,O,O,O,X,X
TSLIOZJ,O,O,O,O,X,O
TSLJIZO,O,O,O,O,X,X
TSLJIOZ,O,O,O,O,X,X
TSLJZIO,O,O,O,O,X,X
TSLJZOI,O,O,O,O,X,X
TSLJOIZ,O,O,O,O,X,X
TSLJOZI,O,O,O,O,X,X
TSLZIJO,X,O,O,O,X,X
TSLZIOJ,X,O,O,O,X,O
TSLZJIO,X,O,O,O,X,X
TSLZJOI,X,O,O,O,X,X
TSLZOIJ,X,O,O,O,X,O
TSLZOJI,X,O,O,O,X,X
TSLOIJZ,O,O,O,O,X,X
TSLOIZJ,O,O,O,O,X,O
TSLOJIZ,O,O,O,O,X,X
TSLOJZI,O,O,O,O,X,X
TSLOZIJ,O,O,O,O,X,O
TSLOZJI,O,O,O,O,X,X
TSJILZO,O,O,O,O,X,X
TSJILOZ,O,O,O,O,X,X
TSJIZLO,O,O,O,O,X,X
TSJIZOL,O,O,O,O,X,X
TSJIOLZ,O,O,O,X,X,X
TSJIOZL,O,O,O,O,X,X
TSJLIZO,O,O,O,O,X,X
TSJLIOZ,O,O,O,O,X,X
TSJLZIO,O,O,O,O,X,X
TSJLZOI,O,O,O,O,X,X
TSJLOIZ,O,O,O,O,X,X
TSJLOZI,O,O,O,O,X,X
TSJZILO,O,O,O,O,X,X
TSJZIOL,O,O,O,O,X,X
