sequence,v115@HhA8IeD8AeA8DeD8AeA8BeA8Kel/IvhF3gBUiBaoB5?oBOrBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanBziB5?oBOrB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanBziB5oBF?mB3sBmqB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFxgBVnBGjBa?rB/tBTsB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFlgBanB5oBO?rBznB3sB,v115@HhA8IeD8AeA8DeD8AeA8BeA8Ke0/IvhFanB5oBFmBz?nBmqB3sB
TOISJZL,O,O,O,O,X,X
TOISZLJ,O,O,O,O,X,O
TOISZJL,O,O,O,O,X,X
TOIZLJS,O,X,X,O,X,O
TOIZLSJ,O,X,O,O,X,O
TOIZJLS,O,X,X,X,O,O
TOIZJSL,O,X,X,O,O,X
TOIZSLJ,O,O,O,O,X,O
TOIZSJL,O,O,O,O,X,X
TOLIJSZ,O,X,X,O,X,X
TOLIJZS,O,X,X,O,X,O
TOLISJZ,O,X,O,O,X,X
TOLISZJ,O,X,O,O,X,O
TOLIZJS,O,X,X,O,X,O
TOLIZSJ,O,X,O,O,X,O
TOLJISZ,O,X,X,O,X,X
TOLJIZS,O,X,X,O,X,O
TOLJSIZ,O,X,X,O,X,X
TOLJSZI,O,X,X,O,X,X
TOLJZIS,O,X,X,O,X,O
TOLJZSI,O,X,X,O,X,X
TOLSIJZ,O,X,X,O,X,X
TOLSIZJ,O,X,X,O,X,O
TOLSJIZ,O,X,X,O,X,X
TOLSJZI,O,X,X,O,X,X
TOLSZIJ,O,X,X,O,X,O
TOLSZJI,O,X,X,O,X,X
TOLZIJS,O,X,X,O,X,O
TOLZISJ,O,X,O,O,X,O
TOLZJIS,O,X,X,O,X,O
TOLZJSI,O,X,X,O,X,X
TOLZSIJ,O,X,X,O,X,O
TOLZSJI,O,X,X,O,X,X
TOJILSZ,O,X,X,X,O,X
TOJILZS,O,X,X,X,O,O
TOJISLZ,O,X,X,O,O,X
TOJISZL,O,X,X,O,O,X
TOJIZLS,O,X,X,X,O,O
TOJIZSL,O,X,X,O,O,X
TOJLISZ,O,X,X,O,O,X
TOJLIZS,O,X,X,O,O,O
TOJLSIZ,O,X,X,O,O,X
TOJLSZI,O,X,X,O,O,X
TOJLZIS,O,X,X,O,O,O
TOJLZSI,O,X,X,O,O,X
TOJSILZ,O,X,X,O,O,X
TOJSIZL,O,X,X,O,O,X
TOJSLIZ,O,X,X,O,O,X
TOJSLZI,O,X,X,O,O,X
TOJSZIL,O,X,X,O,O,X
TOJSZLI,O,X,X,O,O,X
TOJZILS,O,X,X,X,O,O
TOJZISL,O,X,X,O,O,X
TOJZLIS,O,X,X,O,O,O
TOJZLSI,O,X,X,O,O,X
TOJZSIL,O,X,X,O,O,X
TOJZSLI,O,X,X,O,O,X
TOSILJZ,O,O,O,O,X,X
TOSILZJ,O,O,O,O,X,O
TOSIJLZ,O,O,O,O,X,X
TOSIJZL,O,O,O,O,X,X
TOSIZLJ,O,O,O,O,X,O
TOSIZJL,O,O,O,O,X,X
TOSLIJZ,O,O,O,O,X,X
TOSLIZJ,O,O,O,O,X,O
TOSLJIZ,O,O,O,O,X,X
TOSLJZI,O,O,O,O,X,X
TOSLZIJ,O,O,O,O,X,O
TOSLZJI,O,O,O,O,X,X
TOSJILZ,O,O,O,O,X,X
TOSJIZL,O,O,O,O,X,X
TOSJLIZ,O,O,O,O,X,X
TOSJLZI,O,O,O,O,X,X
TOSJZIL,O,O,O,O,X,X
TOSJZLI,O,O,O,O,X,X
TOSZILJ,O,O,O,O,X,O
TOSZIJL,O,O,O,O,X,X
TOSZLIJ,O,O,O,O,X,O
TOSZLJI,O,O,O,O,X,X
TOSZJIL,O,O,O,O,X,X
TOSZJLI,O,O,O,O,X,X
TOZILJS,O,X,X,O,X,O
TOZILSJ,O,X,O,O,X,O
TOZIJLS,O,X,X,X,O,O
TOZIJSL,O,X,X,O,O,X
TOZISLJ,O,O,O,O,X,O
TOZISJL,O,O,O,O,X,X
TOZLIJS,O,X,X,O,X,O
TOZLISJ,O,X,O,O,X,O
TOZLJIS,O,X,X,O,X,O
TOZLJSI,O,X,X,O,X,X
TOZLSIJ,O,X,X,O,X,O
TOZLSJI,O,X,X,O,X,X
TOZJILS,O,X,X,X,O,O
TOZJISL,O,X,X,O,O,X
TOZJLIS,O,X,X,O,O,O
TOZJLSI,O,X,X,O,O,X
TOZJSIL,O,X,X,O,O,X
TOZJSLI,O,X,X,O,O,X
TOZSILJ,O,O,O,O,X,O
TOZSIJL,O,O,O,O,X,X
TOZSLIJ,O,O,O,O,X,O
TOZSLJI,O,O,O,O,X,X
TOZSJIL,O,O,O,O,X,X
TOZSJLI,O,O,O,O,X,X
ITLJSZO,O,X,O,O,X,X
ITLJSOZ,O,X,O,O,X,X
ITLJZSO,O,X,O,O,X,X
ITLJZOS,O,X,X,X,X,O
ITLJOSZ,O,X,X,X,X,X
ITLJOZS,O,X,X,X,X,O
ITLSJZO,O,O,O,O,X,X
ITLSJOZ,O,O,O,O,X,X
ITLSZJO,X,O,O,O,X,X
ITLSZOJ,X,O,O,O,X,O
ITLSOJZ,O,O,O,O,X,X
ITLSOZJ,O,O,O,O,X,O
ITLZJSO,O,X,O,O,X,X
ITLZJOS,O,X,X,X,X,O
ITLZSJO,X,O,O,O,X,X
ITLZSOJ,X,O,O,O,X,O
ITLZOJS,X,X,X,X,X,O
ITLZOSJ,X,X,O,O,X,O
ITLOJSZ,O,X,X,X,X,X
ITLOJZS,O,X,X,X,X,O
ITLOSJZ,O,X,O,O,X,X
ITLOSZJ,O,X,O,O,X,O
ITLOZJS,O,X,X,X,X,O
ITLOZSJ,O,X,O,O,X,O
ITJLSZO,O,O,O,X,O,X
ITJLSOZ,O,O,O,X,O,X
ITJLZSO,O,O,O,X,O,X
ITJLZOS,O,O,X,X,O,O
ITJLOSZ,O,O,X,X,O,X
ITJLOZS,O,O,X,X,O,O
ITJSLZO,O,O,O,O,O,X
ITJSLOZ,O,O,O,X,O,X
ITJSZLO,O,O,O,O,O,X
ITJSZOL,O,O,O,O,O,X
ITJSOLZ,O,O,O,X,O,X
ITJSOZL,O,O,O,O,O,X
ITJZLSO,O,O,O,X,O,X
ITJZLOS,O,O,X,X,O,O
ITJZSLO,O,O,O,O,O,X
ITJZSOL,O,O,O,O,O,X
ITJZOLS,O,O,X,X,O,O
ITJZOSL,O,O,X,X,O,X
ITJOLSZ,O,O,X,X,O,X
ITJOLZS,O,O,X,X,O,O
ITJOSLZ,O,O,X,X,O,X
ITJOSZL,O,O,X,X,O,X
ITJOZLS,O,O,X,X,O,O
ITJOZSL,O,O,X,X,O,X
ITSLJZO,O,O,O,O,X,X
ITSLJOZ,O,O,O,O,X,X
ITSLZJO,X,O,O,O,X,X
ITSLZOJ,X,O,O,O,X,O
ITSLOJZ,O,O,O,O,X,X
ITSLOZJ,O,O,O,O,X,O
ITSJLZO,O,O,O,O,X,X
ITSJLOZ,O,O,O,O,X,X
ITSJZLO,O,O,O,O,X,X
ITSJZOL,O,O,O,O,X,X
ITSJOLZ,O,O,O,X,X,X
ITSJOZL,O,O,O,O,X,X
ITSZLJO,X,O,O,O,X,X
ITSZLOJ,X,O,O,O,X,O
ITSZJLO,X,O,O,O,X,X
ITSZJOL,X,O,O,O,X,X
ITSZOLJ,O,O,O,X,X,O
ITSZOJL,O,O,O,O,X,X
ITSOLJZ,O,O,O,X,X,X
ITSOLZJ,O,O,O,X,X,O
ITSOJLZ,O,O,O,X,X,X
ITSOJZL,O,O,O,O,X,X
ITSOZLJ,O,O,O,X,X,O
ITSOZJL,O,O,O,O,X,X
ITZLJSO,O,X,O,O,X,X
ITZLJOS,O,X,X,X,X,O
ITZLSJO,X,O,O,O,X,X
ITZLSOJ,X,O,O,O,X,O
ITZLOJS,X,X,X,X,X,O
ITZLOSJ,X,X,O,O,X,O
ITZJLSO,O,O,O,X,O,X
ITZJLOS,O,O,X,X,O,O
ITZJSLO,O,O,O,O,O,X
ITZJSOL,O,O,O,O,O,X
ITZJOLS,O,O,X,X,O,O
ITZJOSL,O,O,X,X,O,X
ITZSLJO,X,O,O,O,X,X
ITZSLOJ,X,O,O,O,X,O
ITZSJLO,X,O,O,O,X,X
ITZSJOL,X,O,O,O,X,X
ITZSOLJ,O,O,O,X,X,O
ITZSOJL,O,O,O,O,X,X
ITZOLJS,O,X,X,X,X,O
ITZOLSJ,O,X,O,X,X,O
ITZOJLS,O,X,X,X,O,O
ITZOJSL,O,X,X,X,O,X
ITZOSLJ,O,O,O,X,X,O
ITZOSJL,O,O,O,O,X,X
ITOLJSZ,O,X,X,X,X,X
ITOLJZS,O,X,X,X,X,O
ITOLSJZ,O,X,O,X,X,X
ITOLSZJ,O,X,O,X,X,O
ITOLZJS,O,X,X,X,X,O
ITOLZSJ,O,X,O,X,X,O
ITOJLSZ,O,X,X,X,O,X
ITOJLZS,O,X,X,X,O,O
ITOJSLZ,O,X,X,X,O,X
ITOJSZL,O,X,X,X,O,X
ITOJZLS,O,X,X,X,O,O
ITOJZSL,O,X,X,X,O,X
ITOSLJZ,O,O,O,X,X,X
ITOSLZJ,O,O,O,X,X,O
ITOSJLZ,O,O,O,X,X,X
ITOSJZL,O,O,O,O,X,X
ITOSZLJ,O,O,O,X,X,O
ITOSZJL,O,O,O,O,X,X
ITOZLJS,O,X,X,X,X,O
ITOZLSJ,O,X,O,X,X,O
ITOZJLS,O,X,X,X,O,O
ITOZJSL,O,X,X,X,O,X
ITOZSLJ,O,O,O,X,X,O
ITOZSJL,O,O,O,O,X,X
ILTJSZO,O,X,O,O,X,X
ILTJSOZ,O,X,O,O,X,X
ILTJZSO,O,X,O,O,X,X
ILTJZOS,O,X,X,X,X,O
ILTJOSZ,O,X,X,X,X,X
ILTJOZS,O,X,X,X,X,O
ILTSJZO,O,O,O,O,X,X
ILTSJOZ,O,O,O,O,X,X
ILTSZJO,X,O,O,O,X,X
ILTSZOJ,X,O,O,O,X,O
ILTSOJZ,O,O,O,O,X,X
ILTSOZJ,O,O,O,O,X,O
ILTZJSO,O,X,O,O,X,X
ILTZJOS,O,X,X,X,X,O
ILTZSJO,X,O,O,O,X,X
ILTZSOJ,X,O,O,O,X,O
ILTZOJS,X,X,X,O,X,O
ILTZOSJ,X,X,O,O,X,O
ILTOJSZ,O,X,X,O,X,X
ILTOJZS,O,X,X,O,X,O
ILTOSJZ,O,X,O,O,X,X
ILTOSZJ,O,X,O,O,X,O
ILTOZJS,O,X,X,O,X,O
ILTOZSJ,O,X,O,O,X,O
ILJTSZO,O,O,X,O,O,X
ILJTSOZ,O,O,X,O,O,X
ILJTZSO,O,O,X,O,O,X
ILJTZOS,O,O,X,X,O,X
ILJTOSZ,O,O,X,X,O,X
ILJTOZS,O,O,X,X,O,X
ILJSTZO,O,O,X,O,O,X
ILJSTOZ,O,O,X,O,O,X
ILJSZTO,O,O,X,O,O,X
ILJSZOT,O,O,X,X,O,X
ILJSOTZ,O,O,X,X,O,X
ILJSOZT,O,O,X,X,O,X
ILJZTSO,O,O,X,O,O,X
ILJZTOS,O,O,X,X,O,X
ILJZSTO,O,O,X,O,O,X
ILJZSOT,O,O,X,X,O,X
ILJZOTS,O,O,X,O,O,X
ILJZOST,O,O,X,X,O,X
ILJOTSZ,O,O,X,O,O,X
ILJOTZS,O,O,X,O,O,X
ILJOSTZ,O,O,X,X,O,X
ILJOSZT,O,O,X,X,O,X
ILJOZTS,O,O,X,O,O,X
ILJOZST,O,O,X,X,O,X
ILSTJZO,O,O,O,O,X,X
ILSTJOZ,O,O,O,O,X,X
ILSTZJO,X,O,O,O,X,X
ILSTZOJ,X,O,O,O,X,X
ILSTOJZ,O,O,O,O,X,X
ILSTOZJ,O,O,O,O,X,X
ILSJTZO,O,O,O,O,X,X
ILSJTOZ,O,O,O,O,X,X
ILSJZTO,O,O,O,O,X,X
ILSJZOT,O,O,O,X,X,X
ILSJOTZ,O,O,O,X,X,X
ILSJOZT,O,O,O,X,X,X
ILSZTJO,X,O,O,O,X,X
ILSZTOJ,X,O,O,O,X,X
ILSZJTO,X,O,O,O,X,X
ILSZJOT,X,O,O,X,X,X
ILSZOTJ,X,O,O,O,X,X
ILSZOJT,X,O,O,X,X,X
ILSOTJZ,O,O,O,O,X,X
ILSOTZJ,O,O,O,O,X,X
ILSOJTZ,O,O,O,X,X,X
ILSOJZT,O,O,O,X,X,X
ILSOZTJ,O,O,O,O,X,X
ILSOZJT,O,O,O,X,X,X
ILZTJSO,O,X,O,O,X,X
ILZTJOS,O,X,X,X,X,O
ILZTSJO,X,O,O,O,X,X
ILZTSOJ,X,O,O,O,X,O
ILZTOJS,X,X,X,O,X,O
ILZTOSJ,X,X,O,O,X,O
ILZJTSO,O,O,X,O,O,X
ILZJTOS,O,O,X,X,O,X
ILZJSTO,O,O,X,O,O,X
ILZJSOT,O,O,X,X,O,X
ILZJOTS,O,O,X,O,O,X
ILZJOST,O,O,X,X,O,X
ILZSTJO,X,O,O,O,X,X
ILZSTOJ,X,O,O,O,X,X
ILZSJTO,X,O,O,O,X,X
ILZSJOT,X,O,O,X,X,X
ILZSOTJ,X,O,O,O,X,X
ILZSOJT,X,O,O,X,X,X
ILZOTJS,X,X,X,O,X,O
ILZOTSJ,X,X,X,O,X,O
ILZOJTS,X,X,X,O,O,X
ILZOJST,X,X,X,X,O,X
ILZOSTJ,X,X,X,O,X,X
ILZOSJT,X,X,X,X,X,X
ILOTJSZ,O,X,X,O,X,X
ILOTJZS,O,X,X,O,X,O
ILOTSJZ,O,X,X,O,X,X
ILOTSZJ,O,X,X,O,X,O
ILOTZJS,O,X,X,O,X,O
ILOTZSJ,O,X,X,O,X,O
ILOJTSZ,O,X,X,O,O,X
ILOJTZS,O,X,X,O,O,X
ILOJSTZ,O,X,X,X,O,X
ILOJSZT,O,X,X,X,O,X
ILOJZTS,O,X,X,O,O,X
ILOJZST,O,X,X,X,O,X
ILOSTJZ,O,X,X,O,X,X
ILOSTZJ,O,X,X,O,X,X
ILOSJTZ,O,X,X,X,X,X
ILOSJZT,O,X,X,X,X,X
ILOSZTJ,O,X,X,O,X,X
ILOSZJT,O,X,X,X,X,X
ILOZTJS,O,X,X,O,X,O
ILOZTSJ,O,X,X,O,X,O
ILOZJTS,O,X,X,O,O,X
ILOZJST,O,X,X,X,O,X
ILOZSTJ,O,X,X,O,X,X
ILOZSJT,O,X,X,X,X,X
IJTLSZO,O,O,O,X,O,X
IJTLSOZ,O,O,O,X,O,X
IJTLZSO,O,O,O,X,O,X
IJTLZOS,O,O,X,X,O,O
IJTLOSZ,O,O,X,X,O,X
IJTLOZS,O,O,X,X,O,O
IJTSLZO,O,O,O,X,O,X
IJTSLOZ,O,O,O,X,O,X
IJTSZLO,O,O,O,X,O,X
IJTSZOL,O,O,O,X,O,X
IJTSOLZ,O,O,O,X,O,X
IJTSOZL,O,O,O,X,O,X
IJTZLSO,O,O,O,X,O,X
IJTZLOS,O,O,X,X,O,O
IJTZSLO,O,O,O,X,O,X
IJTZSOL,O,O,O,X,O,X
IJTZOLS,O,O,X,X,O,O
IJTZOSL,O,O,X,X,O,X
IJTOLSZ,O,O,X,X,O,X
IJTOLZS,O,O,X,X,O,O
IJTOSLZ,O,O,X,X,O,X
IJTOSZL,O,O,X,X,O,X
IJTOZLS,O,O,X,X,O,O
IJTOZSL,O,O,X,X,O,X
IJLTSZO,O,O,X,X,O,X
IJLTSOZ,O,O,X,X,O,X
IJLTZSO,O,O,X,X,O,X
IJLTZOS,O,O,X,X,O,X
IJLTOSZ,O,O,X,X,O,X
IJLTOZS,O,O,X,X,O,X
IJLSTZO,O,O,X,X,O,X
IJLSTOZ,O,O,X,X,O,X
IJLSZTO,O,O,X,X,O,X
IJLSZOT,O,O,X,X,O,X
IJLSOTZ,O,O,X,X,O,X
IJLSOZT,O,O,X,X,O,X
IJLZTSO,O,O,X,X,O,X
IJLZTOS,O,O,X,X,O,X
IJLZSTO,O,O,X,X,O,X
IJLZSOT,O,O,X,X,O,X
IJLZOTS,O,O,X,X,O,X
IJLZOST,O,O,X,X,O,X
IJLOTSZ,O,O,X,X,O,X
IJLOTZS,O,O,X,X,O,X
IJLOSTZ,O,O,X,X,O,X
IJLOSZT,O,O,X,X,O,X
IJLOZTS,O,O,X,X,O,X
IJLOZST,O,O,X,X,O,X
IJSTLZO,O,O,O,X,O,X
IJSTLOZ,O,O,O,X,O,X
IJSTZLO,O,O,O,X,O,X
IJSTZOL,O,O,O,X,O,X
IJSTOLZ,O,O,O,X,O,X
IJSTOZL,O,O,O,X,O,X
IJSLTZO,O,O,O,X,O,X
IJSLTOZ,O,O,O,X,O,X
IJSLZTO,O,O,O,X,O,X
IJSLZOT,O,O,O,X,O,X
IJSLOTZ,O,O,O,X,O,X
IJSLOZT,O,O,O,X,O,X
IJSZTLO,O,O,O,X,O,X
IJSZTOL,O,O,O,X,O,X
IJSZLTO,O,O,O,X,O,X
IJSZLOT,O,O,O,X,O,X
IJSZOTL,O,O,O,X,O,X
IJSZOLT,O,O,O,X,O,X
IJSOTLZ,O,O,O,X,O,X
IJSOTZL,O,O,O,X,O,X
IJSOLTZ,O,O,O,X,O,X
IJSOLZT,O,O,O,X,O,X
IJSOZTL,O,O,O,X,O,X
IJSOZLT,O,O,O,X,O,X
IJZTLSO,O,O,O,X,O,X
IJZTLOS,O,O,X,X,O,O
IJZTSLO,O,O,O,X,O,X
IJZTSOL,O,O,O,X,O,X
IJZTOLS,O,O,X,X,O,O
IJZTOSL,O,O,X,X,O,X
IJZLTSO,O,O,X,X,O,X
IJZLTOS,O,O,X,X,O,X
IJZLSTO,O,O,X,X,O,X
IJZLSOT,O,O,X,X,O,X
IJZLOTS,O,O,X,X,O,X
IJZLOST,O,O,X,X,O,X
IJZSTLO,O,O,O,X,O,X
IJZSTOL,O,O,O,X,O,X
IJZSLTO,O,O,O,X,O,X
IJZSLOT,O,O,O,X,O,X
IJZSOTL,O,O,O,X,O,X
IJZSOLT,O,O,O,X,O,X
IJZOTLS,O,O,X,X,O,O
IJZOTSL,O,O,X,X,O,X
IJZOLTS,O,O,X,X,O,X
IJZOLST,O,O,X,X,O,X
IJZOSTL,O,O,X,X,O,X
IJZOSLT,O,O,X,X,O,X
IJOTLSZ,O,O,X,X,O,X
IJOTLZS,O,O,X,X,O,O
IJOTSLZ,O,O,X,X,O,X
IJOTSZL,O,O,X,X,O,X
IJOTZLS,O,O,X,X,O,O
IJOTZSL,O,O,X,X,O,X
IJOLTSZ,O,O,X,X,O,X
IJOLTZS,O,O,X,X,O,X
IJOLSTZ,O,O,X,X,O,X
IJOLSZT,O,O,X,X,O,X
IJOLZTS,O,O,X,X,O,X
IJOLZST,O,O,X,X,O,X
IJOSTLZ,O,O,X,X,O,X
IJOSTZL,O,O,X,X,O,X
IJOSLTZ,O,O,X,X,O,X
IJOSLZT,O,O,X,X,O,X
IJOSZTL,O,O,X,X,O,X
IJOSZLT,O,O,X,X,O,X
IJOZTLS,O,O,X,X,O,O
IJOZTSL,O,O,X,X,O,X
IJOZLTS,O,O,X,X,O,X
IJOZLST,O,O,X,X,O,X
IJOZSTL,O,O,X,X,O,X
IJOZSLT,O,O,X,X,O,X
ISTLJZO,O,O,O,O,X,X
ISTLJOZ,O,O,O,O,X,X
ISTLZJO,X,O,O,O,X,X
ISTLZOJ,X,O,O,O,X,O
ISTLOJZ,O,O,O,O,X,X
ISTLOZJ,O,O,O,O,X,O
ISTJLZO,O,O,O,O,X,X
ISTJLOZ,O,O,O,O,X,X
ISTJZLO,O,O,O,O,X,X
ISTJZOL,O,O,O,O,X,X
ISTJOLZ,O,O,O,X,X,X
ISTJOZL,O,O,O,O,X,X
ISTZLJO,X,O,O,O,X,X
ISTZLOJ,X,O,O,O,X,O
ISTZJLO,X,O,O,O,X,X
ISTZJOL,X,O,O,O,X,X
ISTZOLJ,O,O,O,X,X,O
ISTZOJL,O,O,O,O,X,X
ISTOLJZ,O,O,O,X,X,X
ISTOLZJ,O,O,O,X,X,O
ISTOJLZ,O,O,O,X,X,X
ISTOJZL,O,O,O,O,X,X
ISTOZLJ,O,O,O,X,X,O
ISTOZJL,O,O,O,O,X,X
ISLTJZO,O,O,O,O,X,X
ISLTJOZ,O,O,O,O,X,X
ISLTZJO,X,O,O,O,X,X
ISLTZOJ,X,O,O,O,X,X
ISLTOJZ,O,O,O,O,X,X
ISLTOZJ,O,O,O,O,X,X
ISLJTZO,O,O,O,O,X,X
ISLJTOZ,O,O,O,O,X,X
ISLJZTO,O,O,O,O,X,X
ISLJZOT,O,O,O,X,X,X
ISLJOTZ,O,O,O,X,X,X
ISLJOZT,O,O,O,X,X,X
ISLZTJO,X,O,O,O,X,X
ISLZTOJ,X,O,O,O,X,X
ISLZJTO,X,O,O,O,X,X
ISLZJOT,X,O,O,X,X,X
ISLZOTJ,X,O,O,O,X,X
ISLZOJT,X,O,O,X,X,X
ISLOTJZ,O,O,O,O,X,X
ISLOTZJ,O,O,O,O,X,X
ISLOJTZ,O,O,O,X,X,X
ISLOJZT,O,O,O,X,X,X
ISLOZTJ,O,O,O,O,X,X
ISLOZJT,O,O,O,X,X,X
ISJTLZO,O,O,O,O,O,X
ISJTLOZ,O,O,O,O,O,X
ISJTZLO,O,O,O,O,O,X
ISJTZOL,O,O,O,O,O,X
ISJTOLZ,O,O,O,X,O,X
ISJTOZL,O,O,O,O,O,X
ISJLTZO,O,O,O,O,O,X
ISJLTOZ,O,O,O,O,O,X
ISJLZTO,O,O,O,O,O,X
ISJLZOT,O,O,O,X,O,X
ISJLOTZ,O,O,O,X,O,X
ISJLOZT,O,O,O,X,O,X
ISJZTLO,O,O,O,O,O,X
ISJZTOL,O,O,O,O,O,X
ISJZLTO,O,O,O,O,O,X
ISJZLOT,O,O,O,X,O,X
ISJZOTL,O,O,O,X,O,X
ISJZOLT,O,O,O,X,O,X
ISJOTLZ,O,O,O,X,O,X
ISJOTZL,O,O,O,X,O,X
ISJOLTZ,O,O,O,X,O,X
ISJOLZT,O,O,O,X,O,X
ISJOZTL,O,O,O,X,O,X
ISJOZLT,O,O,O,X,O,X
ISZTLJO,X,O,O,O,X,X
ISZTLOJ,X,O,O,O,X,O
ISZTJLO,X,O,O,O,X,X
ISZTJOL,X,O,O,O,X,X
ISZTOLJ,O,O,O,X,X,O
ISZTOJL,O,O,O,O,X,X
ISZLTJO,X,O,O,O,X,X
ISZLTOJ,X,O,O,O,X,X
ISZLJTO,X,O,O,O,X,X
ISZLJOT,X,O,O,X,X,X
ISZLOTJ,X,O,O,O,X,X
ISZLOJT,X,O,O,X,X,X
ISZJTLO,X,O,O,O,O,X
ISZJTOL,X,O,O,O,O,X
ISZJLTO,X,O,O,O,O,X
ISZJLOT,X,O,O,X,O,X
ISZJOTL,X,O,O,X,O,X
ISZJOLT,X,O,O,X,O,X
ISZOTLJ,O,O,O,O,X,O
ISZOTJL,O,O,O,O,X,X
ISZOLTJ,O,O,O,O,X,X
ISZOLJT,O,O,O,X,X,X
ISZOJTL,O,O,O,O,O,X
ISZOJLT,O,O,O,X,O,X
ISOTLJZ,O,O,O,O,X,X
ISOTLZJ,O,O,O,O,X,O
ISOTJLZ,O,O,O,O,X,X
ISOTJZL,O,O,O,O,X,X
ISOTZLJ,O,O,O,O,X,O
ISOTZJL,O,O,O,O,X,X
ISOLTJZ,O,O,O,O,X,X
ISOLTZJ,O,O,O,O,X,X
ISOLJTZ,O,O,O,X,X,X
ISOLJZT,O,O,O,X,X,X
ISOLZTJ,O,O,O,O,X,X
ISOLZJT,O,O,O,X,X,X
ISOJTLZ,O,O,O,O,O,X
ISOJTZL,O,O,O,O,O,X
ISOJLTZ,O,O,O,X,O,X
ISOJLZT,O,O,O,X,O,X
ISOJZTL,O,O,O,O,O,X
ISOJZLT,O,O,O,X,O,X
ISOZTLJ,O,O,O,O,X,O
ISOZTJL,O,O,O,O,X,X
ISOZLTJ,O,O,O,O,X,X
ISOZLJT,O,O,O,X,X,X
ISOZJTL,O,O,O,O,O,X
ISOZJLT,O,O,O,X,O,X
IZTLJSO,O,X,O,O,X,X
IZTLJOS,O,X,X,X,X,O
IZTLSJO,X,O,O,O,X,X
IZTLSOJ,X,O,O,O,X,O
IZTLOJS,X,X,X,X,X,O
IZTLOSJ,X,X,O,O,X,O
IZTJLSO,O,O,O,X,O,X
IZTJLOS,O,O,X,X,O,O
IZTJSLO,O,O,O,O,O,X
IZTJSOL,O,O,O,O,O,X
IZTJOLS,O,O,X,X,O,O
IZTJOSL,O,O,X,X,O,X
IZTSLJO,X,O,O,O,X,X
IZTSLOJ,X,O,O,O,X,O
IZTSJLO,X,O,O,O,X,X
IZTSJOL,X,O,O,O,X,X
IZTSOLJ,O,O,O,X,X,O
IZTSOJL,O,O,O,O,X,X
IZTOLJS,O,X,X,X,X,O
IZTOLSJ,O,X,O,O,X,O
IZTOJLS,O,X,X,X,O,O
IZTOJSL,O,X,X,O,O,X
IZTOSLJ,O,O,O,O,X,O
IZTOSJL,O,O,O,O,X,X
IZLTJSO,O,X,O,O,X,X
IZLTJOS,O,X,X,X,X,O
IZLTSJO,X,O,O,O,X,X
IZLTSOJ,X,O,O,O,X,O
IZLTOJS,X,X,X,O,X,O
IZLTOSJ,X,X,O,O,X,O
IZLJTSO,O,O,X,O,O,X
IZLJTOS,O,O,X,X,O,X
IZLJSTO,O,O,X,O,O,X
IZLJSOT,O,O,X,X,O,X
IZLJOTS,O,O,X,O,O,X
IZLJOST,O,O,X,X,O,X
IZLSTJO,X,O,O,O,X,X
IZLSTOJ,X,O,O,O,X,X
IZLSJTO,X,O,O,O,X,X
IZLSJOT,X,O,O,X,X,X
IZLSOTJ,X,O,O,O,X,X
IZLSOJT,X,O,O,X,X,X
IZLOTJS,X,X,X,O,X,O
IZLOTSJ,X,X,X,O,X,O
IZLOJTS,X,X,X,O,O,X
IZLOJST,X,X,X,X,O,X
IZLOSTJ,X,X,X,O,X,X
IZLOSJT,X,X,X,X,X,X
IZJTLSO,O,O,O,X,O,X
IZJTLOS,O,O,X,X,O,O
IZJTSLO,O,O,O,O,O,X
IZJTSOL,O,O,O,O,O,X
IZJTOLS,O,O,X,X,O,O
IZJTOSL,O,O,X,X,O,X
IZJLTSO,O,O,X,X,O,X
IZJLTOS,O,O,X,X,O,X
IZJLSTO,O,O,X,X,O,X
IZJLSOT,O,O,X,X,O,X
IZJLOTS,O,O,X,X,O,X
IZJLOST,O,O,X,X,O,X
IZJSTLO,O,O,O,O,O,X
IZJSTOL,O,O,O,O,O,X
IZJSLTO,O,O,O,X,O,X
IZJSLOT,O,O,O,X,O,X
IZJSOTL,O,O,O,X,O,X
IZJSOLT,O,O,O,X,O,X
IZJOTLS,O,O,X,X,O,O
IZJOTSL,O,O,X,O,O,X
IZJOLTS,O,O,X,X,O,X
IZJOLST,O,O,X,X,O,X
IZJOSTL,O,O,X,X,O,X
IZJOSLT,O,O,X,X,O,X
IZSTLJO,X,O,O,O,X,X
IZSTLOJ,X,O,O,O,X,O
IZSTJLO,X,O,O,O,X,X
IZSTJOL,X,O,O,O,X,X
IZSTOLJ,O,O,O,X,X,O
IZSTOJL,O,O,O,O,X,X
IZSLTJO,X,O,O,O,X,X
IZSLTOJ,X,O,O,O,X,X
IZSLJTO,X,O,O,O,X,X
IZSLJOT,X,O,O,X,X,X
IZSLOTJ,X,O,O,O,X,X
IZSLOJT,X,O,O,X,X,X
IZSJTLO,X,O,O,O,O,X
IZSJTOL,X,O,O,O,O,X
IZSJLTO,X,O,O,O,O,X
IZSJLOT,X,O,O,X,O,X
IZSJOTL,X,O,O,X,O,X
