sequence,v115@QhB8BeA8DeG8CeB8Jei/IvhFRhBFjBzkBUmBXsBGsB,v115@QhB8BeA8DeG8CeB8Jem/IvhFChBxiB0kBTmBXsBlsB,v115@QhB8BeA8DeG8CeB8Je/EJvhFalBzgBUiBFjBxrBWxB,v115@QhB8BeA8DeG8CeB8JeT/IvhFelBfmBxiBlnBUsB6rB,v115@QhB8BeA8DeG8CeB8Jei/IvhFWmBFjBzkBxrB/sB0rB,v115@QhB8BeA8DeG8CeB8JeT/IvhFelBXjBRmBUmBFnBSxB,v115@QhB8BeA8DeG8CeB8JeyEJvhFXjBRmB0kBFmBTnBWxB,v115@QhB8BeA8DeG8CeB8JeT/IvhFxgBFjBXlBimB+sB8rB,v115@QhB8BeA8DeG8CeB8Je3BJvhFxkBlnB0kBmlBzrBCtB
TILJSZO,X,X,X,X,X,X,O,X,X
TILJSOZ,X,X,X,X,X,O,O,X,X
TILJZSO,X,X,X,O,X,X,X,X,X
TILJZOS,X,X,X,O,X,X,X,X,X
TILJOSZ,X,X,X,X,O,O,X,X,X
TILJOZS,X,X,X,O,O,X,X,X,X
TILSJZO,X,X,O,X,X,X,O,X,X
TILSJOZ,X,X,O,X,X,O,O,X,X
TILSZJO,O,X,O,X,X,X,O,X,X
TILSZOJ,O,X,O,X,X,X,O,X,X
TILSOJZ,X,X,O,X,X,O,O,X,X
TILSOZJ,X,X,O,X,X,X,O,X,X
TILZJSO,O,O,X,O,X,X,X,X,X
TILZJOS,O,O,X,O,X,X,X,X,X
TILZSJO,O,X,O,O,X,X,X,X,X
TILZSOJ,O,X,O,X,X,X,X,X,X
TILZOJS,O,X,X,O,X,X,X,X,X
TILZOSJ,O,X,O,X,X,X,X,X,X
TILOJSZ,X,X,X,X,O,O,X,X,X
TILOJZS,X,X,X,O,O,X,X,X,X
TILOSJZ,X,X,O,X,O,O,X,X,X
TILOSZJ,X,X,O,X,O,X,X,X,X
TILOZJS,X,X,X,O,O,X,X,X,X
TILOZSJ,X,X,O,X,O,X,X,X,X
TIJLSZO,X,X,X,X,X,X,O,X,X
TIJLSOZ,X,X,X,X,X,O,O,O,X
TIJLZSO,X,X,X,O,X,X,X,X,X
TIJLZOS,X,X,X,O,X,X,X,X,X
TIJLOSZ,X,X,X,X,O,O,X,X,X
TIJLOZS,X,X,X,O,O,X,X,X,X
TIJSLZO,X,X,O,X,X,X,O,X,X
TIJSLOZ,X,X,O,X,X,X,O,O,X
TIJSZLO,X,X,O,O,X,X,X,X,X
TIJSZOL,X,X,O,O,X,X,X,X,X
TIJSOLZ,X,X,O,X,O,O,X,O,X
TIJSOZL,X,X,O,O,O,O,X,X,X
TIJZLSO,X,X,X,O,X,X,X,X,X
TIJZLOS,X,X,X,O,X,X,X,X,X
TIJZSLO,X,X,O,O,X,X,X,X,X
TIJZSOL,X,X,O,O,X,X,X,X,X
TIJZOLS,X,X,X,O,O,X,X,X,X
TIJZOSL,X,X,O,O,O,X,X,X,X
TIJOLSZ,X,X,X,X,O,O,X,X,X
TIJOLZS,X,X,X,O,O,X,X,X,X
TIJOSLZ,X,X,O,X,O,O,X,X,X
TIJOSZL,X,X,O,O,O,O,X,X,X
TIJOZLS,X,X,X,O,O,X,X,X,X
TIJOZSL,X,X,O,O,O,X,X,X,X
TISLJZO,X,X,O,X,X,X,O,X,X
TISLJOZ,X,X,O,X,X,X,O,X,X
TISLZJO,O,O,O,X,X,X,O,X,X
TISLZOJ,O,X,O,X,X,X,O,X,X
TISLOJZ,X,X,O,X,X,X,O,X,X
TISLOZJ,X,X,O,X,X,X,O,X,X
TISJLZO,X,X,O,X,X,X,X,X,X
TISJLOZ,X,X,O,X,X,X,X,O,X
TISJZLO,X,X,O,O,X,X,X,X,X
TISJZOL,X,X,O,O,X,X,X,X,X
TISJOLZ,X,X,O,X,O,O,X,O,X
TISJOZL,X,X,O,O,O,O,X,X,X
TISZLJO,O,O,O,O,X,X,X,X,X
TISZLOJ,O,X,O,X,X,X,X,X,X
TISZJLO,O,O,O,O,X,X,X,X,X
TISZJOL,O,O,O,O,X,X,X,X,X
TISZOLJ,O,O,O,X,X,X,X,X,X
TISZOJL,O,O,O,O,X,X,X,X,X
TISOLJZ,X,X,O,X,O,X,X,X,X
TISOLZJ,O,O,O,X,O,X,X,X,X
TISOJLZ,X,X,O,X,O,O,X,O,X
TISOJZL,X,X,O,O,O,O,X,X,X
TISOZLJ,O,O,O,X,O,X,X,X,X
TISOZJL,O,O,O,O,O,X,X,X,X
TIZLJSO,O,O,X,O,X,X,X,X,X
TIZLJOS,O,O,X,O,X,X,X,X,X
TIZLSJO,O,X,O,O,X,X,X,X,X
TIZLSOJ,O,X,O,X,X,X,X,X,X
TIZLOJS,O,X,X,O,X,X,X,X,X
TIZLOSJ,O,X,O,X,X,X,X,X,X
TIZJLSO,O,O,X,O,X,X,X,X,X
TIZJLOS,O,O,X,O,X,X,X,X,X
TIZJSLO,X,O,O,O,X,X,X,X,X
TIZJSOL,X,O,O,O,X,X,X,X,X
TIZJOLS,O,O,X,O,O,X,X,X,X
TIZJOSL,X,X,O,O,O,X,X,X,X
TIZSLJO,O,O,O,O,X,X,X,X,X
TIZSLOJ,O,X,O,X,X,X,X,X,X
TIZSJLO,O,O,O,O,X,X,X,X,X
TIZSJOL,O,O,O,O,X,X,X,X,X
TIZSOLJ,O,O,O,X,X,X,X,X,X
TIZSOJL,O,O,O,O,X,X,X,X,X
TIZOLJS,O,O,X,O,O,X,X,X,X
TIZOLSJ,O,X,O,X,O,X,X,X,X
TIZOJLS,O,O,X,O,O,X,X,X,X
TIZOJSL,X,X,O,O,O,X,X,X,X
TIZOSLJ,O,X,O,X,O,X,X,X,X
TIZOSJL,O,X,O,O,O,X,X,X,X
TIOLJSZ,X,X,X,X,O,O,X,X,X
TIOLJZS,X,X,X,O,O,X,X,X,X
TIOLSJZ,X,X,O,X,O,O,X,X,O
TIOLSZJ,O,X,O,X,O,X,X,X,O
TIOLZJS,O,O,X,O,O,X,X,X,X
