sequence,v115@+gA8IeA8IeB8EeA8BeC8BeD8JeZEJvhFmgBzhBtnB6?oB0lB3rB,v115@+gA8IeA8IeB8EeA8BeC8BeD8JeZEJvhFTgBihB3iB9?oBWsBUrB,v115@+gA8IeA8IeB8EeA8BeC8BeD8JeZEJvhF/lBUhBanBu?nB9oBTrB,v115@+gA8IeA8IeB8EeA8BeC8BeD8JeZEJvhFTgB/mBanBu?nB9oBUrB,v115@+gA8IeA8IeB8EeA8BeC8BeD8JeZEJvhF/lBzhBtnB6?oB2rBUrB,v115@+gA8IeA8IeB8EeA8BeC8BeD8JeZEJvhFigBUiB9oBz?lB+rB3sB
TILJSZO,O,O,O,X,O,X
TILJSOZ,O,O,O,X,O,X
TILJZSO,O,O,O,O,O,X
TILJZOS,O,O,O,O,O,O
TILJOSZ,X,O,O,X,O,O
TILJOZS,X,O,O,O,O,O
TILSJZO,O,O,O,X,O,X
TILSJOZ,O,O,O,X,O,X
TILSZJO,O,O,O,X,O,X
TILSZOJ,O,O,O,X,X,X
TILSOJZ,O,O,O,X,O,O
TILSOZJ,O,O,O,X,X,X
TILZJSO,O,O,O,O,O,X
TILZJOS,O,O,O,O,O,X
TILZSJO,O,O,O,O,O,X
TILZSOJ,O,O,O,O,X,X
TILZOJS,O,O,O,O,X,O
TILZOSJ,O,O,O,O,X,X
TILOJSZ,X,O,O,X,O,O
TILOJZS,X,O,O,O,O,O
TILOSJZ,O,O,O,X,O,O
TILOSZJ,O,O,O,X,X,X
TILOZJS,O,O,O,O,X,O
TILOZSJ,O,O,O,O,X,X
TIJLSZO,O,O,O,X,O,X
TIJLSOZ,O,O,O,X,O,X
TIJLZSO,O,O,O,O,O,X
TIJLZOS,O,O,O,O,O,O
TIJLOSZ,X,O,O,X,O,O
TIJLOZS,X,O,O,O,O,O
TIJSLZO,O,O,O,X,O,X
TIJSLOZ,O,O,O,X,O,X
TIJSZLO,O,O,O,O,O,X
TIJSZOL,O,O,O,O,O,O
TIJSOLZ,O,O,O,X,O,O
TIJSOZL,O,O,O,O,O,O
TIJZLSO,O,O,O,O,O,X
TIJZLOS,O,O,O,O,O,O
TIJZSLO,O,O,O,O,O,X
TIJZSOL,O,O,O,O,O,O
TIJZOLS,O,O,O,O,O,O
TIJZOSL,O,O,O,O,O,O
TIJOLSZ,X,O,O,X,O,O
TIJOLZS,X,O,O,O,O,O
TIJOSLZ,X,O,O,X,O,O
TIJOSZL,X,O,O,O,O,O
TIJOZLS,X,O,O,O,O,O
TIJOZSL,X,O,O,O,O,O
TISLJZO,O,O,O,X,O,X
TISLJOZ,O,O,O,X,O,X
TISLZJO,O,O,O,X,O,X
TISLZOJ,O,O,O,X,X,X
TISLOJZ,O,O,O,X,O,O
TISLOZJ,O,O,O,X,X,X
TISJLZO,O,O,O,X,O,X
TISJLOZ,O,O,O,X,O,X
TISJZLO,O,O,O,O,O,X
TISJZOL,O,O,O,O,O,O
TISJOLZ,O,O,O,X,O,O
