sequence,v115@FhB8GeC8HeE8EeB8Jem/IvhFUhBTkB1qB/sBCnBRwB,v115@FhB8GeC8HeE8EeB8JeOEJvhFCiBzkBUmB/sBllBRwB,v115@FhB8GeC8HeE8EeB8Jei/IvhFzgBFiB3kB0qBxrBWxB,v115@FhB8GeC8HeE8EeB8Je0/IvhF6lBxhB2pBXrBTsBlrB,v115@FhB8GeC8HeE8EeB8JeKEJvhFXiBRlBUlBGmBVwBTsB,v115@FhB8GeC8HeE8EeB8JeT/IvhFlgBXiBypB8qBWsBxwB,v115@FhB8GeC8HeE8EeB8JeKEJvhFRgBFiBUlBXrBTsBGrB,v115@FhB8GeC8HeE8EeB8Je1FJvhFxhB0kB3mBikBWwBTsB,v115@FhB8GeC8HeE8EeB8JeOEJvhF8kBRmB3lBCnBVwBTsB,v115@FhB8GeC8HeE8EeB8JeKEJvhFzfBxhBUnBlqBWxBfrB,v115@FhB8GeC8HeE8EeB8JexBJvhF0kBllB3mBikBTsBWwB,v115@FhB8GeC8HeE8EeB8JeCCJvhFmkBUmB/sBTkBllBRwB,v115@FhB8GeC8HeE8EeB8JeKEJvhFzfBRmB3lBGnBVwBUsB,v115@FhB8GeC8HeE8EeB8JeyEJvhFRmBTkBFmB0qBGsBXsB,v115@FhB8GeC8HeE8EeB8JemEJvhFRmBTkBllBUnBXrBSxB,v115@FhB8GeC8HeE8EeB8JeT/IvhFimBxpBGsB/qBUrBFsB,v115@FhB8GeC8HeE8EeB8Je3AJvhF1mB0kBikBWwBxrBTsB
TILJSZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJSOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TILSJZO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TILSOZJ,O,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X
TILZJSO,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X,X
TILZSJO,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X
TILZOJS,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TILZOSJ,O,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILOJZS,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X
