sequence,v115@NhA8CeA8DeB8BeC8CeE8Jei/IvhFRhBunBcoBzkB3q?BFrB,v115@NhA8CeA8DeB8BeC8CeE8Jex/IvhFlhBqnBTjB0kB3q?BmqB,v115@NhA8CeA8DeB8BeC8CeE8JeT/IvhF0gBlhBCjBXoBRq?B2vB,v115@NhA8CeA8DeB8BeC8CeE8Je2EJvhFlhBqnBTjBRqBfr?BUqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFUgBRhBOrBFoBCo?BTqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFRhBGjBFmBznB0q?BaqB
TLJISZO,X,X,X,O,O,X
TLJISOZ,X,X,X,O,X,X
TLJIZSO,X,X,X,O,X,X
TLJIZOS,X,X,X,O,X,X
TLJIOSZ,X,X,X,O,O,X
TLJIOZS,X,X,X,O,X,X
TLJSIZO,X,X,X,O,O,X
TLJSIOZ,X,X,X,O,X,X
TLJSZIO,X,O,X,X,O,X
TLJSZOI,X,O,X,X,O,X
TLJSOIZ,X,X,X,O,O,X
TLJSOZI,X,O,X,X,O,X
TLJZISO,X,X,X,O,X,X
TLJZIOS,X,O,X,O,X,X
TLJZSIO,X,O,X,X,X,X
TLJZSOI,X,O,X,X,X,X
TLJZOIS,X,O,X,O,X,X
TLJZOSI,X,O,X,X,X,X
TLJOISZ,X,X,X,O,O,X
TLJOIZS,X,X,X,O,X,X
TLJOSIZ,X,X,X,O,O,X
TLJOSZI,X,O,X,X,O,X
TLJOZIS,X,O,X,O,X,X
TLJOZSI,X,O,X,X,X,X
TLSIJZO,X,X,O,O,O,X
TLSIJOZ,X,X,O,O,X,X
TLSIZJO,O,O,O,O,X,X
TLSIZOJ,X,O,O,O,X,X
TLSIOJZ,X,X,O,O,X,X
TLSIOZJ,X,O,O,O,X,X
TLSJIZO,X,X,O,O,O,X
TLSJIOZ,X,X,O,O,X,X
TLSJZIO,X,O,X,X,O,X
TLSJZOI,X,O,X,X,O,X
TLSJOIZ,X,X,O,O,O,X
TLSJOZI,X,O,X,X,O,X
TLSZIJO,O,O,O,X,X,X
TLSZIOJ,X,O,O,X,X,X
TLSZJIO,O,O,X,X,O,X
TLSZJOI,X,O,X,X,O,X
TLSZOIJ,X,O,O,X,X,X
TLSZOJI,X,O,X,X,X,X
TLSOIJZ,X,X,O,O,X,X
TLSOIZJ,X,O,O,O,X,X
TLSOJIZ,X,X,O,O,O,X
TLSOJZI,X,O,X,X,O,X
TLSOZIJ,X,O,O,X,X,X
TLSOZJI,X,O,X,X,O,X
TLZIJSO,O,X,X,O,X,X
TLZIJOS,O,O,X,O,X,X
TLZISJO,X,O,X,O,X,X
TLZISOJ,X,O,X,O,X,O
TLZIOJS,X,O,X,O,X,O
TLZIOSJ,X,O,X,O,X,O
TLZJISO,O,X,X,O,X,X
TLZJIOS,O,O,X,O,X,X
TLZJSIO,O,O,X,X,X,X
TLZJSOI,X,O,X,X,X,X
TLZJOIS,O,O,X,O,X,X
TLZJOSI,O,O,X,X,X,X
TLZSIJO,O,O,X,X,X,X
TLZSIOJ,X,O,X,X,X,O
TLZSJIO,O,O,X,X,X,X
TLZSJOI,X,O,X,X,X,X
TLZSOIJ,X,O,X,X,X,O
TLZSOJI,X,O,X,X,X,O
TLZOIJS,O,O,X,O,X,O
TLZOISJ,X,O,X,O,X,O
TLZOJIS,O,O,X,O,X,O
TLZOJSI,O,O,X,X,X,O
TLZOSIJ,O,O,X,X,X,O
TLZOSJI,O,O,X,X,X,O
TLOIJSZ,X,X,X,O,X,X
TLOIJZS,X,X,X,O,X,O
TLOISJZ,X,X,O,O,X,X
TLOISZJ,X,O,O,O,X,X
TLOIZJS,O,O,X,O,X,O
TLOIZSJ,X,O,O,O,X,O
TLOJISZ,X,X,X,O,O,X
TLOJIZS,X,X,X,O,X,O
TLOJSIZ,X,X,X,O,O,X
TLOJSZI,X,O,X,X,O,X
TLOJZIS,X,O,X,O,X,O
TLOJZSI,X,O,X,X,X,O
TLOSIJZ,X,X,O,O,X,X
TLOSIZJ,O,O,O,O,X,X
TLOSJIZ,X,X,O,O,O,X
TLOSJZI,X,O,X,X,O,X
TLOSZIJ,O,O,O,X,X,X
TLOSZJI,O,O,X,X,O,X
TLOZIJS,O,O,X,O,X,O
TLOZISJ,X,O,X,O,X,O
TLOZJIS,O,O,X,O,X,O
TLOZJSI,O,O,X,X,X,O
TLOZSIJ,O,O,X,X,X,O
TLOZSJI,O,O,X,X,X,O
TJILSZO,X,X,X,O,O,X
TJILSOZ,X,X,X,O,X,X
TJILZSO,X,X,X,O,X,X
TJILZOS,X,X,X,O,X,X
TJILOSZ,X,X,X,O,O,X
TJILOZS,X,X,X,O,X,X
TJISLZO,X,X,O,O,O,X
TJISLOZ,X,X,O,O,X,X
TJISZLO,X,X,O,X,O,X
TJISZOL,X,X,O,X,O,X
TJISOLZ,X,X,O,X,O,X
TJISOZL,X,X,O,X,O,X
TJIZLSO,X,X,X,O,X,X
TJIZLOS,X,X,X,O,X,X
TJIZSLO,X,X,O,X,O,X
TJIZSOL,X,X,O,X,O,O
TJIZOLS,X,X,X,X,X,O
TJIZOSL,X,X,O,X,O,O
TJIOLSZ,X,X,X,O,O,X
TJIOLZS,X,X,X,O,X,O
TJIOSLZ,X,X,O,X,O,X
TJIOSZL,X,X,O,X,O,O
TJIOZLS,X,X,X,X,X,O
TJIOZSL,X,X,O,X,O,O
TJLISZO,X,X,X,O,O,X
TJLISOZ,X,X,X,O,X,X
TJLIZSO,X,X,X,O,X,X
TJLIZOS,X,X,X,O,X,X
TJLIOSZ,X,X,X,O,O,X
TJLIOZS,X,X,X,O,X,X
TJLSIZO,X,X,X,O,O,X
TJLSIOZ,X,X,X,O,X,X
TJLSZIO,X,O,X,X,O,X
TJLSZOI,X,O,X,X,O,X
TJLSOIZ,X,X,X,O,O,X
TJLSOZI,X,O,X,X,O,X
TJLZISO,X,X,X,O,X,X
TJLZIOS,X,O,X,O,X,X
TJLZSIO,X,O,X,X,X,X
TJLZSOI,X,O,X,X,X,X
TJLZOIS,X,O,X,O,X,X
TJLZOSI,X,O,X,X,X,X
TJLOISZ,X,X,X,O,O,X
TJLOIZS,X,X,X,O,X,X
TJLOSIZ,X,X,X,O,O,X
TJLOSZI,X,O,X,X,O,X
TJLOZIS,X,O,X,O,X,X
TJLOZSI,X,O,X,X,X,X
TJSILZO,X,X,O,O,O,X
