sequence,v115@NhA8CeA8DeB8BeC8CeE8Jei/IvhFRhBunBcoBzkB3q?BFrB,v115@NhA8CeA8DeB8BeC8CeE8Jex/IvhFlhBqnBTjB0kB3q?BmqB,v115@NhA8CeA8DeB8BeC8CeE8JeT/IvhF0gBlhBCjBXoBRq?B2vB,v115@NhA8CeA8DeB8BeC8CeE8Je2EJvhFlhBqnBTjBRqBfr?BUqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFUgBRhBOrBFoBCo?BTqB,v115@NhA8CeA8DeB8BeC8CeE8Je/EJvhFRhBGjBFmBznB0q?BaqB
TOILZSJ,X,X,O,O,X,O
TOIJLSZ,X,X,X,O,O,X
TOIJLZS,X,X,X,O,X,O
TOIJSLZ,X,X,O,X,O,X
TOIJSZL,X,X,O,X,O,O
TOIJZLS,X,X,X,X,X,O
TOIJZSL,X,X,O,X,O,O
TOISLJZ,X,X,O,X,X,X
TOISLZJ,X,X,O,X,X,X
TOISJLZ,X,X,O,X,O,X
TOISJZL,X,X,O,X,O,O
TOISZLJ,X,X,O,X,X,O
TOISZJL,X,X,O,X,O,O
TOIZLJS,O,X,X,X,X,O
TOIZLSJ,X,X,O,X,X,O
TOIZJLS,O,X,X,X,X,O
TOIZJSL,X,X,O,X,X,O
TOIZSLJ,X,X,O,X,X,O
TOIZSJL,X,X,O,X,X,O
TOLIJSZ,X,X,X,O,X,X
TOLIJZS,X,X,X,O,X,O
TOLISJZ,X,X,O,O,X,X
TOLISZJ,X,O,O,O,X,X
TOLIZJS,O,O,X,O,X,O
TOLIZSJ,X,O,O,O,X,O
TOLJISZ,X,X,X,O,O,X
TOLJIZS,X,X,X,O,X,O
TOLJSIZ,X,X,X,O,O,X
TOLJSZI,X,O,X,X,O,X
TOLJZIS,X,O,X,O,X,O
TOLJZSI,X,O,X,X,X,O
TOLSIJZ,X,X,O,O,X,X
TOLSIZJ,O,O,O,O,X,X
TOLSJIZ,X,X,O,O,O,X
TOLSJZI,X,O,X,X,O,X
TOLSZIJ,O,O,O,X,X,X
TOLSZJI,O,O,X,X,O,X
TOLZIJS,O,O,X,O,X,O
TOLZISJ,X,O,X,O,X,O
TOLZJIS,O,O,X,O,X,O
TOLZJSI,O,O,X,X,X,O
TOLZSIJ,O,O,X,X,X,O
TOLZSJI,O,O,X,X,X,O
TOJILSZ,X,X,X,O,O,X
TOJILZS,X,X,X,O,X,O
TOJISLZ,X,X,O,X,O,X
TOJISZL,X,X,O,X,O,O
TOJIZLS,X,X,X,X,X,O
TOJIZSL,X,X,O,X,O,O
TOJLISZ,X,X,X,O,O,X
TOJLIZS,X,X,X,O,X,O
TOJLSIZ,X,X,X,O,O,X
TOJLSZI,X,X,X,X,O,X
TOJLZIS,X,X,X,O,X,O
TOJLZSI,X,X,X,X,X,O
TOJSILZ,X,X,O,X,O,X
TOJSIZL,X,X,O,X,O,O
TOJSLIZ,X,X,O,X,O,X
TOJSLZI,X,X,X,X,O,X
TOJSZIL,X,X,X,X,O,O
TOJSZLI,X,X,X,X,O,O
TOJZILS,X,X,X,X,X,O
TOJZISL,X,X,X,X,O,O
TOJZLIS,X,X,X,X,X,O
TOJZLSI,X,X,X,X,X,O
TOJZSIL,X,X,X,X,O,O
TOJZSLI,X,X,X,X,O,O
TOSILJZ,X,X,O,X,X,X
TOSILZJ,O,X,O,X,X,X
TOSIJLZ,X,X,O,X,O,X
TOSIJZL,X,X,O,X,O,O
TOSIZLJ,O,X,O,X,X,O
TOSIZJL,O,X,O,X,O,O
TOSLIJZ,X,X,O,X,X,X
TOSLIZJ,O,O,O,X,X,X
TOSLJIZ,X,X,O,X,O,X
TOSLJZI,X,O,X,X,O,X
TOSLZIJ,O,O,O,X,X,X
TOSLZJI,O,O,X,X,O,X
TOSJILZ,X,X,O,X,O,X
TOSJIZL,X,X,O,X,O,O
TOSJLIZ,X,X,O,X,O,X
TOSJLZI,X,X,X,X,O,X
TOSJZIL,X,X,X,X,O,O
TOSJZLI,X,X,X,X,O,O
TOSZILJ,O,O,O,X,X,O
TOSZIJL,O,X,O,X,O,O
TOSZLIJ,O,O,O,X,X,O
TOSZLJI,O,O,X,X,O,O
TOSZJIL,O,X,X,X,O,O
TOSZJLI,O,X,X,X,O,O
TOZILJS,O,O,X,X,X,O
TOZILSJ,X,O,O,X,X,O
TOZIJLS,O,X,X,X,X,O
TOZIJSL,X,X,O,X,X,O
TOZISLJ,X,O,O,X,X,O
TOZISJL,X,X,O,X,X,O
TOZLIJS,O,O,X,X,X,O
TOZLISJ,X,O,X,X,X,O
TOZLJIS,O,O,X,X,X,O
TOZLJSI,O,O,X,X,X,O
TOZLSIJ,O,O,X,X,X,O
TOZLSJI,O,O,X,X,X,O
TOZJILS,O,X,X,X,X,O
TOZJISL,X,X,X,X,O,O
TOZJLIS,O,X,X,X,X,O
TOZJLSI,O,X,X,X,X,O
TOZJSIL,O,X,X,X,O,O
TOZJSLI,O,X,X,X,O,O
TOZSILJ,O,O,O,X,X,O
TOZSIJL,O,X,O,X,O,O
TOZSLIJ,O,O,O,X,X,O
TOZSLJI,O,O,X,X,O,O
TOZSJIL,O,X,X,X,O,O
TOZSJLI,O,X,X,X,O,O
ITLJSZO,X,X,X,O,O,X
ITLJSOZ,X,X,X,O,X,X
ITLJZSO,X,X,X,O,X,X
ITLJZOS,X,X,X,O,X,X
ITLJOSZ,X,X,X,O,O,X
ITLJOZS,X,X,X,O,X,X
ITLSJZO,X,X,O,O,O,X
ITLSJOZ,X,X,O,O,X,X
ITLSZJO,X,O,O,O,X,X
ITLSZOJ,X,O,O,O,X,X
ITLSOJZ,X,X,O,O,X,X
ITLSOZJ,X,O,O,O,X,X
ITLZJSO,O,X,X,O,X,X
ITLZJOS,O,O,X,O,X,X
ITLZSJO,X,O,O,O,X,X
ITLZSOJ,X,O,O,O,X,O
ITLZOJS,X,O,X,O,X,O
ITLZOSJ,X,O,O,O,X,O
ITLOJSZ,X,X,X,O,X,X
ITLOJZS,X,X,X,O,X,O
ITLOSJZ,X,X,O,O,X,X
ITLOSZJ,X,O,O,O,X,X
ITLOZJS,X,O,X,O,X,O
ITLOZSJ,X,O,O,O,X,O
ITJLSZO,X,X,X,O,O,X
ITJLSOZ,X,X,X,O,X,X
ITJLZSO,X,X,X,O,X,X
ITJLZOS,X,X,X,O,X,X
ITJLOSZ,X,X,X,O,O,X
ITJLOZS,X,X,X,O,X,X
ITJSLZO,X,X,O,O,O,X
ITJSLOZ,X,X,O,O,X,X
ITJSZLO,X,X,O,X,O,X
ITJSZOL,X,X,O,X,O,X
ITJSOLZ,X,X,O,X,O,X
ITJSOZL,X,X,O,X,O,X
ITJZLSO,X,X,X,O,X,X
ITJZLOS,X,X,X,O,X,X
ITJZSLO,X,X,O,X,O,X
ITJZSOL,X,X,O,X,O,O
ITJZOLS,X,X,X,X,X,O
ITJZOSL,X,X,O,X,O,O
ITJOLSZ,X,X,X,O,O,X
ITJOLZS,X,X,X,O,X,O
ITJOSLZ,X,X,O,X,O,X
ITJOSZL,X,X,O,X,O,O
ITJOZLS,X,X,X,X,X,O
ITJOZSL,X,X,O,X,O,O
ITSLJZO,X,X,O,O,O,X
ITSLJOZ,X,X,O,O,X,X
ITSLZJO,O,O,O,O,X,X
ITSLZOJ,X,O,O,O,X,X
ITSLOJZ,X,X,O,O,X,X
ITSLOZJ,X,O,O,O,X,X
ITSJLZO,X,X,O,O,O,X
ITSJLOZ,X,X,O,O,X,X
ITSJZLO,X,X,O,X,O,X
ITSJZOL,X,X,O,X,O,X
ITSJOLZ,X,X,O,X,O,X
ITSJOZL,X,X,O,X,O,X
ITSZLJO,O,O,O,X,X,X
ITSZLOJ,X,O,O,X,X,O
ITSZJLO,O,O,O,X,O,X
ITSZJOL,O,X,O,X,O,O
ITSZOLJ,O,O,O,X,X,O
ITSZOJL,O,X,O,X,X,O
ITSOLJZ,X,X,O,X,X,X
ITSOLZJ,O,X,O,X,X,X
ITSOJLZ,X,X,O,X,O,X
ITSOJZL,X,X,O,X,O,O
ITSOZLJ,O,X,O,X,X,O
ITSOZJL,O,X,O,X,O,O
ITZLJSO,O,X,X,O,X,X
ITZLJOS,O,O,X,O,X,X
ITZLSJO,X,O,O,O,X,X
ITZLSOJ,X,O,O,O,X,O
ITZLOJS,X,O,X,O,X,O
ITZLOSJ,X,O,O,O,X,O
ITZJLSO,O,X,X,O,X,X
ITZJLOS,O,O,X,O,X,X
ITZJSLO,O,X,O,X,O,X
ITZJSOL,O,X,O,X,O,O
ITZJOLS,O,X,X,X,X,O
ITZJOSL,X,X,O,X,O,O
ITZSLJO,O,O,O,X,X,X
ITZSLOJ,X,O,O,X,X,O
ITZSJLO,O,O,O,X,O,X
ITZSJOL,O,X,O,X,O,O
ITZSOLJ,O,O,O,X,X,O
ITZSOJL,O,X,O,X,X,O
ITZOLJS,O,O,X,X,X,O
ITZOLSJ,X,O,O,X,X,O
ITZOJLS,O,X,X,X,X,O
ITZOJSL,X,X,O,X,X,O
ITZOSLJ,X,X,O,X,X,O
ITZOSJL,X,X,O,X,X,O
ITOLJSZ,X,X,X,O,X,X
ITOLJZS,X,X,X,O,X,O
ITOLSJZ,X,X,O,O,X,X
ITOLSZJ,X,X,O,O,X,X
ITOLZJS,O,X,X,O,X,O
ITOLZSJ,X,X,O,O,X,O
ITOJLSZ,X,X,X,O,O,X
ITOJLZS,X,X,X,O,X,O
ITOJSLZ,X,X,O,X,O,X
ITOJSZL,X,X,O,X,O,O
ITOJZLS,X,X,X,X,X,O
ITOJZSL,X,X,O,X,O,O
ITOSLJZ,X,X,O,X,X,X
ITOSLZJ,X,X,O,X,X,X
ITOSJLZ,X,X,O,X,O,X
ITOSJZL,X,X,O,X,O,O
ITOSZLJ,X,X,O,X,X,O
ITOSZJL,X,X,O,X,O,O
ITOZLJS,O,X,X,X,X,O
ITOZLSJ,X,X,O,X,X,O
ITOZJLS,O,X,X,X,X,O
ITOZJSL,X,X,O,X,X,O
ITOZSLJ,X,X,O,X,X,O
ITOZSJL,X,X,O,X,X,O
ILTJSZO,X,X,X,O,O,X
ILTJSOZ,X,X,X,O,X,X
ILTJZSO,X,X,X,O,X,X
ILTJZOS,X,X,X,O,X,X
ILTJOSZ,X,X,X,O,O,X
ILTJOZS,X,X,X,O,X,X
ILTSJZO,X,X,O,O,O,X
ILTSJOZ,X,X,O,O,X,X
ILTSZJO,X,O,O,O,X,X
ILTSZOJ,X,O,O,O,X,X
ILTSOJZ,X,X,O,O,X,X
ILTSOZJ,X,O,O,O,X,X
ILTZJSO,O,X,X,O,X,X
ILTZJOS,O,O,X,O,X,X
ILTZSJO,X,O,O,O,X,X
ILTZSOJ,X,O,O,O,X,O
ILTZOJS,X,O,X,O,X,O
ILTZOSJ,X,O,O,O,X,O
ILTOJSZ,X,X,X,O,X,X
ILTOJZS,X,X,X,O,X,O
ILTOSJZ,X,X,O,O,X,X
ILTOSZJ,X,O,O,O,X,X
ILTOZJS,X,O,X,O,X,O
ILTOZSJ,X,O,O,O,X,O
ILJTSZO,X,X,X,O,O,X
ILJTSOZ,X,X,X,O,X,X
ILJTZSO,X,X,X,O,X,X
ILJTZOS,X,X,X,O,X,X
ILJTOSZ,X,X,X,O,O,X
ILJTOZS,X,X,X,O,X,X
ILJSTZO,X,X,X,O,O,X
ILJSTOZ,X,X,X,O,X,X
ILJSZTO,X,X,X,O,O,X
ILJSZOT,X,X,X,O,X,X
ILJSOTZ,X,X,X,O,X,X
ILJSOZT,X,X,X,O,X,X
ILJZTSO,O,X,X,O,X,X
ILJZTOS,O,X,X,O,X,X
ILJZSTO,O,X,X,O,X,X
ILJZSOT,O,X,X,O,X,X
ILJZOTS,O,X,X,O,X,X
ILJZOST,O,X,X,O,X,X
ILJOTSZ,X,X,X,O,O,X
ILJOTZS,X,X,X,O,X,X
ILJOSTZ,X,X,X,O,O,X
ILJOSZT,X,X,X,O,O,X
ILJOZTS,X,X,X,O,X,X
ILJOZST,X,X,X,O,X,X
ILSTJZO,X,X,O,O,O,X
ILSTJOZ,X,X,O,O,X,X
ILSTZJO,O,O,O,O,X,X
ILSTZOJ,X,O,O,O,X,X
ILSTOJZ,X,X,O,O,X,X
ILSTOZJ,X,O,O,O,X,X
ILSJTZO,X,X,O,O,O,X
ILSJTOZ,X,X,O,O,X,X
ILSJZTO,O,X,O,O,O,X
ILSJZOT,O,X,O,O,X,X
ILSJOTZ,X,X,O,O,X,X
ILSJOZT,X,X,O,O,X,X
ILSZTJO,O,O,O,O,X,X
ILSZTOJ,X,O,O,O,X,X
ILSZJTO,O,O,O,O,X,X
ILSZJOT,O,O,O,O,X,X
ILSZOTJ,O,O,O,O,X,X
ILSZOJT,O,O,O,O,X,X
ILSOTJZ,X,X,O,O,X,X
ILSOTZJ,O,O,O,O,X,X
ILSOJTZ,X,X,O,O,X,X
ILSOJZT,O,X,O,O,X,X
ILSOZTJ,O,O,O,O,X,X
ILSOZJT,O,O,O,O,X,X
ILZTJSO,O,X,X,O,X,X
ILZTJOS,O,O,X,O,X,X
ILZTSJO,X,O,O,O,X,X
ILZTSOJ,X,O,O,O,X,X
ILZTOJS,X,O,X,O,X,X
ILZTOSJ,X,O,O,O,X,X
ILZJTSO,O,X,X,O,X,X
ILZJTOS,O,O,X,O,X,X
ILZJSTO,O,O,X,O,X,X
ILZJSOT,O,O,X,O,X,X
ILZJOTS,O,O,X,O,X,X
ILZJOST,O,O,X,O,X,X
ILZSTJO,O,O,O,O,X,X
ILZSTOJ,X,O,O,O,X,X
ILZSJTO,O,O,O,O,X,X
ILZSJOT,O,O,O,O,X,X
ILZSOTJ,O,O,O,O,X,X
ILZSOJT,O,O,O,O,X,X
ILZOTJS,O,O,X,O,X,X
ILZOTSJ,X,O,O,O,X,X
ILZOJTS,O,O,X,O,X,X
ILZOJST,O,O,X,O,X,X
ILZOSTJ,O,O,O,O,X,X
ILZOSJT,O,O,O,O,X,X
ILOTJSZ,X,X,X,O,X,X
ILOTJZS,X,X,X,O,X,O
ILOTSJZ,X,X,O,O,X,X
ILOTSZJ,X,O,O,O,X,X
ILOTZJS,O,O,X,O,X,O
ILOTZSJ,X,O,O,O,X,O
ILOJTSZ,X,X,X,O,X,X
ILOJTZS,X,X,X,O,X,O
ILOJSTZ,X,X,X,O,X,X
ILOJSZT,X,X,X,O,X,X
ILOJZTS,O,X,X,O,X,X
ILOJZST,O,X,X,O,X,X
ILOSTJZ,X,X,O,O,X,X
ILOSTZJ,O,O,O,O,X,X
ILOSJTZ,X,X,O,O,X,X
ILOSJZT,O,X,O,O,X,X
ILOSZTJ,O,O,O,O,X,X
ILOSZJT,O,O,O,O,X,X
ILOZTJS,O,O,X,O,X,X
ILOZTSJ,X,O,O,O,X,X
ILOZJTS,O,O,X,O,X,X
ILOZJST,O,O,X,O,X,X
ILOZSTJ,O,O,O,O,X,X
ILOZSJT,O,O,O,O,X,X
IJTLSZO,X,X,X,O,O,X
IJTLSOZ,X,X,X,O,X,X
IJTLZSO,X,X,X,O,X,X
IJTLZOS,X,X,X,O,X,X
IJTLOSZ,X,X,X,O,O,X
IJTLOZS,X,X,X,O,X,X
IJTSLZO,X,X,O,O,O,X
IJTSLOZ,X,X,O,O,X,X
IJTSZLO,X,X,O,X,O,X
IJTSZOL,X,X,O,X,O,X
IJTSOLZ,X,X,O,X,O,X
IJTSOZL,X,X,O,X,O,X
IJTZLSO,X,X,X,O,X,X
IJTZLOS,X,X,X,O,X,X
IJTZSLO,X,X,O,X,O,X
IJTZSOL,X,X,O,X,O,O
IJTZOLS,X,X,X,X,X,O
IJTZOSL,X,X,O,X,O,O
IJTOLSZ,X,X,X,O,O,X
IJTOLZS,X,X,X,O,X,O
IJTOSLZ,X,X,O,X,O,X
IJTOSZL,X,X,O,X,O,O
IJTOZLS,X,X,X,X,X,O
IJTOZSL,X,X,O,X,O,O
IJLTSZO,X,X,X,O,O,X
IJLTSOZ,X,X,X,O,X,X
IJLTZSO,X,X,X,O,X,X
IJLTZOS,X,X,X,O,X,X
IJLTOSZ,X,X,X,O,O,X
IJLTOZS,X,X,X,O,X,X
IJLSTZO,X,X,X,O,O,X
IJLSTOZ,X,X,X,O,X,X
IJLSZTO,X,X,X,O,O,X
IJLSZOT,X,X,X,O,X,X
IJLSOTZ,X,X,X,O,X,X
IJLSOZT,X,X,X,O,X,X
IJLZTSO,O,X,X,O,X,X
IJLZTOS,O,X,X,O,X,X
IJLZSTO,O,X,X,O,X,X
IJLZSOT,O,X,X,O,X,X
IJLZOTS,O,X,X,O,X,X
IJLZOST,O,X,X,O,X,X
IJLOTSZ,X,X,X,O,O,X
IJLOTZS,X,X,X,O,X,X
IJLOSTZ,X,X,X,O,O,X
IJLOSZT,X,X,X,O,O,X
IJLOZTS,X,X,X,O,X,X
IJLOZST,X,X,X,O,X,X
IJSTLZO,X,X,O,O,O,X
IJSTLOZ,X,X,O,O,X,X
IJSTZLO,X,X,O,X,O,X
IJSTZOL,X,X,O,X,O,X
IJSTOLZ,X,X,O,X,O,X
IJSTOZL,X,X,O,X,O,X
IJSLTZO,X,X,O,O,O,X
IJSLTOZ,X,X,O,O,X,X
IJSLZTO,O,X,O,O,O,X
IJSLZOT,O,X,O,O,X,X
IJSLOTZ,X,X,O,O,X,X
IJSLOZT,X,X,O,O,X,X
IJSZTLO,O,X,O,X,O,X
IJSZTOL,O,X,O,X,O,X
IJSZLTO,O,X,O,X,O,X
IJSZLOT,O,X,O,X,X,X
IJSZOTL,O,X,O,X,O,X
IJSZOLT,O,X,O,X,X,X
IJSOTLZ,X,X,O,X,O,X
IJSOTZL,X,X,O,X,O,X
IJSOLTZ,X,X,O,O,O,X
IJSOLZT,O,X,O,O,O,X
IJSOZTL,O,X,O,X,O,X
IJSOZLT,O,X,O,X,O,X
IJZTLSO,O,X,X,O,X,X
IJZTLOS,O,X,X,O,X,X
IJZTSLO,O,X,O,X,O,X
IJZTSOL,O,X,O,X,O,X
IJZTOLS,O,X,X,X,X,X
IJZTOSL,X,X,O,X,O,X
IJZLTSO,O,X,X,O,X,X
IJZLTOS,O,X,X,O,X,X
IJZLSTO,O,X,X,O,X,X
IJZLSOT,O,X,X,O,X,X
IJZLOTS,O,X,X,O,X,X
IJZLOST,O,X,X,O,X,X
IJZSTLO,O,X,O,X,O,X
IJZSTOL,O,X,O,X,O,X
IJZSLTO,O,X,O,X,O,X
IJZSLOT,O,X,O,X,X,X
IJZSOTL,O,X,O,X,O,X
IJZSOLT,O,X,O,X,X,X
IJZOTLS,O,X,X,X,X,X
IJZOTSL,X,X,O,X,O,X
IJZOLTS,O,X,X,O,X,X
IJZOLST,O,X,X,O,X,X
IJZOSTL,O,X,O,X,O,X
IJZOSLT,O,X,O,X,O,X
IJOTLSZ,X,X,X,O,O,X
IJOTLZS,X,X,X,O,X,O
IJOTSLZ,X,X,O,X,O,X
IJOTSZL,X,X,O,X,O,O
IJOTZLS,X,X,X,X,X,O
IJOTZSL,X,X,O,X,O,O
IJOLTSZ,X,X,X,O,O,X
IJOLTZS,X,X,X,O,X,O
IJOLSTZ,X,X,X,O,O,X
IJOLSZT,X,X,X,O,O,X
IJOLZTS,O,X,X,O,X,X
IJOLZST,O,X,X,O,X,X
IJOSTLZ,X,X,O,X,O,X
IJOSTZL,X,X,O,X,O,O
IJOSLTZ,X,X,O,O,O,X
IJOSLZT,X,X,O,O,O,X
IJOSZTL,X,X,O,X,O,X
IJOSZLT,X,X,O,X,O,X
IJOZTLS,O,X,X,X,X,O
IJOZTSL,X,X,O,X,O,O
IJOZLTS,O,X,X,O,X,X
IJOZLST,O,X,X,O,X,X
IJOZSTL,X,X,O,X,O,X
IJOZSLT,O,X,O,X,O,X
ISTLJZO,X,X,O,O,O,X
ISTLJOZ,X,X,O,O,X,X
ISTLZJO,O,O,O,O,X,X
ISTLZOJ,X,O,O,O,X,X
ISTLOJZ,X,X,O,O,X,X
ISTLOZJ,X,O,O,O,X,X
ISTJLZO,X,X,O,O,O,X
ISTJLOZ,X,X,O,O,X,X
ISTJZLO,X,X,O,X,O,X
ISTJZOL,X,X,O,X,O,X
ISTJOLZ,X,X,O,X,O,X
ISTJOZL,X,X,O,X,O,X
ISTZLJO,O,O,O,X,X,X
ISTZLOJ,X,O,O,X,X,O
ISTZJLO,O,O,O,X,O,X
ISTZJOL,O,X,O,X,O,O
ISTZOLJ,O,O,O,X,X,O
ISTZOJL,O,X,O,X,X,O
ISTOLJZ,X,X,O,X,X,X
ISTOLZJ,O,X,O,X,X,X
ISTOJLZ,X,X,O,X,O,X
ISTOJZL,X,X,O,X,O,O
ISTOZLJ,O,X,O,X,X,O
ISTOZJL,O,X,O,X,O,O
ISLTJZO,X,X,O,O,O,X
ISLTJOZ,X,X,O,O,X,X
ISLTZJO,O,O,O,O,X,X
ISLTZOJ,X,O,O,O,X,X
ISLTOJZ,X,X,O,O,X,X
ISLTOZJ,X,O,O,O,X,X
ISLJTZO,X,X,O,O,O,X
ISLJTOZ,X,X,O,O,X,X
ISLJZTO,O,X,O,O,O,X
ISLJZOT,O,X,O,O,X,X
ISLJOTZ,X,X,O,O,X,X
ISLJOZT,X,X,O,O,X,X
ISLZTJO,O,O,O,O,X,X
ISLZTOJ,X,O,O,O,X,X
ISLZJTO,O,O,O,O,X,X
ISLZJOT,O,O,O,O,X,X
ISLZOTJ,O,O,O,O,X,X
ISLZOJT,O,O,O,O,X,X
ISLOTJZ,X,X,O,O,X,X
ISLOTZJ,O,O,O,O,X,X
ISLOJTZ,X,X,O,O,X,X
ISLOJZT,O,X,O,O,X,X
ISLOZTJ,O,O,O,O,X,X
ISLOZJT,O,O,O,O,X,X
ISJTLZO,X,X,O,O,O,X
ISJTLOZ,X,X,O,O,X,X
ISJTZLO,X,X,O,X,O,X
ISJTZOL,X,X,O,X,O,X
ISJTOLZ,X,X,O,X,O,X
ISJTOZL,X,X,O,X,O,X
ISJLTZO,X,X,O,O,O,X
ISJLTOZ,X,X,O,O,X,X
ISJLZTO,O,X,O,O,O,X
ISJLZOT,O,X,O,O,X,X
ISJLOTZ,X,X,O,O,X,X
ISJLOZT,X,X,O,O,X,X
ISJZTLO,O,X,O,X,O,X
ISJZTOL,O,X,O,X,O,X
ISJZLTO,O,X,O,X,O,X
ISJZLOT,O,X,O,X,X,X
ISJZOTL,O,X,O,X,O,X
ISJZOLT,O,X,O,X,X,X
ISJOTLZ,X,X,O,X,O,X
ISJOTZL,X,X,O,X,O,X
ISJOLTZ,X,X,O,O,O,X
ISJOLZT,O,X,O,O,O,X
ISJOZTL,O,X,O,X,O,X
ISJOZLT,O,X,O,X,O,X
ISZTLJO,O,O,O,X,X,X
ISZTLOJ,X,O,O,X,X,O
ISZTJLO,O,O,O,X,O,X
ISZTJOL,O,X,O,X,O,O
ISZTOLJ,O,O,O,X,X,O
ISZTOJL,O,X,O,X,X,O
ISZLTJO,O,O,O,X,X,X
ISZLTOJ,X,O,O,X,X,X
ISZLJTO,O,O,O,X,X,X
ISZLJOT,O,O,O,X,X,X
ISZLOTJ,O,O,O,X,X,X
ISZLOJT,O,O,O,X,X,X
ISZJTLO,O,O,O,X,O,X
ISZJTOL,O,X,O,X,O,X
ISZJLTO,O,O,O,X,O,X
ISZJLOT,O,O,O,X,X,X
ISZJOTL,O,X,O,X,O,X
ISZJOLT,O,O,O,X,X,X
ISZOTLJ,O,O,O,X,X,O
ISZOTJL,O,X,O,X,X,O
ISZOLTJ,O,O,O,X,X,X
ISZOLJT,O,O,O,X,X,X
ISZOJTL,O,X,O,X,X,O
ISZOJLT,O,O,O,X,X,X
ISOTLJZ,X,X,O,X,X,X
ISOTLZJ,O,X,O,X,X,X
ISOTJLZ,X,X,O,X,O,X
ISOTJZL,X,X,O,X,O,O
ISOTZLJ,O,X,O,X,X,O
ISOTZJL,O,X,O,X,O,O
ISOLTJZ,X,X,O,O,X,X
ISOLTZJ,O,O,O,O,X,X
ISOLJTZ,X,X,O,O,X,X
ISOLJZT,O,X,O,O,X,X
ISOLZTJ,O,O,O,O,X,X
ISOLZJT,O,O,O,O,X,X
ISOJTLZ,X,X,O,X,O,X
ISOJTZL,X,X,O,X,O,O
ISOJLTZ,X,X,O,O,O,X
ISOJLZT,O,X,O,O,O,X
ISOJZTL,O,X,O,X,O,O
ISOJZLT,O,X,O,X,O,X
ISOZTLJ,O,O,O,X,X,O
ISOZTJL,O,X,O,X,O,O
ISOZLTJ,O,O,O,X,X,X
ISOZLJT,O,O,O,X,X,X
ISOZJTL,O,X,O,X,O,O
ISOZJLT,O,O,O,X,O,X
IZTLJSO,O,X,X,O,X,X
IZTLJOS,O,O,X,O,X,X
IZTLSJO,X,O,O,O,X,X
IZTLSOJ,X,O,O,O,X,O
IZTLOJS,X,O,X,O,X,O
IZTLOSJ,X,O,O,O,X,O
IZTJLSO,O,X,X,O,X,X
IZTJLOS,O,O,X,O,X,X
IZTJSLO,O,X,O,X,O,X
IZTJSOL,O,X,O,X,O,O
IZTJOLS,O,X,X,X,X,O
IZTJOSL,X,X,O,X,O,O
IZTSLJO,O,O,O,X,X,X
IZTSLOJ,X,O,O,X,X,O
IZTSJLO,O,O,O,X,O,X
IZTSJOL,O,X,O,X,O,O
IZTSOLJ,O,O,O,X,X,O
IZTSOJL,O,X,O,X,X,O
IZTOLJS,O,O,X,X,X,O
IZTOLSJ,X,O,O,X,X,O
IZTOJLS,O,X,X,X,X,O
IZTOJSL,X,X,O,X,X,O
IZTOSLJ,X,O,O,X,X,O
IZTOSJL,X,X,O,X,X,O
IZLTJSO,O,X,X,O,X,X
IZLTJOS,O,O,X,O,X,X
IZLTSJO,X,O,O,O,X,X
IZLTSOJ,X,O,O,O,X,X
IZLTOJS,X,O,X,O,X,X
IZLTOSJ,X,O,O,O,X,X
IZLJTSO,O,X,X,O,X,X
IZLJTOS,O,O,X,O,X,X
IZLJSTO,O,O,X,O,X,X
IZLJSOT,O,O,X,O,X,X
IZLJOTS,O,O,X,O,X,X
IZLJOST,O,O,X,O,X,X
IZLSTJO,O,O,O,O,X,X
IZLSTOJ,X,O,O,O,X,X
IZLSJTO,O,O,O,O,X,X
IZLSJOT,O,O,O,O,X,X
IZLSOTJ,O,O,O,O,X,X
IZLSOJT,O,O,O,O,X,X
IZLOTJS,O,O,X,O,X,X
IZLOTSJ,X,O,O,O,X,X
IZLOJTS,O,O,X,O,X,X
IZLOJST,O,O,X,O,X,X
IZLOSTJ,O,O,O,O,X,X
IZLOSJT,O,O,O,O,X,X
IZJTLSO,O,X,X,O,X,X
IZJTLOS,O,O,X,O,X,X
IZJTSLO,O,X,O,X,O,X
IZJTSOL,O,X,O,X,O,X
IZJTOLS,O,X,X,X,X,X
IZJTOSL,X,X,O,X,O,X
IZJLTSO,O,X,X,O,X,X
IZJLTOS,O,O,X,O,X,X
IZJLSTO,O,O,X,O,X,X
IZJLSOT,O,O,X,O,X,X
IZJLOTS,O,O,X,O,X,X
IZJLOST,O,O,X,O,X,X
IZJSTLO,O,O,O,X,O,X
IZJSTOL,O,X,O,X,O,X
IZJSLTO,O,O,O,X,O,X
IZJSLOT,O,O,O,X,X,X
IZJSOTL,O,X,O,X,O,X
IZJSOLT,O,O,O,X,X,X
IZJOTLS,O,X,X,X,X,X
IZJOTSL,X,X,O,X,O,X
IZJOLTS,O,O,X,O,X,X
IZJOLST,O,O,X,O,X,X
IZJOSTL,O,X,O,X,O,X
IZJOSLT,O,O,O,X,O,X
IZSTLJO,O,O,O,X,X,X
IZSTLOJ,X,O,O,X,X,O
IZSTJLO,O,O,O,X,O,X
IZSTJOL,O,X,O,X,O,O
IZSTOLJ,O,O,O,X,X,O
IZSTOJL,O,X,O,X,X,O
IZSLTJO,O,O,O,X,X,X
IZSLTOJ,X,O,O,X,X,X
