sequence,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeT/IvhFOlBxiBFnB6?tB0pB3sB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOEJvhFXgB5oBFnB8?sBzpBisB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOFJvhFxiBTkBFnB6?tB3sB0pB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOEJvhFXgBliB5oBa?sB8sBzpB,v115@BhB8GeB8HeC8DeA8BeC8BeA8Kex/IvhFmkBFnBXoB6?tB0pBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeeIJvhF5oBikBFnB0?kBXqBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeeIJvhF5oBikBFnBX?lB0pBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeOFJvhFVnB5oBTkBy?sB0pB3sB,v115@BhB8GeB8HeC8DeA8BeC8BeA8Ke0/IvhFVnBaoB5oB/?pBOqBTsB,v115@BhB8GeB8HeC8DeA8BeC8BeA8KeXAJvhFVnBaoB5oB2?pBTsB0pB,v115@BhB8GeB8HeC8DeA8BeC8BeA8Kex/IvhFXiBUoBmpBT?sB6tBlpB
TILJSZO,O,X,X,O,X,O,O,X,O,X,X
TILJSOZ,X,X,X,X,X,X,O,O,X,X,X
TILJZSO,O,X,X,O,X,O,O,X,X,X,X
TILJZOS,O,X,X,O,X,O,X,O,X,X,X
TILJOSZ,X,X,O,X,X,X,O,O,X,X,X
TILJOZS,O,X,X,X,X,O,X,O,X,X,X
TILSJZO,O,X,X,O,X,X,X,X,O,X,X
TILSJOZ,X,X,X,X,X,X,X,O,X,X,X
TILSZJO,O,X,X,O,X,X,X,X,O,X,X
TILSZOJ,O,X,X,O,X,X,X,X,O,X,X
TILSOJZ,X,X,X,X,X,X,X,O,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,O,X,X
TILZJSO,O,X,X,O,X,X,X,X,X,X,X
TILZJOS,O,X,X,O,X,X,X,O,X,X,X
TILZSJO,O,X,X,O,X,X,X,X,O,X,X
TILZSOJ,O,X,X,O,X,X,X,X,O,X,X
TILZOJS,O,X,X,O,X,X,X,O,X,X,X
TILZOSJ,O,X,X,O,X,X,X,X,X,X,X
TILOJSZ,X,X,O,O,X,X,X,O,X,X,X
TILOJZS,O,X,X,O,X,X,X,O,X,X,X
TILOSJZ,X,X,X,O,X,X,X,O,X,X,X
TILOSZJ,X,X,X,O,X,X,X,X,O,X,X
TILOZJS,O,X,X,O,X,X,X,O,X,X,X
TILOZSJ,O,X,X,O,X,X,X,X,X,X,X
TIJLSZO,O,X,X,O,X,O,O,X,O,X,X
TIJLSOZ,X,X,X,X,X,X,O,O,X,X,X
TIJLZSO,O,X,X,O,X,O,O,X,X,X,X
TIJLZOS,O,X,X,O,X,O,X,O,X,X,X
TIJLOSZ,X,X,O,X,X,X,O,O,X,X,X
TIJLOZS,O,X,X,X,X,O,X,O,X,X,X
TIJSLZO,X,X,X,O,X,O,O,X,O,X,X
TIJSLOZ,X,X,X,X,X,X,O,O,X,X,X
TIJSZLO,X,X,X,O,X,X,X,X,O,X,X
TIJSZOL,O,X,X,O,X,X,X,X,X,X,X
TIJSOLZ,X,X,X,X,X,X,X,O,X,O,X
TIJSOZL,X,X,X,X,X,X,X,X,X,O,X
TIJZLSO,O,X,X,O,X,O,O,X,X,X,X
TIJZLOS,O,X,X,X,X,O,X,O,X,X,X
TIJZSLO,X,X,X,O,X,X,X,X,X,X,X
TIJZSOL,O,X,X,O,X,X,X,X,X,X,X
TIJZOLS,O,X,X,X,X,X,X,O,X,X,X
TIJZOSL,O,X,X,O,X,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,X,O,O,X,O,X
TIJOLZS,X,X,X,X,X,O,X,O,X,O,X
TIJOSLZ,X,X,X,X,X,X,X,O,X,O,X
TIJOSZL,X,X,X,X,X,X,X,X,X,O,X
TIJOZLS,O,X,X,X,X,X,X,O,X,O,X
TIJOZSL,O,X,X,X,X,X,X,X,X,O,X
TISLJZO,X,X,X,O,X,X,X,X,O,X,X
TISLJOZ,X,X,X,X,X,X,X,O,X,X,X
TISLZJO,X,X,X,O,X,X,X,X,O,X,X
TISLZOJ,X,X,X,O,X,X,X,X,O,X,X
TISLOJZ,X,X,X,X,X,X,X,O,X,X,X
TISLOZJ,X,X,X,X,X,X,X,X,O,X,X
TISJLZO,X,X,X,O,X,X,X,X,O,X,X
TISJLOZ,X,X,X,X,X,X,X,O,X,X,X
TISJZLO,X,X,X,O,X,X,X,X,O,X,X
TISJZOL,O,X,X,O,X,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,X,O,X,O,X
TISJOZL,X,X,X,X,X,X,X,X,X,O,X
TISZLJO,X,X,X,O,X,X,X,X,O,X,X
TISZLOJ,X,X,X,X,X,X,X,X,O,X,X
TISZJLO,X,X,X,O,O,X,X,X,O,X,X
TISZJOL,O,X,X,O,O,X,X,X,X,X,X
TISZOLJ,X,X,X,X,X,X,X,X,O,X,X
TISZOJL,O,X,X,O,X,X,X,X,O,X,X
TISOLJZ,X,X,X,X,X,X,X,O,O,O,X
TISOLZJ,X,X,X,X,X,X,X,X,O,O,X
TISOJLZ,X,X,X,X,X,X,X,O,O,O,X
TISOJZL,X,X,X,X,X,X,X,X,O,O,X
TISOZLJ,X,X,X,X,X,X,X,X,O,O,X
TISOZJL,X,X,X,X,X,X,X,X,O,O,X
TIZLJSO,O,X,X,O,X,X,X,X,X,X,X
TIZLJOS,O,X,X,X,X,X,X,O,X,X,X
TIZLSJO,O,X,X,O,X,X,X,X,O,X,X
TIZLSOJ,O,X,X,X,X,X,X,X,O,X,X
TIZLOJS,O,O,X,O,X,X,X,O,X,X,X
TIZLOSJ,O,O,X,O,X,X,X,X,X,X,X
TIZJLSO,O,X,X,O,O,X,X,X,X,X,X
TIZJLOS,O,X,X,X,X,X,X,O,X,X,X
TIZJSLO,X,X,X,O,O,X,X,X,X,X,X
TIZJSOL,O,X,X,O,O,X,X,X,X,X,X
TIZJOLS,O,O,X,O,X,X,X,O,X,X,X
TIZJOSL,O,O,X,O,O,X,X,X,X,X,X
TIZSLJO,X,X,X,O,X,X,X,X,O,X,X
TIZSLOJ,X,X,X,X,X,X,X,X,O,X,X
TIZSJLO,X,X,X,O,O,X,X,X,O,X,X
TIZSJOL,O,X,X,O,O,X,X,X,X,X,X
TIZSOLJ,X,O,X,O,X,X,X,X,O,X,X
TIZSOJL,O,O,X,O,X,X,X,X,X,X,X
TIZOLJS,O,O,X,O,X,X,X,O,X,X,X
TIZOLSJ,O,O,X,O,X,X,X,X,X,X,X
TIZOJLS,O,O,X,O,X,X,X,O,X,X,X
TIZOJSL,O,O,X,O,X,X,X,X,X,X,X
TIZOSLJ,X,O,X,O,X,X,X,X,X,X,X
TIZOSJL,O,O,X,O,X,X,X,X,X,X,X
TIOLJSZ,X,X,O,O,X,X,X,O,O,O,X
TIOLJZS,X,X,X,O,X,X,X,O,X,O,X
TIOLSJZ,X,X,X,O,X,X,X,O,O,O,X
TIOLSZJ,X,X,X,O,X,X,X,X,O,O,X
TIOLZJS,X,X,X,O,X,X,X,O,X,O,X
TIOLZSJ,X,X,X,O,X,X,X,X,O,O,X
TIOJLSZ,X,X,O,O,X,X,X,O,O,O,X
