sequence,v115@HhB8HeC8CeA8CeC8BeB8BeA8Jem/IvhF5lBihB9nBT?jBcrBXtB,v115@HhB8HeC8CeA8CeC8BeB8BeA8Jem/IvhF5lB0hB6nBT?jBNrBXtB,v115@HhB8HeC8CeA8CeC8BeB8BeA8Jem/IvhF5lBihB3iB9?oBcrBzsB,v115@HhB8HeC8CeA8CeC8BeB8BeA8Jem/IvhFtlB0hBxiBq?sBToBXrB,v115@HhB8HeC8CeA8CeC8BeB8BeA8Jem/IvhFtlB0hBxiBS?tBXrBzsB,v115@HhB8HeC8CeA8CeC8BeB8BeA8Jem/IvhF5lBihB9nBc?rBToBXtB
TILJSZO,O,O,O,X,X,X
TILJSOZ,O,O,X,X,X,X
TILJZSO,O,O,O,X,X,O
TILJZOS,O,O,O,X,X,O
TILJOSZ,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,O
TILSJZO,O,O,O,X,X,X
TILSJOZ,O,O,X,X,X,X
TILSZJO,O,O,O,X,X,X
TILSZOJ,O,O,O,X,X,X
TILSOJZ,O,O,X,X,X,X
TILSOZJ,O,O,X,X,X,X
TILZJSO,O,O,O,X,X,O
TILZJOS,O,O,O,X,X,O
TILZSJO,O,O,O,X,X,O
TILZSOJ,O,O,O,X,X,O
TILZOJS,O,O,O,X,X,O
TILZOSJ,O,O,O,X,X,O
TILOJSZ,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,O
TILOSJZ,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,O
TILOZSJ,X,X,X,X,X,O
TIJLSZO,O,O,O,X,X,X
TIJLSOZ,O,O,X,X,X,X
TIJLZSO,O,O,O,X,X,O
TIJLZOS,O,O,O,X,X,O
TIJLOSZ,X,X,X,X,X,X
TIJLOZS,X,X,X,X,X,O
TIJSLZO,O,O,O,X,X,X
TIJSLOZ,O,O,X,X,X,X
TIJSZLO,O,O,O,X,X,O
TIJSZOL,O,O,O,X,X,O
TIJSOLZ,O,O,X,X,X,X
TIJSOZL,O,O,O,X,X,O
TIJZLSO,O,O,O,X,X,O
TIJZLOS,O,O,O,X,X,O
TIJZSLO,O,O,O,X,X,O
TIJZSOL,O,O,O,X,X,O
TIJZOLS,O,O,O,X,X,O
TIJZOSL,O,O,O,X,X,O
TIJOLSZ,X,X,O,X,X,X
TIJOLZS,X,X,O,X,X,O
TIJOSLZ,O,O,O,X,X,X
TIJOSZL,O,O,O,X,X,O
TIJOZLS,O,O,O,X,X,O
TIJOZSL,O,O,O,X,X,O
TISLJZO,O,O,O,X,X,X
TISLJOZ,O,O,X,X,X,X
TISLZJO,O,O,O,X,X,X
TISLZOJ,O,O,O,X,X,X
TISLOJZ,O,O,X,X,X,X
TISLOZJ,O,O,X,X,X,X
TISJLZO,O,O,O,X,X,X
TISJLOZ,O,O,X,X,X,X
TISJZLO,O,O,O,X,X,O
TISJZOL,O,O,O,X,X,O
TISJOLZ,O,O,X,X,X,X
TISJOZL,O,O,O,X,X,O
TISZLJO,O,O,O,X,X,O
TISZLOJ,O,O,O,X,X,O
TISZJLO,O,O,O,X,X,O
TISZJOL,O,O,O,X,X,O
TISZOLJ,O,O,O,X,X,O
TISZOJL,O,O,O,X,X,O
TISOLJZ,O,O,X,X,X,X
TISOLZJ,O,O,X,X,X,X
TISOJLZ,O,O,X,X,X,X
TISOJZL,O,O,O,X,X,O
TISOZLJ,O,O,O,X,X,O
TISOZJL,O,O,O,X,X,O
TIZLJSO,O,O,O,X,X,O
TIZLJOS,O,O,O,X,X,O
TIZLSJO,O,O,O,X,X,O
TIZLSOJ,O,O,O,X,X,O
TIZLOJS,O,O,O,X,X,O
TIZLOSJ,O,O,O,X,X,O
TIZJLSO,O,O,O,X,X,O
TIZJLOS,O,O,O,X,X,O
TIZJSLO,O,O,O,X,X,O
TIZJSOL,O,O,O,X,X,O
TIZJOLS,O,O,O,X,X,O
TIZJOSL,O,O,O,X,X,O
TIZSLJO,O,O,O,X,X,O
TIZSLOJ,O,O,O,X,X,O
TIZSJLO,O,O,O,X,X,O
TIZSJOL,O,O,O,X,X,O
TIZSOLJ,O,O,O,X,X,O
TIZSOJL,O,O,O,X,X,O
TIZOLJS,O,O,O,X,X,O
TIZOLSJ,O,O,O,X,X,O
TIZOJLS,O,O,O,X,X,O
TIZOJSL,O,O,O,X,X,O
TIZOSLJ,O,O,O,X,X,O
TIZOSJL,O,O,O,X,X,O
TIOLJSZ,X,X,O,X,X,X
TIOLJZS,X,X,O,X,X,O
TIOLSJZ,X,X,O,X,X,X
TIOLSZJ,X,X,O,X,X,X
TIOLZJS,X,X,O,X,X,O
TIOLZSJ,X,X,O,X,X,O
TIOJLSZ,X,X,O,X,X,X
TIOJLZS,X,X,O,X,X,O
TIOJSLZ,O,O,O,X,X,X
TIOJSZL,O,O,O,X,X,O
TIOJZLS,O,O,O,X,X,O
TIOJZSL,O,O,O,X,X,O
TIOSLJZ,O,O,O,X,X,X
TIOSLZJ,O,O,O,X,X,X
TIOSJLZ,O,O,O,X,X,X
TIOSJZL,O,O,O,X,X,O
TIOSZLJ,O,O,O,X,X,O
TIOSZJL,O,O,O,X,X,O
TIOZLJS,O,O,O,X,X,O
TIOZLSJ,O,O,O,X,X,O
TIOZJLS,O,O,O,X,X,O
TIOZJSL,O,O,O,X,X,O
TIOZSLJ,O,O,O,X,X,O
TIOZSJL,O,O,O,X,X,O
TLIJSZO,O,O,O,O,O,X
TLIJSOZ,O,O,X,O,O,X
TLIJZSO,O,O,O,X,X,O
TLIJZOS,O,O,O,X,X,O
TLIJOSZ,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,O
TLISJZO,O,O,O,O,O,X
TLISJOZ,O,O,X,O,O,X
TLISZJO,O,O,O,O,O,X
TLISZOJ,O,O,O,O,O,X
TLISOJZ,O,O,X,O,O,X
TLISOZJ,O,O,X,O,O,X
TLIZJSO,O,O,O,X,X,O
TLIZJOS,O,O,O,X,X,O
TLIZSJO,O,O,O,O,O,O
TLIZSOJ,O,O,O,O,O,O
TLIZOJS,O,O,O,X,X,O
TLIZOSJ,O,O,O,X,X,O
TLIOJSZ,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,O
TLIOSJZ,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,O
TLIOZSJ,X,X,X,X,X,O
TLJISZO,O,O,O,O,O,X
TLJISOZ,O,O,X,O,O,X
TLJIZSO,O,O,O,X,X,O
TLJIZOS,O,O,O,X,X,O
TLJIOSZ,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,O
TLJSIZO,O,O,O,O,O,X
TLJSIOZ,O,O,X,O,O,X
TLJSZIO,O,O,O,O,O,X
TLJSZOI,O,O,O,O,O,X
TLJSOIZ,O,O,X,O,O,X
TLJSOZI,O,O,X,O,O,X
TLJZISO,O,O,O,X,X,O
TLJZIOS,O,O,O,X,X,O
TLJZSIO,O,O,O,X,X,O
TLJZSOI,O,O,O,X,X,O
TLJZOIS,O,O,O,X,X,O
TLJZOSI,O,O,O,X,X,O
TLJOISZ,X,X,X,O,X,X
TLJOIZS,X,X,X,X,X,O
TLJOSIZ,X,X,X,O,X,X
TLJOSZI,X,X,X,O,X,X
TLJOZIS,X,X,X,X,X,O
TLJOZSI,X,X,X,X,X,O
TLSIJZO,O,O,O,O,O,X
TLSIJOZ,O,O,X,O,O,X
TLSIZJO,O,O,O,O,O,X
TLSIZOJ,O,O,O,O,O,X
TLSIOJZ,O,O,X,O,O,X
TLSIOZJ,O,O,X,O,O,X
TLSJIZO,O,O,O,O,O,X
TLSJIOZ,O,O,X,O,O,X
TLSJZIO,O,O,O,O,O,X
TLSJZOI,O,O,O,O,O,X
