sequence,v115@HhA8IeB8DeB8BeB8CeE8Jex/IvhFmhBfoB6oBTmB0q?BFqB,v115@HhA8IeB8DeB8BeB8CeE8Jel/IvhF3gBzhBGjBUoBxq?ByvB,v115@HhA8IeB8DeB8BeB8CeE8Jel/IvhFRhBziB+oB3mB0q?BiqB,v115@HhA8IeB8DeB8BeB8CeE8Jex/IvhFXhB8mBaqBFoBGo?BzqB,v115@HhA8IeB8DeB8BeB8CeE8Jel/IvhFymBziB+oBxqBcq?BXrB,v115@HhA8IeB8DeB8BeB8CeE8Jex/IvhF8mBCjBFlBToB3q?BOrB
TJLZOSI,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X
TJLOIZS,X,X,X,X,O,X
TJLOSIZ,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X
TJSILZO,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X
TJSIZLO,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X
TJSIOLZ,X,X,X,X,X,X
TJSIOZL,X,X,O,X,X,X
TJSLIZO,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X
TJSLZIO,X,X,X,X,X,X
TJSLZOI,X,X,X,X,X,X
TJSLOIZ,X,X,X,X,X,X
TJSLOZI,X,X,X,X,X,X
TJSZILO,X,X,X,X,X,X
TJSZIOL,X,X,O,X,X,X
TJSZLIO,X,X,X,X,X,X
TJSZLOI,X,X,X,X,X,X
TJSZOIL,X,X,O,X,X,X
TJSZOLI,X,X,X,X,X,X
TJSOILZ,X,X,X,X,X,X
TJSOIZL,X,X,O,X,X,X
TJSOLIZ,X,X,X,X,X,X
TJSOLZI,X,X,X,X,X,X
TJSOZIL,X,X,O,X,X,X
TJSOZLI,X,X,X,X,X,X
TJZILSO,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,X
TJZISLO,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,X
TJZIOLS,X,X,X,X,X,X
TJZIOSL,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X
TJZLSIO,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X
TJZSILO,X,X,X,X,X,X
TJZSIOL,X,X,O,X,X,X
TJZSLIO,X,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X
TJZSOIL,X,X,O,X,X,X
TJZSOLI,X,X,X,X,X,X
TJZOILS,X,X,X,X,X,X
TJZOISL,X,X,X,X,X,X
TJZOLIS,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X
TJZOSIL,X,X,O,X,X,X
TJZOSLI,X,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X
TJOILZS,X,X,X,X,O,X
TJOISLZ,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X
TJOIZLS,X,X,X,X,O,X
TJOIZSL,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X
TJOLIZS,X,X,X,X,O,X
TJOLSIZ,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X
TJOSILZ,X,X,X,X,X,X
TJOSIZL,X,X,O,X,X,X
TJOSLIZ,X,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X
TJOSZIL,X,X,O,X,X,X
TJOSZLI,X,X,X,X,X,X
TJOZILS,X,X,X,X,X,X
TJOZISL,X,X,X,X,X,X
TJOZLIS,X,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X
TJOZSIL,X,X,O,X,X,X
TJOZSLI,X,X,X,X,X,X
TSILJZO,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X
TSILZJO,X,X,X,X,X,X
TSILZOJ,X,X,X,X,X,X
TSILOJZ,X,X,X,X,X,X
TSILOZJ,X,X,X,X,X,X
TSIJLZO,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X
TSIJOLZ,X,X,X,X,X,X
TSIJOZL,X,X,O,X,X,X
TSIZLJO,X,X,X,X,X,X
TSIZLOJ,X,X,X,X,X,X
TSIZJLO,X,X,X,X,X,X
TSIZJOL,X,X,X,X,X,X
TSIZOLJ,X,X,X,X,X,O
TSIZOJL,X,X,X,X,X,O
TSIOLJZ,X,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,O
TSIOJLZ,X,X,X,X,X,X
TSIOJZL,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,O
TSIOZJL,X,X,X,X,X,O
TSLIJZO,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X
TSLIZJO,X,X,X,X,X,X
TSLIZOJ,X,X,X,X,X,X
TSLIOJZ,X,X,X,X,X,X
TSLIOZJ,X,X,X,X,X,X
TSLJIZO,X,X,X,X,X,X
TSLJIOZ,X,X,X,X,X,X
TSLJZIO,X,X,X,X,X,X
TSLJZOI,X,X,X,X,X,X
TSLJOIZ,X,X,X,X,X,X
TSLJOZI,X,X,X,X,X,X
TSLZIJO,X,X,X,X,X,X
TSLZIOJ,X,X,X,X,X,X
TSLZJIO,X,X,X,X,X,X
TSLZJOI,X,X,X,X,X,X
TSLZOIJ,X,X,X,X,X,X
TSLZOJI,X,X,X,X,X,X
TSLOIJZ,X,X,X,X,X,X
TSLOIZJ,X,X,X,X,X,X
TSLOJIZ,X,X,X,X,X,X
TSLOJZI,X,X,X,X,X,X
TSLOZIJ,X,X,X,X,X,X
TSLOZJI,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,X
TSJILOZ,X,X,X,X,X,X
TSJIZLO,X,X,X,X,X,X
TSJIZOL,X,X,X,X,X,X
TSJIOLZ,X,X,X,X,X,X
TSJIOZL,X,X,O,X,X,X
TSJLIZO,X,X,X,X,X,X
TSJLIOZ,X,X,X,X,X,X
TSJLZIO,X,X,X,X,X,X
TSJLZOI,X,X,X,X,X,X
TSJLOIZ,X,X,X,X,X,X
TSJLOZI,X,X,X,X,X,X
TSJZILO,X,X,X,X,X,X
TSJZIOL,X,X,O,X,X,X
TSJZLIO,X,X,X,X,X,X
TSJZLOI,X,X,X,X,X,X
TSJZOIL,X,X,O,X,X,X
TSJZOLI,X,X,X,X,X,X
TSJOILZ,X,X,X,X,X,X
TSJOIZL,X,X,O,X,X,X
TSJOLIZ,X,X,X,X,X,X
TSJOLZI,X,X,X,X,X,X
