sequence,v115@9gB8HeA8IeB8HeD8CeC8JezBJvhFGjBRlBUoBilBFr?BXsB,v115@9gB8HeA8IeB8HeD8CeC8JeXAJvhFxhB8nB+oB1qBzr?BirB,v115@9gB8HeA8IeB8HeD8CeC8JeXAJvhFKnBziB+oBxqBFr?B0rB,v115@9gB8HeA8IeB8HeD8CeC8JemAJvhFxiBFlBSsBToBUr?BfsB,v115@9gB8HeA8IeB8HeD8CeC8JeXAJvhFOnB6oBznBxqBFr?B0rB,v115@9gB8HeA8IeB8HeD8CeC8JemAJvhFTjBFlBSrBxsBcs?B3rB,v115@9gB8HeA8IeB8HeD8CeC8JexAJvhFVnBUlBarBXoBGo?BzrB,v115@9gB8HeA8IeB8HeD8CeC8Je0BJvhFfoB6oBRlBTlBVs?B2wB
TILJSZO,X,X,O,X,X,O,X,X
TILJSOZ,X,X,O,X,X,O,X,X
TILJZSO,X,X,O,X,X,O,X,X
TILJZOS,X,X,O,X,X,O,X,X
TILJOSZ,X,X,O,X,X,O,X,X
TILJOZS,X,X,O,X,X,O,X,X
TILSJZO,X,X,O,X,X,O,X,X
TILSJOZ,X,X,O,X,X,O,X,X
TILSZJO,O,X,X,X,X,O,X,O
TILSZOJ,O,X,X,X,X,O,X,O
TILSOJZ,X,X,X,X,O,O,X,X
TILSOZJ,O,X,X,X,X,O,X,X
TILZJSO,O,X,X,X,X,O,X,X
TILZJOS,O,X,X,O,X,O,X,X
TILZSJO,O,X,X,X,X,O,X,O
TILZSOJ,O,X,X,X,X,O,X,O
TILZOJS,O,X,X,O,X,O,X,X
TILZOSJ,X,X,X,O,X,O,X,X
TILOJSZ,X,X,X,X,O,O,X,X
TILOJZS,X,X,X,X,O,O,X,X
TILOSJZ,X,X,X,X,O,O,X,X
TILOSZJ,X,X,X,X,X,O,X,X
TILOZJS,O,X,X,O,X,O,X,X
TILOZSJ,X,X,X,O,X,O,X,X
TIJLSZO,X,X,O,X,X,O,X,X
TIJLSOZ,X,X,O,X,X,O,X,X
TIJLZSO,X,X,O,X,X,O,X,X
TIJLZOS,X,X,O,X,X,O,X,X
TIJLOSZ,X,X,O,X,X,O,X,X
TIJLOZS,X,X,O,X,X,O,X,X
TIJSLZO,X,X,O,X,X,X,X,X
TIJSLOZ,X,X,O,X,X,X,X,X
TIJSZLO,O,O,X,X,X,X,X,X
TIJSZOL,O,O,X,X,X,X,X,X
TIJSOLZ,X,X,O,X,X,X,X,X
TIJSOZL,O,O,X,X,X,X,X,X
TIJZLSO,O,O,X,X,X,X,X,X
TIJZLOS,O,X,X,O,X,X,X,X
TIJZSLO,O,O,X,X,X,X,X,X
TIJZSOL,O,O,X,X,X,X,X,X
TIJZOLS,O,O,X,O,X,X,X,X
TIJZOSL,O,O,X,X,X,X,X,X
TIJOLSZ,X,X,O,X,X,O,X,X
TIJOLZS,X,X,O,X,X,O,X,X
TIJOSLZ,X,X,O,X,X,X,X,X
TIJOSZL,X,O,X,X,X,X,X,X
TIJOZLS,O,O,X,O,X,X,X,X
TIJOZSL,O,O,X,X,X,X,X,X
TISLJZO,X,X,O,X,X,O,X,X
TISLJOZ,X,X,O,X,X,O,X,X
TISLZJO,O,X,X,X,X,O,X,O
TISLZOJ,O,X,X,X,X,O,X,O
TISLOJZ,X,X,X,X,O,O,X,X
TISLOZJ,O,X,X,X,X,O,X,X
TISJLZO,X,X,O,X,X,X,X,X
TISJLOZ,X,X,O,X,X,X,X,X
TISJZLO,O,O,X,X,X,X,X,X
TISJZOL,O,O,X,X,X,X,X,X
TISJOLZ,X,X,O,X,X,X,X,X
TISJOZL,O,O,X,X,X,X,X,X
TISZLJO,O,X,X,X,X,X,X,O
TISZLOJ,O,X,X,X,X,X,X,O
TISZJLO,O,X,X,X,X,X,X,X
TISZJOL,O,X,X,X,X,X,X,X
TISZOLJ,O,X,X,X,X,X,X,X
TISZOJL,O,X,X,X,X,X,X,X
TISOLJZ,X,X,X,X,O,O,X,X
TISOLZJ,O,X,X,X,X,O,X,X
TISOJLZ,X,X,X,X,O,X,X,X
TISOJZL,O,O,X,X,X,X,X,X
TISOZLJ,O,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,X,X
TIZLJSO,O,X,X,X,X,O,X,X
TIZLJOS,O,X,X,O,X,O,X,X
TIZLSJO,O,X,X,X,X,O,X,O
TIZLSOJ,O,X,X,X,X,O,X,O
TIZLOJS,O,X,X,O,X,O,X,X
TIZLOSJ,X,X,X,O,X,O,X,X
TIZJLSO,O,X,X,X,X,X,X,X
TIZJLOS,O,X,X,O,X,X,X,X
TIZJSLO,O,X,X,X,X,X,X,X
TIZJSOL,O,X,X,X,X,X,X,X
TIZJOLS,O,X,X,O,X,X,X,X
TIZJOSL,O,X,X,X,X,X,X,X
TIZSLJO,O,X,X,X,X,X,X,O
TIZSLOJ,O,X,X,X,X,X,X,O
TIZSJLO,O,X,X,X,X,X,X,X
TIZSJOL,O,X,X,X,X,X,X,X
TIZSOLJ,O,X,X,X,X,X,X,X
TIZSOJL,O,X,X,X,X,X,X,X
TIZOLJS,O,X,X,O,X,O,X,X
TIZOLSJ,X,X,X,O,X,O,X,X
TIZOJLS,O,X,X,O,X,X,X,X
TIZOJSL,O,X,X,X,X,X,X,X
TIZOSLJ,O,X,X,X,X,X,X,X
TIZOSJL,O,X,X,X,X,X,X,X
TIOLJSZ,X,X,X,X,O,O,X,X
TIOLJZS,X,X,X,X,O,O,X,X
TIOLSJZ,X,X,X,X,O,O,X,X
TIOLSZJ,X,X,X,X,X,O,X,X
TIOLZJS,O,X,X,O,X,O,X,X
TIOLZSJ,X,X,X,O,X,O,X,X
TIOJLSZ,X,X,X,X,O,O,X,X
TIOJLZS,X,X,X,X,O,O,X,X
TIOJSLZ,X,X,X,X,O,X,X,X
TIOJSZL,X,O,X,X,X,X,X,X
TIOJZLS,O,O,X,O,X,X,X,X
TIOJZSL,O,O,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,O,O,X,X
TIOSLZJ,O,X,X,X,X,O,X,X
TIOSJLZ,X,X,X,X,O,X,X,X
TIOSJZL,O,O,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X
TIOZLJS,O,X,X,O,X,O,X,X
TIOZLSJ,X,X,X,O,X,O,X,X
TIOZJLS,O,X,X,O,X,X,X,X
TIOZJSL,O,X,X,X,X,X,X,X
TIOZSLJ,O,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,X,X,X,X
TLIJSZO,X,X,O,X,X,O,X,X
TLIJSOZ,X,X,O,X,X,O,X,X
TLIJZSO,X,X,O,X,X,O,X,X
TLIJZOS,X,X,O,X,X,O,X,X
TLIJOSZ,X,X,O,X,X,O,X,X
TLIJOZS,X,X,O,X,X,O,X,X
TLISJZO,X,X,O,X,X,O,X,X
TLISJOZ,X,X,O,X,X,O,X,X
TLISZJO,O,X,X,X,X,O,X,O
TLISZOJ,O,X,X,X,X,O,X,O
TLISOJZ,X,X,X,X,O,O,X,X
TLISOZJ,O,X,X,X,X,O,X,X
TLIZJSO,O,X,X,X,X,O,X,X
TLIZJOS,O,X,X,O,X,O,X,X
TLIZSJO,O,X,X,X,X,O,X,O
TLIZSOJ,O,X,X,X,X,O,X,O
TLIZOJS,O,X,X,O,X,O,X,X
TLIZOSJ,X,X,X,O,X,O,X,X
TLIOJSZ,X,X,X,X,O,O,X,X
TLIOJZS,X,X,X,X,O,O,X,X
TLIOSJZ,X,X,X,X,O,O,X,X
TLIOSZJ,X,X,X,X,X,O,X,X
TLIOZJS,O,X,X,O,X,O,X,X
TLIOZSJ,X,X,X,O,X,O,X,X
TLJISZO,X,X,O,X,X,O,X,X
TLJISOZ,X,X,O,X,X,O,X,X
TLJIZSO,X,X,O,X,X,O,X,X
TLJIZOS,X,X,O,X,X,O,X,X
TLJIOSZ,X,X,O,X,X,O,X,X
TLJIOZS,X,X,O,X,X,O,X,X
TLJSIZO,X,X,O,X,X,O,X,X
TLJSIOZ,X,X,O,X,X,O,X,X
TLJSZIO,X,O,X,X,X,X,X,X
TLJSZOI,X,O,X,X,X,X,X,X
TLJSOIZ,X,X,O,X,X,X,X,X
TLJSOZI,X,O,X,X,X,X,X,X
TLJZISO,X,O,X,X,X,O,X,X
TLJZIOS,X,X,X,O,X,O,X,X
TLJZSIO,X,O,X,X,X,X,X,X
TLJZSOI,X,O,X,O,X,X,X,X
TLJZOIS,X,O,X,O,X,X,X,X
TLJZOSI,X,O,X,O,X,X,X,X
TLJOISZ,X,X,O,X,X,O,X,X
TLJOIZS,X,X,O,X,X,O,X,X
TLJOSIZ,X,X,O,X,X,X,X,X
TLJOSZI,X,O,X,X,X,X,X,X
TLJOZIS,X,O,X,O,X,X,X,X
TLJOZSI,X,O,X,O,X,X,X,X
TLSIJZO,X,X,O,X,X,O,X,X
TLSIJOZ,X,X,O,X,X,O,X,X
TLSIZJO,O,X,X,X,X,O,O,O
TLSIZOJ,O,X,X,X,X,O,O,O
TLSIOJZ,X,X,X,X,O,O,X,X
TLSIOZJ,O,X,X,X,X,O,X,X
TLSJIZO,X,X,O,X,X,O,X,X
TLSJIOZ,X,X,O,X,X,O,X,X
TLSJZIO,X,O,X,X,X,X,O,X
TLSJZOI,X,O,X,X,X,X,O,X
TLSJOIZ,X,X,O,X,X,X,X,X
TLSJOZI,X,O,X,X,X,X,X,X
TLSZIJO,O,X,X,X,X,X,O,X
TLSZIOJ,O,X,X,X,X,X,O,X
TLSZJIO,O,X,X,X,X,X,O,X
TLSZJOI,O,X,X,O,X,X,O,X
TLSZOIJ,O,X,X,O,X,X,O,X
TLSZOJI,O,X,X,O,X,X,O,X
TLSOIJZ,X,X,X,X,O,X,X,X
TLSOIZJ,O,X,X,X,X,X,O,X
TLSOJIZ,X,X,X,X,O,X,X,X
TLSOJZI,X,O,X,X,X,X,O,X
TLSOZIJ,O,X,X,O,X,X,O,X
TLSOZJI,O,X,X,O,X,X,O,X
TLZIJSO,O,X,X,X,X,O,X,X
TLZIJOS,O,X,X,O,X,O,X,X
TLZISJO,O,X,X,X,X,O,O,X
TLZISOJ,O,X,X,X,X,O,O,X
TLZIOJS,O,X,X,O,X,O,O,X
TLZIOSJ,X,X,X,O,X,O,O,X
TLZJISO,O,X,X,X,X,O,X,X
TLZJIOS,O,X,X,O,X,O,X,X
TLZJSIO,O,X,X,X,X,X,X,X
TLZJSOI,O,X,X,O,X,X,X,X
TLZJOIS,O,X,X,O,X,X,X,X
TLZJOSI,X,X,X,O,X,X,X,X
TLZSIJO,O,X,X,X,X,X,O,X
TLZSIOJ,O,X,X,X,X,X,O,X
TLZSJIO,O,X,X,X,X,X,O,X
TLZSJOI,O,X,X,O,X,X,O,X
TLZSOIJ,O,X,X,O,X,X,O,X
TLZSOJI,O,X,X,O,X,X,O,X
TLZOIJS,O,X,X,O,X,X,O,X
TLZOISJ,X,X,X,O,X,X,O,X
TLZOJIS,O,X,X,O,X,X,O,X
TLZOJSI,X,X,X,O,X,X,O,X
TLZOSIJ,X,X,X,O,X,X,O,X
TLZOSJI,X,X,X,O,X,X,O,X
TLOIJSZ,X,X,X,X,O,O,X,X
TLOIJZS,X,X,X,X,O,O,X,X
TLOISJZ,X,X,X,X,O,O,X,X
TLOISZJ,X,X,X,X,X,O,O,X
TLOIZJS,O,X,X,O,X,O,O,X
TLOIZSJ,X,X,X,O,X,O,O,X
TLOJISZ,X,X,X,X,O,O,X,X
TLOJIZS,X,X,X,X,O,O,X,X
TLOJSIZ,X,X,X,X,O,X,X,X
TLOJSZI,X,O,X,X,X,X,O,X
TLOJZIS,X,O,X,O,X,X,O,X
TLOJZSI,X,O,X,O,X,X,O,X
TLOSIJZ,X,X,X,X,O,X,X,X
TLOSIZJ,X,X,X,X,X,X,O,X
TLOSJIZ,X,X,X,X,O,X,X,X
TLOSJZI,X,O,X,X,X,X,O,X
TLOSZIJ,X,X,X,O,X,X,O,X
TLOSZJI,X,X,X,O,X,X,O,X
TLOZIJS,O,X,X,O,X,X,O,X
TLOZISJ,X,X,X,O,X,X,O,X
TLOZJIS,O,X,X,O,X,X,O,X
TLOZJSI,X,X,X,O,X,X,O,X
TLOZSIJ,X,X,X,O,X,X,O,X
TLOZSJI,X,X,X,O,X,X,O,X
TJILSZO,X,X,O,X,X,O,X,X
TJILSOZ,X,X,O,X,X,O,X,X
TJILZSO,X,X,O,X,X,O,X,X
TJILZOS,X,X,O,X,X,O,X,X
TJILOSZ,X,X,O,X,X,O,X,X
TJILOZS,X,X,O,X,X,O,X,X
TJISLZO,X,X,O,X,X,X,X,X
TJISLOZ,X,X,O,X,X,X,X,X
TJISZLO,O,O,X,X,X,X,X,X
TJISZOL,O,O,X,X,X,X,X,X
