sequence,v115@GhA8IeC8GeE8AeB8BeA8JeT/IvhFOlBXhBZoBUnBFr?B6sB,v115@GhA8IeC8GeE8AeB8BeA8JeT/IvhFOlBaoBfrBxmBlm?B0sB,v115@GhA8IeC8GeE8AeB8BeA8JeT/IvhFGiBZoBilBcrB/s?BlqB,v115@GhA8IeC8GeE8AeB8BeA8Je2EJvhFxhBynBfrB0mBFl?BzsB,v115@GhA8IeC8GeE8AeB8BeA8JeT/IvhFKlB0hBliBetBxr?BfrB,v115@GhA8IeC8GeE8AeB8BeA8JeT/IvhF2lBZoBcrB6sB3q?BFsB,v115@GhA8IeC8GeE8AeB8BeA8Jei/IvhFmiBRlBFnB3lBcr?BzsB,v115@GhA8IeC8GeE8AeB8BeA8Je2EJvhFThBynBfrBFlBRs?B0sB,v115@GhA8IeC8GeE8AeB8BeA8Jei/IvhFmiBFlBxmBfrB0m?BzsB,v115@GhA8IeC8GeE8AeB8BeA8Jei/IvhFlhBUlBmnBxrBfr?BzsB,v115@GhA8IeC8GeE8AeB8BeA8Je2EJvhFRgBVnB3lBysBcr?BzsB
TILJSZO,O,X,X,X,X,X,O,X,X,X,X
TILJSOZ,O,X,X,X,X,X,X,O,X,X,X
TILJZSO,O,X,X,X,X,X,O,X,X,O,X
TILJZOS,O,X,X,X,X,X,O,X,X,X,X
TILJOSZ,O,X,X,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,X,X,X,O,X,X,X,X
TILSJZO,O,X,X,X,X,X,O,X,X,X,X
TILSJOZ,O,X,X,X,X,X,X,O,X,X,X
TILSZJO,O,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,X,X,X,X,X,X,O,X,X,X
TILSOZJ,O,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,X,X,X,X,O,X,X,O,X
TILZJOS,O,X,X,X,X,O,O,X,X,X,X
TILZSJO,O,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,X,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,O,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,X,X,O,X,O,X,X
TILOJZS,O,X,X,X,X,X,O,X,O,X,X
TILOSJZ,O,X,X,X,X,X,O,X,O,X,X
TILOSZJ,O,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,O,O,X,O,X,X
TILOZSJ,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X,O,X,X,X,X
TIJLSOZ,O,X,X,X,X,X,X,O,X,X,X
TIJLZSO,O,X,X,X,X,X,O,X,X,O,X
TIJLZOS,O,X,X,X,X,X,O,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,X,X,X,O,X,X,X,X
TIJSLZO,O,X,X,X,X,X,O,X,X,X,X
TIJSLOZ,O,X,X,X,X,X,X,O,X,X,X
