sequence,v115@JhA8FeD8FeD8DeC8JeT/IvhF6lBxhBOoBcsBXrBlrB,v115@JhA8FeD8FeD8DeC8JeT/IvhF6lB3hBFjB0nB2rBRwB,v115@JhA8FeD8FeD8DeC8JeT/IvhFfnB6nBOoBUmBllBRwB,v115@JhA8FeD8FeD8DeC8JeT/IvhFlgBUiBOoBXmBSsBRwB,v115@JhA8FeD8FeD8DeC8JeT/IvhFlgBxiBmnBCrBXsBcrB,v115@JhA8FeD8FeD8DeC8JeT/IvhF0gBxiBysBGrBFsBXrB,v115@JhA8FeD8FeD8DeC8JeT/IvhF6lBFjBxmB2sBXrB0rB,v115@JhA8FeD8FeD8DeC8JeT/IvhFXhBxiBysBGrBFsB0qB
TILJSZO,X,X,O,O,X,X,X,X
TILJSOZ,X,X,O,O,X,X,X,X
TILJZSO,X,O,X,X,X,X,X,X
TILJZOS,X,O,X,X,X,X,X,X
TILJOSZ,X,X,O,O,X,X,X,X
TILJOZS,X,O,X,X,X,X,X,X
TILSJZO,X,X,O,O,X,X,X,X
TILSJOZ,X,X,O,O,X,X,O,X
TILSZJO,X,O,O,O,X,X,X,X
TILSZOJ,X,O,O,O,X,X,O,X
TILSOJZ,X,X,O,O,X,X,O,X
TILSOZJ,X,O,O,O,X,X,O,X
TILZJSO,X,O,X,X,X,X,X,X
TILZJOS,X,O,X,X,X,X,X,X
TILZSJO,X,O,X,X,X,X,X,X
TILZSOJ,X,O,X,X,X,X,X,X
TILZOJS,X,O,X,X,X,X,X,X
TILZOSJ,X,O,X,X,X,X,X,X
TILOJSZ,X,X,O,O,X,X,X,X
TILOJZS,X,O,X,X,X,X,X,X
TILOSJZ,X,X,O,O,X,X,O,X
TILOSZJ,X,O,O,O,X,X,O,X
TILOZJS,X,O,X,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X
TIJLSZO,X,X,O,O,X,X,X,X
TIJLSOZ,X,X,O,O,X,X,X,X
TIJLZSO,X,O,X,X,X,X,X,X
TIJLZOS,X,O,X,X,X,X,X,X
TIJLOSZ,X,X,O,O,X,X,X,X
TIJLOZS,X,O,X,X,X,X,X,X
TIJSLZO,X,X,O,O,O,X,X,X
TIJSLOZ,X,X,O,O,O,X,X,X
TIJSZLO,X,X,O,O,X,X,X,X
TIJSZOL,X,X,O,O,X,X,X,X
TIJSOLZ,X,X,O,O,O,X,X,X
TIJSOZL,X,X,O,O,X,X,X,X
TIJZLSO,X,O,X,X,X,X,X,X
TIJZLOS,X,O,X,X,X,X,X,X
TIJZSLO,X,O,O,O,X,X,X,X
TIJZSOL,X,O,O,O,X,X,X,X
TIJZOLS,X,O,X,X,X,X,X,X
TIJZOSL,X,O,O,O,X,X,X,X
TIJOLSZ,X,X,O,O,X,X,X,X
TIJOLZS,X,O,X,X,X,X,X,X
TIJOSLZ,X,X,O,O,O,X,X,X
TIJOSZL,X,X,O,O,X,X,X,X
TIJOZLS,X,O,X,X,X,X,X,X
TIJOZSL,X,O,O,O,X,X,X,X
TISLJZO,X,X,O,O,O,X,X,X
TISLJOZ,X,X,O,O,O,X,O,X
TISLZJO,X,O,O,O,X,X,X,X
TISLZOJ,X,O,O,O,X,X,O,X
TISLOJZ,X,X,O,O,O,X,O,X
TISLOZJ,X,O,O,O,X,X,O,X
TISJLZO,X,X,O,O,O,X,X,X
TISJLOZ,X,X,O,O,O,X,O,X
TISJZLO,X,X,O,O,X,X,X,X
TISJZOL,X,X,O,O,X,X,X,X
TISJOLZ,X,X,O,O,O,X,O,X
TISJOZL,X,X,O,O,X,X,X,X
TISZLJO,X,O,O,O,X,X,X,X
TISZLOJ,X,O,O,O,X,X,O,X
TISZJLO,X,O,O,O,X,X,X,X
TISZJOL,X,O,O,O,X,X,X,X
TISZOLJ,X,O,O,O,X,X,O,X
TISZOJL,X,O,O,O,X,X,X,X
TISOLJZ,X,X,O,O,O,X,O,X
TISOLZJ,X,O,O,O,X,X,O,X
TISOJLZ,X,X,O,O,O,X,O,X
TISOJZL,X,X,O,O,X,X,X,X
TISOZLJ,X,O,O,O,X,X,O,X
TISOZJL,X,O,O,O,X,X,X,X
TIZLJSO,X,O,X,X,X,X,X,X
TIZLJOS,X,O,X,X,X,X,X,X
TIZLSJO,X,O,X,X,X,X,X,X
TIZLSOJ,X,O,X,X,X,X,X,X
TIZLOJS,X,O,X,X,X,X,X,X
TIZLOSJ,X,O,X,X,X,X,X,X
TIZJLSO,X,O,X,X,X,X,X,X
TIZJLOS,X,O,X,X,X,X,X,X
TIZJSLO,X,O,O,O,X,X,X,X
TIZJSOL,X,O,O,O,X,X,X,X
TIZJOLS,X,O,X,X,X,X,X,X
TIZJOSL,X,O,O,O,X,X,X,X
TIZSLJO,X,O,O,O,X,X,X,X
TIZSLOJ,X,O,O,O,X,X,X,X
TIZSJLO,X,O,O,O,X,X,X,X
TIZSJOL,X,O,O,O,X,X,X,X
TIZSOLJ,X,O,O,O,X,X,X,X
TIZSOJL,X,O,O,O,X,X,X,X
TIZOLJS,X,O,X,X,X,X,X,X
TIZOLSJ,X,O,X,X,X,X,X,X
TIZOJLS,X,O,X,X,X,X,X,X
