sequence,v115@HhA8IeD8FeF8CeA8Jel/IvhF3gBcmBxiBSsBToB2xB,v115@HhA8IeD8FeF8CeA8Jel/IvhF3gBUiBGjBTmBxsByxB,v115@HhA8IeD8FeF8CeA8Je0/IvhFlgBxiB2rBqsBToBfsB,v115@HhA8IeD8FeF8CeA8Jel/IvhF3gBRiB+oBTmB0sBisB,v115@HhA8IeD8FeF8CeA8Je0/IvhFlgB3hB+oBxrBatBTsB,v115@HhA8IeD8FeF8CeA8Je0/IvhFlgBxiB2rBStBfsBzsB,v115@HhA8IeD8FeF8CeA8Je0/IvhFTjBRmBSsBmlBXtBFsB,v115@HhA8IeD8FeF8CeA8Jel/IvhFRhBTjBmlBCnBcsBXtB
TILJSZO,X,O,X,X,O,O,X,X
TILJSOZ,X,X,X,X,O,O,X,O
TILJZSO,O,O,X,X,O,O,X,X
TILJZOS,X,X,O,X,O,O,X,X
TILJOSZ,X,O,O,X,O,O,X,X
TILJOZS,X,O,O,X,O,O,X,X
TILSJZO,X,O,X,X,O,X,X,X
TILSJOZ,X,X,X,X,O,X,X,O
TILSZJO,O,O,X,X,O,X,X,X
TILSZOJ,O,X,X,X,X,X,O,X
TILSOJZ,X,X,X,X,X,X,X,O
TILSOZJ,X,X,X,X,X,X,O,X
TILZJSO,O,O,X,X,O,O,X,X
TILZJOS,X,X,O,X,O,O,X,X
TILZSJO,O,O,X,X,O,X,X,X
TILZSOJ,O,X,X,X,X,X,O,X
TILZOJS,O,X,O,X,X,X,X,X
TILZOSJ,O,X,X,X,X,X,X,X
TILOJSZ,X,O,O,X,X,X,X,X
TILOJZS,O,O,O,X,X,X,X,X
TILOSJZ,X,O,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,X
TILOZJS,O,O,O,X,X,X,X,X
TILOZSJ,O,O,X,X,X,X,X,X
TIJLSZO,X,O,X,X,O,O,X,X
TIJLSOZ,X,X,X,X,O,O,X,O
TIJLZSO,X,O,X,X,O,O,X,X
TIJLZOS,X,X,O,X,O,O,X,X
TIJLOSZ,X,O,O,X,O,O,X,X
TIJLOZS,X,O,O,X,O,O,X,X
TIJSLZO,X,O,X,X,O,X,X,X
TIJSLOZ,X,X,X,X,O,X,X,O
TIJSZLO,X,O,X,X,O,X,X,X
TIJSZOL,X,O,X,X,O,X,X,X
TIJSOLZ,X,O,X,O,O,X,X,O
TIJSOZL,X,O,X,O,O,X,X,X
TIJZLSO,X,O,X,X,O,O,X,X
TIJZLOS,X,X,O,X,O,O,X,X
TIJZSLO,X,O,X,X,O,X,X,X
TIJZSOL,X,O,X,X,O,X,X,X
TIJZOLS,X,O,O,O,O,X,X,X
TIJZOSL,X,O,X,O,O,X,X,X
TIJOLSZ,X,O,O,O,O,X,X,X
TIJOLZS,X,O,O,X,O,X,X,X
TIJOSLZ,X,O,X,O,O,X,X,X
TIJOSZL,X,O,X,O,O,X,X,X
TIJOZLS,X,O,O,O,O,X,X,X
TIJOZSL,X,O,X,O,O,X,X,X
TISLJZO,X,O,X,X,O,X,X,X
TISLJOZ,X,X,X,X,O,X,X,O
TISLZJO,X,O,X,X,O,X,X,X
TISLZOJ,X,X,X,X,X,X,O,X
TISLOJZ,X,X,X,X,X,X,X,O
TISLOZJ,X,X,X,X,X,X,O,X
TISJLZO,X,O,X,X,O,X,X,X
TISJLOZ,X,X,X,X,O,X,X,O
TISJZLO,X,O,X,X,O,X,X,X
TISJZOL,X,O,X,X,O,X,X,X
TISJOLZ,X,O,X,O,O,X,X,O
TISJOZL,X,O,X,O,O,X,X,X
TISZLJO,O,O,X,X,O,X,X,X
TISZLOJ,O,X,X,X,X,X,O,X
TISZJLO,X,O,X,X,O,X,X,X
TISZJOL,X,O,X,X,O,X,X,X
TISZOLJ,O,X,X,X,X,X,O,X
TISZOJL,O,O,X,X,O,X,X,X
TISOLJZ,X,O,X,X,X,X,X,O
TISOLZJ,X,O,X,X,X,X,O,X
TISOJLZ,X,O,X,O,O,X,X,O
TISOJZL,X,O,X,O,O,X,X,X
TISOZLJ,O,O,X,X,X,X,O,X
TISOZJL,O,O,X,O,O,X,X,X
TIZLJSO,O,O,X,X,O,O,X,X
TIZLJOS,X,X,O,X,O,O,X,X
TIZLSJO,O,O,X,X,O,X,X,X
TIZLSOJ,O,X,X,X,X,X,O,X
TIZLOJS,O,X,O,X,X,X,X,X
