sequence,v115@ShC8EeF8BeC8JeNEJvhFUgBGhBZnBqnBTjB/rB,v115@ShC8EeF8BeC8JeOEJvhFXgBdmB5mBcoBTnBisB,v115@ShC8EeF8BeC8JeOEJvhFXgBdmBRiBcoBSsBzrB,v115@ShC8EeF8BeC8JeOEJvhFXgBdmBRiBcoBqrBTsB,v115@ShC8EeF8BeC8JeNEJvhFUgBRhBCjBTmBesBXtB,v115@ShC8EeF8BeC8JeNEJvhFUgBamBWnBxiBXoBzrB,v115@ShC8EeF8BeC8JeNEJvhFUgBZnBCjBTmBXoBGrB
TILJSZO,O,O,O,O,X,X,X
TILJSOZ,O,O,X,O,X,X,X
TILJZSO,O,O,O,O,X,X,X
TILJZOS,O,O,O,O,X,X,X
TILJOSZ,O,O,X,O,X,X,X
TILJOZS,O,O,X,O,X,X,X
TILSJZO,O,O,O,O,X,O,O
TILSJOZ,O,O,X,O,X,O,O
TILSZJO,O,O,O,O,X,O,O
TILSZOJ,O,O,O,O,X,O,O
TILSOJZ,O,O,X,O,X,O,O
TILSOZJ,O,O,X,O,X,O,O
TILZJSO,O,O,O,O,X,X,X
TILZJOS,O,O,O,O,X,X,X
TILZSJO,O,O,O,O,X,O,O
TILZSOJ,O,O,O,O,X,O,O
TILZOJS,O,O,O,O,X,O,X
TILZOSJ,O,O,O,O,X,O,O
TILOJSZ,O,O,X,O,X,O,X
TILOJZS,O,O,X,O,X,O,X
TILOSJZ,O,O,X,O,X,O,O
TILOSZJ,O,O,X,O,X,O,O
TILOZJS,O,O,X,O,X,O,X
TILOZSJ,O,O,X,O,X,O,O
TIJLSZO,O,O,O,O,O,X,X
TIJLSOZ,O,O,X,O,O,X,X
TIJLZSO,O,O,O,O,O,X,X
TIJLZOS,O,O,O,O,X,X,X
TIJLOSZ,O,O,X,O,X,X,X
TIJLOZS,O,O,X,O,X,X,X
TIJSLZO,O,O,O,O,O,X,O
TIJSLOZ,O,O,X,O,O,X,O
TIJSZLO,O,O,O,O,O,X,O
TIJSZOL,O,O,O,O,O,X,O
TIJSOLZ,O,O,X,X,O,X,O
TIJSOZL,O,O,X,X,O,X,O
TIJZLSO,O,O,O,O,O,X,X
TIJZLOS,O,O,O,O,X,X,X
TIJZSLO,O,O,O,O,O,X,O
TIJZSOL,O,O,O,O,O,X,O
TIJZOLS,X,O,X,X,O,X,X
TIJZOSL,X,O,O,O,O,X,O
TIJOLSZ,X,O,X,X,O,X,X
TIJOLZS,X,O,X,X,O,X,X
TIJOSLZ,X,O,X,X,O,X,O
TIJOSZL,X,O,X,X,O,X,O
TIJOZLS,X,O,X,X,O,X,X
TIJOZSL,X,O,X,X,O,X,O
TISLJZO,O,O,O,O,O,O,O
TISLJOZ,O,O,X,O,O,O,O
TISLZJO,O,O,O,O,O,O,O
TISLZOJ,O,O,O,O,O,O,O
TISLOJZ,O,O,X,O,X,O,O
TISLOZJ,O,O,X,O,X,O,O
TISJLZO,O,O,O,O,O,O,O
TISJLOZ,O,O,X,O,O,O,O
TISJZLO,O,O,O,O,O,O,O
TISJZOL,O,O,O,O,O,O,O
TISJOLZ,O,O,X,X,O,O,O
TISJOZL,O,O,X,X,O,O,O
TISZLJO,O,O,O,O,O,O,O
TISZLOJ,O,O,O,O,O,O,O
TISZJLO,O,O,O,O,O,O,O
TISZJOL,O,O,O,O,O,O,O
TISZOLJ,O,O,X,X,O,O,O
TISZOJL,O,O,O,O,O,O,O
TISOLJZ,O,O,X,X,X,O,O
TISOLZJ,O,O,X,X,X,O,O
TISOJLZ,O,O,X,X,O,O,O
TISOJZL,O,O,X,X,O,O,O
TISOZLJ,O,O,X,X,X,O,O
TISOZJL,O,O,X,X,O,O,O
TIZLJSO,O,O,O,O,O,X,X
TIZLJOS,O,O,O,O,X,X,X
TIZLSJO,O,O,O,O,O,O,O
TIZLSOJ,O,O,O,O,O,O,O
TIZLOJS,O,O,O,O,O,O,X
TIZLOSJ,O,O,O,O,X,O,O
TIZJLSO,O,O,O,O,O,X,X
TIZJLOS,O,O,O,O,X,X,X
TIZJSLO,O,O,O,O,O,X,O
TIZJSOL,O,O,O,O,O,X,O
TIZJOLS,X,O,X,X,O,X,X
TIZJOSL,X,O,O,O,O,X,O
TIZSLJO,O,O,O,O,O,O,O
TIZSLOJ,O,O,O,O,O,O,O
TIZSJLO,O,O,O,O,O,O,O
TIZSJOL,O,O,O,O,O,O,O
TIZSOLJ,O,O,X,X,O,O,O
TIZSOJL,O,O,O,O,O,O,O
TIZOLJS,O,O,X,X,O,O,X
TIZOLSJ,O,O,X,X,X,O,O
TIZOJLS,X,O,X,X,O,O,X
TIZOJSL,X,O,O,O,O,O,O
TIZOSLJ,O,O,X,X,O,O,O
TIZOSJL,O,O,O,O,O,O,O
TIOLJSZ,O,O,X,X,O,O,X
TIOLJZS,O,O,X,X,O,O,X
TIOLSJZ,O,O,X,X,X,O,O
TIOLSZJ,O,O,X,X,X,O,O
TIOLZJS,O,O,X,X,O,O,X
TIOLZSJ,O,O,X,X,X,O,O
TIOJLSZ,X,O,X,X,O,O,X
TIOJLZS,X,O,X,X,O,O,X
TIOJSLZ,X,O,X,X,O,O,O
TIOJSZL,X,O,X,X,O,O,O
TIOJZLS,X,O,X,X,O,O,X
TIOJZSL,X,O,X,X,O,O,O
TIOSLJZ,O,O,X,X,X,O,O
TIOSLZJ,O,O,X,X,X,O,O
TIOSJLZ,O,O,X,X,O,O,O
TIOSJZL,O,O,X,X,O,O,O
TIOSZLJ,O,O,X,X,X,O,O
TIOSZJL,O,O,X,X,O,O,O
TIOZLJS,O,O,X,X,O,O,X
TIOZLSJ,O,O,X,X,X,O,O
TIOZJLS,X,O,X,X,O,O,X
TIOZJSL,X,O,X,X,O,O,O
TIOZSLJ,O,O,X,X,X,O,O
TIOZSJL,O,O,X,X,O,O,O
TLIJSZO,O,O,O,O,X,X,X
TLIJSOZ,O,O,X,O,X,X,X
TLIJZSO,O,O,O,O,X,X,X
TLIJZOS,O,O,O,O,X,X,X
TLIJOSZ,O,O,X,O,X,X,X
TLIJOZS,O,O,X,O,X,X,X
TLISJZO,O,O,O,O,X,O,O
TLISJOZ,O,O,X,O,X,O,O
TLISZJO,O,O,O,O,X,O,O
TLISZOJ,O,O,O,O,X,O,O
TLISOJZ,O,O,X,O,X,O,O
TLISOZJ,O,O,X,O,X,O,O
TLIZJSO,O,O,O,O,X,X,X
TLIZJOS,O,O,O,O,X,X,X
TLIZSJO,O,O,O,O,X,O,O
TLIZSOJ,O,O,O,O,X,O,O
TLIZOJS,O,O,O,O,X,O,X
TLIZOSJ,O,O,O,O,X,O,O
TLIOJSZ,O,O,X,O,X,O,X
TLIOJZS,O,O,X,O,X,O,X
TLIOSJZ,O,O,X,O,X,O,O
TLIOSZJ,O,O,X,O,X,O,O
TLIOZJS,O,O,X,O,X,O,X
TLIOZSJ,O,O,X,O,X,O,O
TLJISZO,O,O,O,O,O,X,X
TLJISOZ,O,O,X,O,O,X,X
TLJIZSO,O,O,O,O,O,X,X
TLJIZOS,O,O,O,O,X,X,X
TLJIOSZ,O,O,X,O,X,X,X
TLJIOZS,O,O,X,O,X,X,X
TLJSIZO,O,O,O,O,O,O,X
TLJSIOZ,O,O,X,O,O,O,X
TLJSZIO,O,O,O,O,O,O,X
TLJSZOI,O,O,O,O,O,O,X
TLJSOIZ,O,O,X,O,O,O,X
TLJSOZI,O,O,O,O,O,O,X
