sequence,v115@GhA8IeA8CeA8DeB8AeD8BeC8JeZEJvhFukB8mBziBi?lBFmBXsB,v115@GhA8IeA8CeA8DeB8AeD8BeC8JeZEJvhFukBXiB8nBi?lBFmBzrB,v115@GhA8IeA8CeA8DeB8AeD8BeC8JecFJvhFxhBynBOpBT?mBlkBXsB,v115@GhA8IeA8CeA8DeB8AeD8BeC8JeZEJvhFCgBThB8nBX?lBlrBOsB
TILJSZO,O,X,X,X
TILJSOZ,O,X,X,X
TILJZSO,X,O,X,X
TILJZOS,X,O,X,X
TILJOSZ,O,X,X,X
TILJOZS,X,O,X,X
TILSJZO,O,X,X,O
TILSJOZ,O,X,X,O
TILSZJO,O,X,X,O
TILSZOJ,O,X,X,O
TILSOJZ,O,X,X,O
TILSOZJ,O,X,X,O
TILZJSO,X,O,X,X
TILZJOS,X,O,X,X
TILZSJO,X,O,X,O
TILZSOJ,X,X,X,O
TILZOJS,X,O,X,X
TILZOSJ,X,O,X,O
TILOJSZ,O,X,X,X
TILOJZS,X,O,X,X
TILOSJZ,O,X,X,O
TILOSZJ,O,X,X,O
TILOZJS,X,O,X,X
TILOZSJ,X,O,X,O
TIJLSZO,O,X,X,X
TIJLSOZ,O,X,X,X
TIJLZSO,X,O,X,X
TIJLZOS,X,O,X,X
TIJLOSZ,O,X,X,X
TIJLOZS,X,O,X,X
TIJSLZO,O,X,X,O
TIJSLOZ,O,X,X,O
TIJSZLO,O,X,X,O
TIJSZOL,O,X,X,O
TIJSOLZ,O,X,X,O
TIJSOZL,O,X,X,O
TIJZLSO,X,O,X,X
TIJZLOS,X,O,X,X
TIJZSLO,X,O,X,O
TIJZSOL,X,X,X,O
TIJZOLS,X,O,X,X
TIJZOSL,X,O,X,O
TIJOLSZ,O,X,X,X
TIJOLZS,X,O,X,X
TIJOSLZ,O,X,X,O
TIJOSZL,O,X,X,O
TIJOZLS,X,O,X,X
TIJOZSL,X,O,X,O
TISLJZO,O,X,X,O
TISLJOZ,O,X,X,O
TISLZJO,O,X,X,O
TISLZOJ,O,X,X,O
TISLOJZ,O,X,X,O
TISLOZJ,O,X,X,O
TISJLZO,O,X,X,O
TISJLOZ,O,X,X,O
TISJZLO,O,X,X,O
TISJZOL,O,X,X,O
TISJOLZ,O,X,X,O
TISJOZL,O,X,X,O
TISZLJO,O,X,X,O
TISZLOJ,O,X,X,O
TISZJLO,O,X,X,O
TISZJOL,O,X,X,O
TISZOLJ,O,X,X,O
TISZOJL,O,X,X,O
TISOLJZ,O,X,X,O
TISOLZJ,O,X,X,O
TISOJLZ,O,X,X,O
TISOJZL,O,X,X,O
TISOZLJ,O,X,X,O
TISOZJL,O,X,X,O
TIZLJSO,X,O,X,X
TIZLJOS,X,O,X,X
TIZLSJO,X,O,X,O
TIZLSOJ,X,X,X,O
TIZLOJS,X,O,X,X
TIZLOSJ,X,O,X,O
TIZJLSO,X,O,X,X
TIZJLOS,X,O,X,X
TIZJSLO,X,O,X,O
TIZJSOL,X,X,X,O
TIZJOLS,X,O,X,X
TIZJOSL,X,O,X,O
TIZSLJO,X,O,X,O
TIZSLOJ,X,X,X,O
TIZSJLO,X,O,X,O
TIZSJOL,X,X,X,O
TIZSOLJ,X,X,X,O
TIZSOJL,X,X,X,O
TIZOLJS,X,O,X,X
TIZOLSJ,X,O,X,O
TIZOJLS,X,O,X,X
TIZOJSL,X,O,X,O
TIZOSLJ,X,O,X,O
TIZOSJL,X,O,X,O
TIOLJSZ,O,X,X,X
TIOLJZS,X,O,X,X
TIOLSJZ,O,X,X,O
TIOLSZJ,O,X,X,O
TIOLZJS,X,O,X,X
TIOLZSJ,X,O,X,O
TIOJLSZ,O,X,X,X
TIOJLZS,X,O,X,X
TIOJSLZ,O,X,X,O
TIOJSZL,O,X,X,O
TIOJZLS,X,O,X,X
