sequence,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeRAJvhFFiB6oBXlB0?mBznBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je3AJvhF1mBxiBSsBT?oBUqBupB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je1FJvhFxhBXjBzmBS?tBUqBupB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeRAJvhF3hBziB+oBV?sBUqBCqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JefIJvhF6oBRlBUnBl?mBzpBGqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeWFJvhF1mBxiBSsBT?oB8pB3qB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhF6oBRlBznBF?lB0mBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JelBJvhFUjBRlBXnBS?tBzpBGqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JefFJvhF0gBSnBTjBl?mBWvBxxB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhFRlBCoBFlB0?mBToBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je0BJvhFRlBCoBFlBX?nBToBWvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JexBJvhF8nB+oBfqBz?mBlqBCqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeXCJvhFTjBRlBWtBC?lB0mBVvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je5EJvhFVnBilBXoB0?mBGoBTqB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeWFJvhFFjBxmBStB8?pBzmB3qB,v115@9gA8IeA8IeA8BeB8EeA8CeF8JeuEJvhF3gBUjBxmBz?mBStBVvB,v115@9gA8IeA8IeA8BeB8EeA8CeF8Je0BJvhFTjBRlBWtBC?lBXnBVvB
TILJSZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
TILJSOZ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TILJZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TILJOSZ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X
TILJOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TILSJZO,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,O,X
TILSJOZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X,X
TILSZJO,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,O,X
TILSZOJ,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X,X,X
TILSOJZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TILSOZJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X
TILZJSO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,O,X
TILZJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O
TILZSJO,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X
TILZSOJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZOJS,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILZOSJ,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,O,X,X,O,X,X,X,X,X,O,X,X
TILOJZS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TILOSJZ,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X
TIJLSOZ,X,X,X,X,X,X,X,X,O,X,X,X,O,X,O,X,X
TIJLZSO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X
TIJLZOS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TIJLOSZ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X
TIJLOZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIJSLZO,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TIJSLOZ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJSZLO,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,O,X
TIJSZOL,X,X,X,O,X,X,X,O,O,X,X,X,O,X,X,O,O
TIJSOLZ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJSOZL,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
TIJZLSO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJZLOS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJZSLO,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
TIJZSOL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TIJZOLS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
TIJZOSL,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,O,O
TIJOLSZ,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X
TIJOLZS,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIJOSLZ,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X
TIJOSZL,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,O,O
