sequence,v115@9gA8IeA8IeB8CeA8BeC8DeB8AeB8JeWFJvhFNmBanB?5nBTjB0qBXqB,v115@9gA8IeA8IeB8CeA8BeC8DeB8AeB8JeWFJvhFNmBanB?5nBTjBXqB0qB,v115@9gA8IeA8IeB8CeA8BeC8DeB8AeB8JedFJvhFUhBanB?5nBTjBfrBWvB,v115@9gA8IeA8IeB8CeA8BeC8DeB8AeB8JeGAJvhFNmBRiB?SoB/sB0qBzpB
ITOZSJL,O,O,O,X
ILTJSZO,X,O,O,X
ILTJSOZ,O,O,O,X
ILTJZSO,O,X,X,X
ILTJZOS,O,O,X,X
ILTJOSZ,O,O,O,X
ILTJOZS,O,O,X,X
ILTSJZO,X,O,O,X
ILTSJOZ,O,O,O,X
ILTSZJO,O,O,O,X
ILTSZOJ,O,O,O,X
ILTSOJZ,O,O,O,X
ILTSOZJ,O,O,O,X
ILTZJSO,O,X,X,X
ILTZJOS,O,O,X,X
ILTZSJO,O,O,O,X
ILTZSOJ,O,O,O,X
ILTZOJS,O,O,X,X
ILTZOSJ,O,O,O,X
ILTOJSZ,O,O,O,X
ILTOJZS,O,O,X,X
ILTOSJZ,O,O,O,X
ILTOSZJ,O,O,O,X
ILTOZJS,O,O,X,X
ILTOZSJ,O,O,O,X
ILJTSZO,X,O,O,X
ILJTSOZ,O,O,O,X
ILJTZSO,O,X,X,X
ILJTZOS,O,O,X,X
ILJTOSZ,O,O,O,X
ILJTOZS,O,O,X,X
ILJSTZO,X,O,O,X
ILJSTOZ,X,O,O,X
ILJSZTO,X,X,O,X
ILJSZOT,X,X,O,X
ILJSOTZ,X,O,O,X
ILJSOZT,X,X,O,X
ILJZTSO,O,X,X,X
ILJZTOS,O,X,X,X
ILJZSTO,X,X,O,X
ILJZSOT,X,X,O,X
ILJZOTS,O,X,X,X
ILJZOST,X,X,O,X
ILJOTSZ,O,O,O,X
ILJOTZS,O,O,X,X
ILJOSTZ,X,O,O,X
ILJOSZT,X,X,O,X
ILJOZTS,O,X,X,X
ILJOZST,X,X,O,X
ILSTJZO,X,O,O,X
ILSTJOZ,O,O,O,X
ILSTZJO,O,O,O,X
ILSTZOJ,O,O,O,X
ILSTOJZ,O,O,O,X
ILSTOZJ,O,O,O,X
ILSJTZO,X,O,O,X
ILSJTOZ,X,O,O,X
ILSJZTO,X,X,O,X
ILSJZOT,X,X,O,X
ILSJOTZ,X,O,O,X
ILSJOZT,X,X,O,X
ILSZTJO,O,O,O,X
ILSZTOJ,O,O,O,X
ILSZJTO,X,X,O,X
ILSZJOT,X,X,O,X
ILSZOTJ,O,O,O,X
ILSZOJT,X,X,O,X
ILSOTJZ,O,O,O,X
ILSOTZJ,O,O,O,X
ILSOJTZ,X,O,O,X
ILSOJZT,X,X,O,X
ILSOZTJ,O,O,O,X
ILSOZJT,X,X,O,X
ILZTJSO,O,X,X,X
ILZTJOS,O,O,X,X
ILZTSJO,O,O,O,X
ILZTSOJ,O,O,O,X
ILZTOJS,O,O,X,X
ILZTOSJ,O,O,O,X
ILZJTSO,O,X,X,X
ILZJTOS,O,X,X,X
ILZJSTO,X,X,O,X
ILZJSOT,X,X,O,X
ILZJOTS,O,X,X,X
ILZJOST,X,X,O,X
ILZSTJO,O,O,O,X
ILZSTOJ,O,O,O,X
ILZSJTO,X,X,O,X
ILZSJOT,X,X,O,X
ILZSOTJ,O,O,O,X
ILZSOJT,X,X,O,X
ILZOTJS,O,O,X,X
ILZOTSJ,O,O,O,X
ILZOJTS,O,X,X,X
ILZOJST,X,X,O,X
ILZOSTJ,O,O,O,X
ILZOSJT,X,X,O,X
ILOTJSZ,O,O,O,X
ILOTJZS,O,O,X,X
ILOTSJZ,O,O,O,X
ILOTSZJ,O,O,O,X
ILOTZJS,O,O,X,X
ILOTZSJ,O,O,O,X
ILOJTSZ,O,O,O,X
ILOJTZS,O,O,X,X
ILOJSTZ,X,O,O,X
ILOJSZT,X,X,O,X
ILOJZTS,O,X,X,X
ILOJZST,X,X,O,X
ILOSTJZ,O,O,O,X
ILOSTZJ,O,O,O,X
ILOSJTZ,X,O,O,X
ILOSJZT,X,X,O,X
ILOSZTJ,O,O,O,X
ILOSZJT,X,X,O,X
ILOZTJS,O,O,X,X
ILOZTSJ,O,O,O,X
ILOZJTS,O,X,X,X
ILOZJST,X,X,O,X
ILOZSTJ,O,O,O,X
ILOZSJT,X,X,O,X
IJTLSZO,X,O,O,X
IJTLSOZ,O,O,O,X
IJTLZSO,O,X,X,X
IJTLZOS,O,O,X,X
IJTLOSZ,O,O,O,X
IJTLOZS,O,O,X,X
IJTSLZO,X,O,O,X
IJTSLOZ,O,O,O,X
IJTSZLO,X,O,O,X
IJTSZOL,X,O,O,X
IJTSOLZ,O,O,O,X
IJTSOZL,X,O,O,X
IJTZLSO,O,X,X,X
IJTZLOS,O,O,X,X
IJTZSLO,O,X,X,X
IJTZSOL,O,X,X,X
IJTZOLS,O,O,X,X
IJTZOSL,O,X,X,X
IJTOLSZ,O,O,O,X
IJTOLZS,O,O,X,X
IJTOSLZ,O,O,O,X
IJTOSZL,X,O,O,X
IJTOZLS,O,O,X,X
IJTOZSL,O,X,X,X
IJLTSZO,X,O,O,X
IJLTSOZ,O,O,O,X
IJLTZSO,O,X,X,X
IJLTZOS,O,O,X,X
IJLTOSZ,O,O,O,X
IJLTOZS,O,O,X,X
IJLSTZO,X,O,O,X
IJLSTOZ,X,O,O,X
IJLSZTO,X,X,O,X
IJLSZOT,X,X,O,X
IJLSOTZ,X,O,O,X
IJLSOZT,X,X,O,X
IJLZTSO,O,X,X,X
IJLZTOS,O,X,X,X
IJLZSTO,X,X,O,X
IJLZSOT,X,X,O,X
IJLZOTS,O,X,X,X
IJLZOST,X,X,O,X
IJLOTSZ,O,O,O,X
IJLOTZS,O,O,X,X
IJLOSTZ,X,O,O,X
IJLOSZT,X,X,O,X
IJLOZTS,O,X,X,X
IJLOZST,X,X,O,X
IJSTLZO,X,O,O,X
IJSTLOZ,O,O,O,X
IJSTZLO,X,O,O,X
IJSTZOL,X,O,O,X
IJSTOLZ,O,O,O,X
IJSTOZL,X,O,O,X
IJSLTZO,X,O,O,X
IJSLTOZ,X,O,O,X
IJSLZTO,X,X,O,X
IJSLZOT,X,X,O,X
IJSLOTZ,X,O,O,X
IJSLOZT,X,X,O,X
IJSZTLO,X,O,O,X
IJSZTOL,X,O,O,X
IJSZLTO,X,X,O,X
IJSZLOT,X,X,O,X
IJSZOTL,X,O,O,X
IJSZOLT,X,X,O,X
IJSOTLZ,O,O,O,X
IJSOTZL,X,O,O,X
IJSOLTZ,X,O,O,X
IJSOLZT,X,X,O,X
IJSOZTL,X,O,O,X
IJSOZLT,X,X,O,X
IJZTLSO,O,X,X,X
IJZTLOS,O,O,X,X
IJZTSLO,O,X,X,X
IJZTSOL,O,X,X,X
IJZTOLS,O,O,X,X
IJZTOSL,O,X,X,X
IJZLTSO,O,X,X,X
IJZLTOS,O,X,X,X
IJZLSTO,X,X,O,X
IJZLSOT,X,X,O,X
IJZLOTS,O,X,X,X
IJZLOST,X,X,O,X
IJZSTLO,O,X,O,X
IJZSTOL,O,X,O,X
IJZSLTO,X,X,O,X
IJZSLOT,X,X,O,X
IJZSOTL,O,X,O,X
IJZSOLT,X,X,O,X
IJZOTLS,O,O,X,X
IJZOTSL,O,X,X,X
IJZOLTS,O,X,X,X
IJZOLST,X,X,O,X
IJZOSTL,O,X,O,X
IJZOSLT,X,X,O,X
IJOTLSZ,O,O,O,X
IJOTLZS,O,O,X,X
IJOTSLZ,O,O,O,X
IJOTSZL,X,O,O,X
IJOTZLS,O,O,X,X
IJOTZSL,O,X,X,X
IJOLTSZ,O,O,O,X
IJOLTZS,O,O,X,X
IJOLSTZ,X,O,O,X
IJOLSZT,X,X,O,X
IJOLZTS,O,X,X,X
IJOLZST,X,X,O,X
IJOSTLZ,O,O,O,X
IJOSTZL,X,O,O,X
IJOSLTZ,X,O,O,X
IJOSLZT,X,X,O,X
IJOSZTL,X,O,O,X
IJOSZLT,X,X,O,X
IJOZTLS,O,O,X,X
IJOZTSL,O,X,X,X
IJOZLTS,O,X,X,X
IJOZLST,X,X,O,X
IJOZSTL,O,X,O,X
IJOZSLT,X,X,O,X
ISTLJZO,X,O,O,O
ISTLJOZ,O,O,O,X
ISTLZJO,O,O,O,O
ISTLZOJ,O,O,O,O
ISTLOJZ,O,O,O,X
ISTLOZJ,O,O,O,O
ISTJLZO,X,O,O,O
ISTJLOZ,O,O,O,X
ISTJZLO,X,O,O,O
ISTJZOL,X,O,O,O
ISTJOLZ,O,O,O,X
ISTJOZL,X,O,O,X
ISTZLJO,O,O,O,O
ISTZLOJ,O,O,O,O
ISTZJLO,O,O,O,O
ISTZJOL,O,O,O,O
ISTZOLJ,O,O,O,O
ISTZOJL,O,O,O,O
ISTOLJZ,O,O,O,X
ISTOLZJ,O,O,O,O
ISTOJLZ,O,O,O,X
ISTOJZL,X,O,O,X
ISTOZLJ,O,O,O,O
ISTOZJL,O,O,O,O
ISLTJZO,X,O,O,O
ISLTJOZ,O,O,O,X
ISLTZJO,O,O,O,O
ISLTZOJ,O,O,O,O
ISLTOJZ,O,O,O,X
ISLTOZJ,O,O,O,O
ISLJTZO,X,O,O,O
ISLJTOZ,X,O,O,X
ISLJZTO,X,X,O,O
ISLJZOT,X,X,O,X
ISLJOTZ,X,O,O,X
ISLJOZT,X,X,O,X
ISLZTJO,O,O,O,O
ISLZTOJ,O,O,O,O
ISLZJTO,X,X,O,O
ISLZJOT,X,X,O,X
ISLZOTJ,O,O,O,O
ISLZOJT,X,X,O,X
ISLOTJZ,O,O,O,X
ISLOTZJ,O,O,O,O
ISLOJTZ,X,O,O,X
ISLOJZT,X,X,O,X
ISLOZTJ,O,O,O,O
ISLOZJT,X,X,O,X
ISJTLZO,X,O,O,O
ISJTLOZ,O,O,O,X
ISJTZLO,X,O,O,O
ISJTZOL,X,O,O,O
ISJTOLZ,O,O,O,X
ISJTOZL,X,O,O,X
ISJLTZO,X,O,O,O
ISJLTOZ,X,O,O,X
ISJLZTO,X,X,O,O
ISJLZOT,X,X,O,X
ISJLOTZ,X,O,O,X
ISJLOZT,X,X,O,X
ISJZTLO,X,O,O,O
ISJZTOL,X,O,O,O
ISJZLTO,X,X,O,O
ISJZLOT,X,X,O,X
ISJZOTL,X,O,O,X
ISJZOLT,X,X,O,X
ISJOTLZ,O,O,O,X
ISJOTZL,X,O,O,X
ISJOLTZ,X,O,O,X
ISJOLZT,X,X,O,X
ISJOZTL,X,O,O,X
ISJOZLT,X,X,O,X
ISZTLJO,O,O,O,O
ISZTLOJ,O,O,O,O
ISZTJLO,O,O,O,O
ISZTJOL,O,O,O,O
ISZTOLJ,O,O,O,O
ISZTOJL,O,O,O,O
ISZLTJO,O,O,O,O
ISZLTOJ,O,O,O,O
ISZLJTO,X,X,O,O
ISZLJOT,X,X,O,X
ISZLOTJ,O,O,O,O
ISZLOJT,X,X,O,X
ISZJTLO,O,O,O,O
ISZJTOL,O,O,O,O
ISZJLTO,X,X,O,O
ISZJLOT,X,X,O,X
ISZJOTL,O,O,O,X
ISZJOLT,X,X,O,X
ISZOTLJ,O,O,O,O
ISZOTJL,O,O,O,O
ISZOLTJ,O,O,O,O
ISZOLJT,X,X,O,X
ISZOJTL,O,O,O,X
ISZOJLT,X,X,O,X
ISOTLJZ,O,O,O,X
ISOTLZJ,O,O,O,O
ISOTJLZ,O,O,O,X
ISOTJZL,X,O,O,X
ISOTZLJ,O,O,O,O
ISOTZJL,O,O,O,O
ISOLTJZ,O,O,O,X
ISOLTZJ,O,O,O,O
ISOLJTZ,X,O,O,X
ISOLJZT,X,X,O,X
ISOLZTJ,O,O,O,O
ISOLZJT,X,X,O,X
ISOJTLZ,O,O,O,X
ISOJTZL,X,O,O,X
ISOJLTZ,X,O,O,X
ISOJLZT,X,X,O,X
ISOJZTL,X,O,O,X
ISOJZLT,X,X,O,X
ISOZTLJ,O,O,O,O
ISOZTJL,O,O,O,O
ISOZLTJ,O,O,O,O
ISOZLJT,X,X,O,X
ISOZJTL,O,O,O,X
ISOZJLT,X,X,O,X
IZTLJSO,O,X,X,X
IZTLJOS,O,O,X,X
IZTLSJO,O,O,O,X
IZTLSOJ,O,O,O,X
IZTLOJS,O,O,X,X
IZTLOSJ,O,O,O,X
IZTJLSO,O,X,X,X
IZTJLOS,O,O,X,X
IZTJSLO,O,X,X,O
IZTJSOL,O,X,X,O
IZTJOLS,O,O,X,X
IZTJOSL,O,X,X,X
IZTSLJO,O,O,O,O
IZTSLOJ,O,O,O,O
IZTSJLO,O,O,O,O
IZTSJOL,O,O,O,O
IZTSOLJ,O,O,O,O
IZTSOJL,O,O,O,O
IZTOLJS,O,O,X,X
IZTOLSJ,O,O,O,X
IZTOJLS,O,O,X,X
IZTOJSL,O,X,X,X
IZTOSLJ,O,O,O,X
IZTOSJL,O,O,O,X
IZLTJSO,O,X,X,X
IZLTJOS,O,O,X,X
IZLTSJO,O,O,O,X
IZLTSOJ,O,O,O,X
IZLTOJS,O,O,X,X
IZLTOSJ,O,O,O,X
IZLJTSO,O,X,X,X
IZLJTOS,O,X,X,X
IZLJSTO,X,X,O,X
IZLJSOT,X,X,O,X
IZLJOTS,O,X,X,X
IZLJOST,X,X,O,X
IZLSTJO,O,O,O,X
IZLSTOJ,O,O,O,X
IZLSJTO,X,X,O,X
IZLSJOT,X,X,O,X
IZLSOTJ,O,O,O,X
IZLSOJT,X,X,O,X
IZLOTJS,O,O,X,X
IZLOTSJ,O,O,O,X
IZLOJTS,O,X,X,X
IZLOJST,X,X,O,X
IZLOSTJ,O,O,O,X
IZLOSJT,X,X,O,X
IZJTLSO,O,X,X,X
IZJTLOS,O,O,X,X
IZJTSLO,O,X,X,O
IZJTSOL,O,X,X,O
IZJTOLS,O,O,X,X
IZJTOSL,O,X,X,X
IZJLTSO,O,X,X,X
IZJLTOS,O,X,X,X
IZJLSTO,X,X,O,X
IZJLSOT,X,X,O,X
IZJLOTS,O,X,X,X
IZJLOST,X,X,O,X
IZJSTLO,O,X,O,O
IZJSTOL,O,X,O,O
IZJSLTO,X,X,O,O
IZJSLOT,X,X,O,X
IZJSOTL,O,X,O,X
IZJSOLT,X,X,O,X
IZJOTLS,O,O,X,X
IZJOTSL,O,X,X,X
IZJOLTS,O,X,X,X
IZJOLST,X,X,O,X
IZJOSTL,O,X,O,X
IZJOSLT,X,X,O,X
IZSTLJO,O,O,O,O
IZSTLOJ,O,O,O,O
IZSTJLO,O,O,O,O
IZSTJOL,O,O,O,O
IZSTOLJ,O,O,O,O
IZSTOJL,O,O,O,O
IZSLTJO,O,O,O,O
IZSLTOJ,O,O,O,O
IZSLJTO,X,X,O,O
IZSLJOT,X,X,O,X
IZSLOTJ,O,O,O,O
IZSLOJT,X,X,O,X
IZSJTLO,O,O,O,O
IZSJTOL,O,O,O,O
IZSJLTO,X,X,O,O
IZSJLOT,X,X,O,X
IZSJOTL,O,O,O,X
IZSJOLT,X,X,O,X
IZSOTLJ,O,O,O,O
IZSOTJL,O,O,O,O
IZSOLTJ,O,O,O,O
IZSOLJT,X,X,O,X
IZSOJTL,O,O,O,X
IZSOJLT,X,X,O,X
IZOTLJS,O,O,X,X
IZOTLSJ,O,O,O,X
IZOTJLS,O,O,X,X
IZOTJSL,O,X,X,X
IZOTSLJ,O,O,O,X
IZOTSJL,O,O,O,X
IZOLTJS,O,O,X,X
IZOLTSJ,O,O,O,X
IZOLJTS,O,X,X,X
IZOLJST,X,X,O,X
IZOLSTJ,O,O,O,X
IZOLSJT,X,X,O,X
IZOJTLS,O,O,X,X
IZOJTSL,O,X,X,X
IZOJLTS,O,X,X,X
IZOJLST,X,X,O,X
IZOJSTL,O,X,O,X
IZOJSLT,X,X,O,X
IZOSTLJ,O,O,O,X
IZOSTJL,O,O,O,X
IZOSLTJ,O,O,O,X
IZOSLJT,X,X,O,X
IZOSJTL,O,O,O,X
IZOSJLT,X,X,O,X
IOTLJSZ,O,O,O,X
IOTLJZS,O,O,X,X
IOTLSJZ,O,O,O,X
IOTLSZJ,O,O,O,X
IOTLZJS,O,O,X,X
IOTLZSJ,O,O,O,X
IOTJLSZ,O,O,O,X
IOTJLZS,O,O,X,X
IOTJSLZ,O,O,O,X
IOTJSZL,X,O,O,X
IOTJZLS,O,O,X,X
IOTJZSL,O,X,X,X
IOTSLJZ,O,O,O,X
IOTSLZJ,O,O,O,X
IOTSJLZ,O,O,O,X
IOTSJZL,X,O,O,X
IOTSZLJ,O,O,O,X
IOTSZJL,O,O,O,X
IOTZLJS,O,O,X,X
IOTZLSJ,O,O,O,X
IOTZJLS,O,O,X,X
IOTZJSL,O,X,X,X
IOTZSLJ,O,O,O,X
IOTZSJL,O,O,O,X
IOLTJSZ,O,O,O,X
IOLTJZS,O,O,X,X
IOLTSJZ,O,O,O,X
IOLTSZJ,O,O,O,X
IOLTZJS,O,O,X,X
IOLTZSJ,O,O,O,X
IOLJTSZ,O,O,O,X
IOLJTZS,O,O,X,X
IOLJSTZ,X,O,O,X
IOLJSZT,X,X,O,X
IOLJZTS,O,X,X,X
IOLJZST,X,X,O,X
IOLSTJZ,O,O,O,X
IOLSTZJ,O,O,O,X
IOLSJTZ,X,O,O,X
IOLSJZT,X,X,O,X
IOLSZTJ,O,O,O,X
IOLSZJT,X,X,O,X
IOLZTJS,O,O,X,X
IOLZTSJ,O,O,O,X
IOLZJTS,O,X,X,X
IOLZJST,X,X,O,X
IOLZSTJ,O,O,O,X
IOLZSJT,X,X,O,X
IOJTLSZ,O,O,O,X
IOJTLZS,O,O,X,X
IOJTSLZ,O,O,O,X
IOJTSZL,X,O,O,X
IOJTZLS,O,O,X,X
IOJTZSL,O,X,X,X
IOJLTSZ,O,O,O,X
IOJLTZS,O,O,X,X
IOJLSTZ,X,O,O,X
IOJLSZT,X,X,O,X
IOJLZTS,O,X,X,X
IOJLZST,X,X,O,X
IOJSTLZ,O,O,O,X
IOJSTZL,X,O,O,X
IOJSLTZ,X,O,O,X
IOJSLZT,X,X,O,X
IOJSZTL,X,O,O,X
IOJSZLT,X,X,O,X
IOJZTLS,O,O,X,X
IOJZTSL,O,X,X,X
IOJZLTS,O,X,X,X
IOJZLST,X,X,O,X
IOJZSTL,O,X,O,X
IOJZSLT,X,X,O,X
IOSTLJZ,O,O,O,X
IOSTLZJ,O,O,O,X
IOSTJLZ,O,O,O,X
IOSTJZL,X,O,O,X
IOSTZLJ,O,O,O,X
IOSTZJL,O,O,O,X
IOSLTJZ,O,O,O,X
IOSLTZJ,O,O,O,X
IOSLJTZ,X,O,O,X
IOSLJZT,X,X,O,X
IOSLZTJ,O,O,O,X
IOSLZJT,X,X,O,X
IOSJTLZ,O,O,O,X
IOSJTZL,X,O,O,X
IOSJLTZ,X,O,O,X
IOSJLZT,X,X,O,X
IOSJZTL,X,O,O,X
IOSJZLT,X,X,O,X
IOSZTLJ,O,O,O,X
IOSZTJL,O,O,O,X
IOSZLTJ,O,O,O,X
IOSZLJT,X,X,O,X
IOSZJTL,O,O,O,X
IOSZJLT,X,X,O,X
IOZTLJS,O,O,X,X
IOZTLSJ,O,O,O,X
IOZTJLS,O,O,X,X
IOZTJSL,O,X,X,X
IOZTSLJ,O,O,O,X
IOZTSJL,O,O,O,X
IOZLTJS,O,O,X,X
IOZLTSJ,O,O,O,X
IOZLJTS,O,X,X,X
IOZLJST,X,X,O,X
IOZLSTJ,O,O,O,X
IOZLSJT,X,X,O,X
IOZJTLS,O,O,X,X
IOZJTSL,O,X,X,X
IOZJLTS,O,X,X,X
IOZJLST,X,X,O,X
IOZJSTL,O,X,O,X
IOZJSLT,X,X,O,X
IOZSTLJ,O,O,O,X
IOZSTJL,O,O,O,X
IOZSLTJ,O,O,O,X
IOZSLJT,X,X,O,X
IOZSJTL,O,O,O,X
IOZSJLT,X,X,O,X
LTIJSZO,X,O,O,X
LTIJSOZ,O,O,O,X
LTIJZSO,O,X,X,X
LTIJZOS,O,O,X,X
LTIJOSZ,O,O,O,X
LTIJOZS,O,O,X,X
LTISJZO,X,O,O,X
LTISJOZ,O,O,O,X
LTISZJO,O,O,O,X
LTISZOJ,O,O,O,X
LTISOJZ,O,O,O,X
LTISOZJ,O,O,O,X
LTIZJSO,O,X,X,X
LTIZJOS,O,O,X,X
LTIZSJO,O,O,O,X
LTIZSOJ,O,O,O,X
LTIZOJS,O,O,X,X
LTIZOSJ,O,O,O,X
LTIOJSZ,O,O,O,X
LTIOJZS,O,O,X,X
LTIOSJZ,O,O,O,X
LTIOSZJ,O,O,O,X
LTIOZJS,O,O,X,X
LTIOZSJ,O,O,O,X
LTJISZO,X,O,O,X
LTJISOZ,O,O,O,X
LTJIZSO,O,X,X,X
LTJIZOS,O,O,X,X
LTJIOSZ,O,O,O,X
LTJIOZS,O,O,X,X
LTJSIZO,X,O,O,X
LTJSIOZ,O,O,O,X
LTJSZIO,X,O,O,X
LTJSZOI,X,O,O,X
LTJSOIZ,O,O,O,X
LTJSOZI,X,O,O,X
LTJZISO,O,X,X,X
LTJZIOS,O,O,X,X
LTJZSIO,O,X,X,X
LTJZSOI,O,X,X,X
LTJZOIS,O,O,X,X
LTJZOSI,O,X,X,X
LTJOISZ,O,O,O,X
LTJOIZS,O,O,X,X
LTJOSIZ,O,O,O,X
LTJOSZI,X,O,O,X
LTJOZIS,O,O,X,X
LTJOZSI,O,X,X,X
LTSIJZO,X,O,O,O
LTSIJOZ,O,O,O,X
LTSIZJO,O,O,O,O
LTSIZOJ,O,O,O,O
LTSIOJZ,O,O,O,X
LTSIOZJ,O,O,O,O
LTSJIZO,X,O,O,O
LTSJIOZ,O,O,O,X
LTSJZIO,X,O,O,O
LTSJZOI,X,O,O,O
LTSJOIZ,O,O,O,X
LTSJOZI,X,O,O,X
LTSZIJO,O,O,O,O
LTSZIOJ,O,O,O,O
LTSZJIO,O,O,O,O
LTSZJOI,O,O,O,O
LTSZOIJ,O,O,O,O
LTSZOJI,O,O,O,O
LTSOIJZ,O,O,O,X
LTSOIZJ,O,O,O,O
LTSOJIZ,O,O,O,X
LTSOJZI,X,O,O,X
LTSOZIJ,O,O,O,O
LTSOZJI,O,O,O,O
LTZIJSO,O,X,X,X
LTZIJOS,O,O,X,X
LTZISJO,O,O,O,X
LTZISOJ,O,O,O,X
LTZIOJS,O,O,X,X
LTZIOSJ,O,O,O,X
LTZJISO,O,X,X,X
LTZJIOS,O,O,X,X
LTZJSIO,O,X,X,O
LTZJSOI,O,X,X,O
LTZJOIS,O,O,X,X
LTZJOSI,O,X,X,X
LTZSIJO,O,O,O,O
LTZSIOJ,O,O,O,O
LTZSJIO,O,O,O,O
LTZSJOI,O,O,O,O
LTZSOIJ,O,O,O,O
LTZSOJI,O,O,O,O
LTZOIJS,O,O,X,X
LTZOISJ,O,O,O,X
LTZOJIS,O,O,X,X
LTZOJSI,O,X,X,X
LTZOSIJ,O,O,O,X
LTZOSJI,O,O,O,X
LTOIJSZ,O,O,O,X
LTOIJZS,O,O,X,X
LTOISJZ,O,O,O,X
LTOISZJ,O,O,O,X
LTOIZJS,O,O,X,X
LTOIZSJ,O,O,O,X
LTOJISZ,O,O,O,X
LTOJIZS,O,O,X,X
LTOJSIZ,O,O,O,X
LTOJSZI,X,O,O,X
LTOJZIS,O,O,X,X
LTOJZSI,O,X,X,X
LTOSIJZ,O,O,O,X
LTOSIZJ,O,O,O,X
LTOSJIZ,O,O,O,X
LTOSJZI,X,O,O,X
LTOSZIJ,O,O,O,X
LTOSZJI,O,O,O,X
LTOZIJS,O,O,X,X
LTOZISJ,O,O,O,X
LTOZJIS,O,O,X,X
LTOZJSI,O,X,X,X
LTOZSIJ,O,O,O,X
LTOZSJI,O,O,O,X
LITJSZO,X,O,O,X
LITJSOZ,O,O,O,X
LITJZSO,O,X,X,X
LITJZOS,O,O,X,X
LITJOSZ,O,O,O,X
LITJOZS,O,O,X,X
LITSJZO,X,O,O,X
LITSJOZ,O,O,O,X
LITSZJO,O,O,O,X
LITSZOJ,O,O,O,X
LITSOJZ,O,O,O,X
LITSOZJ,O,O,O,X
LITZJSO,O,X,X,X
LITZJOS,O,O,X,X
LITZSJO,O,O,O,X
LITZSOJ,O,O,O,X
LITZOJS,O,O,X,X
LITZOSJ,O,O,O,X
LITOJSZ,O,O,O,X
LITOJZS,O,O,X,X
LITOSJZ,O,O,O,X
LITOSZJ,O,O,O,X
LITOZJS,O,O,X,X
LITOZSJ,O,O,O,X
LIJTSZO,X,O,O,X
LIJTSOZ,O,O,O,X
LIJTZSO,O,X,X,X
LIJTZOS,O,O,X,X
LIJTOSZ,O,O,O,X
LIJTOZS,O,O,X,X
LIJSTZO,X,O,O,X
LIJSTOZ,X,O,O,X
LIJSZTO,X,X,O,X
LIJSZOT,X,X,O,X
LIJSOTZ,X,O,O,X
LIJSOZT,X,X,O,X
LIJZTSO,O,X,X,X
LIJZTOS,O,X,X,X
LIJZSTO,X,X,O,X
LIJZSOT,X,X,O,X
LIJZOTS,O,X,X,X
LIJZOST,X,X,O,X
LIJOTSZ,O,O,O,X
LIJOTZS,O,O,X,X
LIJOSTZ,X,O,O,X
LIJOSZT,X,X,O,X
LIJOZTS,O,X,X,X
LIJOZST,X,X,O,X
LISTJZO,X,O,O,X
LISTJOZ,O,O,O,X
LISTZJO,O,O,O,X
LISTZOJ,O,O,O,X
LISTOJZ,O,O,O,X
LISTOZJ,O,O,O,X
LISJTZO,X,O,O,X
LISJTOZ,X,O,O,X
LISJZTO,X,X,O,X
LISJZOT,X,X,O,X
LISJOTZ,X,O,O,X
LISJOZT,X,X,O,X
LISZTJO,O,O,O,X
LISZTOJ,O,O,O,X
LISZJTO,X,X,O,X
LISZJOT,X,X,O,X
LISZOTJ,O,O,O,X
LISZOJT,X,X,O,X
LISOTJZ,O,O,O,X
LISOTZJ,O,O,O,X
LISOJTZ,X,O,O,X
LISOJZT,X,X,O,X
LISOZTJ,O,O,O,X
LISOZJT,X,X,O,X
LIZTJSO,O,X,X,X
LIZTJOS,O,O,X,X
LIZTSJO,O,O,O,X
LIZTSOJ,O,O,O,X
LIZTOJS,O,O,X,X
LIZTOSJ,O,O,O,X
LIZJTSO,O,X,X,X
LIZJTOS,O,X,X,X
LIZJSTO,X,X,O,X
LIZJSOT,X,X,O,X
LIZJOTS,O,X,X,X
LIZJOST,X,X,O,X
LIZSTJO,O,O,O,X
LIZSTOJ,O,O,O,X
LIZSJTO,X,X,O,X
LIZSJOT,X,X,O,X
LIZSOTJ,O,O,O,X
LIZSOJT,X,X,O,X
LIZOTJS,O,O,X,X
LIZOTSJ,O,O,O,X
LIZOJTS,O,X,X,X
LIZOJST,X,X,O,X
LIZOSTJ,O,O,O,X
LIZOSJT,X,X,O,X
LIOTJSZ,O,O,O,X
LIOTJZS,O,O,X,X
LIOTSJZ,O,O,O,X
LIOTSZJ,O,O,O,X
LIOTZJS,O,O,X,X
LIOTZSJ,O,O,O,X
LIOJTSZ,O,O,O,X
LIOJTZS,O,O,X,X
LIOJSTZ,X,O,O,X
LIOJSZT,X,X,O,X
LIOJZTS,O,X,X,X
LIOJZST,X,X,O,X
LIOSTJZ,O,O,O,X
LIOSTZJ,O,O,O,X
LIOSJTZ,X,O,O,X
LIOSJZT,X,X,O,X
LIOSZTJ,O,O,O,X
LIOSZJT,X,X,O,X
LIOZTJS,O,O,X,X
LIOZTSJ,O,O,O,X
LIOZJTS,O,X,X,X
LIOZJST,X,X,O,X
LIOZSTJ,O,O,O,X
LIOZSJT,X,X,O,X
LJTISZO,X,O,O,X
LJTISOZ,O,O,O,X
LJTIZSO,O,X,X,X
LJTIZOS,O,O,X,X
LJTIOSZ,O,O,O,X
LJTIOZS,O,O,X,X
LJTSIZO,X,O,O,X
