sequence,v115@RhA8EeC8AeC8BeE8JeT/IvhFelB5lBihB3iB9oBcrB,v115@RhA8EeC8AeC8BeE8Je/EJvhFZmBtmB0iB6oBTlBGqB,v115@RhA8EeC8AeC8BeE8Je/EJvhFRgBtmB0iB6oB2qBzqB,v115@RhA8EeC8AeC8BeE8Je/EJvhFRgBtmB0iB6oBTlBerB,v115@RhA8EeC8AeC8BeE8Jem/IvhFRhB3iB9oB0kBqqBTrB,v115@RhA8EeC8AeC8BeE8Jex/IvhFylBumB3iB9oB0kBzqB,v115@RhA8EeC8AeC8BeE8Jem/IvhF5lB3iB9oB0kBTmBirB
TILJSZO,O,O,O,O,O,X,X
TILJSOZ,O,O,O,O,X,X,X
TILJZSO,O,O,O,O,O,X,X
TILJZOS,O,O,X,O,O,X,X
TILJOSZ,O,O,X,O,X,X,X
TILJOZS,O,O,X,O,X,X,X
TILSJZO,O,O,O,O,O,X,X
TILSJOZ,O,O,O,O,X,X,X
TILSZJO,O,O,O,O,O,X,O
TILSZOJ,O,O,O,O,O,X,O
TILSOJZ,X,O,X,X,O,X,X
TILSOZJ,X,O,O,O,O,X,O
TILZJSO,O,O,O,O,O,X,O
TILZJOS,O,O,X,O,O,X,O
TILZSJO,O,O,O,O,O,X,O
TILZSOJ,O,O,O,O,O,X,O
TILZOJS,O,O,X,X,O,X,O
TILZOSJ,O,O,X,X,O,X,O
TILOJSZ,X,O,X,X,O,X,X
TILOJZS,X,O,X,X,O,X,X
TILOSJZ,X,O,X,X,O,X,X
TILOSZJ,X,O,X,X,O,X,O
TILOZJS,X,O,X,X,O,X,O
TILOZSJ,X,O,X,X,O,X,O
TIJLSZO,O,O,O,O,X,X,X
TIJLSOZ,O,O,O,O,X,X,X
TIJLZSO,O,O,O,O,X,X,X
TIJLZOS,O,O,X,O,X,X,X
TIJLOSZ,O,O,X,O,X,X,X
TIJLOZS,O,O,X,O,X,X,X
TIJSLZO,O,O,O,O,X,X,X
TIJSLOZ,O,O,O,O,X,X,X
TIJSZLO,O,O,O,O,X,O,O
TIJSZOL,O,O,O,O,X,O,O
TIJSOLZ,O,O,O,O,X,O,X
TIJSOZL,O,O,O,O,X,O,O
TIJZLSO,O,O,O,O,X,O,O
TIJZLOS,O,O,X,O,X,O,O
TIJZSLO,O,O,O,O,X,O,O
TIJZSOL,O,O,O,O,X,O,O
TIJZOLS,O,O,X,O,X,O,O
TIJZOSL,O,O,X,O,X,O,O
TIJOLSZ,O,O,X,O,X,O,X
TIJOLZS,O,O,X,O,X,O,X
TIJOSLZ,O,O,X,O,X,O,X
TIJOSZL,O,O,X,O,X,O,O
TIJOZLS,O,O,X,O,X,O,O
TIJOZSL,O,O,X,O,X,O,O
TISLJZO,O,O,O,O,O,X,X
TISLJOZ,O,O,O,O,X,X,X
TISLZJO,O,O,O,O,O,X,O
TISLZOJ,O,O,O,O,O,X,O
TISLOJZ,X,O,X,X,O,X,X
TISLOZJ,X,O,O,O,O,X,O
TISJLZO,O,O,O,O,O,X,X
TISJLOZ,O,O,O,O,X,X,X
TISJZLO,O,O,O,O,O,O,O
TISJZOL,O,O,O,O,O,O,O
TISJOLZ,O,O,O,O,O,O,X
TISJOZL,O,O,O,O,X,O,O
TISZLJO,O,O,O,O,O,O,O
TISZLOJ,O,O,O,O,O,O,O
TISZJLO,O,O,O,O,O,O,O
TISZJOL,O,O,O,O,O,O,O
TISZOLJ,O,O,O,O,O,O,O
TISZOJL,O,O,X,X,O,O,O
TISOLJZ,X,O,X,X,O,O,X
TISOLZJ,X,O,O,O,O,O,O
TISOJLZ,O,O,X,X,O,O,X
TISOJZL,O,O,X,X,X,O,O
TISOZLJ,O,O,O,O,O,O,O
TISOZJL,O,O,X,X,O,O,O
TIZLJSO,O,O,O,O,O,O,O
TIZLJOS,O,O,X,O,O,O,O
TIZLSJO,O,O,O,O,O,O,O
TIZLSOJ,O,O,O,O,O,O,O
TIZLOJS,O,O,X,X,O,O,O
TIZLOSJ,O,O,X,X,O,O,O
TIZJLSO,O,O,O,O,O,O,O
TIZJLOS,O,O,X,O,O,O,O
TIZJSLO,O,O,O,O,O,O,O
TIZJSOL,O,O,O,O,O,O,O
TIZJOLS,O,O,X,O,X,O,O
TIZJOSL,O,O,X,O,X,O,O
TIZSLJO,O,O,O,O,O,O,O
TIZSLOJ,O,O,O,O,O,O,O
TIZSJLO,O,O,O,O,O,O,O
TIZSJOL,O,O,O,O,O,O,O
TIZSOLJ,O,O,O,O,O,O,O
TIZSOJL,O,O,X,X,O,O,O
TIZOLJS,O,O,X,X,O,O,O
TIZOLSJ,O,O,X,X,O,O,O
TIZOJLS,O,O,X,X,X,O,O
TIZOJSL,O,O,X,X,X,O,O
TIZOSLJ,O,O,X,X,O,O,O
TIZOSJL,O,O,X,X,X,O,O
TIOLJSZ,X,O,X,X,O,O,X
TIOLJZS,X,O,X,X,O,O,X
TIOLSJZ,X,O,X,X,O,O,X
TIOLSZJ,X,O,X,X,O,O,O
TIOLZJS,X,O,X,X,O,O,O
TIOLZSJ,X,O,X,X,O,O,O
TIOJLSZ,O,O,X,X,O,O,X
TIOJLZS,O,O,X,X,O,O,X
TIOJSLZ,O,O,X,X,O,O,X
TIOJSZL,O,O,X,X,X,O,O
TIOJZLS,O,O,X,X,X,O,O
TIOJZSL,O,O,X,X,X,O,O
TIOSLJZ,X,O,X,X,O,O,X
TIOSLZJ,X,O,X,X,O,O,O
TIOSJLZ,O,O,X,X,O,O,X
TIOSJZL,O,O,X,X,X,O,O
TIOSZLJ,O,O,X,X,O,O,O
TIOSZJL,O,O,X,X,X,O,O
TIOZLJS,O,O,X,X,O,O,O
TIOZLSJ,O,O,X,X,O,O,O
TIOZJLS,O,O,X,X,X,O,O
TIOZJSL,O,O,X,X,X,O,O
TIOZSLJ,O,O,X,X,O,O,O
TIOZSJL,O,O,X,X,X,O,O
TLIJSZO,O,O,O,O,O,X,X
TLIJSOZ,O,O,O,O,X,X,X
TLIJZSO,O,O,O,O,O,X,X
TLIJZOS,O,O,X,O,O,X,X
TLIJOSZ,O,O,X,O,X,X,X
TLIJOZS,O,O,X,O,X,X,X
TLISJZO,O,O,O,O,O,X,X
TLISJOZ,O,O,O,O,X,X,X
TLISZJO,O,O,O,O,O,X,O
TLISZOJ,O,O,O,O,O,X,O
TLISOJZ,X,O,X,X,O,X,X
TLISOZJ,X,O,O,O,O,X,O
TLIZJSO,O,O,O,O,O,X,O
TLIZJOS,O,O,X,O,O,X,O
TLIZSJO,O,O,O,O,O,X,O
TLIZSOJ,O,O,O,O,O,X,O
TLIZOJS,O,O,X,X,O,X,O
TLIZOSJ,O,O,X,X,O,X,O
TLIOJSZ,X,O,X,X,O,X,X
TLIOJZS,X,O,X,X,O,X,X
TLIOSJZ,X,O,X,X,O,X,X
TLIOSZJ,X,O,X,X,O,X,O
TLIOZJS,X,O,X,X,O,X,O
TLIOZSJ,X,O,X,X,O,X,O
TLJISZO,O,O,O,O,O,X,X
TLJISOZ,O,O,O,O,X,X,X
TLJIZSO,O,O,O,O,O,X,X
TLJIZOS,O,O,X,O,O,X,X
TLJIOSZ,O,O,X,O,X,X,X
TLJIOZS,O,O,X,O,X,X,X
TLJSIZO,O,O,O,O,O,X,X
TLJSIOZ,O,O,O,O,X,X,X
TLJSZIO,O,O,O,O,O,O,X
TLJSZOI,O,O,O,O,O,O,X
TLJSOIZ,O,O,O,O,O,O,X
TLJSOZI,O,O,O,O,O,O,X
TLJZISO,O,O,O,O,O,O,X
TLJZIOS,O,O,X,O,O,O,X
TLJZSIO,O,O,O,O,O,O,X
TLJZSOI,O,O,O,O,O,O,X
TLJZOIS,O,O,X,O,O,O,X
TLJZOSI,O,O,O,O,O,O,X
TLJOISZ,O,O,X,O,O,O,X
TLJOIZS,O,O,X,O,O,O,X
TLJOSIZ,O,O,O,O,O,O,X
TLJOSZI,O,O,O,O,O,O,X
TLJOZIS,O,O,X,O,O,O,X
TLJOZSI,O,O,O,O,O,O,X
TLSIJZO,O,O,O,O,O,X,X
TLSIJOZ,O,O,O,O,X,X,X
TLSIZJO,O,O,O,O,O,X,O
TLSIZOJ,O,O,O,O,O,X,O
TLSIOJZ,X,O,X,X,O,X,X
TLSIOZJ,X,O,O,O,O,X,O
TLSJIZO,O,O,O,O,O,X,X
TLSJIOZ,O,O,O,O,X,X,X
TLSJZIO,O,O,O,O,O,O,X
TLSJZOI,O,O,O,O,O,O,X
TLSJOIZ,O,O,O,O,O,O,X
TLSJOZI,O,O,O,O,O,O,X
TLSZIJO,O,O,O,O,O,O,O
TLSZIOJ,O,O,O,O,O,O,O
TLSZJIO,O,O,O,O,O,O,O
TLSZJOI,O,O,O,O,O,O,O
TLSZOIJ,O,O,O,O,O,O,O
TLSZOJI,O,O,O,O,O,O,O
TLSOIJZ,X,O,X,X,O,O,X
TLSOIZJ,X,O,O,O,O,O,O
TLSOJIZ,O,O,O,O,O,O,X
TLSOJZI,O,O,O,O,O,O,X
TLSOZIJ,O,O,O,O,O,O,O
TLSOZJI,O,O,O,O,O,O,O
TLZIJSO,O,O,O,O,O,O,O
TLZIJOS,O,O,X,O,O,O,O
TLZISJO,O,O,O,O,O,O,O
TLZISOJ,O,O,O,O,O,O,O
TLZIOJS,O,O,X,X,O,O,O
TLZIOSJ,O,O,X,X,O,O,O
TLZJISO,O,O,O,O,O,O,O
TLZJIOS,O,O,X,O,O,O,O
TLZJSIO,O,O,O,O,O,O,O
TLZJSOI,O,O,O,O,O,O,O
TLZJOIS,O,O,X,O,O,O,O
TLZJOSI,O,O,O,O,O,O,O
TLZSIJO,O,O,O,O,O,O,O
TLZSIOJ,O,O,O,O,O,O,O
TLZSJIO,O,O,O,O,O,O,O
TLZSJOI,O,O,O,O,O,O,O
