sequence,v115@RhB8CeB8CeA8BeG8Je2EJvhFRgBUiBFmBToBCoBXqB,v115@RhB8CeB8CeA8BeG8Jex/IvhFOmBXiB6oBcqBznBlpB,v115@RhB8CeB8CeA8BeG8JeT/IvhFUiBFjBxlBStBmlBXqB,v115@RhB8CeB8CeA8BeG8JeyEJvhFxiB3lBGnBToBFmB0pB,v115@RhB8CeB8CeA8BeG8JeFAJvhFxhBTjBcqBimBWtB/pB,v115@RhB8CeB8CeA8BeG8JeFCJvhFTjBxkBXmBWtBilB0pB,v115@RhB8CeB8CeA8BeG8JeOGJvhFXiBxkBCoBcqBToBlpB,v115@RhB8CeB8CeA8BeG8JeyEJvhFFmBxnB3lBGnBToB0pB
TZLIJOS,O,X,O,X,O,X,X,O
TZLISJO,X,O,O,X,X,X,X,O
TZLISOJ,X,X,O,X,X,X,X,O
TZLIOJS,O,X,O,X,X,X,X,O
TZLIOSJ,X,X,O,X,X,X,X,O
TZLJISO,X,O,X,X,O,X,X,X
TZLJIOS,O,X,O,X,O,X,X,X
TZLJSIO,X,O,O,X,O,X,X,X
TZLJSOI,X,X,O,X,O,X,X,X
TZLJOIS,O,X,O,X,O,X,X,X
TZLJOSI,O,X,X,X,O,X,X,X
TZLSIJO,O,O,O,X,X,X,X,X
TZLSIOJ,O,X,O,X,X,X,X,X
TZLSJIO,O,O,O,X,X,X,X,X
TZLSJOI,O,X,O,X,X,X,X,X
TZLSOIJ,O,X,O,X,X,X,X,X
TZLSOJI,O,X,O,X,X,X,X,X
TZLOIJS,O,X,O,X,X,X,X,X
TZLOISJ,X,X,O,X,X,X,X,X
TZLOJIS,O,X,O,X,X,X,X,X
TZLOJSI,O,X,X,X,X,X,X,X
TZLOSIJ,O,X,O,X,X,X,X,X
TZLOSJI,O,X,O,X,X,X,X,X
TZJILSO,X,O,X,X,X,X,X,X
TZJILOS,O,X,X,X,X,X,X,X
TZJISLO,X,O,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,O,X,X
TZJIOLS,O,O,X,X,X,X,X,X
TZJIOSL,O,O,X,X,X,O,X,X
TZJLISO,X,O,X,X,O,X,X,X
TZJLIOS,O,X,X,X,O,X,X,X
TZJLSIO,X,O,X,X,O,X,X,X
TZJLSOI,X,X,X,X,O,X,X,X
TZJLOIS,O,X,X,X,O,X,X,X
TZJLOSI,O,X,X,X,O,X,X,X
TZJSILO,O,O,X,X,X,X,X,X
TZJSIOL,O,O,X,X,X,O,X,X
TZJSLIO,O,O,X,X,X,X,X,X
TZJSLOI,O,X,X,X,X,X,X,X
TZJSOIL,O,O,X,X,X,O,X,X
TZJSOLI,O,O,X,X,X,X,X,X
TZJOILS,O,O,X,X,X,X,X,X
TZJOISL,O,O,X,X,X,O,X,X
TZJOLIS,O,O,X,X,O,X,X,X
TZJOLSI,O,O,X,X,O,X,X,X
TZJOSIL,O,O,X,X,X,O,X,X
TZJOSLI,O,O,X,X,X,X,X,X
TZSILJO,O,O,O,X,X,X,X,X
TZSILOJ,O,X,O,X,X,X,X,X
TZSIJLO,O,O,X,X,X,X,X,X
TZSIJOL,O,O,X,X,X,O,X,X
TZSIOLJ,O,O,O,X,X,X,X,X
TZSIOJL,O,O,X,X,X,X,X,X
TZSLIJO,O,O,O,X,X,X,X,X
TZSLIOJ,O,X,O,X,X,X,X,X
TZSLJIO,O,O,O,X,X,X,X,X
TZSLJOI,O,X,O,X,X,X,X,X
TZSLOIJ,O,X,O,X,X,X,X,X
TZSLOJI,O,X,O,X,X,X,X,X
TZSJILO,O,O,X,X,X,X,X,X
TZSJIOL,O,O,X,X,X,O,X,X
TZSJLIO,O,O,X,X,X,X,X,X
TZSJLOI,O,X,X,X,X,X,X,X
TZSJOIL,O,O,X,X,X,O,X,X
TZSJOLI,O,O,X,X,X,X,X,X
TZSOILJ,O,O,O,X,X,X,X,X
TZSOIJL,O,O,X,X,X,X,X,X
TZSOLIJ,O,O,O,X,X,X,X,X
TZSOLJI,O,O,O,X,X,X,X,X
TZSOJIL,O,O,X,X,X,X,X,X
TZSOJLI,O,O,X,X,X,X,X,X
TZOILJS,O,O,O,X,X,X,X,X
TZOILSJ,X,O,O,X,X,X,X,X
TZOIJLS,O,O,X,X,X,X,X,X
TZOIJSL,O,O,X,X,X,X,X,X
TZOISLJ,O,O,X,X,X,X,X,X
TZOISJL,O,O,X,X,X,X,X,X
TZOLIJS,O,O,O,X,X,X,X,X
TZOLISJ,X,O,O,X,X,X,X,X
TZOLJIS,O,O,O,X,X,X,X,X
TZOLJSI,O,O,X,X,X,X,X,X
TZOLSIJ,O,O,O,X,X,X,X,X
TZOLSJI,O,O,X,X,X,X,X,X
TZOJILS,O,O,X,X,X,X,X,X
TZOJISL,O,O,X,X,X,X,X,X
TZOJLIS,O,O,X,X,X,X,X,X
TZOJLSI,O,O,X,X,X,X,X,X
TZOJSIL,O,O,X,X,X,X,X,X
TZOJSLI,O,O,X,X,X,X,X,X
TZOSILJ,O,O,X,X,X,X,X,X
TZOSIJL,O,O,X,X,X,X,X,X
TZOSLIJ,O,O,X,X,X,X,X,X
TZOSLJI,O,O,X,X,X,X,X,X
TZOSJIL,O,O,X,X,X,X,X,X
TZOSJLI,O,O,X,X,X,X,X,X
TOILJSZ,X,X,X,O,X,X,X,O
TOILJZS,O,X,O,X,X,X,X,O
TOILSJZ,X,X,X,O,X,X,X,O
TOILSZJ,X,X,O,X,X,X,X,O
TOILZJS,O,X,O,X,X,X,X,O
TOILZSJ,X,X,O,X,X,X,X,O
TOIJLSZ,X,X,X,O,X,O,X,X
TOIJLZS,O,X,X,X,X,X,X,X
TOIJSLZ,X,X,X,O,X,O,X,X
TOIJSZL,O,X,X,X,X,O,X,X
TOIJZLS,O,X,X,X,X,X,X,X
TOIJZSL,O,X,X,X,X,O,X,X
TOISLJZ,O,X,X,O,X,X,X,X
TOISLZJ,O,X,X,X,X,X,X,X
TOISJLZ,O,X,X,O,X,O,X,X
TOISJZL,O,X,X,X,X,O,X,X
TOISZLJ,O,X,X,X,X,X,X,X
TOISZJL,O,X,X,X,X,X,X,X
TOIZLJS,O,X,O,X,X,X,X,X
TOIZLSJ,X,X,O,X,X,X,X,X
TOIZJLS,O,X,X,X,X,X,X,X
TOIZJSL,O,X,X,X,X,X,X,X
TOIZSLJ,O,X,X,X,X,X,X,X
TOIZSJL,O,X,X,X,X,X,X,X
TOLIJSZ,X,X,X,O,X,X,X,O
TOLIJZS,O,X,O,X,X,X,X,O
TOLISJZ,X,X,X,O,X,X,X,O
TOLISZJ,X,X,O,X,X,X,X,O
TOLIZJS,O,X,O,X,X,X,X,O
TOLIZSJ,X,X,O,X,X,X,X,O
TOLJISZ,X,X,X,O,X,X,X,X
TOLJIZS,O,X,O,X,X,X,X,X
TOLJSIZ,X,X,X,O,X,X,X,X
TOLJSZI,X,O,X,O,X,X,X,X
TOLJZIS,O,O,O,X,X,X,X,X
TOLJZSI,O,O,X,X,X,X,X,X
TOLSIJZ,O,X,X,O,X,X,X,X
TOLSIZJ,O,X,O,X,X,X,X,X
TOLSJIZ,O,X,X,O,X,X,X,X
TOLSJZI,O,O,X,O,X,X,X,X
TOLSZIJ,O,O,O,X,X,X,X,X
TOLSZJI,O,O,X,X,X,X,X,X
TOLZIJS,O,O,O,X,X,X,X,X
TOLZISJ,X,O,O,X,X,X,X,X
TOLZJIS,O,O,O,X,X,X,X,X
TOLZJSI,O,O,X,X,X,X,X,X
TOLZSIJ,O,O,O,X,X,X,X,X
TOLZSJI,O,O,X,X,X,X,X,X
TOJILSZ,X,X,X,O,X,O,X,X
TOJILZS,O,X,X,X,X,X,X,X
TOJISLZ,X,X,X,O,X,O,X,X
TOJISZL,O,X,X,X,X,O,X,X
TOJIZLS,O,X,X,X,X,X,X,X
TOJIZSL,O,X,X,X,X,O,X,X
TOJLISZ,X,X,X,O,X,O,X,X
TOJLIZS,O,X,X,X,X,X,X,X
TOJLSIZ,X,X,X,O,X,O,X,X
TOJLSZI,X,O,X,O,X,X,X,X
TOJLZIS,O,O,X,X,X,X,X,X
TOJLZSI,O,O,X,X,X,X,X,X
TOJSILZ,O,X,X,O,X,O,X,X
TOJSIZL,O,X,X,X,X,O,X,X
TOJSLIZ,O,X,X,O,X,O,X,X
TOJSLZI,O,O,X,O,X,X,X,X
TOJSZIL,O,O,X,X,X,O,X,X
TOJSZLI,O,O,X,X,X,X,X,X
TOJZILS,O,O,X,X,X,X,X,X
TOJZISL,O,O,X,X,X,O,X,X
TOJZLIS,O,O,X,X,X,X,X,X
TOJZLSI,O,O,X,X,X,X,X,X
TOJZSIL,O,O,X,X,X,O,X,X
TOJZSLI,O,O,X,X,X,X,X,X
TOSILJZ,O,X,X,O,X,X,X,X
TOSILZJ,O,X,X,X,X,X,X,X
TOSIJLZ,O,X,X,O,X,O,X,X
TOSIJZL,O,X,X,X,X,O,X,X
TOSIZLJ,O,X,X,X,X,X,X,X
TOSIZJL,O,X,X,X,X,X,X,X
TOSLIJZ,O,X,X,O,X,X,X,X
TOSLIZJ,O,X,X,X,X,X,X,X
TOSLJIZ,O,X,X,O,X,X,X,X
TOSLJZI,O,O,X,O,X,X,X,X
TOSLZIJ,O,O,X,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X,X
TOSJILZ,O,X,X,O,X,O,X,X
TOSJIZL,O,X,X,X,X,O,X,X
TOSJLIZ,O,X,X,O,X,O,X,X
TOSJLZI,O,O,X,O,X,X,X,X
TOSJZIL,O,O,X,X,X,O,X,X
TOSJZLI,O,O,X,X,X,X,X,X
TOSZILJ,O,O,X,X,X,X,X,X
TOSZIJL,O,O,X,X,X,X,X,X
TOSZLIJ,O,O,X,X,X,X,X,X
TOSZLJI,O,O,X,X,X,X,X,X
TOSZJIL,O,O,X,X,X,X,X,X
TOSZJLI,O,O,X,X,X,X,X,X
TOZILJS,O,O,O,X,X,X,X,X
TOZILSJ,X,O,O,X,X,X,X,X
TOZIJLS,O,O,X,X,X,X,X,X
TOZIJSL,O,O,X,X,X,X,X,X
TOZISLJ,O,O,X,X,X,X,X,X
TOZISJL,O,O,X,X,X,X,X,X
TOZLIJS,O,O,O,X,X,X,X,X
TOZLISJ,X,O,O,X,X,X,X,X
TOZLJIS,O,O,O,X,X,X,X,X
TOZLJSI,O,O,X,X,X,X,X,X
TOZLSIJ,O,O,O,X,X,X,X,X
TOZLSJI,O,O,X,X,X,X,X,X
TOZJILS,O,O,X,X,X,X,X,X
TOZJISL,O,O,X,X,X,X,X,X
TOZJLIS,O,O,X,X,X,X,X,X
TOZJLSI,O,O,X,X,X,X,X,X
TOZJSIL,O,O,X,X,X,X,X,X
TOZJSLI,O,O,X,X,X,X,X,X
TOZSILJ,O,O,X,X,X,X,X,X
TOZSIJL,O,O,X,X,X,X,X,X
TOZSLIJ,O,O,X,X,X,X,X,X
TOZSLJI,O,O,X,X,X,X,X,X
TOZSJIL,O,O,X,X,X,X,X,X
TOZSJLI,O,O,X,X,X,X,X,X
ITLJSZO,X,X,X,X,X,X,O,O
ITLJSOZ,X,X,X,X,X,O,O,O
ITLJZSO,X,X,X,X,X,X,X,O
ITLJZOS,O,X,O,X,X,X,X,O
ITLJOSZ,X,X,X,X,X,O,X,O
ITLJOZS,O,X,O,X,X,X,X,O
ITLSJZO,X,X,X,X,X,X,O,O
ITLSJOZ,X,X,X,X,X,O,O,O
ITLSZJO,X,X,X,X,X,X,X,O
ITLSZOJ,X,X,O,X,X,X,X,O
ITLSOJZ,X,X,X,X,X,X,X,O
ITLSOZJ,X,X,O,X,X,X,X,O
ITLZJSO,X,X,X,X,X,X,X,O
ITLZJOS,O,X,O,X,X,X,X,O
ITLZSJO,X,X,X,X,X,X,X,O
ITLZSOJ,X,X,O,X,X,X,X,O
ITLZOJS,O,X,O,X,X,X,X,O
ITLZOSJ,X,X,O,X,X,X,X,O
ITLOJSZ,X,X,X,X,X,X,X,O
ITLOJZS,O,X,O,X,X,X,X,O
ITLOSJZ,X,X,X,X,X,X,X,O
ITLOSZJ,X,X,O,X,X,X,X,O
ITLOZJS,O,X,O,X,X,X,X,O
ITLOZSJ,X,X,O,X,X,X,X,O
ITJLSZO,X,X,X,X,X,X,O,O
ITJLSOZ,X,X,X,X,X,O,O,O
ITJLZSO,X,X,X,X,X,X,X,O
ITJLZOS,O,X,X,X,X,X,X,O
ITJLOSZ,X,X,X,X,X,O,X,O
ITJLOZS,O,X,X,X,X,X,X,O
ITJSLZO,X,X,X,X,X,X,O,X
ITJSLOZ,X,X,X,X,X,O,O,X
ITJSZLO,X,X,X,X,X,X,X,X
ITJSZOL,O,X,X,X,X,O,X,X
ITJSOLZ,X,X,X,X,X,O,X,X
ITJSOZL,O,X,X,X,X,O,X,X
ITJZLSO,X,X,X,X,X,X,X,X
ITJZLOS,O,X,X,X,X,X,X,X
ITJZSLO,X,X,X,X,X,X,X,X
ITJZSOL,O,X,X,X,X,O,X,X
ITJZOLS,O,X,X,X,X,X,X,X
ITJZOSL,O,X,X,X,X,O,X,X
ITJOLSZ,X,X,X,X,X,O,X,X
ITJOLZS,O,X,X,X,X,X,X,X
ITJOSLZ,X,X,X,X,X,O,X,X
ITJOSZL,O,X,X,X,X,O,X,X
ITJOZLS,O,X,X,X,X,X,X,X
ITJOZSL,O,X,X,X,X,O,X,X
ITSLJZO,O,X,X,X,X,X,O,O
ITSLJOZ,O,X,X,X,X,O,O,O
ITSLZJO,O,X,X,X,X,X,X,O
ITSLZOJ,O,X,X,X,X,X,X,O
ITSLOJZ,O,X,X,X,X,X,X,O
ITSLOZJ,O,X,X,X,X,X,X,O
ITSJLZO,O,X,X,X,X,X,O,X
ITSJLOZ,O,X,X,X,X,O,O,X
ITSJZLO,O,X,X,X,X,X,X,X
ITSJZOL,O,X,X,X,X,O,X,X
ITSJOLZ,O,X,X,X,X,O,X,X
ITSJOZL,O,X,X,X,X,O,X,X
ITSZLJO,O,X,X,X,X,X,X,X
ITSZLOJ,O,X,X,X,X,X,X,X
ITSZJLO,O,X,X,X,X,X,X,X
ITSZJOL,O,X,X,X,X,O,X,X
ITSZOLJ,O,X,X,X,X,X,X,X
ITSZOJL,O,X,X,X,X,X,X,X
ITSOLJZ,O,X,X,X,X,X,X,X
ITSOLZJ,O,X,X,X,X,X,X,X
ITSOJLZ,O,X,X,X,X,O,X,X
ITSOJZL,O,X,X,X,X,O,X,X
ITSOZLJ,O,X,X,X,X,X,X,X
ITSOZJL,O,X,X,X,X,X,X,X
ITZLJSO,X,X,X,X,X,X,X,O
ITZLJOS,O,X,O,X,X,X,X,O
ITZLSJO,X,X,X,X,X,X,X,O
ITZLSOJ,X,X,O,X,X,X,X,O
ITZLOJS,O,X,O,X,X,X,X,O
ITZLOSJ,X,X,O,X,X,X,X,O
ITZJLSO,X,X,X,X,X,X,X,X
ITZJLOS,O,X,X,X,X,X,X,X
ITZJSLO,X,X,X,X,X,X,X,X
ITZJSOL,O,X,X,X,X,O,X,X
ITZJOLS,O,X,X,X,X,X,X,X
ITZJOSL,O,X,X,X,X,O,X,X
ITZSLJO,O,X,X,X,X,X,X,X
ITZSLOJ,O,X,X,X,X,X,X,X
ITZSJLO,O,X,X,X,X,X,X,X
ITZSJOL,O,X,X,X,X,O,X,X
ITZSOLJ,O,X,X,X,X,X,X,X
ITZSOJL,O,X,X,X,X,X,X,X
ITZOLJS,O,X,O,X,X,X,X,X
ITZOLSJ,X,X,O,X,X,X,X,X
ITZOJLS,O,X,X,X,X,X,X,X
ITZOJSL,O,X,X,X,X,X,X,X
ITZOSLJ,O,X,X,X,X,X,X,X
ITZOSJL,O,X,X,X,X,X,X,X
ITOLJSZ,X,X,X,X,X,X,X,O
ITOLJZS,O,X,O,X,X,X,X,O
ITOLSJZ,X,X,X,X,X,X,X,O
ITOLSZJ,X,X,O,X,X,X,X,O
ITOLZJS,O,X,O,X,X,X,X,O
ITOLZSJ,X,X,O,X,X,X,X,O
ITOJLSZ,X,X,X,X,X,O,X,X
ITOJLZS,O,X,X,X,X,X,X,X
ITOJSLZ,X,X,X,X,X,O,X,X
ITOJSZL,O,X,X,X,X,O,X,X
ITOJZLS,O,X,X,X,X,X,X,X
ITOJZSL,O,X,X,X,X,O,X,X
ITOSLJZ,O,X,X,X,X,X,X,X
ITOSLZJ,O,X,X,X,X,X,X,X
ITOSJLZ,O,X,X,X,X,O,X,X
ITOSJZL,O,X,X,X,X,O,X,X
ITOSZLJ,O,X,X,X,X,X,X,X
ITOSZJL,O,X,X,X,X,X,X,X
ITOZLJS,O,X,O,X,X,X,X,X
ITOZLSJ,X,X,O,X,X,X,X,X
ITOZJLS,O,X,X,X,X,X,X,X
ITOZJSL,O,X,X,X,X,X,X,X
ITOZSLJ,O,X,X,X,X,X,X,X
ITOZSJL,O,X,X,X,X,X,X,X
ILTJSZO,X,X,X,X,X,X,O,O
ILTJSOZ,X,X,X,X,X,O,O,O
ILTJZSO,X,X,X,X,O,X,X,O
ILTJZOS,X,X,O,X,O,X,X,O
ILTJOSZ,X,X,X,X,X,O,X,O
ILTJOZS,X,X,O,X,O,X,X,O
ILTSJZO,X,X,O,X,X,X,O,O
ILTSJOZ,X,X,O,X,X,O,O,O
ILTSZJO,X,X,O,X,X,X,X,O
ILTSZOJ,X,X,O,X,X,X,X,O
ILTSOJZ,X,X,O,X,X,X,X,O
ILTSOZJ,X,X,O,X,X,X,X,O
ILTZJSO,X,X,X,X,O,X,X,O
ILTZJOS,X,X,O,X,O,X,X,O
ILTZSJO,X,X,O,X,X,X,X,O
ILTZSOJ,X,X,O,X,X,X,X,O
ILTZOJS,X,X,O,X,X,X,X,O
ILTZOSJ,X,X,O,X,X,X,X,O
ILTOJSZ,X,X,X,X,X,X,X,O
ILTOJZS,X,X,O,X,X,X,X,O
ILTOSJZ,X,X,X,X,X,X,X,O
ILTOSZJ,X,X,O,X,X,X,X,O
ILTOZJS,X,X,O,X,X,X,X,O
ILTOZSJ,X,X,O,X,X,X,X,O
ILJTSZO,X,X,X,X,X,X,O,O
ILJTSOZ,X,X,X,X,X,O,O,O
ILJTZSO,X,X,X,X,O,X,X,O
ILJTZOS,X,X,O,X,O,X,X,O
ILJTOSZ,X,X,X,X,X,O,X,O
ILJTOZS,X,X,O,X,O,X,X,O
ILJSTZO,X,X,X,X,X,X,O,X
ILJSTOZ,X,X,X,X,X,O,O,X
ILJSZTO,X,O,X,X,O,X,O,X
ILJSZOT,X,O,X,X,O,X,O,X
ILJSOTZ,X,X,X,O,X,O,O,X
ILJSOZT,X,X,X,O,O,X,O,X
ILJZTSO,X,O,X,X,O,X,X,X
ILJZTOS,X,X,O,X,O,X,X,X
ILJZSTO,X,O,X,X,O,X,O,X
ILJZSOT,X,O,X,X,O,X,O,X
ILJZOTS,X,X,O,X,O,X,X,X
ILJZOST,X,O,X,X,O,X,X,X
ILJOTSZ,X,X,X,O,X,O,X,X
ILJOTZS,X,X,O,X,O,X,X,X
ILJOSTZ,X,X,X,O,X,O,O,X
ILJOSZT,X,X,X,O,O,X,O,X
ILJOZTS,X,X,O,X,O,X,X,X
ILJOZST,X,X,X,O,O,X,X,X
ILSTJZO,X,X,O,X,X,X,O,O
ILSTJOZ,X,X,O,X,X,O,O,O
ILSTZJO,X,X,O,X,X,X,X,O
ILSTZOJ,X,X,O,X,X,X,X,O
ILSTOJZ,X,X,O,X,X,X,X,O
ILSTOZJ,X,X,O,X,X,X,X,O
ILSJTZO,X,X,O,X,X,X,O,X
ILSJTOZ,X,X,O,X,X,O,O,X
ILSJZTO,X,O,O,X,O,X,O,X
ILSJZOT,X,O,O,X,O,X,O,X
ILSJOTZ,X,X,O,O,X,O,O,X
ILSJOZT,X,X,O,O,O,X,O,X
ILSZTJO,X,O,O,X,X,X,X,X
ILSZTOJ,X,X,O,X,X,X,X,X
ILSZJTO,X,O,O,X,O,X,O,X
ILSZJOT,X,O,O,X,O,X,O,X
ILSZOTJ,X,X,O,X,X,X,X,X
ILSZOJT,X,O,O,X,X,X,X,X
ILSOTJZ,X,X,O,O,X,X,X,X
ILSOTZJ,X,X,O,X,X,X,X,X
ILSOJTZ,X,X,O,O,X,X,O,X
ILSOJZT,X,X,O,O,X,X,O,X
ILSOZTJ,X,X,O,X,X,X,X,X
ILSOZJT,X,X,O,O,X,X,X,X
ILZTJSO,X,O,X,X,O,X,X,O
ILZTJOS,X,X,O,X,O,X,X,O
ILZTSJO,X,O,O,X,X,X,X,O
ILZTSOJ,X,X,O,X,X,X,X,O
ILZTOJS,X,X,O,X,X,X,X,O
ILZTOSJ,X,X,O,X,X,X,X,O
ILZJTSO,X,O,X,X,O,X,X,X
ILZJTOS,X,X,O,X,O,X,X,X
ILZJSTO,X,O,X,X,O,X,O,X
ILZJSOT,X,O,X,X,O,X,O,X
ILZJOTS,X,X,O,X,O,X,X,X
ILZJOST,X,O,X,X,O,X,X,X
ILZSTJO,X,O,O,X,X,X,X,X
ILZSTOJ,X,X,O,X,X,X,X,X
ILZSJTO,X,O,O,X,O,X,O,X
ILZSJOT,X,O,O,X,O,X,O,X
ILZSOTJ,X,X,O,X,X,X,X,X
ILZSOJT,X,O,O,X,X,X,X,X
ILZOTJS,X,X,O,X,X,X,X,X
ILZOTSJ,X,X,O,X,X,X,X,X
ILZOJTS,X,X,O,X,O,X,X,X
ILZOJST,X,O,X,X,O,X,X,X
ILZOSTJ,X,X,O,X,X,X,X,X
ILZOSJT,X,O,X,X,X,X,X,X
ILOTJSZ,X,X,X,O,X,X,X,O
ILOTJZS,X,X,O,X,X,X,X,O
ILOTSJZ,X,X,X,O,X,X,X,O
ILOTSZJ,X,X,O,X,X,X,X,O
ILOTZJS,X,X,O,X,X,X,X,O
ILOTZSJ,X,X,O,X,X,X,X,O
ILOJTSZ,X,X,X,O,X,X,X,X
ILOJTZS,X,X,O,X,O,X,X,X
ILOJSTZ,X,X,X,O,X,X,O,X
ILOJSZT,X,X,X,O,O,X,O,X
ILOJZTS,X,X,O,X,O,X,X,X
ILOJZST,X,X,X,O,O,X,X,X
ILOSTJZ,X,X,X,O,X,X,X,X
ILOSTZJ,X,X,O,X,X,X,X,X
ILOSJTZ,X,X,X,O,X,X,O,X
ILOSJZT,X,X,X,O,X,X,O,X
ILOSZTJ,X,X,O,X,X,X,X,X
ILOSZJT,X,X,X,O,X,X,X,X
ILOZTJS,X,X,O,X,X,X,X,X
ILOZTSJ,X,X,O,X,X,X,X,X
ILOZJTS,X,X,O,X,O,X,X,X
ILOZJST,X,X,X,O,O,X,X,X
ILOZSTJ,X,X,O,X,X,X,X,X
ILOZSJT,X,X,X,O,X,X,X,X
IJTLSZO,X,X,X,X,X,X,O,O
IJTLSOZ,X,X,X,X,X,O,O,O
IJTLZSO,X,X,X,X,O,X,X,O
IJTLZOS,O,X,X,X,O,X,X,O
IJTLOSZ,X,X,X,X,X,O,X,O
IJTLOZS,O,X,X,X,O,X,X,O
IJTSLZO,X,X,X,X,X,X,O,X
IJTSLOZ,X,X,X,X,X,O,O,X
IJTSZLO,X,X,X,X,X,X,X,X
IJTSZOL,O,X,X,X,X,O,X,X
IJTSOLZ,X,X,X,X,X,O,X,X
IJTSOZL,O,X,X,X,X,O,X,X
IJTZLSO,X,X,X,X,X,X,X,X
IJTZLOS,O,X,X,X,X,X,X,X
IJTZSLO,X,X,X,X,X,X,X,X
IJTZSOL,O,X,X,X,X,O,X,X
IJTZOLS,O,X,X,X,X,X,X,X
IJTZOSL,O,X,X,X,X,O,X,X
IJTOLSZ,X,X,X,X,X,O,X,X
IJTOLZS,O,X,X,X,O,X,X,X
IJTOSLZ,X,X,X,X,X,O,X,X
IJTOSZL,O,X,X,X,X,O,X,X
IJTOZLS,O,X,X,X,X,X,X,X
IJTOZSL,O,X,X,X,X,O,X,X
IJLTSZO,X,X,X,X,X,X,O,O
IJLTSOZ,X,X,X,X,X,O,O,O
IJLTZSO,X,X,X,X,O,X,X,O
IJLTZOS,X,X,O,X,O,X,X,O
IJLTOSZ,X,X,X,X,X,O,X,O
IJLTOZS,X,X,O,X,O,X,X,O
IJLSTZO,X,X,X,X,X,X,O,X
IJLSTOZ,X,X,X,X,X,O,O,X
IJLSZTO,X,O,X,X,O,X,O,X
IJLSZOT,X,O,X,X,O,X,O,X
IJLSOTZ,X,X,X,O,X,O,O,X
IJLSOZT,X,X,X,O,O,X,O,X
IJLZTSO,X,O,X,X,O,X,X,X
IJLZTOS,X,X,O,X,O,X,X,X
IJLZSTO,X,O,X,X,O,X,O,X
IJLZSOT,X,O,X,X,O,X,O,X
IJLZOTS,X,X,O,X,O,X,X,X
IJLZOST,X,O,X,X,O,X,X,X
IJLOTSZ,X,X,X,O,X,O,X,X
IJLOTZS,X,X,O,X,O,X,X,X
IJLOSTZ,X,X,X,O,X,O,O,X
IJLOSZT,X,X,X,O,O,X,O,X
IJLOZTS,X,X,O,X,O,X,X,X
IJLOZST,X,X,X,O,O,X,X,X
IJSTLZO,X,X,X,X,X,X,O,X
IJSTLOZ,X,X,X,X,X,O,O,X
IJSTZLO,X,X,X,X,X,X,X,X
IJSTZOL,X,X,X,X,X,O,X,X
IJSTOLZ,X,X,X,X,X,O,X,X
IJSTOZL,X,X,X,X,X,O,X,X
IJSLTZO,X,X,X,X,X,X,O,X
IJSLTOZ,X,X,X,X,X,O,O,X
IJSLZTO,X,O,X,X,O,X,O,X
IJSLZOT,X,O,X,X,O,X,O,X
IJSLOTZ,X,X,X,O,X,O,O,X
IJSLOZT,X,X,X,O,O,X,O,X
IJSZTLO,X,O,X,X,X,X,X,X
IJSZTOL,X,O,X,X,X,O,X,X
IJSZLTO,X,O,X,X,X,X,O,X
IJSZLOT,X,O,X,X,X,X,O,X
IJSZOTL,X,O,X,X,X,O,X,X
IJSZOLT,X,O,X,X,X,X,X,X
IJSOTLZ,X,X,X,O,X,O,X,X
IJSOTZL,X,X,X,X,X,O,X,X
IJSOLTZ,X,X,X,O,X,O,O,X
IJSOLZT,X,O,X,O,O,X,O,X
IJSOZTL,X,O,X,X,X,O,X,X
IJSOZLT,X,O,X,O,X,X,X,X
IJZTLSO,X,O,X,X,X,X,X,X
IJZTLOS,O,X,X,X,X,X,X,X
IJZTSLO,X,O,X,X,X,X,X,X
IJZTSOL,O,O,X,X,X,O,X,X
IJZTOLS,O,O,X,X,X,X,X,X
IJZTOSL,O,O,X,X,X,O,X,X
IJZLTSO,X,O,X,X,O,X,X,X
IJZLTOS,X,X,O,X,O,X,X,X
IJZLSTO,X,O,X,X,O,X,O,X
IJZLSOT,X,O,X,X,O,X,O,X
IJZLOTS,X,O,O,X,O,X,X,X
IJZLOST,X,O,X,X,O,X,X,X
IJZSTLO,X,O,X,X,X,X,X,X
IJZSTOL,X,O,X,X,X,O,X,X
IJZSLTO,X,O,X,X,X,X,O,X
IJZSLOT,X,O,X,X,X,X,O,X
IJZSOTL,X,O,X,X,X,O,X,X
IJZSOLT,X,O,X,X,X,X,X,X
IJZOTLS,O,O,X,X,X,X,X,X
IJZOTSL,O,O,X,X,X,O,X,X
IJZOLTS,X,O,O,X,O,X,X,X
IJZOLST,X,O,X,X,O,X,X,X
IJZOSTL,X,O,X,X,X,O,X,X
IJZOSLT,X,O,X,X,X,X,X,X
IJOTLSZ,X,X,X,O,X,O,X,X
IJOTLZS,O,X,X,X,O,X,X,X
IJOTSLZ,X,X,X,O,X,O,X,X
IJOTSZL,O,X,X,X,X,O,X,X
IJOTZLS,O,X,X,X,X,X,X,X
IJOTZSL,O,X,X,X,X,O,X,X
IJOLTSZ,X,X,X,O,X,O,X,X
IJOLTZS,X,X,O,X,O,X,X,X
IJOLSTZ,X,X,X,O,X,O,O,X
IJOLSZT,X,O,X,O,O,X,O,X
IJOLZTS,X,O,O,X,O,X,X,X
IJOLZST,X,O,X,O,O,X,X,X
