sequence,v115@RhB8CeB8CeA8BeG8Je2EJvhFRgBUiBFmBToBCoBXqB,v115@RhB8CeB8CeA8BeG8Jex/IvhFOmBXiB6oBcqBznBlpB,v115@RhB8CeB8CeA8BeG8JeT/IvhFUiBFjBxlBStBmlBXqB,v115@RhB8CeB8CeA8BeG8JeyEJvhFxiB3lBGnBToBFmB0pB,v115@RhB8CeB8CeA8BeG8JeFAJvhFxhBTjBcqBimBWtB/pB,v115@RhB8CeB8CeA8BeG8JeFCJvhFTjBxkBXmBWtBilB0pB,v115@RhB8CeB8CeA8BeG8JeOGJvhFXiBxkBCoBcqBToBlpB,v115@RhB8CeB8CeA8BeG8JeyEJvhFFmBxnB3lBGnBToB0pB
TIOZSLJ,O,X,X,X,X,X,X,X
TIOZSJL,O,X,X,X,X,X,X,X
TLIJSZO,X,X,X,X,X,X,O,O
TLIJSOZ,X,X,X,X,X,O,O,O
TLIJZSO,X,X,X,X,O,X,X,O
TLIJZOS,O,X,O,X,O,X,X,O
TLIJOSZ,X,X,X,X,X,O,X,O
TLIJOZS,O,X,O,X,O,X,X,O
TLISJZO,X,X,O,X,X,X,O,O
TLISJOZ,X,X,O,X,X,O,O,O
TLISZJO,X,X,O,X,X,X,X,O
TLISZOJ,X,X,O,X,X,X,X,O
TLISOJZ,X,X,O,X,X,X,X,O
TLISOZJ,X,X,O,X,X,X,X,O
TLIZJSO,X,X,X,X,O,X,X,O
TLIZJOS,O,X,O,X,O,X,X,O
TLIZSJO,X,X,O,X,X,X,X,O
TLIZSOJ,X,X,O,X,X,X,X,O
TLIZOJS,O,X,O,X,X,X,X,O
TLIZOSJ,X,X,O,X,X,X,X,O
TLIOJSZ,X,X,X,X,X,X,X,O
TLIOJZS,O,X,O,X,X,X,X,O
TLIOSJZ,X,X,X,X,X,X,X,O
TLIOSZJ,X,X,O,X,X,X,X,O
TLIOZJS,O,X,O,X,X,X,X,O
TLIOZSJ,X,X,O,X,X,X,X,O
TLJISZO,X,X,X,X,X,X,O,O
TLJISOZ,X,X,X,X,X,O,O,O
TLJIZSO,X,X,X,X,O,X,X,O
TLJIZOS,O,X,O,X,O,X,X,O
TLJIOSZ,X,X,X,X,X,O,X,O
TLJIOZS,O,X,O,X,O,X,X,O
TLJSIZO,X,X,O,X,X,X,O,X
TLJSIOZ,X,X,O,X,X,O,O,X
