sequence,v115@BhA8IeC8DeA8BeA8FeE8CeA8JeZEJvhFflB6lBGiBT?jBUsBFtB,v115@BhA8IeC8DeA8BeA8FeE8CeA8JeZEJvhFSlBGiBTjBU?lBFsBXtB,v115@BhA8IeC8DeA8BeA8FeE8CeA8JeZEJvhFCgBXjBTlBc?tBFsBGsB,v115@BhA8IeC8DeA8BeA8FeE8CeA8JeZEJvhFCgBXjBTlBc?tBGsBFsB,v115@BhA8IeC8DeA8BeA8FeE8CeA8JeZEJvhFSlBGiBToBU?lBFsBXtB,v115@BhA8IeC8DeA8BeA8FeE8CeA8JeZEJvhFGgBTjBUlBS?sBXtBFsB
TILJSZO,O,O,X,X,X,X
TILJSOZ,O,O,X,X,O,X
TILJZSO,X,O,X,X,X,X
TILJZOS,X,X,X,X,O,X
TILJOSZ,O,O,X,X,O,X
TILJOZS,X,X,X,X,O,X
TILSJZO,O,O,X,X,X,X
TILSJOZ,O,O,X,X,O,X
TILSZJO,O,O,X,X,X,O
TILSZOJ,O,O,X,X,X,O
TILSOJZ,O,O,X,X,O,X
TILSOZJ,O,O,X,X,X,O
TILZJSO,X,O,X,X,X,O
TILZJOS,X,X,X,X,O,X
TILZSJO,X,O,X,X,X,O
TILZSOJ,X,O,O,X,X,O
TILZOJS,X,X,O,X,O,X
TILZOSJ,X,X,O,X,X,X
TILOJSZ,O,O,X,X,O,X
TILOJZS,X,X,O,X,O,X
TILOSJZ,O,O,X,X,O,X
TILOSZJ,O,O,O,X,X,X
TILOZJS,X,X,O,X,O,X
TILOZSJ,X,X,O,X,X,X
TIJLSZO,O,O,X,X,X,X
TIJLSOZ,O,O,X,X,O,X
TIJLZSO,X,O,X,X,X,X
TIJLZOS,X,X,X,X,O,X
TIJLOSZ,O,O,X,X,O,X
TIJLOZS,X,X,X,X,O,X
TIJSLZO,O,O,X,X,X,X
TIJSLOZ,O,O,X,X,O,X
TIJSZLO,O,O,X,X,X,X
TIJSZOL,O,O,X,X,X,X
TIJSOLZ,O,O,X,X,O,X
TIJSOZL,O,O,X,X,X,X
TIJZLSO,O,O,X,X,X,X
TIJZLOS,O,X,X,X,O,X
TIJZSLO,O,O,X,X,X,X
TIJZSOL,O,O,O,O,X,X
TIJZOLS,O,X,O,O,O,X
TIJZOSL,O,X,O,O,X,X
TIJOLSZ,O,O,X,X,O,X
TIJOLZS,X,X,O,O,O,X
TIJOSLZ,O,O,X,X,O,X
TIJOSZL,O,O,X,X,X,X
TIJOZLS,X,X,O,O,O,X
TIJOZSL,O,X,O,O,X,X
TISLJZO,O,O,X,X,X,X
TISLJOZ,O,O,X,X,O,X
TISLZJO,O,O,X,X,X,O
TISLZOJ,O,O,X,X,X,O
TISLOJZ,O,O,X,X,O,X
TISLOZJ,O,O,X,X,X,O
TISJLZO,O,O,X,X,X,X
TISJLOZ,O,O,X,X,O,X
TISJZLO,O,O,X,X,X,X
TISJZOL,O,O,X,X,X,X
TISJOLZ,O,O,X,X,O,X
TISJOZL,O,O,X,X,X,X
TISZLJO,O,O,X,X,X,O
TISZLOJ,O,O,O,X,X,O
TISZJLO,O,O,X,X,X,O
TISZJOL,O,O,O,X,X,O
TISZOLJ,O,O,O,X,X,O
TISZOJL,O,O,O,X,X,O
TISOLJZ,O,O,X,X,O,X
TISOLZJ,O,O,O,X,X,O
TISOJLZ,O,O,X,X,O,X
TISOJZL,O,O,X,X,X,X
TISOZLJ,O,O,O,X,X,O
TISOZJL,O,O,O,X,X,O
TIZLJSO,O,O,X,X,X,O
TIZLJOS,O,X,X,X,O,X
TIZLSJO,O,O,X,X,X,O
TIZLSOJ,O,O,O,X,X,O
TIZLOJS,O,X,O,X,O,X
TIZLOSJ,O,X,O,X,X,X
TIZJLSO,O,O,X,X,X,O
TIZJLOS,O,X,X,X,O,X
TIZJSLO,O,O,X,X,X,O
TIZJSOL,O,O,O,O,X,O
TIZJOLS,O,X,O,O,O,X
TIZJOSL,O,X,O,O,X,X
TIZSLJO,O,O,X,X,X,O
TIZSLOJ,O,O,O,X,X,O
TIZSJLO,O,O,X,X,X,O
TIZSJOL,O,O,O,X,X,O
TIZSOLJ,O,O,O,O,X,O
TIZSOJL,O,O,O,X,X,O
TIZOLJS,O,X,O,O,O,X
TIZOLSJ,O,X,O,O,X,X
TIZOJLS,O,X,O,O,O,X
TIZOJSL,O,X,O,O,X,X
TIZOSLJ,O,X,O,O,X,X
TIZOSJL,O,X,O,X,X,X
TIOLJSZ,O,O,X,X,O,X
TIOLJZS,X,X,O,O,O,X
TIOLSJZ,O,O,X,X,O,X
TIOLSZJ,O,O,O,X,X,X
TIOLZJS,X,X,O,O,O,X
TIOLZSJ,X,X,O,O,X,X
TIOJLSZ,O,O,X,X,O,X
TIOJLZS,X,X,O,O,O,X
TIOJSLZ,O,O,X,X,O,X
TIOJSZL,O,O,X,X,X,X
TIOJZLS,X,X,O,O,O,X
TIOJZSL,O,X,O,O,X,X
TIOSLJZ,O,O,X,X,O,X
TIOSLZJ,O,O,O,X,X,X
TIOSJLZ,O,O,X,X,O,X
TIOSJZL,O,O,X,X,X,X
TIOSZLJ,O,O,O,X,X,X
TIOSZJL,O,O,O,X,X,X
TIOZLJS,X,X,O,O,O,X
TIOZLSJ,X,X,O,O,X,X
TIOZJLS,X,X,O,O,O,X
TIOZJSL,O,X,O,O,X,X
TIOZSLJ,O,X,O,O,X,X
TIOZSJL,O,X,O,X,X,X
TLIJSZO,O,O,X,X,X,X
TLIJSOZ,O,O,X,X,O,X
TLIJZSO,X,O,X,X,X,X
TLIJZOS,X,X,X,X,O,X
TLIJOSZ,O,O,X,X,O,X
TLIJOZS,X,X,X,X,O,X
TLISJZO,O,O,X,X,X,X
TLISJOZ,O,O,X,X,O,X
TLISZJO,O,O,X,X,X,O
TLISZOJ,O,O,X,X,X,O
TLISOJZ,O,O,X,X,O,X
TLISOZJ,O,O,X,X,X,O
TLIZJSO,X,O,X,X,X,O
TLIZJOS,X,X,X,X,O,X
TLIZSJO,X,O,X,X,X,O
TLIZSOJ,X,O,O,X,X,O
TLIZOJS,X,X,O,X,O,X
TLIZOSJ,X,X,O,X,X,X
TLIOJSZ,O,O,X,X,O,X
TLIOJZS,X,X,O,X,O,X
TLIOSJZ,O,O,X,X,O,X
TLIOSZJ,O,O,O,X,X,X
TLIOZJS,X,X,O,X,O,X
TLIOZSJ,X,X,O,X,X,X
TLJISZO,O,O,X,X,X,X
TLJISOZ,O,O,X,X,O,X
TLJIZSO,X,O,X,X,X,X
TLJIZOS,X,X,X,X,O,X
TLJIOSZ,O,O,X,X,O,X
TLJIOZS,X,X,X,X,O,X
TLJSIZO,O,O,X,X,X,X
TLJSIOZ,O,O,X,X,O,X
TLJSZIO,O,O,X,X,X,X
TLJSZOI,O,O,X,X,X,X
TLJSOIZ,O,O,X,X,O,X
TLJSOZI,O,O,X,X,X,X
TLJZISO,X,O,X,X,X,X
TLJZIOS,X,X,X,X,O,X
TLJZSIO,X,O,X,X,X,X
TLJZSOI,X,O,X,X,X,X
TLJZOIS,X,X,X,X,O,X
TLJZOSI,X,X,X,X,X,X
TLJOISZ,O,O,X,X,O,X
TLJOIZS,X,X,X,X,O,X
TLJOSIZ,O,O,X,X,O,X
TLJOSZI,O,O,X,X,X,X
TLJOZIS,X,X,X,X,O,X
TLJOZSI,X,X,X,X,X,X
TLSIJZO,O,O,X,X,X,X
TLSIJOZ,O,O,X,X,O,X
TLSIZJO,O,O,X,X,X,O
TLSIZOJ,O,O,X,X,X,O
TLSIOJZ,O,O,X,X,O,X
TLSIOZJ,O,O,X,X,X,O
TLSJIZO,O,O,X,X,X,X
TLSJIOZ,O,O,X,X,O,X
TLSJZIO,O,O,X,X,X,X
TLSJZOI,O,O,X,X,X,X
TLSJOIZ,O,O,X,X,O,X
TLSJOZI,O,O,X,X,X,X
TLSZIJO,O,O,X,X,X,O
TLSZIOJ,O,O,X,X,X,O
TLSZJIO,O,O,X,X,X,O
TLSZJOI,O,O,X,X,X,O
TLSZOIJ,O,O,X,X,X,O
TLSZOJI,O,O,X,X,X,O
TLSOIJZ,O,O,X,X,O,X
TLSOIZJ,O,O,X,X,X,O
TLSOJIZ,O,O,X,X,O,X
TLSOJZI,O,O,X,X,X,X
TLSOZIJ,O,O,X,X,X,O
TLSOZJI,O,O,X,X,X,O
TLZIJSO,X,O,X,X,X,O
TLZIJOS,X,X,X,X,O,X
TLZISJO,X,O,X,X,X,O
TLZISOJ,X,O,O,X,X,O
TLZIOJS,X,X,O,X,O,X
TLZIOSJ,X,X,O,X,X,X
TLZJISO,X,O,X,X,X,O
TLZJIOS,X,X,X,X,O,X
TLZJSIO,X,O,X,X,X,O
TLZJSOI,X,O,X,X,X,O
TLZJOIS,X,X,X,X,O,X
TLZJOSI,X,X,X,X,X,X
TLZSIJO,X,O,X,X,X,O
TLZSIOJ,X,O,O,X,X,O
TLZSJIO,X,O,X,X,X,O
TLZSJOI,X,O,X,X,X,O
TLZSOIJ,X,O,O,X,X,O
TLZSOJI,X,O,O,X,X,O
TLZOIJS,X,X,O,X,O,X
TLZOISJ,X,X,O,X,X,X
TLZOJIS,X,X,O,X,O,X
TLZOJSI,X,X,O,X,X,X
TLZOSIJ,X,X,O,X,X,X
TLZOSJI,X,X,O,X,X,X
TLOIJSZ,O,O,X,X,O,X
TLOIJZS,X,X,O,X,O,X
TLOISJZ,O,O,X,X,O,X
TLOISZJ,O,O,O,X,X,X
TLOIZJS,X,X,O,X,O,X
TLOIZSJ,X,X,O,X,X,X
TLOJISZ,O,O,X,X,O,X
TLOJIZS,X,X,O,X,O,X
TLOJSIZ,O,O,X,X,O,X
TLOJSZI,O,O,X,X,X,X
TLOJZIS,X,X,O,X,O,X
TLOJZSI,X,X,O,X,X,X
TLOSIJZ,O,O,X,X,O,X
TLOSIZJ,O,O,O,X,X,X
TLOSJIZ,O,O,X,X,O,X
TLOSJZI,O,O,X,X,X,X
TLOSZIJ,O,O,O,X,X,X
TLOSZJI,O,O,O,X,X,X
TLOZIJS,X,X,O,X,O,X
TLOZISJ,X,X,O,X,X,X
TLOZJIS,X,X,O,X,O,X
TLOZJSI,X,X,O,X,X,X
TLOZSIJ,X,X,O,X,X,X
TLOZSJI,X,X,O,X,X,X
TJILSZO,O,O,X,X,X,X
TJILSOZ,O,O,X,X,O,X
TJILZSO,X,O,X,X,X,X
TJILZOS,X,X,X,X,O,X
TJILOSZ,O,O,X,X,O,X
TJILOZS,X,X,X,X,O,X
TJISLZO,O,O,X,X,X,X
TJISLOZ,O,O,X,X,O,X
TJISZLO,O,O,X,X,X,X
TJISZOL,O,O,X,X,X,X
TJISOLZ,O,O,X,X,O,X
TJISOZL,O,O,X,X,X,X
TJIZLSO,O,O,X,X,X,X
TJIZLOS,O,X,X,X,O,X
TJIZSLO,O,O,X,X,X,X
TJIZSOL,O,O,O,O,X,X
TJIZOLS,O,X,O,O,O,X
TJIZOSL,O,X,O,O,X,X
TJIOLSZ,O,O,X,X,O,X
TJIOLZS,X,X,O,O,O,X
TJIOSLZ,O,O,X,X,O,X
TJIOSZL,O,O,X,X,X,X
TJIOZLS,X,X,O,O,O,X
TJIOZSL,O,X,O,O,X,X
TJLISZO,O,O,X,X,X,X
TJLISOZ,O,O,X,X,O,X
TJLIZSO,X,O,X,X,X,X
TJLIZOS,X,X,X,X,O,X
TJLIOSZ,O,O,X,X,O,X
TJLIOZS,X,X,X,X,O,X
TJLSIZO,O,O,X,X,X,X
TJLSIOZ,O,O,X,X,O,X
TJLSZIO,O,O,X,X,X,X
TJLSZOI,O,O,X,X,X,X
