sequence,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBXjBlmBctBTsBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBlnBctBzrBCtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBTjBlmBcsBXtBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBFiBTjB6rBcsBXtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBCjB8rBToB1xB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBlmBcsBToBCsBXtB,v115@KhA8FeE8EeE8DeA8JeT/IvhFigBxiBlmB3nBctBWxB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBfoB6oBlmB0sBzrB
TSOZILJ,O,O,O,O,O,X,O,X
TSOZIJL,O,O,O,O,O,X,O,X
TSOZLIJ,O,O,O,O,O,X,O,X
TSOZLJI,O,O,O,O,O,X,O,X
TSOZJIL,O,O,O,O,O,X,O,X
TSOZJLI,O,O,O,O,O,X,O,X
TZILJSO,O,X,O,O,O,X,X,O
TZILJOS,X,X,X,X,O,O,X,X
TZILSJO,O,X,O,O,O,X,O,O
TZILSOJ,X,X,O,O,O,X,O,O
TZILOJS,X,X,X,X,O,O,X,X
TZILOSJ,X,X,X,X,O,X,O,X
TZIJLSO,O,X,O,O,O,X,X,O
TZIJLOS,X,X,X,X,O,O,X,X
TZIJSLO,O,X,O,O,O,X,X,O
TZIJSOL,O,X,O,O,O,O,X,O
TZIJOLS,O,O,X,X,O,O,X,X
TZIJOSL,O,O,O,O,O,O,X,O
TZISLJO,O,X,O,O,O,X,O,O
TZISLOJ,X,X,O,O,O,X,O,O
TZISJLO,O,X,O,O,O,X,O,O
TZISJOL,O,X,O,O,O,O,O,O
TZISOLJ,O,X,O,O,O,X,O,O
TZISOJL,O,X,O,O,O,O,O,O
TZIOLJS,O,O,X,X,O,O,X,X
TZIOLSJ,O,O,X,X,O,X,O,X
TZIOJLS,O,O,X,X,O,O,X,X
TZIOJSL,O,O,O,O,O,O,X,O
TZIOSLJ,O,O,O,O,O,X,O,O
TZIOSJL,O,O,O,O,O,O,O,O
TZLIJSO,O,X,O,O,O,X,X,O
TZLIJOS,X,X,X,O,O,O,X,X
TZLISJO,O,X,O,O,O,X,O,O
TZLISOJ,X,X,O,O,O,X,O,O
TZLIOJS,X,X,X,O,O,O,X,X
TZLIOSJ,X,X,X,O,O,X,O,X
TZLJISO,O,X,O,O,O,X,X,O
TZLJIOS,X,X,X,O,O,O,X,X
TZLJSIO,O,X,O,O,O,X,O,O
TZLJSOI,O,X,O,O,O,X,O,O
TZLJOIS,X,X,X,O,O,O,X,X
TZLJOSI,X,X,X,O,O,O,O,X
TZLSIJO,O,X,O,O,O,X,O,O
TZLSIOJ,X,X,O,O,O,X,O,O
TZLSJIO,O,X,O,O,O,X,O,O
TZLSJOI,O,X,O,O,O,X,O,O
TZLSOIJ,X,X,O,O,O,X,O,O
TZLSOJI,X,X,O,O,O,X,O,O
TZLOIJS,X,X,X,O,O,O,X,X
TZLOISJ,X,X,X,O,O,X,O,X
TZLOJIS,X,X,X,O,O,O,X,X
TZLOJSI,X,X,X,O,O,O,O,X
TZLOSIJ,X,X,X,O,O,X,O,X
TZLOSJI,X,X,X,O,O,X,O,X
TZJILSO,O,X,O,O,O,X,X,O
TZJILOS,X,X,X,X,O,O,X,X
TZJISLO,O,X,O,O,O,X,X,O
TZJISOL,O,X,O,O,O,O,X,O
TZJIOLS,O,O,X,X,O,O,X,X
TZJIOSL,O,O,O,O,O,O,X,O
TZJLISO,O,X,O,O,O,X,X,O
TZJLIOS,X,X,X,O,O,O,X,X
TZJLSIO,O,X,O,O,O,X,O,O
TZJLSOI,O,X,O,O,O,X,O,O
TZJLOIS,X,X,X,O,O,O,X,X
TZJLOSI,X,X,X,O,O,O,O,X
TZJSILO,O,X,O,O,O,X,O,O
TZJSIOL,O,X,O,O,O,O,O,O
TZJSLIO,O,X,O,O,O,X,O,O
TZJSLOI,O,X,O,O,O,X,O,O
TZJSOIL,O,X,O,O,O,O,O,O
TZJSOLI,O,X,O,O,O,O,O,O
TZJOILS,O,O,X,X,O,O,X,X
TZJOISL,O,O,O,O,O,O,X,O
TZJOLIS,O,O,X,X,O,O,X,X
TZJOLSI,O,O,X,X,O,O,O,X
TZJOSIL,O,O,O,O,O,O,O,O
TZJOSLI,O,O,O,O,O,O,O,O
TZSILJO,O,X,O,O,O,X,O,O
TZSILOJ,X,X,O,O,O,X,O,O
TZSIJLO,O,X,O,O,O,X,O,O
TZSIJOL,O,X,O,O,O,O,O,O
TZSIOLJ,O,X,O,O,O,X,O,O
TZSIOJL,O,X,O,O,O,O,O,O
TZSLIJO,O,X,O,O,O,X,O,O
TZSLIOJ,X,X,O,O,O,X,O,O
TZSLJIO,O,X,O,O,O,X,O,O
TZSLJOI,O,X,O,O,O,X,O,O
TZSLOIJ,X,X,O,O,O,X,O,O
TZSLOJI,X,X,O,O,O,X,O,O
TZSJILO,O,X,O,O,O,X,O,O
TZSJIOL,O,X,O,O,O,O,O,O
TZSJLIO,O,X,O,O,O,X,O,O
TZSJLOI,O,X,O,O,O,X,O,O
TZSJOIL,O,X,O,O,O,O,O,O
TZSJOLI,O,X,O,O,O,O,O,O
TZSOILJ,O,X,O,O,O,X,O,O
TZSOIJL,O,X,O,O,O,O,O,O
TZSOLIJ,O,X,O,O,O,X,O,O
TZSOLJI,O,X,O,O,O,X,O,O
TZSOJIL,O,X,O,O,O,O,O,O
TZSOJLI,O,X,O,O,O,O,O,O
TZOILJS,O,O,X,X,O,O,X,X
TZOILSJ,O,O,X,X,O,X,O,X
TZOIJLS,O,O,X,X,O,O,X,X
TZOIJSL,O,O,O,O,O,O,X,O
TZOISLJ,O,O,O,O,O,X,O,O
TZOISJL,O,O,O,O,O,O,O,O
TZOLIJS,O,O,X,X,O,O,X,X
TZOLISJ,O,O,X,X,O,X,O,X
TZOLJIS,O,O,X,X,O,O,X,X
TZOLJSI,O,O,X,X,O,O,O,X
TZOLSIJ,O,O,X,X,O,X,O,X
TZOLSJI,O,O,X,X,O,X,O,X
TZOJILS,O,O,X,X,O,O,X,X
TZOJISL,O,O,O,O,O,O,X,O
TZOJLIS,O,O,X,X,O,O,X,X
TZOJLSI,O,O,X,X,O,O,O,X
TZOJSIL,O,O,O,O,O,O,O,O
TZOJSLI,O,O,O,O,O,O,O,O
TZOSILJ,O,O,O,O,O,X,O,O
TZOSIJL,O,O,O,O,O,O,O,O
TZOSLIJ,O,O,O,O,O,X,O,O
TZOSLJI,O,O,O,O,O,X,O,O
TZOSJIL,O,O,O,O,O,O,O,O
TZOSJLI,O,O,O,O,O,O,O,O
TOILJSZ,X,X,X,X,O,X,X,X
TOILJZS,O,X,X,X,O,X,X,X
TOILSJZ,X,X,X,X,O,X,X,X
TOILSZJ,X,X,X,X,O,X,X,X
TOILZJS,O,X,X,X,O,X,X,X
TOILZSJ,O,X,X,X,O,X,O,X
TOIJLSZ,X,X,X,X,O,X,X,X
TOIJLZS,O,X,X,X,O,X,X,X
TOIJSLZ,X,X,X,X,O,X,X,X
TOIJSZL,O,O,X,X,O,X,X,X
TOIJZLS,O,O,X,X,O,O,X,X
TOIJZSL,O,O,O,X,O,O,X,O
TOISLJZ,X,X,X,X,O,X,X,X
TOISLZJ,X,X,X,X,O,X,X,X
TOISJLZ,X,X,X,X,O,X,X,X
TOISJZL,O,O,X,X,O,X,X,X
TOISZLJ,O,O,X,X,O,X,X,X
TOISZJL,O,O,X,X,O,X,X,X
TOIZLJS,O,O,X,X,O,O,X,X
TOIZLSJ,O,O,X,X,O,X,O,X
TOIZJLS,O,O,X,X,O,O,X,X
TOIZJSL,O,O,O,X,O,O,X,O
TOIZSLJ,O,O,O,X,O,X,O,O
TOIZSJL,O,O,O,X,O,O,O,O
TOLIJSZ,X,X,X,X,O,X,X,X
TOLIJZS,O,X,X,X,O,X,X,X
TOLISJZ,X,X,X,X,O,X,X,X
TOLISZJ,X,X,X,X,O,X,X,X
TOLIZJS,O,X,X,X,O,X,X,X
TOLIZSJ,O,X,X,X,O,X,O,X
TOLJISZ,X,X,X,X,O,X,X,X
TOLJIZS,O,X,X,X,O,X,X,X
TOLJSIZ,X,X,X,X,O,X,X,X
TOLJSZI,X,X,X,X,O,X,X,X
TOLJZIS,O,X,X,X,O,X,X,X
TOLJZSI,O,X,X,X,O,X,O,X
TOLSIJZ,X,X,X,X,O,X,X,X
TOLSIZJ,X,X,X,X,O,X,X,X
TOLSJIZ,X,X,X,X,O,X,X,X
TOLSJZI,X,X,X,X,O,X,X,X
TOLSZIJ,X,X,X,X,O,X,O,X
TOLSZJI,X,X,X,X,O,X,O,X
TOLZIJS,O,X,X,X,O,X,X,X
TOLZISJ,O,X,X,X,O,X,O,X
TOLZJIS,O,X,X,X,O,X,X,X
TOLZJSI,O,X,X,X,O,X,O,X
TOLZSIJ,O,X,X,X,O,X,O,X
TOLZSJI,O,X,X,X,O,X,O,X
TOJILSZ,X,X,X,X,O,X,X,X
TOJILZS,O,X,X,X,O,X,X,X
TOJISLZ,X,X,X,X,O,X,X,X
TOJISZL,O,O,X,X,O,X,X,X
TOJIZLS,O,O,X,X,O,O,X,X
TOJIZSL,O,O,O,X,O,O,X,O
TOJLISZ,X,X,X,X,O,X,X,X
TOJLIZS,O,X,X,X,O,X,X,X
TOJLSIZ,X,X,X,X,O,X,X,X
TOJLSZI,X,X,X,X,O,X,X,X
TOJLZIS,O,X,X,X,O,X,X,X
TOJLZSI,O,X,X,X,O,X,O,X
TOJSILZ,X,X,X,X,O,X,X,X
TOJSIZL,O,O,X,X,O,X,X,X
TOJSLIZ,X,X,X,X,O,X,X,X
TOJSLZI,X,X,X,X,O,X,X,X
TOJSZIL,O,O,X,X,O,X,X,X
TOJSZLI,O,O,X,X,O,X,X,X
TOJZILS,O,O,X,X,O,O,X,X
TOJZISL,O,O,O,X,O,O,X,O
TOJZLIS,O,O,X,X,O,O,X,X
TOJZLSI,O,O,X,X,O,O,O,X
TOJZSIL,O,O,O,X,O,O,O,O
TOJZSLI,O,O,O,X,O,O,O,O
TOSILJZ,X,X,X,X,O,X,X,X
TOSILZJ,X,X,X,X,O,X,X,X
TOSIJLZ,X,X,X,X,O,X,X,X
TOSIJZL,O,O,X,X,O,X,X,X
TOSIZLJ,O,O,X,X,O,X,X,X
TOSIZJL,O,O,X,X,O,X,X,X
TOSLIJZ,X,X,X,X,O,X,X,X
TOSLIZJ,X,X,X,X,O,X,X,X
TOSLJIZ,X,X,X,X,O,X,X,X
TOSLJZI,X,X,X,X,O,X,X,X
TOSLZIJ,X,X,X,X,O,X,O,X
TOSLZJI,X,X,X,X,O,X,O,X
TOSJILZ,X,X,X,X,O,X,X,X
TOSJIZL,O,O,X,X,O,X,X,X
TOSJLIZ,X,X,X,X,O,X,X,X
TOSJLZI,X,X,X,X,O,X,X,X
TOSJZIL,O,O,X,X,O,X,X,X
TOSJZLI,O,O,X,X,O,X,X,X
TOSZILJ,O,O,X,X,O,X,O,X
TOSZIJL,O,O,X,X,O,X,O,X
TOSZLIJ,O,O,X,X,O,X,O,X
TOSZLJI,O,O,X,X,O,X,O,X
TOSZJIL,O,O,X,X,O,X,O,X
TOSZJLI,O,O,X,X,O,X,O,X
TOZILJS,O,O,X,X,O,O,X,X
TOZILSJ,O,O,X,X,O,X,O,X
TOZIJLS,O,O,X,X,O,O,X,X
TOZIJSL,O,O,O,X,O,O,X,O
TOZISLJ,O,O,O,X,O,X,O,O
TOZISJL,O,O,O,X,O,O,O,O
TOZLIJS,O,O,X,X,O,O,X,X
TOZLISJ,O,O,X,X,O,X,O,X
TOZLJIS,O,O,X,X,O,O,X,X
TOZLJSI,O,O,X,X,O,O,O,X
TOZLSIJ,O,O,X,X,O,X,O,X
TOZLSJI,O,O,X,X,O,X,O,X
TOZJILS,O,O,X,X,O,O,X,X
TOZJISL,O,O,O,X,O,O,X,O
TOZJLIS,O,O,X,X,O,O,X,X
TOZJLSI,O,O,X,X,O,O,O,X
TOZJSIL,O,O,O,X,O,O,O,O
TOZJSLI,O,O,O,X,O,O,O,O
TOZSILJ,O,O,O,X,O,X,O,O
TOZSIJL,O,O,O,X,O,O,O,O
TOZSLIJ,O,O,O,X,O,X,O,O
TOZSLJI,O,O,O,X,O,X,O,O
TOZSJIL,O,O,O,X,O,O,O,O
TOZSJLI,O,O,O,X,O,O,O,O
ITLJSZO,X,X,X,O,O,X,X,X
ITLJSOZ,X,X,X,O,X,X,X,X
ITLJZSO,O,X,O,O,O,X,X,O
ITLJZOS,X,X,X,O,O,O,X,X
ITLJOSZ,X,X,X,X,O,X,X,X
ITLJOZS,O,X,X,O,O,X,X,X
ITLSJZO,X,X,X,O,O,X,X,X
ITLSJOZ,X,X,X,O,X,X,X,X
ITLSZJO,X,X,X,O,O,X,X,X
ITLSZOJ,X,X,X,O,O,X,X,X
ITLSOJZ,X,X,X,O,X,X,X,X
ITLSOZJ,X,X,X,O,X,X,X,X
ITLZJSO,O,X,O,O,O,X,X,O
ITLZJOS,X,X,X,O,O,O,X,X
ITLZSJO,O,X,O,O,O,X,O,O
ITLZSOJ,X,X,O,O,O,X,O,O
ITLZOJS,X,X,X,O,O,O,X,X
ITLZOSJ,X,X,X,O,O,X,O,X
ITLOJSZ,X,X,X,X,O,X,X,X
ITLOJZS,O,X,X,O,O,X,X,X
ITLOSJZ,X,X,X,X,O,X,X,X
ITLOSZJ,X,X,X,X,O,X,X,X
ITLOZJS,O,X,X,O,O,X,X,X
ITLOZSJ,O,X,X,O,O,X,O,X
ITJLSZO,X,X,X,O,O,X,X,X
ITJLSOZ,X,X,X,O,X,X,X,X
ITJLZSO,O,X,O,O,O,X,X,O
ITJLZOS,X,X,X,O,O,O,X,X
ITJLOSZ,X,X,X,X,O,X,X,X
ITJLOZS,O,X,X,O,O,X,X,X
ITJSLZO,X,X,X,O,O,X,X,X
ITJSLOZ,X,X,X,O,X,X,X,X
ITJSZLO,O,X,O,O,O,X,X,O
ITJSZOL,O,X,O,O,O,O,X,O
ITJSOLZ,X,X,X,O,O,X,X,X
ITJSOZL,O,O,O,O,O,X,X,X
ITJZLSO,O,X,O,O,O,X,X,O
ITJZLOS,X,X,X,X,O,O,X,X
ITJZSLO,O,X,O,O,O,X,X,O
ITJZSOL,O,X,O,O,O,O,X,O
ITJZOLS,O,O,X,X,O,O,X,X
ITJZOSL,O,O,O,O,O,O,X,O
ITJOLSZ,X,X,X,X,O,X,X,X
ITJOLZS,O,X,X,X,O,X,X,X
ITJOSLZ,X,X,X,X,O,X,X,X
ITJOSZL,O,O,X,X,O,X,X,X
ITJOZLS,O,O,X,X,O,O,X,X
ITJOZSL,O,O,O,X,O,O,X,O
ITSLJZO,X,X,X,O,O,X,X,X
ITSLJOZ,X,X,X,O,X,X,X,X
ITSLZJO,X,X,X,O,O,X,X,X
ITSLZOJ,X,X,X,O,O,X,X,X
ITSLOJZ,X,X,X,O,X,X,X,X
ITSLOZJ,X,X,X,O,X,X,X,X
ITSJLZO,X,X,X,O,O,X,X,X
ITSJLOZ,X,X,X,O,X,X,X,X
ITSJZLO,O,X,O,O,O,X,X,O
ITSJZOL,O,X,O,O,O,O,X,O
ITSJOLZ,X,X,X,O,O,X,X,X
ITSJOZL,O,O,O,O,O,X,X,X
ITSZLJO,O,X,O,O,O,X,X,O
ITSZLOJ,X,X,O,O,O,X,X,O
ITSZJLO,O,X,O,O,O,X,X,O
ITSZJOL,O,X,O,O,O,O,X,O
ITSZOLJ,X,X,O,O,O,X,X,O
ITSZOJL,O,X,O,O,O,O,X,O
ITSOLJZ,X,X,X,O,O,X,X,X
ITSOLZJ,X,X,X,O,O,X,X,X
ITSOJLZ,X,X,X,O,O,X,X,X
ITSOJZL,O,O,O,O,O,X,X,X
ITSOZLJ,O,O,O,O,O,X,X,X
ITSOZJL,O,O,O,O,O,X,X,X
ITZLJSO,O,X,O,O,O,X,X,O
ITZLJOS,X,X,X,X,O,O,X,X
ITZLSJO,O,X,O,O,O,X,O,O
ITZLSOJ,X,X,O,O,O,X,O,O
ITZLOJS,X,X,X,X,O,O,X,X
ITZLOSJ,X,X,X,X,O,X,O,X
ITZJLSO,O,X,O,O,O,X,X,O
ITZJLOS,X,X,X,X,O,O,X,X
ITZJSLO,O,X,O,O,O,X,X,O
ITZJSOL,O,X,O,O,O,O,X,O
ITZJOLS,O,O,X,X,O,O,X,X
ITZJOSL,O,O,O,O,O,O,X,O
ITZSLJO,O,X,O,O,O,X,O,O
ITZSLOJ,X,X,O,O,O,X,O,O
ITZSJLO,O,X,O,O,O,X,O,O
ITZSJOL,O,X,O,O,O,O,O,O
ITZSOLJ,O,X,O,O,O,X,O,O
ITZSOJL,O,X,O,O,O,O,O,O
ITZOLJS,O,O,X,X,O,O,X,X
ITZOLSJ,O,O,X,X,O,X,O,X
ITZOJLS,O,O,X,X,O,O,X,X
ITZOJSL,O,O,O,O,O,O,X,O
ITZOSLJ,O,O,O,O,O,X,O,O
ITZOSJL,O,O,O,O,O,O,O,O
ITOLJSZ,X,X,X,X,O,X,X,X
ITOLJZS,O,X,X,X,O,X,X,X
ITOLSJZ,X,X,X,X,O,X,X,X
ITOLSZJ,X,X,X,X,O,X,X,X
ITOLZJS,O,X,X,X,O,X,X,X
ITOLZSJ,O,X,X,X,O,X,O,X
ITOJLSZ,X,X,X,X,O,X,X,X
ITOJLZS,O,X,X,X,O,X,X,X
ITOJSLZ,X,X,X,X,O,X,X,X
ITOJSZL,O,O,X,X,O,X,X,X
ITOJZLS,O,O,X,X,O,O,X,X
ITOJZSL,O,O,O,X,O,O,X,O
ITOSLJZ,X,X,X,X,O,X,X,X
ITOSLZJ,X,X,X,X,O,X,X,X
ITOSJLZ,X,X,X,X,O,X,X,X
ITOSJZL,O,O,X,X,O,X,X,X
ITOSZLJ,O,O,X,X,O,X,X,X
ITOSZJL,O,O,X,X,O,X,X,X
ITOZLJS,O,O,X,X,O,O,X,X
ITOZLSJ,O,O,X,X,O,X,O,X
ITOZJLS,O,O,X,X,O,O,X,X
ITOZJSL,O,O,O,X,O,O,X,O
ITOZSLJ,O,O,O,X,O,X,O,O
ITOZSJL,O,O,O,X,O,O,O,O
ILTJSZO,X,X,X,O,O,X,X,X
ILTJSOZ,X,X,X,O,X,X,X,X
ILTJZSO,O,X,O,O,O,X,X,O
ILTJZOS,X,X,X,O,O,O,X,X
ILTJOSZ,X,X,X,X,O,X,X,X
ILTJOZS,O,X,X,O,O,X,X,X
ILTSJZO,X,X,X,O,O,X,X,X
ILTSJOZ,X,X,X,O,X,X,X,X
ILTSZJO,X,X,X,O,O,X,X,X
ILTSZOJ,X,X,X,O,O,X,X,X
ILTSOJZ,X,X,X,O,X,X,X,X
ILTSOZJ,X,X,X,O,X,X,X,X
ILTZJSO,O,X,O,O,O,X,X,O
ILTZJOS,X,X,X,O,O,O,X,X
ILTZSJO,O,X,O,O,O,X,O,O
ILTZSOJ,X,X,O,O,O,X,O,O
ILTZOJS,X,X,X,O,O,O,X,X
ILTZOSJ,X,X,X,O,O,X,O,X
ILTOJSZ,X,X,X,X,O,X,X,X
ILTOJZS,O,X,X,O,O,X,X,X
ILTOSJZ,X,X,X,X,O,X,X,X
ILTOSZJ,X,X,X,X,O,X,X,X
ILTOZJS,O,X,X,O,O,X,X,X
ILTOZSJ,O,X,X,O,O,X,O,X
ILJTSZO,X,X,X,O,O,X,X,X
ILJTSOZ,X,X,X,O,X,X,X,X
ILJTZSO,O,X,O,O,O,X,X,O
ILJTZOS,X,X,X,O,O,O,X,X
ILJTOSZ,X,X,X,X,O,X,X,X
ILJTOZS,O,X,X,O,O,X,X,X
ILJSTZO,X,X,X,O,X,X,X,X
ILJSTOZ,X,X,X,O,X,X,X,X
ILJSZTO,X,X,O,O,X,X,X,X
ILJSZOT,X,X,O,O,X,X,X,X
ILJSOTZ,X,X,X,O,X,X,X,X
ILJSOZT,X,O,O,O,X,X,X,X
ILJZTSO,O,X,O,O,X,X,X,O
ILJZTOS,X,X,X,O,X,O,X,X
ILJZSTO,O,X,O,O,X,X,X,O
ILJZSOT,O,X,O,O,X,X,X,O
ILJZOTS,O,O,X,O,X,O,X,X
ILJZOST,O,O,X,O,X,X,X,X
ILJOTSZ,X,X,X,X,O,X,X,X
ILJOTZS,O,X,X,O,O,X,X,X
ILJOSTZ,X,X,X,O,O,X,X,X
ILJOSZT,X,O,X,O,X,X,X,X
ILJOZTS,O,O,X,O,O,O,X,X
ILJOZST,O,O,X,O,X,X,X,X
ILSTJZO,X,X,X,O,X,X,X,X
ILSTJOZ,X,X,X,O,X,X,X,X
ILSTZJO,X,X,X,O,X,X,X,X
ILSTZOJ,X,X,X,O,X,X,X,X
ILSTOJZ,X,X,X,O,X,X,X,X
ILSTOZJ,X,X,X,O,X,X,X,X
ILSJTZO,X,X,X,O,X,X,X,X
ILSJTOZ,X,X,X,O,X,X,X,X
ILSJZTO,X,X,O,O,X,X,X,X
ILSJZOT,X,X,O,O,X,X,X,X
ILSJOTZ,X,X,X,O,X,X,X,X
ILSJOZT,X,O,O,O,X,X,X,X
ILSZTJO,X,X,O,O,X,X,X,X
ILSZTOJ,X,X,O,O,X,X,X,X
ILSZJTO,X,X,O,O,X,X,X,X
ILSZJOT,X,X,O,O,X,X,X,X
ILSZOTJ,X,X,O,O,X,X,X,X
ILSZOJT,X,X,O,O,X,X,X,X
ILSOTJZ,X,X,X,O,X,X,X,X
ILSOTZJ,X,X,X,O,X,X,X,X
ILSOJTZ,X,X,X,O,X,X,X,X
ILSOJZT,X,O,O,O,X,X,X,X
ILSOZTJ,X,O,O,O,X,X,X,X
ILSOZJT,X,O,O,O,X,X,X,X
ILZTJSO,O,X,O,O,X,X,X,O
ILZTJOS,X,X,X,O,X,O,X,X
ILZTSJO,O,X,O,O,X,X,O,O
ILZTSOJ,X,X,O,O,X,X,O,O
ILZTOJS,X,X,X,O,X,O,X,X
ILZTOSJ,X,X,X,O,X,X,O,X
ILZJTSO,O,X,O,O,X,X,X,O
ILZJTOS,X,X,X,O,X,O,X,X
ILZJSTO,O,X,O,O,X,X,X,O
ILZJSOT,O,X,O,O,X,X,X,O
ILZJOTS,O,O,X,O,X,O,X,X
ILZJOST,O,O,X,O,X,X,X,X
ILZSTJO,O,X,O,O,X,X,O,O
ILZSTOJ,X,X,O,O,X,X,O,O
ILZSJTO,O,X,O,O,X,X,X,O
ILZSJOT,O,X,O,O,X,X,X,O
ILZSOTJ,O,X,O,O,X,X,O,O
ILZSOJT,O,X,O,O,X,X,X,O
ILZOTJS,O,O,X,O,X,O,X,X
ILZOTSJ,O,O,X,O,X,X,O,X
ILZOJTS,O,O,X,O,X,O,X,X
ILZOJST,O,O,X,O,X,X,X,X
ILZOSTJ,O,O,X,O,X,X,O,X
ILZOSJT,O,O,X,O,X,X,X,X
ILOTJSZ,X,X,X,X,O,X,X,X
ILOTJZS,O,X,X,O,O,X,X,X
ILOTSJZ,X,X,X,X,O,X,X,X
ILOTSZJ,X,X,X,X,O,X,X,X
ILOTZJS,O,X,X,O,O,X,X,X
ILOTZSJ,O,X,X,O,O,X,O,X
ILOJTSZ,X,X,X,X,O,X,X,X
ILOJTZS,O,X,X,O,O,X,X,X
ILOJSTZ,X,X,X,O,O,X,X,X
ILOJSZT,X,O,X,O,X,X,X,X
ILOJZTS,O,O,X,O,O,O,X,X
ILOJZST,O,O,X,O,X,X,X,X
ILOSTJZ,X,X,X,O,O,X,X,X
ILOSTZJ,X,X,X,O,O,X,X,X
ILOSJTZ,X,X,X,O,O,X,X,X
ILOSJZT,X,O,X,O,X,X,X,X
ILOSZTJ,X,O,X,O,X,X,X,X
ILOSZJT,X,O,X,O,X,X,X,X
ILOZTJS,O,O,X,O,O,O,X,X
ILOZTSJ,O,O,X,O,O,X,O,X
ILOZJTS,O,O,X,O,O,O,X,X
ILOZJST,O,O,X,O,X,X,X,X
ILOZSTJ,O,O,X,O,X,X,O,X
ILOZSJT,O,O,X,O,X,X,X,X
IJTLSZO,X,X,X,O,O,X,X,X
IJTLSOZ,X,X,X,O,X,X,X,X
IJTLZSO,O,X,O,O,O,X,X,O
IJTLZOS,X,X,X,O,O,O,X,X
IJTLOSZ,X,X,X,X,O,X,X,X
IJTLOZS,O,X,X,O,O,X,X,X
IJTSLZO,X,X,X,O,O,X,X,X
IJTSLOZ,X,X,X,O,X,X,X,X
IJTSZLO,O,X,O,O,O,X,X,O
IJTSZOL,O,X,O,O,O,O,X,O
IJTSOLZ,X,X,X,O,O,X,X,X
IJTSOZL,O,O,O,O,O,X,X,X
IJTZLSO,O,X,O,O,O,X,X,O
IJTZLOS,X,X,X,X,O,O,X,X
IJTZSLO,O,X,O,O,O,X,X,O
IJTZSOL,O,X,O,O,O,O,X,O
IJTZOLS,O,O,X,X,O,O,X,X
IJTZOSL,O,O,O,O,O,O,X,O
IJTOLSZ,X,X,X,X,O,X,X,X
IJTOLZS,O,X,X,X,O,X,X,X
IJTOSLZ,X,X,X,X,O,X,X,X
IJTOSZL,O,O,X,X,O,X,X,X
IJTOZLS,O,O,X,X,O,O,X,X
IJTOZSL,O,O,O,X,O,O,X,O
IJLTSZO,X,X,X,O,O,X,X,X
IJLTSOZ,X,X,X,O,X,X,X,X
IJLTZSO,O,X,O,O,O,X,X,O
IJLTZOS,X,X,X,O,O,O,X,X
IJLTOSZ,X,X,X,X,O,X,X,X
IJLTOZS,O,X,X,O,O,X,X,X
IJLSTZO,X,X,X,O,X,X,X,X
IJLSTOZ,X,X,X,O,X,X,X,X
IJLSZTO,X,X,O,O,X,X,X,X
IJLSZOT,X,X,O,O,X,X,X,X
IJLSOTZ,X,X,X,O,X,X,X,X
IJLSOZT,X,O,O,O,X,X,X,X
IJLZTSO,O,X,O,O,X,X,X,O
IJLZTOS,X,X,X,O,X,O,X,X
IJLZSTO,O,X,O,O,X,X,X,O
IJLZSOT,O,X,O,O,X,X,X,O
IJLZOTS,O,O,X,O,X,O,X,X
IJLZOST,O,O,X,O,X,X,X,X
IJLOTSZ,X,X,X,X,O,X,X,X
IJLOTZS,O,X,X,O,O,X,X,X
IJLOSTZ,X,X,X,O,O,X,X,X
IJLOSZT,X,O,X,O,X,X,X,X
IJLOZTS,O,O,X,O,O,O,X,X
IJLOZST,O,O,X,O,X,X,X,X
IJSTLZO,X,X,X,O,O,X,X,X
IJSTLOZ,X,X,X,O,X,X,X,X
IJSTZLO,O,X,O,O,O,X,X,O
IJSTZOL,O,X,O,O,O,O,X,O
IJSTOLZ,X,X,X,O,O,X,X,X
IJSTOZL,O,O,O,O,O,X,X,X
IJSLTZO,X,X,X,O,X,X,X,X
IJSLTOZ,X,X,X,O,X,X,X,X
IJSLZTO,X,X,O,O,X,X,X,X
IJSLZOT,X,X,O,O,X,X,X,X
IJSLOTZ,X,X,X,O,X,X,X,X
IJSLOZT,X,O,O,O,X,X,X,X
IJSZTLO,O,X,O,O,X,X,X,O
IJSZTOL,O,X,O,O,X,O,X,O
IJSZLTO,O,X,O,O,X,X,X,O
IJSZLOT,O,X,O,O,X,X,X,O
IJSZOTL,O,O,O,O,X,O,X,O
IJSZOLT,O,O,O,O,X,X,X,O
IJSOTLZ,X,X,X,O,O,X,X,X
IJSOTZL,O,O,O,O,O,X,X,X
IJSOLTZ,X,X,X,O,O,X,X,X
IJSOLZT,X,O,O,O,X,X,X,X
IJSOZTL,O,O,O,O,X,O,X,X
IJSOZLT,O,O,O,O,X,X,X,X
IJZTLSO,O,X,O,O,O,X,X,O
IJZTLOS,X,X,X,X,O,O,X,X
IJZTSLO,O,X,O,O,O,X,X,O
IJZTSOL,O,X,O,O,O,O,X,O
IJZTOLS,O,O,X,X,O,O,X,X
