sequence,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBXjBlmBctBTsBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBlnBctBzrBCtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBTjBlmBcsBXtBCsB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBFiBTjB6rBcsBXtB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgB3hBCjB8rBToB1xB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBlmBcsBToBCsBXtB,v115@KhA8FeE8EeE8DeA8JeT/IvhFigBxiBlmB3nBctBWxB,v115@KhA8FeE8EeE8DeA8Je2EJvhFRgBfoB6oBlmB0sBzrB
TIOZSLJ,O,O,O,X,O,X,O,O
TIOZSJL,O,O,O,X,O,O,O,O
TLIJSZO,X,X,X,O,O,X,X,X
TLIJSOZ,X,X,X,O,X,X,X,X
TLIJZSO,O,X,O,O,O,X,X,O
TLIJZOS,X,X,X,O,O,O,X,X
TLIJOSZ,X,X,X,X,O,X,X,X
TLIJOZS,O,X,X,O,O,X,X,X
TLISJZO,X,X,X,O,O,X,X,X
TLISJOZ,X,X,X,O,X,X,X,X
TLISZJO,X,X,X,O,O,X,X,X
TLISZOJ,X,X,X,O,O,X,X,X
TLISOJZ,X,X,X,O,X,X,X,X
TLISOZJ,X,X,X,O,X,X,X,X
TLIZJSO,O,X,O,O,O,X,X,O
TLIZJOS,X,X,X,O,O,O,X,X
TLIZSJO,O,X,O,O,O,X,O,O
TLIZSOJ,X,X,O,O,O,X,O,O
TLIZOJS,X,X,X,O,O,O,X,X
TLIZOSJ,X,X,X,O,O,X,O,X
TLIOJSZ,X,X,X,X,O,X,X,X
TLIOJZS,O,X,X,O,O,X,X,X
TLIOSJZ,X,X,X,X,O,X,X,X
TLIOSZJ,X,X,X,X,O,X,X,X
TLIOZJS,O,X,X,O,O,X,X,X
TLIOZSJ,O,X,X,O,O,X,O,X
TLJISZO,X,X,X,O,O,X,X,X
TLJISOZ,X,X,X,O,X,X,X,X
TLJIZSO,O,X,O,O,O,X,X,O
TLJIZOS,X,X,X,O,O,O,X,X
TLJIOSZ,X,X,X,X,O,X,X,X
TLJIOZS,O,X,X,O,O,X,X,X
TLJSIZO,X,X,X,O,O,X,X,X
TLJSIOZ,X,X,X,O,X,X,X,X
TLJSZIO,X,X,X,O,O,X,X,X
TLJSZOI,X,X,X,O,O,X,X,X
TLJSOIZ,X,X,X,O,X,X,X,X
TLJSOZI,X,X,X,O,X,X,X,X
TLJZISO,O,X,O,O,O,X,X,O
TLJZIOS,X,X,X,O,O,O,X,X
TLJZSIO,O,X,O,O,O,X,O,O
TLJZSOI,O,X,O,O,O,X,O,O
TLJZOIS,X,X,X,O,O,O,X,X
TLJZOSI,X,X,X,O,O,O,O,X
TLJOISZ,X,X,X,X,O,X,X,X
TLJOIZS,O,X,X,O,O,X,X,X
TLJOSIZ,X,X,X,X,O,X,X,X
TLJOSZI,X,X,X,X,O,X,X,X
TLJOZIS,O,X,X,O,O,X,X,X
TLJOZSI,O,X,X,O,O,X,O,X
TLSIJZO,X,X,X,O,O,X,X,X
TLSIJOZ,X,X,X,O,X,X,X,X
TLSIZJO,X,X,X,O,O,X,X,X
TLSIZOJ,X,X,X,O,O,X,X,X
TLSIOJZ,X,X,X,O,X,X,X,X
TLSIOZJ,X,X,X,O,X,X,X,X
TLSJIZO,X,X,X,O,O,X,X,X
TLSJIOZ,X,X,X,O,X,X,X,X
TLSJZIO,X,X,X,O,O,X,X,X
TLSJZOI,X,X,X,O,O,X,X,X
TLSJOIZ,X,X,X,O,X,X,X,X
TLSJOZI,X,X,X,O,X,X,X,X
TLSZIJO,X,X,X,O,O,X,O,X
TLSZIOJ,X,X,X,O,O,X,O,X
TLSZJIO,X,X,X,O,O,X,O,X
TLSZJOI,X,X,X,O,O,X,O,X
TLSZOIJ,X,X,X,O,O,X,O,X
TLSZOJI,X,X,X,O,O,X,O,X
TLSOIJZ,X,X,X,O,X,X,X,X
TLSOIZJ,X,X,X,O,X,X,X,X
TLSOJIZ,X,X,X,O,X,X,X,X
TLSOJZI,X,X,X,O,X,X,X,X
TLSOZIJ,X,X,X,O,X,X,O,X
TLSOZJI,X,X,X,O,X,X,O,X
