sequence,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBCnBFmB0qBXsB,v115@PhD8FeE8DeC8JeT/IvhF2lBxiBSsBlqBfsBUrB,v115@PhD8FeE8DeC8JeT/IvhF3gB1mBxiBcsB2qBSwB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBFsBCsBXrB,v115@PhD8FeE8DeC8JeT/IvhFxiB2qBSsBfsBUrBlqB,v115@PhD8FeE8DeC8JeT/IvhFXhBxiB2qBCsBFsB0qB,v115@PhD8FeE8DeC8JeT/IvhF0gBxiB2qBCsBFsBXrB
TZSJLIO,O,X,X,X,X,X,X
TZSJLOI,O,X,X,X,X,X,X
TZSJOIL,O,X,O,X,X,X,X
TZSJOLI,O,X,O,X,X,X,X
TZSOILJ,O,X,O,X,X,X,X
TZSOIJL,O,X,O,X,X,X,X
TZSOLIJ,O,X,O,X,X,X,X
TZSOLJI,O,X,O,X,X,X,X
TZSOJIL,O,X,O,X,X,X,X
TZSOJLI,O,X,O,X,X,X,X
TZOILJS,X,O,O,X,X,X,X
TZOILSJ,X,O,O,X,X,X,X
TZOIJLS,X,O,O,O,X,X,X
TZOIJSL,O,X,O,O,X,X,X
TZOISLJ,O,X,O,X,X,X,X
TZOISJL,O,X,O,X,X,X,X
TZOLIJS,X,O,O,X,X,X,X
TZOLISJ,X,O,O,X,X,X,X
TZOLJIS,X,O,O,X,X,X,X
TZOLJSI,X,O,O,X,X,X,X
TZOLSIJ,X,O,O,X,X,X,X
TZOLSJI,X,O,O,X,X,X,X
TZOJILS,X,O,O,O,X,X,X
TZOJISL,O,X,O,O,X,X,X
TZOJLIS,X,O,O,O,X,X,X
TZOJLSI,X,O,O,O,X,X,X
TZOJSIL,O,X,O,O,X,X,X
TZOJSLI,O,X,O,O,X,X,X
TZOSILJ,O,X,O,X,X,X,X
TZOSIJL,O,X,O,X,X,X,X
TZOSLIJ,O,X,O,X,X,X,X
TZOSLJI,O,X,O,X,X,X,X
TZOSJIL,O,X,O,X,X,X,X
TZOSJLI,O,X,O,X,X,X,X
TOILJSZ,X,O,X,O,O,X,X
TOILJZS,X,O,X,O,X,X,X
TOILSJZ,X,O,X,X,X,X,X
TOILSZJ,X,O,X,X,X,X,X
TOILZJS,X,O,X,X,X,X,X
TOILZSJ,X,O,X,X,X,X,X
TOIJLSZ,X,O,X,O,O,X,X
TOIJLZS,X,O,X,O,X,X,X
TOIJSLZ,X,O,X,O,X,X,X
TOIJSZL,X,X,X,O,X,X,X
TOIJZLS,X,O,X,O,X,X,X
TOIJZSL,X,X,X,O,X,X,X
TOISLJZ,X,O,X,X,X,X,X
TOISLZJ,O,O,X,X,X,X,X
TOISJLZ,X,O,X,O,X,X,X
TOISJZL,X,X,X,O,X,X,X
TOISZLJ,O,X,X,X,X,X,X
TOISZJL,O,X,X,X,X,X,X
TOIZLJS,X,O,O,X,X,X,X
TOIZLSJ,X,O,O,X,X,X,X
TOIZJLS,X,O,O,O,X,X,X
TOIZJSL,O,X,O,O,X,X,X
TOIZSLJ,O,X,O,X,X,X,X
TOIZSJL,O,X,O,X,X,X,X
TOLIJSZ,X,O,X,O,O,X,X
TOLIJZS,X,O,X,O,X,X,X
TOLISJZ,X,O,X,X,X,X,X
TOLISZJ,X,O,O,X,X,X,X
TOLIZJS,X,O,O,X,X,X,X
TOLIZSJ,X,O,O,X,X,X,X
TOLJISZ,X,O,X,O,O,O,O
TOLJIZS,X,O,X,O,X,O,O
TOLJSIZ,X,O,X,O,O,O,O
TOLJSZI,X,O,O,O,O,O,O
TOLJZIS,X,O,O,O,X,O,O
TOLJZSI,X,O,O,O,O,O,O
TOLSIJZ,X,O,X,X,X,X,X
TOLSIZJ,X,O,O,X,X,X,X
TOLSJIZ,X,O,X,X,X,X,X
TOLSJZI,X,O,O,X,X,X,X
TOLSZIJ,X,O,O,X,X,X,X
TOLSZJI,X,O,O,X,X,X,X
TOLZIJS,X,O,O,X,X,X,X
TOLZISJ,X,O,O,X,X,X,X
TOLZJIS,X,O,O,X,X,X,X
TOLZJSI,X,O,O,X,X,X,X
TOLZSIJ,X,O,O,X,X,X,X
TOLZSJI,X,O,O,X,X,X,X
TOJILSZ,X,O,X,O,O,X,X
TOJILZS,X,O,X,O,X,X,X
TOJISLZ,X,O,X,O,X,X,X
TOJISZL,X,X,X,O,X,X,X
TOJIZLS,X,O,X,O,X,X,X
TOJIZSL,X,X,X,O,X,X,X
TOJLISZ,X,O,X,O,O,O,O
TOJLIZS,X,O,X,O,X,O,O
TOJLSIZ,X,O,X,O,O,O,O
TOJLSZI,X,O,X,O,O,O,O
TOJLZIS,X,O,X,O,X,O,O
TOJLZSI,X,O,X,O,O,O,O
TOJSILZ,X,O,X,O,X,X,X
TOJSIZL,X,X,X,O,X,X,X
TOJSLIZ,X,O,X,O,X,O,X
TOJSLZI,X,O,X,O,X,O,X
TOJSZIL,X,X,X,O,X,X,X
TOJSZLI,X,X,X,O,X,X,X
TOJZILS,X,O,X,O,X,X,X
TOJZISL,X,X,X,O,X,X,X
TOJZLIS,X,O,X,O,X,X,O
TOJZLSI,X,O,X,O,X,X,O
TOJZSIL,X,X,X,O,X,X,X
TOJZSLI,X,X,X,O,X,X,X
TOSILJZ,X,O,X,X,X,X,X
TOSILZJ,O,O,X,X,X,X,X
TOSIJLZ,X,O,X,O,X,X,X
TOSIJZL,X,X,X,O,X,X,X
TOSIZLJ,O,X,X,X,X,X,X
TOSIZJL,O,X,X,X,X,X,X
TOSLIJZ,X,O,X,X,X,X,X
TOSLIZJ,O,O,X,X,X,X,X
TOSLJIZ,X,O,X,X,X,X,X
TOSLJZI,X,O,X,X,X,X,X
TOSLZIJ,O,O,X,X,X,X,X
TOSLZJI,O,O,X,X,X,X,X
TOSJILZ,X,O,X,O,X,X,X
TOSJIZL,X,X,X,O,X,X,X
TOSJLIZ,X,O,X,O,X,X,X
TOSJLZI,X,O,X,O,X,X,X
TOSJZIL,X,X,X,O,X,X,X
TOSJZLI,X,X,X,O,X,X,X
TOSZILJ,O,X,X,X,X,X,X
TOSZIJL,O,X,X,X,X,X,X
TOSZLIJ,O,X,X,X,X,X,X
TOSZLJI,O,X,X,X,X,X,X
TOSZJIL,O,X,X,X,X,X,X
TOSZJLI,O,X,X,X,X,X,X
TOZILJS,X,O,O,X,X,X,X
TOZILSJ,X,O,O,X,X,X,X
TOZIJLS,X,O,O,O,X,X,X
TOZIJSL,O,X,O,O,X,X,X
TOZISLJ,O,X,O,X,X,X,X
TOZISJL,O,X,O,X,X,X,X
TOZLIJS,X,O,O,X,X,X,X
TOZLISJ,X,O,O,X,X,X,X
TOZLJIS,X,O,O,X,X,X,X
TOZLJSI,X,O,O,X,X,X,X
TOZLSIJ,X,O,O,X,X,X,X
TOZLSJI,X,O,O,X,X,X,X
TOZJILS,X,O,O,O,X,X,X
TOZJISL,O,X,O,O,X,X,X
TOZJLIS,X,O,O,O,X,X,X
TOZJLSI,X,O,O,O,X,X,X
TOZJSIL,O,X,O,O,X,X,X
TOZJSLI,O,X,O,O,X,X,X
TOZSILJ,O,X,O,X,X,X,X
TOZSIJL,O,X,O,X,X,X,X
TOZSLIJ,O,X,O,X,X,X,X
TOZSLJI,O,X,O,X,X,X,X
TOZSJIL,O,X,O,X,X,X,X
TOZSJLI,O,X,O,X,X,X,X
ITLJSZO,X,O,X,O,O,X,X
ITLJSOZ,X,O,X,O,O,X,X
ITLJZSO,X,O,X,O,X,X,X
ITLJZOS,X,O,X,O,X,X,X
ITLJOSZ,X,O,X,O,O,X,X
ITLJOZS,X,O,X,O,X,X,X
ITLSJZO,X,O,X,X,X,X,X
ITLSJOZ,X,O,X,X,X,X,X
ITLSZJO,X,O,X,X,X,X,X
ITLSZOJ,X,O,X,X,X,X,X
ITLSOJZ,X,O,X,X,X,X,X
ITLSOZJ,X,O,X,X,X,X,X
ITLZJSO,X,O,X,X,X,X,X
ITLZJOS,X,O,X,X,X,X,X
ITLZSJO,X,O,X,X,X,X,X
ITLZSOJ,X,O,X,X,X,X,X
ITLZOJS,X,O,X,X,X,X,X
ITLZOSJ,X,O,X,X,X,X,X
ITLOJSZ,X,O,X,O,O,X,X
ITLOJZS,X,O,X,O,X,X,X
ITLOSJZ,X,O,X,X,X,X,X
ITLOSZJ,X,O,X,X,X,X,X
ITLOZJS,X,O,X,X,X,X,X
ITLOZSJ,X,O,X,X,X,X,X
ITJLSZO,X,O,X,O,O,X,X
ITJLSOZ,X,O,X,O,O,X,X
ITJLZSO,X,O,X,O,X,X,X
ITJLZOS,X,O,X,O,X,X,X
ITJLOSZ,X,O,X,O,O,X,X
ITJLOZS,X,O,X,O,X,X,X
ITJSLZO,X,O,X,O,X,X,X
ITJSLOZ,X,O,X,O,X,X,X
ITJSZLO,X,X,X,O,X,X,X
ITJSZOL,X,X,X,O,X,X,X
ITJSOLZ,X,O,X,O,X,X,X
ITJSOZL,X,X,X,O,X,X,X
ITJZLSO,X,O,X,O,X,X,X
ITJZLOS,X,O,X,O,X,X,X
ITJZSLO,X,X,X,O,X,X,X
ITJZSOL,X,X,X,O,X,X,X
ITJZOLS,X,O,X,O,X,X,X
ITJZOSL,X,X,X,O,X,X,X
ITJOLSZ,X,O,X,O,O,X,X
ITJOLZS,X,O,X,O,X,X,X
ITJOSLZ,X,O,X,O,X,X,X
ITJOSZL,X,X,X,O,X,X,X
ITJOZLS,X,O,X,O,X,X,X
ITJOZSL,X,X,X,O,X,X,X
ITSLJZO,X,O,X,X,X,X,X
ITSLJOZ,X,O,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X
ITSLOJZ,X,O,X,X,X,X,X
ITSLOZJ,O,O,X,X,X,X,X
ITSJLZO,X,O,X,O,X,X,X
ITSJLOZ,X,O,X,O,X,X,X
ITSJZLO,X,X,X,O,X,X,X
ITSJZOL,X,X,X,O,X,X,X
ITSJOLZ,X,O,X,O,X,X,X
ITSJOZL,X,X,X,O,X,X,X
ITSZLJO,O,X,X,X,X,X,X
ITSZLOJ,O,X,X,X,X,X,X
ITSZJLO,O,X,X,X,X,X,X
ITSZJOL,O,X,X,X,X,X,X
ITSZOLJ,O,X,X,X,X,X,X
ITSZOJL,O,X,X,X,X,X,X
ITSOLJZ,X,O,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,X,X
ITSOJLZ,X,O,X,O,X,X,X
ITSOJZL,X,X,X,O,X,X,X
ITSOZLJ,O,X,X,X,X,X,X
ITSOZJL,O,X,X,X,X,X,X
ITZLJSO,X,O,O,X,X,X,X
ITZLJOS,X,O,O,X,X,X,X
ITZLSJO,X,O,O,X,X,X,X
ITZLSOJ,X,O,O,X,X,X,X
ITZLOJS,X,O,O,X,X,X,X
ITZLOSJ,X,O,O,X,X,X,X
ITZJLSO,X,O,O,O,X,X,X
ITZJLOS,X,O,O,O,X,X,X
ITZJSLO,O,X,X,O,X,X,X
ITZJSOL,O,X,O,O,X,X,X
ITZJOLS,X,O,O,O,X,X,X
ITZJOSL,O,X,O,O,X,X,X
ITZSLJO,O,X,O,X,X,X,X
ITZSLOJ,O,X,O,X,X,X,X
ITZSJLO,O,X,X,X,X,X,X
ITZSJOL,O,X,O,X,X,X,X
ITZSOLJ,O,X,O,X,X,X,X
ITZSOJL,O,X,O,X,X,X,X
ITZOLJS,X,O,O,X,X,X,X
ITZOLSJ,X,O,O,X,X,X,X
ITZOJLS,X,O,O,O,X,X,X
ITZOJSL,O,X,O,O,X,X,X
ITZOSLJ,O,X,O,X,X,X,X
ITZOSJL,O,X,O,X,X,X,X
ITOLJSZ,X,O,X,O,O,X,X
ITOLJZS,X,O,X,O,X,X,X
ITOLSJZ,X,O,X,X,X,X,X
ITOLSZJ,X,O,X,X,X,X,X
ITOLZJS,X,O,X,X,X,X,X
ITOLZSJ,X,O,X,X,X,X,X
ITOJLSZ,X,O,X,O,O,X,X
ITOJLZS,X,O,X,O,X,X,X
ITOJSLZ,X,O,X,O,X,X,X
ITOJSZL,X,X,X,O,X,X,X
ITOJZLS,X,O,X,O,X,X,X
ITOJZSL,X,X,X,O,X,X,X
ITOSLJZ,X,O,X,X,X,X,X
ITOSLZJ,O,O,X,X,X,X,X
ITOSJLZ,X,O,X,O,X,X,X
ITOSJZL,X,X,X,O,X,X,X
ITOSZLJ,O,X,X,X,X,X,X
ITOSZJL,O,X,X,X,X,X,X
ITOZLJS,X,O,O,X,X,X,X
ITOZLSJ,X,O,O,X,X,X,X
ITOZJLS,X,O,O,O,X,X,X
ITOZJSL,O,X,O,O,X,X,X
ITOZSLJ,O,X,O,X,X,X,X
ITOZSJL,O,X,O,X,X,X,X
ILTJSZO,X,O,X,O,O,X,X
ILTJSOZ,X,O,X,O,O,X,X
ILTJZSO,X,O,X,O,X,X,X
ILTJZOS,X,O,X,O,X,X,X
ILTJOSZ,X,O,X,O,O,X,X
ILTJOZS,X,O,X,O,X,X,X
ILTSJZO,X,O,X,X,X,X,X
ILTSJOZ,X,O,X,X,X,X,X
ILTSZJO,X,O,O,X,X,X,X
ILTSZOJ,X,O,O,X,X,X,X
ILTSOJZ,X,O,X,X,X,X,X
ILTSOZJ,X,O,O,X,X,X,X
ILTZJSO,X,O,O,X,X,X,X
ILTZJOS,X,O,O,X,X,X,X
ILTZSJO,X,O,O,X,X,X,X
ILTZSOJ,X,O,O,X,X,X,X
ILTZOJS,X,O,O,X,X,X,X
ILTZOSJ,X,O,O,X,X,X,X
ILTOJSZ,X,O,X,O,O,X,X
ILTOJZS,X,O,X,O,X,X,X
ILTOSJZ,X,O,X,X,X,X,X
ILTOSZJ,X,O,O,X,X,X,X
ILTOZJS,X,O,O,X,X,X,X
ILTOZSJ,X,O,O,X,X,X,X
ILJTSZO,X,O,X,O,O,O,O
ILJTSOZ,X,O,X,O,O,O,O
ILJTZSO,X,O,X,O,X,O,O
ILJTZOS,X,O,X,O,X,O,O
ILJTOSZ,X,O,X,O,O,O,O
ILJTOZS,X,O,X,O,X,O,O
ILJSTZO,X,X,X,X,O,X,X
ILJSTOZ,X,X,X,X,O,X,X
ILJSZTO,X,X,X,X,O,X,X
ILJSZOT,X,X,X,X,O,X,X
ILJSOTZ,X,X,X,X,O,X,X
ILJSOZT,X,X,X,X,O,X,X
ILJZTSO,X,X,X,X,X,X,O
ILJZTOS,X,X,X,X,X,X,O
ILJZSTO,X,X,X,X,O,X,X
ILJZSOT,X,X,X,X,O,X,X
ILJZOTS,X,X,X,X,X,X,O
ILJZOST,X,X,X,X,O,X,X
ILJOTSZ,X,O,X,O,O,O,O
ILJOTZS,X,O,X,O,X,O,O
ILJOSTZ,X,X,X,X,O,X,X
ILJOSZT,X,X,X,X,O,X,X
ILJOZTS,X,X,X,X,X,X,O
ILJOZST,X,X,X,X,O,X,X
ILSTJZO,X,O,X,X,X,X,X
ILSTJOZ,X,O,X,X,X,X,X
ILSTZJO,O,O,X,X,X,X,X
ILSTZOJ,O,O,X,X,X,X,X
ILSTOJZ,X,O,X,X,X,X,X
ILSTOZJ,O,O,X,X,X,X,X
ILSJTZO,X,X,X,X,O,X,X
ILSJTOZ,X,X,X,X,O,X,X
ILSJZTO,O,X,X,X,O,X,X
ILSJZOT,O,X,X,X,O,X,X
ILSJOTZ,X,X,X,X,O,X,X
ILSJOZT,O,X,X,X,O,X,X
ILSZTJO,O,X,X,X,X,X,X
ILSZTOJ,O,X,X,X,X,X,X
ILSZJTO,O,X,X,X,X,X,X
ILSZJOT,O,X,X,X,X,X,X
ILSZOTJ,O,X,X,X,X,X,X
ILSZOJT,O,X,X,X,X,X,X
ILSOTJZ,X,O,X,X,X,X,X
ILSOTZJ,O,O,X,X,X,X,X
ILSOJTZ,X,X,X,X,O,X,X
ILSOJZT,O,X,X,X,O,X,X
ILSOZTJ,O,X,X,X,X,X,X
ILSOZJT,O,X,X,X,X,X,X
ILZTJSO,X,O,O,X,X,X,X
ILZTJOS,X,O,O,X,X,X,X
ILZTSJO,X,O,O,X,X,X,X
ILZTSOJ,X,O,O,X,X,X,X
ILZTOJS,X,O,O,X,X,X,X
ILZTOSJ,X,O,O,X,X,X,X
ILZJTSO,X,X,O,X,X,X,X
ILZJTOS,X,X,O,X,X,X,X
ILZJSTO,O,X,X,X,O,X,X
ILZJSOT,O,X,X,X,O,X,X
ILZJOTS,X,X,O,X,X,X,X
ILZJOST,O,X,X,X,O,X,X
ILZSTJO,O,X,O,X,X,X,X
ILZSTOJ,O,X,O,X,X,X,X
ILZSJTO,O,X,X,X,X,X,X
ILZSJOT,O,X,X,X,X,X,X
ILZSOTJ,O,X,O,X,X,X,X
ILZSOJT,O,X,X,X,X,X,X
ILZOTJS,X,O,O,X,X,X,X
ILZOTSJ,X,O,O,X,X,X,X
ILZOJTS,X,X,O,X,X,X,X
ILZOJST,O,X,X,X,O,X,X
ILZOSTJ,O,X,O,X,X,X,X
ILZOSJT,O,X,X,X,X,X,X
ILOTJSZ,X,O,X,O,O,X,X
ILOTJZS,X,O,X,O,X,X,X
ILOTSJZ,X,O,X,X,X,X,X
ILOTSZJ,X,O,O,X,X,X,X
ILOTZJS,X,O,O,X,X,X,X
ILOTZSJ,X,O,O,X,X,X,X
ILOJTSZ,X,O,X,O,O,O,O
ILOJTZS,X,O,X,O,X,O,O
ILOJSTZ,X,X,X,X,O,X,X
ILOJSZT,X,X,X,X,O,X,X
ILOJZTS,X,X,X,X,X,X,O
ILOJZST,X,X,X,X,O,X,X
ILOSTJZ,X,O,X,X,X,X,X
ILOSTZJ,O,O,X,X,X,X,X
ILOSJTZ,X,X,X,X,O,X,X
ILOSJZT,O,X,X,X,O,X,X
ILOSZTJ,O,X,X,X,X,X,X
ILOSZJT,O,X,X,X,X,X,X
ILOZTJS,X,O,O,X,X,X,X
ILOZTSJ,X,O,O,X,X,X,X
ILOZJTS,X,X,O,X,X,X,X
ILOZJST,O,X,X,X,O,X,X
ILOZSTJ,O,X,O,X,X,X,X
ILOZSJT,O,X,X,X,X,X,X
IJTLSZO,X,O,X,O,O,X,X
IJTLSOZ,X,O,X,O,O,X,X
IJTLZSO,X,O,X,O,X,X,X
IJTLZOS,X,O,X,O,X,X,X
IJTLOSZ,X,O,X,O,O,X,X
IJTLOZS,X,O,X,O,X,X,X
IJTSLZO,X,O,X,O,X,X,X
IJTSLOZ,X,O,X,O,X,X,X
IJTSZLO,X,X,X,O,X,X,X
IJTSZOL,X,X,X,O,X,X,X
IJTSOLZ,X,O,X,O,X,X,X
IJTSOZL,X,X,X,O,X,X,X
IJTZLSO,X,O,X,O,X,X,X
IJTZLOS,X,O,X,O,X,X,X
IJTZSLO,X,X,X,O,X,X,X
IJTZSOL,X,X,X,O,X,X,X
IJTZOLS,X,O,X,O,X,X,X
IJTZOSL,X,X,X,O,X,X,X
IJTOLSZ,X,O,X,O,O,X,X
IJTOLZS,X,O,X,O,X,X,X
IJTOSLZ,X,O,X,O,X,X,X
IJTOSZL,X,X,X,O,X,X,X
IJTOZLS,X,O,X,O,X,X,X
IJTOZSL,X,X,X,O,X,X,X
IJLTSZO,X,O,X,O,O,O,O
IJLTSOZ,X,O,X,O,O,O,O
IJLTZSO,X,O,X,O,X,O,O
IJLTZOS,X,O,X,O,X,O,O
IJLTOSZ,X,O,X,O,O,O,O
IJLTOZS,X,O,X,O,X,O,O
IJLSTZO,X,X,X,X,O,X,X
IJLSTOZ,X,X,X,X,O,X,X
IJLSZTO,X,X,X,X,O,X,X
IJLSZOT,X,X,X,X,O,X,X
IJLSOTZ,X,X,X,X,O,X,X
IJLSOZT,X,X,X,X,O,X,X
IJLZTSO,X,X,X,X,X,X,O
IJLZTOS,X,X,X,X,X,X,O
IJLZSTO,X,X,X,X,O,X,X
IJLZSOT,X,X,X,X,O,X,X
IJLZOTS,X,X,X,X,X,X,O
IJLZOST,X,X,X,X,O,X,X
IJLOTSZ,X,O,X,O,O,O,O
IJLOTZS,X,O,X,O,X,O,O
IJLOSTZ,X,X,X,X,O,X,X
IJLOSZT,X,X,X,X,O,X,X
IJLOZTS,X,X,X,X,X,X,O
IJLOZST,X,X,X,X,O,X,X
IJSTLZO,X,X,X,O,X,X,X
IJSTLOZ,X,X,X,O,X,X,X
IJSTZLO,X,X,X,O,X,X,X
IJSTZOL,X,X,X,O,X,X,X
IJSTOLZ,X,X,X,O,X,X,X
IJSTOZL,X,X,X,O,X,X,X
IJSLTZO,X,X,X,X,O,O,X
IJSLTOZ,X,X,X,X,O,O,X
IJSLZTO,O,X,X,X,O,X,X
IJSLZOT,O,X,X,X,O,X,X
IJSLOTZ,X,X,X,X,O,O,X
IJSLOZT,O,X,X,X,O,X,X
IJSZTLO,O,X,X,X,X,X,X
IJSZTOL,O,X,X,X,X,X,X
IJSZLTO,O,X,X,X,X,X,X
IJSZLOT,O,X,X,X,X,X,X
IJSZOTL,O,X,X,X,X,X,X
IJSZOLT,O,X,X,X,X,X,X
IJSOTLZ,X,X,X,O,X,X,X
IJSOTZL,X,X,X,O,X,X,X
IJSOLTZ,X,X,X,X,O,O,X
IJSOLZT,O,X,X,X,O,X,X
IJSOZTL,O,X,X,X,X,X,X
IJSOZLT,O,X,X,X,X,X,X
IJZTLSO,X,X,O,O,X,X,X
IJZTLOS,X,X,O,O,X,X,X
IJZTSLO,O,X,X,O,X,X,X
IJZTSOL,O,X,O,O,X,X,X
IJZTOLS,X,X,O,O,X,X,X
IJZTOSL,O,X,O,O,X,X,X
IJZLTSO,X,X,O,X,X,X,O
IJZLTOS,X,X,O,X,X,X,O
IJZLSTO,O,X,X,X,O,X,X
IJZLSOT,O,X,X,X,O,X,X
IJZLOTS,X,X,O,X,X,X,O
IJZLOST,O,X,X,X,O,X,X
IJZSTLO,O,X,X,X,X,X,X
IJZSTOL,O,X,X,X,X,X,X
IJZSLTO,O,X,X,X,X,X,X
IJZSLOT,O,X,X,X,X,X,X
IJZSOTL,O,X,X,X,X,X,X
IJZSOLT,O,X,X,X,X,X,X
IJZOTLS,X,X,O,O,X,X,X
IJZOTSL,O,X,O,O,X,X,X
IJZOLTS,X,X,O,X,X,X,O
IJZOLST,O,X,X,X,O,X,X
IJZOSTL,O,X,X,X,X,X,X
IJZOSLT,O,X,X,X,X,X,X
IJOTLSZ,X,O,X,O,O,X,X
IJOTLZS,X,O,X,O,X,X,X
IJOTSLZ,X,O,X,O,X,X,X
IJOTSZL,X,X,X,O,X,X,X
IJOTZLS,X,O,X,O,X,X,X
IJOTZSL,X,X,X,O,X,X,X
IJOLTSZ,X,O,X,O,O,O,O
IJOLTZS,X,O,X,O,X,O,O
IJOLSTZ,X,X,X,X,O,X,X
IJOLSZT,X,X,X,X,O,X,X
IJOLZTS,X,X,X,X,X,X,O
IJOLZST,X,X,X,X,O,X,X
IJOSTLZ,X,X,X,O,X,X,X
IJOSTZL,X,X,X,O,X,X,X
IJOSLTZ,X,X,X,X,O,O,X
IJOSLZT,O,X,X,X,O,X,X
IJOSZTL,O,X,X,X,X,X,X
IJOSZLT,O,X,X,X,X,X,X
IJOZTLS,X,X,O,O,X,X,X
IJOZTSL,O,X,O,O,X,X,X
IJOZLTS,X,X,O,X,X,X,O
IJOZLST,O,X,X,X,O,X,X
IJOZSTL,O,X,X,X,X,X,X
IJOZSLT,O,X,X,X,X,X,X
ISTLJZO,X,O,X,X,X,X,X
ISTLJOZ,X,O,X,X,X,X,X
ISTLZJO,O,O,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X
ISTLOJZ,X,O,X,X,X,X,X
ISTLOZJ,O,O,X,X,X,X,X
ISTJLZO,X,O,X,O,X,X,X
ISTJLOZ,X,O,X,O,X,X,X
ISTJZLO,X,X,X,O,X,X,X
ISTJZOL,X,X,X,O,X,X,X
ISTJOLZ,X,O,X,O,X,X,X
ISTJOZL,X,X,X,O,X,X,X
ISTZLJO,O,X,X,X,X,X,X
ISTZLOJ,O,X,X,X,X,X,X
ISTZJLO,O,X,X,X,X,X,X
ISTZJOL,O,X,X,X,X,X,X
ISTZOLJ,O,X,X,X,X,X,X
ISTZOJL,O,X,X,X,X,X,X
ISTOLJZ,X,O,X,X,X,X,X
ISTOLZJ,O,O,X,X,X,X,X
ISTOJLZ,X,O,X,O,X,X,X
ISTOJZL,X,X,X,O,X,X,X
ISTOZLJ,O,X,X,X,X,X,X
ISTOZJL,O,X,X,X,X,X,X
ISLTJZO,X,O,X,X,X,X,X
ISLTJOZ,X,O,X,X,X,X,X
ISLTZJO,O,O,X,X,X,X,X
ISLTZOJ,O,O,X,X,X,X,X
ISLTOJZ,X,O,X,X,X,X,X
ISLTOZJ,O,O,X,X,X,X,X
ISLJTZO,X,X,X,X,O,X,X
ISLJTOZ,X,X,X,X,O,X,X
ISLJZTO,O,X,X,X,O,X,X
ISLJZOT,O,X,X,X,O,X,X
ISLJOTZ,X,X,X,X,O,X,X
ISLJOZT,O,X,X,X,O,X,X
ISLZTJO,O,X,X,X,X,X,X
ISLZTOJ,O,X,X,X,X,X,X
ISLZJTO,O,X,X,X,X,X,X
ISLZJOT,O,X,X,X,X,X,X
ISLZOTJ,O,X,X,X,X,X,X
ISLZOJT,O,X,X,X,X,X,X
ISLOTJZ,X,O,X,X,X,X,X
ISLOTZJ,O,O,X,X,X,X,X
ISLOJTZ,X,X,X,X,O,X,X
ISLOJZT,O,X,X,X,O,X,X
ISLOZTJ,O,X,X,X,X,X,X
ISLOZJT,O,X,X,X,X,X,X
ISJTLZO,X,X,X,O,X,X,X
ISJTLOZ,X,X,X,O,X,X,X
ISJTZLO,X,X,X,O,X,X,X
ISJTZOL,X,X,X,O,X,X,X
ISJTOLZ,X,X,X,O,X,X,X
ISJTOZL,X,X,X,O,X,X,X
ISJLTZO,X,X,X,X,O,X,X
ISJLTOZ,X,X,X,X,O,X,X
ISJLZTO,O,X,X,X,O,X,X
ISJLZOT,O,X,X,X,O,X,X
ISJLOTZ,X,X,X,X,O,X,X
ISJLOZT,O,X,X,X,O,X,X
ISJZTLO,O,X,X,X,X,X,X
ISJZTOL,O,X,X,X,X,X,X
ISJZLTO,O,X,X,X,X,X,X
ISJZLOT,O,X,X,X,X,X,X
ISJZOTL,O,X,X,X,X,X,X
ISJZOLT,O,X,X,X,X,X,X
ISJOTLZ,X,X,X,O,X,X,X
ISJOTZL,X,X,X,O,X,X,X
ISJOLTZ,X,X,X,X,O,X,X
ISJOLZT,O,X,X,X,O,X,X
ISJOZTL,O,X,X,X,X,X,X
ISJOZLT,O,X,X,X,X,X,X
ISZTLJO,O,X,O,X,X,X,X
ISZTLOJ,O,X,O,X,X,X,X
ISZTJLO,O,X,X,X,X,X,X
ISZTJOL,O,X,O,X,X,X,X
ISZTOLJ,O,X,O,X,X,X,X
ISZTOJL,O,X,O,X,X,X,X
ISZLTJO,O,X,O,X,X,X,X
ISZLTOJ,O,X,O,X,X,X,X
ISZLJTO,O,X,X,X,X,X,X
ISZLJOT,O,X,X,X,X,X,X
ISZLOTJ,O,X,O,X,X,X,X
ISZLOJT,O,X,X,X,X,X,X
ISZJTLO,O,X,X,X,X,X,X
ISZJTOL,O,X,X,X,X,X,X
ISZJLTO,O,X,X,X,X,X,X
ISZJLOT,O,X,X,X,X,X,X
ISZJOTL,O,X,X,X,X,X,X
ISZJOLT,O,X,X,X,X,X,X
ISZOTLJ,O,X,O,X,X,X,X
ISZOTJL,O,X,O,X,X,X,X
ISZOLTJ,O,X,O,X,X,X,X
ISZOLJT,O,X,X,X,X,X,X
ISZOJTL,O,X,X,X,X,X,X
ISZOJLT,O,X,X,X,X,X,X
ISOTLJZ,X,O,X,X,X,X,X
ISOTLZJ,O,O,X,X,X,X,X
ISOTJLZ,X,O,X,O,X,X,X
ISOTJZL,X,X,X,O,X,X,X
ISOTZLJ,O,X,X,X,X,X,X
